ENSCJPP00005024826	ENSCJPG00005019537	Coturnix_japonica
ENSMGAP00000009883	ENSMGAG00000009576	Meleagris_gallopavo
ENSNMEP00000015548	ENSNMEG00000013792	Numida_meleagris
ENSTGUP00000009742	ENSTGUG00000009444	Taeniopygia_guttata
ENSPVIP00000005027	ENSPVIG00000004102	Pogona_vitticeps
ENSNSUP00000009781	ENSNSUG00000007463	Notechis_scutatus
ENSOANP00000029660	ENSOANG00000031394	Ornithorhynchus_anatinus
ENSOCUP00000045772	ENSOCUG00000038615	Oryctolagus_cuniculus
ENSDCDP00000022899	ENSDCDG00000017052	Denticeps_clupeoides	ENSDCDT00000031088
ENSCHAP00000014901	ENSCHAG00000007272	Clupea_harengus	ENSCHAT00000016473
ENSAMXP00005050440	ENSAMXG00005022754	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000002304	ENSAMXG00000002255	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000023020	ENSPNAG00000000311	Pygocentrus_nattereri
ENSEEEP00000006289	ENSEEEG00000003301	Electrophorus_electricus
ENSIPUP00000001041	ENSIPUG00000000727	Ictalurus_punctatus
ENSDARP00000007840	ENSDARG00000014101	Danio_rerio
ENSCGOP00000032333	ENSCGOG00000014876	Cottoperca_gobio
ENSGACP00000010097	ENSGACG00000007586	Gasterosteus_aculeatus
ENSMMOP00000013773	ENSMMOG00000010546	Mola_mola
ENSLCRP00005026065	ENSLCRG00005010402	Larimichthys_crocea
ENSLBEP00000031886	ENSLBEG00000024045	Labrus_bergylta
ENSMALP00000025383	ENSMALG00000017644	Monopterus_albus
ENSMAMP00000001749	ENSMAMG00000001200	Mastacembelus_armatus
ENSBSLP00000045449	ENSBSLG00000021658	Betta_splendens
ENSBSLP00000045212	ENSBSLG00000021593	Betta_splendens
ENSATEP00000001671	ENSATEG00000001168	Anabas_testudineus
ENSSLDP00000024866	ENSSLDG00000019341	Seriola_lalandi_dorsalis
ENSSDUP00000011862	ENSSDUG00000008623	Seriola_dumerili
ENSLCAP00010008666	ENSLCAG00010004145	Lates_calcarifer
ENSSMAP00000004877	ENSSMAG00000002980	Scophthalmus_maximus
ENSCSEP00000010052	ENSCSEG00000006444	Cynoglossus_semilaevis
ENSAOCP00000002747	ENSAOCG00000005899	Amphiprion_ocellaris
ENSAPEP00000020054	ENSAPEG00000014336	Amphiprion_percula
ENSAPOP00000032029	ENSAPOG00000019643	Acanthochromis_polyacanthus
ENSSPAP00000018016	ENSSPAG00000013568	Stegastes_partitus
ENSPRNP00000043941	ENSPRNG00000021402	Parambassis_ranga
ENSXMAP00000041499	ENSXMAG00000002582	Xiphophorus_maculatus
ENSXCOP00000016243	ENSXCOG00000012276	Xiphophorus_couchianus
ENSGAFP00000013859	ENSGAFG00000009364	Gambusia_affinis
ENSPFOP00000012488	ENSPFOG00000012391	Poecilia_formosa
ENSPFOP00000027029	ENSPFOG00000000919	Poecilia_formosa
ENSPMEP00000023480	ENSPMEG00000005170	Poecilia_mexicana
ENSPLAP00000022822	ENSPLAG00000007698	Poecilia_latipinna
ENSPREP00000029007	ENSPREG00000019619	Poecilia_reticulata
ENSFHEP00000001561	ENSFHEG00000002338	Fundulus_heteroclitus
ENSCVAP00000011031	ENSCVAG00000013275	Cyprinodon_variegatus
ENSKMAP00000028785	ENSKMAG00000021330	Kryptolebias_marmoratus
ENSORLP00020022874	ENSORLG00020003415	Oryzias_latipes_ASM223471v1
ENSORLP00000009644	ENSORLG00000007699	Oryzias_latipes_ASM223467v1
ENSORLP00015026618	ENSORLG00015008311	Oryzias_latipes_ASM223469v1
ENSOMEP00000002404	ENSOMEG00000003379	Oryzias_melastigma
ENSMZEP00005037215	ENSMZEG00005027734	Maylandia_zebra
ENSACLP00000014934	ENSACLG00000010143	Astatotilapia_calliptera
ENSPNYP00000010434	ENSPNYG00000007911	Pundamilia_nyererei
ENSHBUP00000021227	ENSHBUG00000023594	Haplochromis_burtoni
ENSNBRP00000027803	ENSNBRG00000021183	Neolamprologus_brichardi
ENSONIP00000023105	ENSONIG00000018349	Oreochromis_niloticus
ENSACIP00000028058	ENSACIG00000021717	Amphilophus_citrinellus
ENSGWIP00000017409	ENSGWIG00000009680	Gouania_willdenowi
ENSHCOP00000026878	ENSHCOG00000018248	Hippocampus_comes
ENSPMGP00000025069	ENSPMGG00000020259	Periophthalmus_magnuspinnatus
ENSTNIP00000011533	ENSTNIG00000008685	Tetraodon_nigroviridis
ENSTRUP00000016715	ENSTRUG00000006805	Takifugu_rubripes
ENSGMOP00000019855	ENSGMOG00000018441	Gadus_morhua
ENSHHUP00000060734	ENSHHUG00000035948	Hucho_hucho
ENSELUP00000041262	ENSELUG00000022056	Esox_lucius
ENSPKIP00000025844	ENSPKIG00000008509	Paramormyrops_kingsleyae
ENSSFOP00015024896	ENSSFOG00015015984	Scleropages_formosus
ENSECRP00000001487	ENSECRG00000001046	Erpetoichthys_calabaricus
ENSCMIP00000014614	ENSCMIG00000007220	Callorhinchus_milii
ENSPMAP00000006520	ENSPMAG00000005918	Petromyzon_marinus
ENSEBUP00000004470	ENSEBUG00000003120	Eptatretus_burgeri
ENSCINP00000012829	ENSCING00000006216	Ciona_intestinalis
ENSCSAVP00000011169	ENSCSAVG00000006527	Ciona_savignyi
