ENSLCRP00005064084	ENSLCRG00005023453	Larimichthys_crocea
ENSLBEP00000029693	ENSLBEG00000022469	Labrus_bergylta
ENSCGOP00000056204	ENSCGOG00000024428	Cottoperca_gobio
ENSMMOP00000004866	ENSMMOG00000003886	Mola_mola
ENSTRUP00000055855	ENSTRUG00000024271	Takifugu_rubripes
ENSSMAP00000008434	ENSSMAG00000005203	Scophthalmus_maximus
ENSCSEP00000006069	ENSCSEG00000003914	Cynoglossus_semilaevis
ENSLCAP00010055035	ENSLCAG00010025677	Lates_calcarifer
ENSSDUP00000004517	ENSSDUG00000003371	Seriola_dumerili
ENSSLDP00000006673	ENSSLDG00000005331	Seriola_lalandi_dorsalis
ENSMAMP00000009015	ENSMAMG00000006085	Mastacembelus_armatus
ENSMALP00000026772	ENSMALG00000018581	Monopterus_albus
ENSATEP00000035585	ENSATEG00000024450	Anabas_testudineus
ENSBSLP00000037318	ENSBSLG00000018177	Betta_splendens
ENSMZEP00005030767	ENSMZEG00005022922	Maylandia_zebra
ENSACLP00000006984	ENSACLG00000004717	Astatotilapia_calliptera
ENSHBUP00000004114	ENSHBUG00000005393	Haplochromis_burtoni
ENSPNYP00000025624	ENSPNYG00000019349	Pundamilia_nyererei
ENSNBRP00000015067	ENSNBRG00000011666	Neolamprologus_brichardi
ENSONIP00000024243	ENSONIG00000019263	Oreochromis_niloticus
ENSGWIP00000027194	ENSGWIG00000014238	Gouania_willdenowi
ENSXMAP00000036614	ENSXMAG00000023227	Xiphophorus_maculatus
ENSXCOP00000024735	ENSXCOG00000018477	Xiphophorus_couchianus
ENSGAFP00000005739	ENSGAFG00000003901	Gambusia_affinis
ENSPFOP00000016251	ENSPFOG00000016194	Poecilia_formosa
ENSPLAP00000007309	ENSPLAG00000009628	Poecilia_latipinna
ENSPMEP00000002059	ENSPMEG00000003059	Poecilia_mexicana
ENSPREP00000019797	ENSPREG00000013406	Poecilia_reticulata
ENSFHEP00000005802	ENSFHEG00000006786	Fundulus_heteroclitus
ENSCVAP00000003732	ENSCVAG00000004944	Cyprinodon_variegatus
ENSKMAP00000020967	ENSKMAG00000015594	Kryptolebias_marmoratus
ENSORLP00000042499	ENSORLG00000026504	Oryzias_latipes_ASM223467v1
ENSORLP00020031270	ENSORLG00020016186	Oryzias_latipes_ASM223471v1
ENSORLP00015028702	ENSORLG00015011462	Oryzias_latipes_ASM223469v1
ENSOMEP00000018925	ENSOMEG00000020699	Oryzias_melastigma
ENSAPEP00000011602	ENSAPEG00000008278	Amphiprion_percula
ENSAOCP00000013703	ENSAOCG00000018278	Amphiprion_ocellaris
ENSAPOP00000007330	ENSAPOG00000009291	Acanthochromis_polyacanthus
ENSSPAP00000002173	ENSSPAG00000001668	Stegastes_partitus
ENSPRNP00000034602	ENSPRNG00000017371	Parambassis_ranga
ENSHCOP00000026771	ENSHCOG00000018005	Hippocampus_comes
ENSPMGP00000024657	ENSPMGG00000019953	Periophthalmus_magnuspinnatus
ENSLOCP00000005305	ENSLOCG00000004440	Lepisosteus_oculatus
