ENSEEEP00000039064	ENSEEEG00000018543	Electrophorus_electricus
ENSIPUP00000034459	ENSIPUG00000023140	Ictalurus_punctatus
ENSAMXP00005055969	ENSAMXG00005024886	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000005975	ENSAMXG00000005829	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000026938	ENSPNAG00000002195	Pygocentrus_nattereri
ENSDARP00000102848	ENSDARG00000077928	Danio_rerio
ENSDCDP00000006545	ENSDCDG00000003427	Denticeps_clupeoides
ENSDCDP00000012448	ENSDCDG00000007674	Denticeps_clupeoides
ENSHHUP00000077333	ENSHHUG00000045188	Hucho_hucho
ENSELUP00000021773	ENSELUG00000020800	Esox_lucius
ENSSDUP00000027770	ENSSDUG00000020078	Seriola_dumerili
ENSSLDP00000003505	ENSSLDG00000002675	Seriola_lalandi_dorsalis
ENSLCAP00010051793	ENSLCAG00010024116	Lates_calcarifer
ENSSMAP00000022600	ENSSMAG00000013808	Scophthalmus_maximus
ENSSMAP00000022590	ENSSMAG00000013797	Scophthalmus_maximus
ENSCSEP00000018046	ENSCSEG00000011576	Cynoglossus_semilaevis
ENSMAMP00000006975	ENSMAMG00000004749	Mastacembelus_armatus
ENSMALP00000010939	ENSMALG00000007794	Monopterus_albus
ENSATEP00000024690	ENSATEG00000017114	Anabas_testudineus
ENSBSLP00000037616	ENSBSLG00000018370	Betta_splendens
ENSAPEP00000028645	ENSAPEG00000020307	Amphiprion_percula
ENSAOCP00000029867	ENSAOCG00000020438	Amphiprion_ocellaris
ENSAPOP00000022301	ENSAPOG00000003410	Acanthochromis_polyacanthus
ENSSPAP00000007393	ENSSPAG00000005629	Stegastes_partitus
ENSPRNP00000024878	ENSPRNG00000012651	Parambassis_ranga
ENSGAFP00000003888	ENSGAFG00000002669	Gambusia_affinis
ENSXMAP00000027615	ENSXMAG00000026586	Xiphophorus_maculatus
ENSPMEP00000021092	ENSPMEG00000001055	Poecilia_mexicana
ENSPFOP00000009431	ENSPFOG00000009379	Poecilia_formosa
ENSPLAP00000016415	ENSPLAG00000020607	Poecilia_latipinna
ENSPREP00000005020	ENSPREG00000003468	Poecilia_reticulata
ENSFHEP00000002370	ENSFHEG00000003151	Fundulus_heteroclitus
ENSCVAP00000018247	ENSCVAG00000021498	Cyprinodon_variegatus
ENSKMAP00000021370	ENSKMAG00000015860	Kryptolebias_marmoratus
ENSORLP00015032058	ENSORLG00015016671	Oryzias_latipes_ASM223469v1
ENSORLP00020000112	ENSORLG00020022569	Oryzias_latipes_ASM223471v1
ENSORLP00000021488	ENSORLG00000017175	Oryzias_latipes_ASM223467v1
ENSOMEP00000023175	ENSOMEG00000003124	Oryzias_melastigma
ENSMZEP00005007606	ENSMZEG00005005799	Maylandia_zebra
ENSACLP00000016059	ENSACLG00000010929	Astatotilapia_calliptera
ENSHBUP00000005110	ENSHBUG00000006543	Haplochromis_burtoni
ENSPNYP00000008189	ENSPNYG00000006250	Pundamilia_nyererei
ENSNBRP00000016670	ENSNBRG00000012843	Neolamprologus_brichardi
ENSONIP00000011040	ENSONIG00000008782	Oreochromis_niloticus
ENSACIP00000015335	ENSACIG00000011885	Amphilophus_citrinellus
ENSGWIP00000005149	ENSGWIG00000002722	Gouania_willdenowi
ENSMMOP00000002574	ENSMMOG00000002094	Mola_mola
ENSTRUP00000045821	ENSTRUG00000017864	Takifugu_rubripes
ENSLBEP00000022380	ENSLBEG00000017187	Labrus_bergylta
ENSLCRP00005031685	ENSLCRG00005012575	Larimichthys_crocea
ENSCGOP00000052150	ENSCGOG00000023003	Cottoperca_gobio
ENSGACP00000006812	ENSGACG00000005157	Gasterosteus_aculeatus
ENSHCOP00000027264	ENSHCOG00000018944	Hippocampus_comes
ENSPMGP00000024788	ENSPMGG00000020060	Periophthalmus_magnuspinnatus
ENSGMOP00000002895	ENSGMOG00000002751	Gadus_morhua
ENSSFOP00015031420	ENSSFOG00015020134	Scleropages_formosus
ENSSFOP00015031453	ENSSFOG00015020147	Scleropages_formosus
ENSPKIP00000017744	ENSPKIG00000003541	Paramormyrops_kingsleyae
ENSLOCP00000009698	ENSLOCG00000007987	Lepisosteus_oculatus
ENSECRP00000015224	ENSECRG00000010154	Erpetoichthys_calabaricus
ENSXETP00000017669	ENSXETG00000002112	Xenopus_tropicalis
ENSLACP00000022328	ENSLACG00000013309	Latimeria_chalumnae
ENSCMIP00000025581	ENSCMIG00000011241	Callorhinchus_milii
ENSPMAP00000006128	ENSPMAG00000005559	Petromyzon_marinus
ENSCSAVP00000011448	ENSCSAVG00000006706	Ciona_savignyi
ENSCINP00000013665	ENSCING00000006667	Ciona_intestinalis
