ENSSCAP00000021585	ENSSCAG00000015507	Serinus_canaria
ENSHBUP00000013444	ENSHBUG00000015210	Haplochromis_burtoni
ENSMMOP00000016325	ENSMMOG00000012462	Mola_mola
ENSIPUP00000014618	ENSIPUG00000009960	Ictalurus_punctatus
ENSCLAP00000014837	ENSCLAG00000010230	Chinchilla_lanigera
ENSAMXP00000042230	ENSAMXG00000021597	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSECAP00000015503	ENSECAG00000017927	Equus_caballus
ENSMPUP00000010498	ENSMPUG00000010576	Mustela_putorius_furo
ENSACLP00000005931	ENSACLG00000003990	Astatotilapia_calliptera
ENSPMJP00000022181	ENSPMJG00000016447	Parus_major
ENSSHAP00000017587	ENSSHAG00000014939	Sarcophilus_harrisii
ENSCVAP00000028992	ENSCVAG00000016408	Cyprinodon_variegatus
ENSNSUP00000009288	ENSNSUG00000007107	Notechis_scutatus
ENSLBEP00000015320	ENSLBEG00000011935	Labrus_bergylta
ENSXCOP00000016080	ENSXCOG00000012147	Xiphophorus_couchianus
ENSEEEP00000004854	ENSEEEG00000002536	Electrophorus_electricus
ENSHCOP00000004019	ENSHCOG00000000167	Hippocampus_comes
ENSANAP00000031753	ENSANAG00000033607	Aotus_nancymaae
ENSXMAP00000015868	ENSXMAG00000015836	Xiphophorus_maculatus
ENSPREP00000020796	ENSPREG00000014070	Poecilia_reticulata
ENSNGAP00000017687	ENSNGAG00000018034	Nannospalax_galili
ENSOARP00000014469	ENSOARG00000013502	Ovis_aries
ENSBBBP00000010095	ENSBBBG00000018258	Bison_bison_bison
ENSNPEP00000002533	ENSNPEG00000001946	Nothoprocta_perdicaria
ENSTGUP00000010679	ENSTGUG00000010345	Taeniopygia_guttata
ENSAMXP00005009134	ENSAMXG00005005221	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLBEP00000034634	ENSLBEG00000026029	Labrus_bergylta
ENSDARP00000122990	ENSDARG00000060236	Danio_rerio
ENSFALP00000010139	ENSFALG00000009722	Ficedula_albicollis
ENSHHUP00000021465	ENSHHUG00000013450	Hucho_hucho
ENSMMUP00000068140	ENSMMUG00000046062	Macaca_mulatta
ENSDCDP00000043823	ENSDCDG00000027960	Denticeps_clupeoides
ENSELUP00000015026	ENSELUG00000015071	Esox_lucius
ENSABRP00000003559	ENSABRG00000003334	Anser_brachyrhynchus
ENSHCOP00000015263	ENSHCOG00000018836	Hippocampus_comes
ENSCCAP00000004924	ENSCCAG00000020081	Cebus_capucinus_imitator
ENSDCDP00000023234	ENSDCDG00000017732	Denticeps_clupeoides
ENSCPGP00000012036	ENSCPGG00000008574	Calidris_pygmaea
ENSORLP00015019415	ENSORLG00015020512	Oryzias_latipes_ASM223469v1
ENSCGOP00000042506	ENSCGOG00000019206	Cottoperca_gobio
ENSPVIP00000011019	ENSPVIG00000008662	Pogona_vitticeps
ENSECRP00000002714	ENSECRG00000001854	Erpetoichthys_calabaricus	ENSECRT00000002756
ENSUAMP00000026477	ENSUAMG00000020503	Ursus_americanus
ENSGAGP00000009064	ENSGAGG00000007155	Gopherus_agassizii
ENSORLP00020027672	ENSORLG00020010733	Oryzias_latipes_ASM223471v1
ENSDNVP00000005979	ENSDNVG00000004284	Dromaius_novaehollandiae
ENSPLAP00000019109	ENSPLAG00000000967	Poecilia_latipinna
ENSGACP00000025669	ENSGACG00000019418	Gasterosteus_aculeatus
ENSCAFP00020018303	ENSCAFG00020014626	Canis_lupus_dingo
ENSMMMP00000002187	ENSMMMG00000002012	Marmota_marmota_marmota
ENSNBRP00000028192	ENSNBRG00000021481	Neolamprologus_brichardi
ENSPVAP00000001370	ENSPVAG00000001456	Pteropus_vampyrus
ENSAMXP00005038533	ENSAMXG00005018258	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMOP00000009282	ENSMMOG00000007185	Mola_mola
ENSFHEP00000001137	ENSFHEG00000001890	Fundulus_heteroclitus
ENSFDAP00000007013	ENSFDAG00000015632	Fukomys_damarensis
ENSLOCP00000012715	ENSLOCG00000010376	Lepisosteus_oculatus	ENSLOCT00000012739
ENSMUNP00000021431	ENSMUNG00000016184	Melopsittacus_undulatus
ENSATEP00000032340	ENSATEG00000022277	Anabas_testudineus
ENSSMAP00000026513	ENSSMAG00000016210	Scophthalmus_maximus
ENSACLP00000021307	ENSACLG00000014478	Astatotilapia_calliptera
ENSMUGP00000002508	ENSMUGG00000002379	Meriones_unguiculatus
ENSMNEP00000010975	ENSMNEG00000029872	Macaca_nemestrina
ENSGMOP00000011785	ENSGMOG00000011013	Gadus_morhua
ENSMALP00000014925	ENSMALG00000010468	Monopterus_albus
ENSKMAP00000000260	ENSKMAG00000000254	Kryptolebias_marmoratus
ENSCGRP00001018589	ENSCGRG00001018277	Cricetulus_griseus_CHOK1GS_HDv1
ENSMVIP00005004644	ENSMVIG00005003574	Manacus_vitellinus
ENSSPAP00000016063	ENSSPAG00000012114	Stegastes_partitus
ENSOGAP00000006822	ENSOGAG00000007622	Otolemur_garnettii
ENSGACP00000024275	ENSGACG00000018358	Gasterosteus_aculeatus
ENSMUSP00000059538	ENSMUSG00000044716	Mus_musculus_strain_reference_(CL57BL6)
ENSPPRP00000029182	ENSPPRG00000021690	Panthera_pardus
ENSLACP00000002089	ENSLACG00000001869	Latimeria_chalumnae
MGP_PahariEiJ_P0030960	MGP_PahariEiJ_G0016927	Mus_pahari_strain_PAHARI_EIJ
ENSPRNP00000000130	ENSPRNG00000000105	Parambassis_ranga
ENSDARP00000143024	ENSDARG00000105782	Danio_rerio
ENSRROP00000022941	ENSRROG00000035330	Rhinopithecus_roxellana
ENSSLDP00000001710	ENSSLDG00000001429	Seriola_lalandi_dorsalis
ENSMLEP00000009424	ENSMLEG00000028892	Mandrillus_leucophaeus
ENSACIP00000017915	ENSACIG00000013967	Amphilophus_citrinellus
ENSPPAP00000018269	ENSPPAG00000032260	Pan_paniscus
ENSHBUP00000001412	ENSHBUG00000002601	Haplochromis_burtoni
ENSPMGP00000013224	ENSPMGG00000010897	Periophthalmus_magnuspinnatus
ENSSTOP00000004442	ENSSTOG00000004961	Ictidomys_tridecemlineatus
ENSXETP00000037773	ENSXETG00000012817	Xenopus_tropicalis
ENSIPUP00000014947	ENSIPUG00000010189	Ictalurus_punctatus
ENSEEEP00000007687	ENSEEEG00000004026	Electrophorus_electricus
ENSJHYP00000005613	ENSJHYG00000004573	Junco_hyemalis
ENSCGRP00015034513	ENSCGRG00015025962	Cricetulus_griseus_CriGri-PICR
ENSDORP00000017416	ENSDORG00000014713	Dipodomys_ordii
ENSCSEP00000021642	ENSCSEG00000013814	Cynoglossus_semilaevis
ENSXCOP00000002986	ENSXCOG00000002372	Xiphophorus_couchianus
ENSSDUP00000027667	ENSSDUG00000020013	Seriola_dumerili
ENSSDUP00000002230	ENSSDUG00000001709	Seriola_dumerili
