ENSCATP00000007287	ENSCATG00000021855	Cercocebus_atys
ENSTGEP00000010050	ENSTGEG00000008264	Theropithecus_gelada
ENSMLEP00000003655	ENSMLEG00000015971	Mandrillus_leucophaeus
ENSMFAP00000012482	ENSMFAG00000024712	Macaca_fascicularis
ENSMMUP00000079214	ENSMMUG00000062004	Macaca_mulatta
ENSCANP00000030148	ENSCANG00000038734	Colobus_angolensis_palliatus
ENSPTEP00000006263	ENSPTEG00000007182	Piliocolobus_tephrosceles
ENSRROP00000011939	ENSRROG00000030305	Rhinopithecus_roxellana
ENSPPAP00000011911	ENSPPAG00000029156	Pan_paniscus
ENSPTRP00000074663	ENSPTRG00000043898	Pan_troglodytes
ENSGGOP00000046964	ENSGGOG00000038772	Gorilla_gorilla
