ENSSCAP00000001851	ENSSCAG00000001522	Serinus_canaria
ENSMZEP00005023112	ENSMZEG00005017310	Maylandia_zebra
ENSCAPP00000003692	ENSCAPG00000006382	Cavia_aperea
ENSCAFP00020030084	ENSCAFG00020023380	Canis_lupus_dingo
ENSPVAP00000006016	ENSPVAG00000006366	Pteropus_vampyrus
ENSCGOP00000006561	ENSCGOG00000003205	Cottoperca_gobio
ENSLCAP00010021661	ENSLCAG00010010200	Lates_calcarifer
ENSETEP00000011329	ENSETEG00000013960	Echinops_telfairi
ENSGGOP00000017459	ENSGGOG00000004687	Gorilla_gorilla
ENSTGUP00000000218	ENSTGUG00000000212	Taeniopygia_guttata
ENSECRP00000014038	ENSECRG00000009361	Erpetoichthys_calabaricus
ENSAPEP00000023334	ENSAPEG00000016604	Amphiprion_percula
ENSAMXP00000002411	ENSAMXG00000002358	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000002411
ENSACIP00000000352	ENSACIG00000000294	Amphilophus_citrinellus
ENSMNEP00000019178	ENSMNEG00000033470	Macaca_nemestrina
ENSZALP00000017335	ENSZALG00000013983	Zonotrichia_albicollis
ENSBIXP00005037161	ENSBIXG00005018959	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTTRP00000001010	ENSTTRG00000001074	Tursiops_truncatus
ENSDORP00000008410	ENSDORG00000008958	Dipodomys_ordii
ENSCLAP00000016637	ENSCLAG00000011431	Chinchilla_lanigera
ENSNBRP00000008245	ENSNBRG00000006321	Neolamprologus_brichardi
ENSPANP00000009340	ENSPANG00000026422	Papio_anubis
ENSGALP00000046790	ENSGALG00000038627	Gallus_gallus
ENSAMEP00000001215	ENSAMEG00000001149	Ailuropoda_melanoleuca
ENSEEEP00000044077	ENSEEEG00000020834	Electrophorus_electricus	ENSEEET00000044578
ENSMPUP00000014192	ENSMPUG00000014300	Mustela_putorius_furo
ENSCPOP00000011179	ENSCPOG00000012424	Cavia_porcellus
ENSKMAP00000014499	ENSKMAG00000010890	Kryptolebias_marmoratus
ENSODEP00000008363	ENSODEG00000006237	Octodon_degus
ENSCPUP00000010951	ENSCPUG00000007763	Calidris_pugnax
ENSORLP00015016209	ENSORLG00015017171	Oryzias_latipes_ASM223469v1
ENSFDAP00000004550	ENSFDAG00000013763	Fukomys_damarensis
ENSOMEP00000010077	ENSOMEG00000011335	Oryzias_melastigma
ENSCSAP00000008084	ENSCSAG00000011896	Chlorocebus_sabaeus
ENSCPRP00005009960	ENSCPRG00005007108	Crocodylus_porosus
ENSPCOP00000016107	ENSPCOG00000019795	Propithecus_coquereli
ENSSPAP00000005559	ENSSPAG00000004290	Stegastes_partitus
ENSAOWP00000006907	ENSAOWG00000004756	Apteryx_owenii
ENSMFAP00000044795	ENSMFAG00000045852	Macaca_fascicularis
ENSNMEP00000020855	ENSNMEG00000017912	Numida_meleagris
ENSRBIP00000020651	ENSRBIG00000034304	Rhinopithecus_bieti
ENSNSUP00000014834	ENSNSUG00000010869	Notechis_scutatus
ENSCJPP00005010035	ENSCJPG00005008781	Coturnix_japonica
ENSCHOP00000012137	ENSCHOG00000013710	Choloepus_hoffmanni
ENSXCOP00000000984	ENSXCOG00000000620	Xiphophorus_couchianus
ENSAMXP00005003363	ENSAMXG00005002034	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSPUP00000025165	ENSSPUG00000019275	Sphenodon_punctatus
ENSOCUP00000014862	ENSOCUG00000017291	Oryctolagus_cuniculus
ENSPNYP00000006884	ENSPNYG00000005307	Pundamilia_nyererei
ENSHGLP00000014684	ENSHGLG00000010512	Heterocephalus_glaber_HetGla_female_1.0
ENSTBEP00000002163	ENSTBEG00000002440	Tupaia_belangeri
ENSJJAP00000001857	ENSJJAG00000002802	Jaculus_jaculus
ENSHHUP00000051767	ENSHHUG00000031148	Hucho_hucho
ENSTGUP00000016423	ENSTGUG00000016110	Taeniopygia_guttata
ENSGMOP00000012040	ENSGMOG00000011264	Gadus_morhua
ENSVURP00010032101	ENSVURG00010024504	Vombatus_ursinus
ENSPSIP00000006001	ENSPSIG00000005569	Pelodiscus_sinensis
ENSANAP00000014388	ENSANAG00000025070	Aotus_nancymaae
ENSGWIP00000036997	ENSGWIG00000018999	Gouania_willdenowi
ENSBMUP00000033982	ENSBMUG00000025330	Bos_mutus
ENSNVIP00000002866	ENSNVIG00000002255	Neovison_vison
ENSATEP00000000286	ENSATEG00000000255	Anabas_testudineus
ENSARWP00000001910	ENSARWG00000001483	Apteryx_rowi
ENSOANP00000014891	ENSOANG00000009363	Ornithorhynchus_anatinus
ENSMMUP00000070498	ENSMMUG00000016908	Macaca_mulatta
ENSSLDP00000009178	ENSSLDG00000007253	Seriola_lalandi_dorsalis
ENSATEP00000022210	ENSATEG00000015393	Anabas_testudineus
ENSHHUP00000006207	ENSHHUG00000003834	Hucho_hucho
ENSMSIP00000005852	ENSMSIG00000005266	Mus_spicilegus
ENSPCIP00000020377	ENSPCIG00000014979	Phascolarctos_cinereus
ENSCANP00000038795	ENSCANG00000043077	Colobus_angolensis_palliatus
ENSPTIP00000026203	ENSPTIG00000021696	Panthera_tigris_altaica
ENSSHAP00000016325	ENSSHAG00000013888	Sarcophilus_harrisii
ENSMMMP00000021582	ENSMMMG00000018990	Marmota_marmota_marmota
ENSORLP00020026009	ENSORLG00020008248	Oryzias_latipes_ASM223471v1
ENSONIP00000014507	ENSONIG00000011523	Oreochromis_niloticus
ENSLCOP00000015558	ENSLCOG00000011099	Lepidothrix_coronata
ENSMAMP00000003826	ENSMAMG00000002609	Mastacembelus_armatus
ENSSMAP00000009821	ENSSMAG00000005593	Scophthalmus_maximus
ENSSMRP00000001443	ENSSMRG00000001259	Salvator_merianae
ENSVVUP00000019697	ENSVVUG00000014567	Vulpes_vulpes
ENSEEUP00000002220	ENSEEUG00000002414	Erinaceus_europaeus
ENSXMAP00000032388	ENSXMAG00000016231	Xiphophorus_maculatus
ENSFCAP00000005673	ENSFCAG00000006106	Felis_catus
ENSMLUP00000011888	ENSMLUG00000013064	Myotis_lucifugus
ENSMALP00000001110	ENSMALG00000000818	Monopterus_albus
ENSFALP00000009262	ENSFALG00000008879	Ficedula_albicollis
ENSCATP00000001781	ENSCATG00000008057	Cercocebus_atys
ENSCCNP00000016264	ENSCCNG00000016551	Castor_canadensis
ENSSDAP00000019595	ENSSDAG00000017845	Spermophilus_dauricus
ENSEEEP00000022311	ENSEEEG00000010826	Electrophorus_electricus
ENSMLEP00000039728	ENSMLEG00000043874	Mandrillus_leucophaeus
ENSMUSP00000047541	ENSMUSG00000042211	Mus_musculus_strain_reference_(CL57BL6)
ENSSFOP00015003775	ENSSFOG00015002400	Scleropages_formosus
ENSEASP00005003883	ENSEASG00005002952	Equus_asinus_asinus
ENSNGAP00000000157	ENSNGAG00000000130	Nannospalax_galili
ENSELUP00000035307	ENSELUG00000014216	Esox_lucius
ENSJHYP00000008688	ENSJHYG00000006888	Junco_hyemalis
ENSPFOP00000000278	ENSPFOG00000000251	Poecilia_formosa
ENSPPAP00000004023	ENSPPAG00000016960	Pan_paniscus
ENSSBOP00000026220	ENSSBOG00000029557	Saimiri_boliviensis_boliviensis
ENSOGAP00000001244	ENSOGAG00000001396	Otolemur_garnettii
ENSCGRP00015026511	ENSCGRG00015020017	Cricetulus_griseus_CriGri-PICR
ENSAPLP00000009037	ENSAPLG00000009306	Anas_platyrhynchos_platyrhynchos
ENSCGRP00000010544	ENSCGRG00000007740	Cricetulus_griseus_CriGri_1.0
ENSCABP00000016530	ENSCABG00000012286	Chelonoidis_abingdonii
ENSDCDP00000040056	ENSDCDG00000026428	Denticeps_clupeoides
ENSACLP00000010057	ENSACLG00000006846	Astatotilapia_calliptera
ENSSTOP00000014865	ENSSTOG00000009088	Ictidomys_tridecemlineatus
ENSTSYP00000006855	ENSTSYG00000007477	Carlito_syrichta
ENSPPRP00000011904	ENSPPRG00000005614	Panthera_pardus
ENSLOCP00000014878	ENSLOCG00000012089	Lepisosteus_oculatus
ENSBTAP00000027060	ENSBTAG00000020303	Bos_taurus
ENSOPRP00000012263	ENSOPRG00000013416	Ochotona_princeps
ENSLAFP00000012066	ENSLAFG00000014405	Loxodonta_africana
ENSLACP00000009400	ENSLACG00000008291	Latimeria_chalumnae
ENSMGAP00000002736	ENSMGAG00000003033	Meleagris_gallopavo
ENSMODP00000006950	ENSMODG00000005613	Monodelphis_domestica
ENSMUGP00000016946	ENSMUGG00000014480	Meriones_unguiculatus
ENSCCEP00000021095	ENSCCEG00000019141	Cyanistes_caeruleus
ENSRROP00000008730	ENSRROG00000028798	Rhinopithecus_roxellana
ENSLCRP00005028605	ENSLCRG00005011303	Larimichthys_crocea
ENSPCAP00000007719	ENSPCAG00000008221	Procavia_capensis
ENSMEUP00000010516	ENSMEUG00000011489	Notamacropus_eugenii
ENSMVIP00005025056	ENSMVIG00005017548	Manacus_vitellinus
ENSNPEP00000004054	ENSNPEG00000003103	Nothoprocta_perdicaria
ENSCAFP00000027129	ENSCAFG00000018356	Canis_lupus_familiaris
ENSLSDP00000012215	ENSLSDG00000008920	Lonchura_striata_domestica
ENSPLAP00000022072	ENSPLAG00000006338	Poecilia_latipinna
ENSDNOP00000012386	ENSDNOG00000015970	Dasypus_novemcinctus
ENSMICP00000002334	ENSMICG00000002556	Microcebus_murinus
ENSECAP00000013933	ENSECAG00000016193	Equus_caballus
ENSCPBP00000010350	ENSCPBG00000007955	Chrysemys_picta_bellii
ENSSDUP00000000718	ENSSDUG00000000616	Seriola_dumerili
ENSPMGP00000011126	ENSPMGG00000009221	Periophthalmus_magnuspinnatus
ENSBBBP00000028464	ENSBBBG00000007859	Bison_bison_bison
ENSUMAP00000007269	ENSUMAG00000005518	Ursus_maritimus
ENSABRP00000001330	ENSABRG00000001355	Anser_brachyrhynchus
ENSAHAP00000003278	ENSAHAG00000002618	Apteryx_haastii
ENSGAFP00000014408	ENSGAFG00000009681	Gambusia_affinis
ENSSSCP00000015353	ENSSSCG00000014427	Sus_scrofa_strain_reference
MGP_PahariEiJ_P0039471	MGP_PahariEiJ_G0019065	Mus_pahari_strain_PAHARI_EIJ
ENSHGLP00100018422	ENSHGLG00100013584	Heterocephalus_glaber_HetGla_1.0
ENSTGEP00000000263	ENSTGEG00000000304	Theropithecus_gelada
ENSPMAP00000009469	ENSPMAG00000008599	Petromyzon_marinus
ENSCGRP00001023266	ENSCGRG00001021538	Cricetulus_griseus_CHOK1GS_HDv1
ENSVPAP00000000358	ENSVPAG00000000385	Vicugna_pacos
ENSPTRP00000029716	ENSPTRG00000017388	Pan_troglodytes
ENSCHAP00000026955	ENSCHAG00000013026	Clupea_harengus
ENSHBUP00000022737	ENSHBUG00000003179	Haplochromis_burtoni
ENSTNIP00000008557	ENSTNIG00000005835	Tetraodon_nigroviridis
ENSCHIP00000032013	ENSCHIG00000026135	Capra_hircus
ENSPSMP00000035652	ENSPSMG00000024539	Prolemur_simus
ENSXETP00000036261	ENSXETG00000013592	Xenopus_tropicalis
ENSGACP00000025878	ENSGACG00000019572	Gasterosteus_aculeatus
ENSUAMP00000021620	ENSUAMG00000016576	Ursus_americanus
ENSNLEP00000012322	ENSNLEG00000010079	Nomascus_leucogenys
ENSPEMP00000002597	ENSPEMG00000003062	Peromyscus_maniculatus_bairdii
ENSDARP00000006941	ENSDARG00000006924	Danio_rerio
ENSCMIP00000048259	ENSCMIG00000019727	Callorhinchus_milii
ENSPPYP00000017817	ENSPPYG00000015927	Pongo_abelii
MGP_SPRETEiJ_P0048841	MGP_SPRETEiJ_G0023247	Mus_spretus_strain_SPRET/EiJ
ENSPMEP00000027293	ENSPMEG00000011567	Poecilia_mexicana
ENSPMJP00000007704	ENSPMJG00000006329	Parus_major
ENSDNVP00000004006	ENSDNVG00000002845	Dromaius_novaehollandiae
ENSLBEP00000031206	ENSLBEG00000023533	Labrus_bergylta
ENSCVAP00000032640	ENSCVAG00000022854	Cyprinodon_variegatus
ENSMMOP00000001747	ENSMMOG00000001455	Mola_mola
ENSMAUP00000021449	ENSMAUG00000019180	Mesocricetus_auratus
ENSACAP00000015547	ENSACAG00000015809	Anolis_carolinensis
ENSIPUP00000025454	ENSIPUG00000017238	Ictalurus_punctatus	ENSIPUT00000026509
ENSRNOP00000025791	ENSRNOG00000019063	Rattus_norvegicus
ENSPTEP00000021115	ENSPTEG00000022220	Piliocolobus_tephrosceles
ENSPKIP00000002677	ENSPKIG00000020462	Paramormyrops_kingsleyae
ENSGAGP00000008025	ENSGAGG00000006384	Gopherus_agassizii
ENSP00000342023	ENSG00000145868	Homo_sapiens
ENSFHEP00000013068	ENSFHEG00000014573	Fundulus_heteroclitus
ENSCCAP00000030518	ENSCCAG00000033302	Cebus_capucinus_imitator
ENSPVIP00000028187	ENSPVIG00000020911	Pogona_vitticeps
ENSBSLP00000017212	ENSBSLG00000008997	Betta_splendens
ENSPNAP00000016553	ENSPNAG00000022776	Pygocentrus_nattereri	ENSPNAT00000025061
