ENSPTEP00000039041	ENSPTEG00000036202	Piliocolobus_tephrosceles
ENSSHAP00000019690	ENSSHAG00000016715	Sarcophilus_harrisii
ENSMZEP00005006775	ENSMZEG00005005191	Maylandia_zebra
ENSMVIP00005022820	ENSMVIG00005016020	Manacus_vitellinus
ENSPPYP00000003139	ENSPPYG00000002689	Pongo_abelii
ENSCANP00000015468	ENSCANG00000031176	Colobus_angolensis_palliatus
ENSCHIP00000011834	ENSCHIG00000013853	Capra_hircus
ENSTGEP00000033373	ENSTGEG00000026659	Theropithecus_gelada
ENSPMGP00000024128	ENSPMGG00000019514	Periophthalmus_magnuspinnatus
ENSDORP00000000009	ENSDORG00000000010	Dipodomys_ordii
ENSVVUP00000014551	ENSVVUG00000010649	Vulpes_vulpes
ENSPCOP00000017709	ENSPCOG00000020687	Propithecus_coquereli
ENSORLP00000028114	ENSORLG00000026109	Oryzias_latipes_ASM223467v1
ENSLCAP00010034495	ENSLCAG00010016200	Lates_calcarifer
ENSPNYP00000004673	ENSPNYG00000003604	Pundamilia_nyererei
ENSPTRP00000005255	ENSPTRG00000002978	Pan_troglodytes
ENSORLP00020018155	ENSORLG00020019126	Oryzias_latipes_ASM223471v1
ENSCCNP00000031515	ENSCCNG00000030014	Castor_canadensis
ENSBIXP00005037687	ENSBIXG00005006609	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLACP00000014112	ENSLACG00000012420	Latimeria_chalumnae
ENSCPOP00000003245	ENSCPOG00000003594	Cavia_porcellus
ENSACIP00000031394	ENSACIG00000024263	Amphilophus_citrinellus
ENSSDUP00000030380	ENSSDUG00000021888	Seriola_dumerili	ENSSDUT00000030906
ENSGALP00000015060	ENSGALG00000009265	Gallus_gallus
ENSRROP00000038423	ENSRROG00000042605	Rhinopithecus_roxellana
ENSOPRP00000002205	ENSOPRG00000002391	Ochotona_princeps
ENSGACP00000019338	ENSGACG00000014652	Gasterosteus_aculeatus
MGP_SPRETEiJ_P0051293	MGP_SPRETEiJ_G0024033	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000003907	ENSMOCG00000003123	Microtus_ochrogaster
ENSMAMP00000029048	ENSMAMG00000019533	Mastacembelus_armatus
ENSCJPP00005025672	ENSCJPG00005020118	Coturnix_japonica
ENSOCUP00000012902	ENSOCUG00000015015	Oryctolagus_cuniculus
ENSBBBP00000017582	ENSBBBG00000010068	Bison_bison_bison
ENSLCOP00000013870	ENSLCOG00000009997	Lepidothrix_coronata
ENSMICP00000014248	ENSMICG00000015645	Microcebus_murinus
ENSOMEP00000021912	ENSOMEG00000001169	Oryzias_melastigma
ENSPPAP00000040179	ENSPPAG00000042750	Pan_paniscus
ENSCAFP00000017537	ENSCAFG00000011918	Canis_lupus_familiaris
ENSPEMP00000008294	ENSPEMG00000009989	Peromyscus_maniculatus_bairdii
ENSHHUP00000047819	ENSHHUG00000029047	Hucho_hucho
ENSATEP00000007309	ENSATEG00000005163	Anabas_testudineus
MGP_CAROLIEiJ_P0049278	MGP_CAROLIEiJ_G0023112	Mus_caroli_strain_CAROLI_EIJ
ENSFHEP00000027444	ENSFHEG00000010897	Fundulus_heteroclitus
ENSBTAP00000020046	ENSBTAG00000015062	Bos_taurus
ENSCPBP00000002925	ENSCPBG00000002360	Chrysemys_picta_bellii
ENSECAP00000040272	ENSECAG00000037881	Equus_caballus
ENSTTRP00000004968	ENSTTRG00000005273	Tursiops_truncatus
ENSGGOP00000025813	ENSGGOG00000027386	Gorilla_gorilla
ENSSDAP00000013921	ENSSDAG00000012568	Spermophilus_dauricus
ENSNGAP00000004465	ENSNGAG00000005889	Nannospalax_galili
ENSXETP00000007481	ENSXETG00000007963	Xenopus_tropicalis
ENSCAPP00000014667	ENSCAPG00000014981	Cavia_aperea
ENSHBUP00000029917	ENSHBUG00000014624	Haplochromis_burtoni
ENSOARP00000019517	ENSOARG00000018186	Ovis_aries
ENSSLDP00000023051	ENSSLDG00000018002	Seriola_lalandi_dorsalis
ENSCSAP00000001131	ENSCSAG00000004806	Chlorocebus_sabaeus
ENSHHUP00000083250	ENSHHUG00000048340	Hucho_hucho
ENSPSMP00000025170	ENSPSMG00000017691	Prolemur_simus
ENSMUSP00000065713	ENSMUSG00000040901	Mus_musculus_strain_reference_(CL57BL6)
ENSMNEP00000028462	ENSMNEG00000037673	Macaca_nemestrina
ENSSDAP00000013912	ENSSDAG00000012557	Spermophilus_dauricus
ENSTBEP00000008555	ENSTBEG00000009887	Tupaia_belangeri
ENSEEEP00000046203	ENSEEEG00000021763	Electrophorus_electricus
ENSVPAP00000002202	ENSVPAG00000002382	Vicugna_pacos
ENSPFOP00000001935	ENSPFOG00000002079	Poecilia_formosa
ENSNMEP00000014295	ENSNMEG00000012873	Numida_meleagris
ENSPCIP00000001946	ENSPCIG00000001543	Phascolarctos_cinereus
ENSPPRP00000021136	ENSPPRG00000012025	Panthera_pardus
ENSAMEP00000014847	ENSAMEG00000014089	Ailuropoda_melanoleuca
ENSCCAP00000011373	ENSCCAG00000023444	Cebus_capucinus_imitator
ENSOGAP00000006496	ENSOGAG00000007264	Otolemur_garnettii
ENSCPGP00000016257	ENSCPGG00000011448	Calidris_pygmaea
ENSCGRP00001016576	ENSCGRG00001016865	Cricetulus_griseus_CHOK1GS_HDv1
ENSMMUP00000061764	ENSMMUG00000061100	Macaca_mulatta
ENSSDAP00000024771	ENSSDAG00000022535	Spermophilus_dauricus
ENSCATP00000015884	ENSCATG00000031895	Cercocebus_atys
ENSMLUP00000014052	ENSMLUG00000015420	Myotis_lucifugus
ENSSMAP00000027350	ENSSMAG00000016724	Scophthalmus_maximus	ENSSMAT00000027683
ENSJJAP00000003464	ENSJJAG00000006813	Jaculus_jaculus
ENSBIXP00000004666	ENSBIXG00000010978	Bos_indicus_x_Bos_taurus_UOA_Angus_1
