ENSEASP00005018115	ENSEASG00005012512	Equus_asinus_asinus
ENSECAP00000007823	ENSECAG00000009955	Equus_caballus
ENSPVAP00000003104	ENSPVAG00000003288	Pteropus_vampyrus
ENSUAMP00000007773	ENSUAMG00000006667	Ursus_americanus	ENSUAMT00000008773
ENSAMEP00000010548	ENSAMEG00000010050	Ailuropoda_melanoleuca	ENSAMET00000011005
ENSNVIP00000009125	ENSNVIG00000007230	Neovison_vison	ENSNVIT00000010679
ENSCAFP00020012239	ENSCAFG00020009851	Canis_lupus_dingo
ENSCAFP00000000833	ENSCAFG00000000592	Canis_lupus_familiaris
ENSVVUP00000042485	ENSVVUG00000030151	Vulpes_vulpes
ENSPTIP00000020861	ENSPTIG00000018196	Panthera_tigris_altaica
ENSPPRP00000009078	ENSPPRG00000003643	Panthera_pardus
ENSBIXP00000039894	ENSBIXG00000023904	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005038282	ENSBIXG00005020279	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000056234	ENSBTAG00000046718	Bos_taurus
ENSBMUP00000032030	ENSBMUG00000023874	Bos_mutus
ENSBBBP00000004337	ENSBBBG00000013255	Bison_bison_bison
ENSOARP00000019538	ENSOARG00000018206	Ovis_aries
ENSCHIP00000021491	ENSCHIG00000019799	Capra_hircus
ENSVPAP00000009066	ENSVPAG00000009742	Vicugna_pacos
ENSSSCP00000045352	ENSSSCG00000040454	Sus_scrofa_strain_reference
ENSPCOP00000006621	ENSPCOG00000014490	Propithecus_coquereli
ENSPSMP00000032757	ENSPSMG00000022638	Prolemur_simus
ENSPPAP00000036808	ENSPPAG00000041160	Pan_paniscus
ENSPTRP00000040830	ENSPTRG00000022761	Pan_troglodytes
ENSP00000349669	ENSG00000196900	Homo_sapiens
ENSPPYP00000017589	ENSPPYG00000015728	Pongo_abelii
ENSNLEP00000014872	ENSNLEG00000012247	Nomascus_leucogenys
ENSRROP00000033007	ENSRROG00000040131	Rhinopithecus_roxellana
ENSRBIP00000036331	ENSRBIG00000041785	Rhinopithecus_bieti
ENSCANP00000033621	ENSCANG00000040475	Colobus_angolensis_palliatus
ENSPTEP00000008745	ENSPTEG00000009933	Piliocolobus_tephrosceles
ENSMFAP00000030843	ENSMFAG00000042605	Macaca_fascicularis
ENSMMUP00000067076	ENSMMUG00000056480	Macaca_mulatta
ENSMLEP00000019339	ENSMLEG00000033895	Mandrillus_leucophaeus
ENSCSAP00000010616	ENSCSAG00000014492	Chlorocebus_sabaeus
ENSPANP00000020405	ENSPANG00000022176	Papio_anubis
ENSTGEP00000018312	ENSTGEG00000014779	Theropithecus_gelada
ENSCATP00000044043	ENSCATG00000044525	Cercocebus_atys
ENSCCAP00000031791	ENSCCAG00000033944	Cebus_capucinus_imitator
ENSSBOP00000014150	ENSSBOG00000023843	Saimiri_boliviensis_boliviensis
ENSCJAP00000020425	ENSCJAG00000011071	Callithrix_jacchus
ENSANAP00000004673	ENSANAG00000020432	Aotus_nancymaae
ENSUPAP00010014813	ENSUPAG00010011861	Urocitellus_parryii
ENSSTOP00000031728	ENSSTOG00000030805	Ictidomys_tridecemlineatus
ENSMMMP00000022866	ENSMMMG00000020056	Marmota_marmota_marmota
ENSSDAP00000015563	ENSSDAG00000014050	Spermophilus_dauricus
ENSODEP00000009188	ENSODEG00000006869	Octodon_degus
ENSCLAP00000003849	ENSCLAG00000002739	Chinchilla_lanigera
ENSCAPP00000012174	ENSCAPG00000013087	Cavia_aperea
ENSCPOP00000011813	ENSCPOG00000013123	Cavia_porcellus
ENSHGLP00000006089	ENSHGLG00000004450	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000011238	ENSFDAG00000018826	Fukomys_damarensis
ENSMOCP00000006103	ENSMOCG00000005675	Microtus_ochrogaster
ENSPEMP00000029953	ENSPEMG00000029586	Peromyscus_maniculatus_bairdii
ENSCGRP00001000578	ENSCGRG00001000467	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010084	ENSCGRG00015007776	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019744	ENSCGRG00000014379	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000013267	ENSMAUG00000013359	Mesocricetus_auratus
MGP_SPRETEiJ_P0048707	MGP_SPRETEiJ_G0023200	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000038152	ENSMUSG00000032900	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046769	MGP_CAROLIEiJ_G0022287	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039357	MGP_PahariEiJ_G0019020	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000033394	ENSRNOG00000023034	Rattus_norvegicus
ENSMUGP00000017037	ENSMUGG00000014545	Meriones_unguiculatus
ENSNGAP00000002209	ENSNGAG00000001798	Nannospalax_galili
ENSJJAP00000014522	ENSJJAG00000016971	Jaculus_jaculus
ENSCCNP00000005382	ENSCCNG00000005737	Castor_canadensis
ENSTSYP00000030106	ENSTSYG00000026427	Carlito_syrichta
ENSOPRP00000007477	ENSOPRG00000008188	Ochotona_princeps
ENSOCUP00000016171	ENSOCUG00000022846	Oryctolagus_cuniculus
ENSDORP00000025572	ENSDORG00000027663	Dipodomys_ordii
ENSMICP00000044836	ENSMICG00000045095	Microcebus_murinus
ENSOGAP00000021040	ENSOGAG00000026513	Otolemur_garnettii
ENSTBEP00000010029	ENSTBEG00000011617	Tupaia_belangeri
ENSLAFP00000012798	ENSLAFG00000015284	Loxodonta_africana
ENSPCAP00000003080	ENSPCAG00000003325	Procavia_capensis
ENSETEP00000007071	ENSETEG00000008702	Echinops_telfairi
ENSDNOP00000013256	ENSDNOG00000017103	Dasypus_novemcinctus
ENSEEUP00000008534	ENSEEUG00000009378	Erinaceus_europaeus
ENSPCIP00000005074	ENSPCIG00000004200	Phascolarctos_cinereus
ENSSHAP00000015050	ENSSHAG00000012844	Sarcophilus_harrisii
ENSMODP00000019635	ENSMODG00000028880	Monodelphis_domestica
ENSMODP00000058321	ENSMODG00000050435	Monodelphis_domestica
ENSMODP00000043283	ENSMODG00000048576	Monodelphis_domestica
ENSPVIP00000002708	ENSPVIG00000002314	Pogona_vitticeps
ENSACAP00000002762	ENSACAG00000002875	Anolis_carolinensis
ENSNSUP00000018888	ENSNSUG00000013791	Notechis_scutatus
ENSSMRP00000025005	ENSSMRG00000019334	Salvator_merianae
ENSSPUP00000018112	ENSSPUG00000013992	Sphenodon_punctatus
ENSGAGP00000020984	ENSGAGG00000015419	Gopherus_agassizii
ENSCABP00000028466	ENSCABG00000020919	Chelonoidis_abingdonii
ENSPSIP00000012987	ENSPSIG00000011691	Pelodiscus_sinensis
ENSPSIP00000005564	ENSPSIG00000005186	Pelodiscus_sinensis
ENSARWP00000015249	ENSARWG00000010546	Apteryx_rowi
ENSAHAP00000015067	ENSAHAG00000010852	Apteryx_haastii
ENSDNVP00000023834	ENSDNVG00000016560	Dromaius_novaehollandiae
ENSNPEP00000001223	ENSNPEG00000000968	Nothoprocta_perdicaria
