FBpp0293270	FBgn0034641	Drosophila_melanogaster	FBtr0304728
ZK1251.9a.1	WBGene00014243	Caenorhabditis_elegans_strain_N2	ZK1251.9a.1
ENSVURP00010022903	ENSVURG00010017525	Vombatus_ursinus	ENSVURT00010026063
ENSPCIP00000031138	ENSPCIG00000023152	Phascolarctos_cinereus	ENSPCIT00000038290
ENSMEUP00000005693	ENSMEUG00000006212	Notamacropus_eugenii	ENSMEUT00000006247
ENSSHAP00000012243	ENSSHAG00000010496	Sarcophilus_harrisii	ENSSHAT00000012342
ENSMODP00000055944	ENSMODG00000011890	Monodelphis_domestica	ENSMODT00000075238
ENSCCNP00000019946	ENSCCNG00000019939	Castor_canadensis
ENSDORP00000016407	ENSDORG00000009856	Dipodomys_ordii
ENSMSIP00000011396	ENSMSIG00000009958	Mus_spicilegus
MGP_SPRETEiJ_P0093321	MGP_SPRETEiJ_G0033780	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000123865	ENSMUSG00000040325	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089599	MGP_CAROLIEiJ_G0032635	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0025275	MGP_PahariEiJ_G0015503	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075456	ENSRNOG00000013841	Rattus_norvegicus
ENSMUGP00000012530	ENSMUGG00000010827	Meriones_unguiculatus
ENSCGRP00000011182	ENSCGRG00000008149	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013345	ENSCGRG00015010154	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020744	ENSCGRG00001019765	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000023895	ENSMAUG00000020890	Mesocricetus_auratus
ENSMOCP00000010492	ENSMOCG00000010709	Microtus_ochrogaster
ENSPEMP00000021628	ENSPEMG00000019209	Peromyscus_maniculatus_bairdii
ENSPEMP00000021743	ENSPEMG00000019294	Peromyscus_maniculatus_bairdii
ENSNGAP00000001661	ENSNGAG00000001189	Nannospalax_galili
ENSJJAP00000014228	ENSJJAG00000016729	Jaculus_jaculus
ENSSTOP00000007795	ENSSTOG00000008674	Ictidomys_tridecemlineatus
ENSSDAP00000013356	ENSSDAG00000012002	Spermophilus_dauricus
ENSUPAP00010028444	ENSUPAG00010022457	Urocitellus_parryii
ENSMMMP00000002125	ENSMMMG00000001850	Marmota_marmota_marmota
ENSCPOP00000005573	ENSCPOG00000006180	Cavia_porcellus
ENSCAPP00000003405	ENSCAPG00000006153	Cavia_aperea
ENSCLAP00000011767	ENSCLAG00000008114	Chinchilla_lanigera
ENSODEP00000025175	ENSODEG00000018428	Octodon_degus
ENSHGLP00100026137	ENSHGLG00100019174	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019652	ENSHGLG00000014072	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005955	ENSFDAG00000014853	Fukomys_damarensis
ENSOCUP00000008904	ENSOCUG00000010328	Oryctolagus_cuniculus
ENSOPRP00000015259	ENSOPRG00000016697	Ochotona_princeps
ENSPTRP00000025847	ENSPTRG00000014973	Pan_troglodytes
ENSPPAP00000008274	ENSPPAG00000027356	Pan_paniscus
ENSP00000393183	ENSG00000145041	Homo_sapiens
