ENSTSYP00000016049	ENSTSYG00000029330	Carlito_syrichta
ENSAMXP00000002494	ENSAMXG00000002442	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPSMP00000000442	ENSPSMG00000000363	Prolemur_simus
ENSFHEP00000030661	ENSFHEG00000016088	Fundulus_heteroclitus
ENSRBIP00000027703	ENSRBIG00000037727	Rhinopithecus_bieti
ENSUAMP00000002364	ENSUAMG00000002183	Ursus_americanus
ENSNMEP00000018452	ENSNMEG00000016054	Numida_meleagris
ENSGWIP00000032152	ENSGWIG00000016585	Gouania_willdenowi
ENSPANP00000014387	ENSPANG00000024132	Papio_anubis
ENSMNEP00000018166	ENSMNEG00000033035	Macaca_nemestrina
ENSSCAP00000020190	ENSSCAG00000014553	Serinus_canaria
ENSHCOP00000010330	ENSHCOG00000012928	Hippocampus_comes
ENSCGRP00015024147	ENSCGRG00015018302	Cricetulus_griseus_CriGri-PICR
ENSCAPP00000004368	ENSCAPG00000006913	Cavia_aperea
ENSPNAP00000030374	ENSPNAG00000017028	Pygocentrus_nattereri
ENSPREP00000006998	ENSPREG00000004815	Poecilia_reticulata
ENSHHUP00000012155	ENSHHUG00000007434	Hucho_hucho
ENSCSEP00000012939	ENSCSEG00000008355	Cynoglossus_semilaevis
ENSNVIP00000024211	ENSNVIG00000018767	Neovison_vison
ENSAPEP00000006352	ENSAPEG00000004587	Amphiprion_percula
ENSAMXP00005006739	ENSAMXG00005003980	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEASP00005033727	ENSEASG00005023087	Equus_asinus_asinus
ENSACIP00000005114	ENSACIG00000004047	Amphilophus_citrinellus
ENSMUSP00000104408	ENSMUSG00000002458	Mus_musculus_strain_reference_(CL57BL6)
ENSOCUP00000022545	ENSOCUG00000026522	Oryctolagus_cuniculus
ENSPKIP00000001627	ENSPKIG00000019849	Paramormyrops_kingsleyae
ENSPMJP00000008925	ENSPMJG00000007203	Parus_major
ENSTTRP00000005580	ENSTTRG00000005909	Tursiops_truncatus
ENSMLEP00000004235	ENSMLEG00000019128	Mandrillus_leucophaeus
ENSCHAP00000061682	ENSCHAG00000027509	Clupea_harengus	ENSCHAT00000066397
ENSPMGP00000013621	ENSPMGG00000011189	Periophthalmus_magnuspinnatus
ENSMMUP00000062185	ENSMMUG00000058704	Macaca_mulatta
ENSACLP00000011773	ENSACLG00000008049	Astatotilapia_calliptera
ENSCSAP00000012816	ENSCSAG00000016758	Chlorocebus_sabaeus
ENSGACP00000013863	ENSGACG00000010490	Gasterosteus_aculeatus
ENSCPBP00000019312	ENSCPBG00000013968	Chrysemys_picta_bellii
ENSHBUP00000031964	ENSHBUG00000017972	Haplochromis_burtoni
ENSCAFP00000038171	ENSCAFG00000030747	Canis_lupus_familiaris
ENSCJPP00005003547	ENSCJPG00005003701	Coturnix_japonica
ENSTGEP00000009737	ENSTGEG00000008018	Theropithecus_gelada
ENSTNIP00000014279	ENSTNIG00000011336	Tetraodon_nigroviridis
ENSNLEP00000012478	ENSNLEG00000010233	Nomascus_leucogenys
ENSAHAP00000003609	ENSAHAG00000002836	Apteryx_haastii
ENSLSDP00000008508	ENSLSDG00000006359	Lonchura_striata_domestica
ENSLAFP00000023281	ENSLAFG00000029378	Loxodonta_africana
ENSCVAP00000025906	ENSCVAG00000011033	Cyprinodon_variegatus
ENSORLP00015034551	ENSORLG00015020632	Oryzias_latipes_ASM223469v1
ENSAMEP00000002116	ENSAMEG00000002006	Ailuropoda_melanoleuca
ENSP00000378483	ENSG00000171700	Homo_sapiens
ENSJHYP00000016541	ENSJHYG00000012643	Junco_hyemalis
ENSPCIP00000023622	ENSPCIG00000017903	Phascolarctos_cinereus
ENSBBBP00000010493	ENSBBBG00000018612	Bison_bison_bison
ENSPPRP00000018256	ENSPPRG00000009981	Panthera_pardus
ENSANAP00000012896	ENSANAG00000024379	Aotus_nancymaae
ENSMUGP00000004577	ENSMUGG00000004257	Meriones_unguiculatus
ENSCPOP00000031805	ENSCPOG00000035394	Cavia_porcellus
ENSPVAP00000000483	ENSPVAG00000000515	Pteropus_vampyrus
ENSSMRP00000024694	ENSSMRG00000019095	Salvator_merianae
ENSCCAP00000030403	ENSCCAG00000033249	Cebus_capucinus_imitator
ENSNPEP00000012651	ENSNPEG00000009454	Nothoprocta_perdicaria
ENSCAFP00020002523	ENSCAFG00020002096	Canis_lupus_dingo
ENSSTOP00000021650	ENSSTOG00000021698	Ictidomys_tridecemlineatus
ENSATEP00000035960	ENSATEG00000024716	Anabas_testudineus
ENSPLAP00000022812	ENSPLAG00000007655	Poecilia_latipinna
ENSPTRP00000083984	ENSPTRG00000043827	Pan_troglodytes
ENSRNOP00000022451	ENSRNOG00000016547	Rattus_norvegicus
ENSLCRP00005027115	ENSLCRG00005010811	Larimichthys_crocea
ENSEEEP00000029287	ENSEEEG00000014035	Electrophorus_electricus
ENSBTAP00000070617	ENSBTAG00000021837	Bos_taurus
ENSXMAP00000028550	ENSXMAG00000025570	Xiphophorus_maculatus
ENSDARP00000102733	ENSDARG00000077385	Danio_rerio
ENSCATP00000031361	ENSCATG00000038810	Cercocebus_atys
MGP_PahariEiJ_P0067838	MGP_PahariEiJ_G0026266	Mus_pahari_strain_PAHARI_EIJ
ENSCPGP00000006199	ENSCPGG00000004429	Calidris_pygmaea
ENSDCDP00000043155	ENSDCDG00000027632	Denticeps_clupeoides	ENSDCDT00000054233
ENSORLP00000021009	ENSORLG00000016793	Oryzias_latipes_ASM223467v1
ENSCGRP00000014901	ENSCGRG00000010801	Cricetulus_griseus_CriGri_1.0
ENSFCAP00000059565	ENSFCAG00000001186	Felis_catus
ENSCCEP00000024236	ENSCCEG00000021585	Cyanistes_caeruleus
ENSMAUP00000012317	ENSMAUG00000012658	Mesocricetus_auratus
ENSOARP00000008854	ENSOARG00000008258	Ovis_aries
ENSSPUP00000023783	ENSSPUG00000018246	Sphenodon_punctatus
ENSFDAP00000009969	ENSFDAG00000017851	Fukomys_damarensis
ENSCJAP00000019706	ENSCJAG00000010687	Callithrix_jacchus
ENSCPRP00005008450	ENSCPRG00005006030	Crocodylus_porosus
ENSPPYP00000012578	ENSPPYG00000011259	Pongo_abelii
ENSDORP00000024353	ENSDORG00000029996	Dipodomys_ordii
ENSORLP00020024219	ENSORLG00020005514	Oryzias_latipes_ASM223471v1
ENSCLAP00000004304	ENSCLAG00000003064	Chinchilla_lanigera
ENSSFOP00015031929	ENSSFOG00015020454	Scleropages_formosus
ENSPCAP00000014680	ENSPCAG00000015734	Procavia_capensis
ENSCINP00000011647	ENSCING00000005623	Ciona_intestinalis
ENSMGAP00000006654	ENSMGAG00000006627	Meleagris_gallopavo
ENSOGAP00000015691	ENSOGAG00000032796	Otolemur_garnettii
ENSBIXP00000015650	ENSBIXG00000020075	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPSIP00000011122	ENSPSIG00000010046	Pelodiscus_sinensis
ENSMZEP00005035901	ENSMZEG00005026806	Maylandia_zebra
ENSACAP00000006197	ENSACAG00000006332	Anolis_carolinensis
ENSSBOP00000037461	ENSSBOG00000034831	Saimiri_boliviensis_boliviensis
ENSSDAP00000008860	ENSSDAG00000008057	Spermophilus_dauricus
