MGP_CAROLIEiJ_P0046131	MGP_CAROLIEiJ_G0022031	Mus_caroli_strain_CAROLI_EIJ
ENSVURP00010004580	ENSVURG00010003564	Vombatus_ursinus
ENSOPRP00000000173	ENSOPRG00000000192	Ochotona_princeps
ENSAHAP00000012611	ENSAHAG00000009079	Apteryx_haastii
ENSEEUP00000005005	ENSEEUG00000005504	Erinaceus_europaeus
ENSCHAP00000048766	ENSCHAG00000022268	Clupea_harengus
ENSMUNP00000010055	ENSMUNG00000007959	Melopsittacus_undulatus
ENSAMEP00000010473	ENSAMEG00000009974	Ailuropoda_melanoleuca
ENSLBEP00000016419	ENSLBEG00000012689	Labrus_bergylta
ENSGALP00000024401	ENSGALG00000015151	Gallus_gallus
ENSSSCP00000072439	ENSSSCG00000025005	Sus_scrofa_strain_reference
ENSNMEP00000015047	ENSNMEG00000013376	Numida_meleagris
ENSMALP00000000306	ENSMALG00000000263	Monopterus_albus
ENSACLP00000038433	ENSACLG00000025950	Astatotilapia_calliptera
ENSTGUP00000011077	ENSTGUG00000010735	Taeniopygia_guttata
ENSGWIP00000014358	ENSGWIG00000008101	Gouania_willdenowi
ENSKMAP00000024172	ENSKMAG00000017920	Kryptolebias_marmoratus
ENSPMGP00000010762	ENSPMGG00000008921	Periophthalmus_magnuspinnatus
ENSCSAP00000013884	ENSCSAG00000017864	Chlorocebus_sabaeus
ENSMUSP00000066515	ENSMUSG00000056124	Mus_musculus_strain_reference_(CL57BL6)
ENSVURP00010004069	ENSVURG00010002987	Vombatus_ursinus
ENSORLP00000011971	ENSORLG00000009547	Oryzias_latipes_ASM223467v1
ENSATEP00000007891	ENSATEG00000005499	Anabas_testudineus
ENSBTAP00000053706	ENSBTAG00000044063	Bos_taurus
MGP_PahariEiJ_P0038739	MGP_PahariEiJ_G0018765	Mus_pahari_strain_PAHARI_EIJ
ENSOCUP00000032019	ENSOCUG00000013287	Oryctolagus_cuniculus
ENSCHAP00000029323	ENSCHAG00000014026	Clupea_harengus
ENSCGRP00000009144	ENSCGRG00000006694	Cricetulus_griseus_CriGri_1.0
ENSPPAP00000026144	ENSPPAG00000036186	Pan_paniscus
ENSVVUP00000038377	ENSVVUG00000027369	Vulpes_vulpes
ENSFDAP00000007782	ENSFDAG00000016200	Fukomys_damarensis
ENSBSLP00000015310	ENSBSLG00000008050	Betta_splendens
ENSMGAP00000010955	ENSMGAG00000010536	Meleagris_gallopavo
ENSDNOP00000018828	ENSDNOG00000049017	Dasypus_novemcinctus
ENSONIP00000021961	ENSONIG00000017413	Oreochromis_niloticus
ENSMAUP00000017570	ENSMAUG00000016396	Mesocricetus_auratus
ENSBBBP00000011494	ENSBBBG00000019479	Bison_bison_bison
ENSSDAP00000003427	ENSSDAG00000003236	Spermophilus_dauricus
ENSFCAP00000016259	ENSFCAG00000019056	Felis_catus
ENSMMOP00000026968	ENSMMOG00000020400	Mola_mola
ENSEASP00005024518	ENSEASG00005016659	Equus_asinus_asinus
ENSPSIP00000005158	ENSPSIG00000004796	Pelodiscus_sinensis
ENSMLEP00000001553	ENSMLEG00000006005	Mandrillus_leucophaeus
ENSPNAP00000017093	ENSPNAG00000023303	Pygocentrus_nattereri
ENSMUGP00000020776	ENSMUGG00000017521	Meriones_unguiculatus
ENSAMXP00005000713	ENSAMXG00005000434	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAOCP00000008976	ENSAOCG00000013083	Amphiprion_ocellaris
ENSHGLP00000019293	ENSHGLG00000013828	Heterocephalus_glaber_HetGla_female_1.0
ENSLSDP00000010741	ENSLSDG00000007905	Lonchura_striata_domestica
ENSCGRP00001026285	ENSCGRG00001023652	Cricetulus_griseus_CHOK1GS_HDv1
ENSSPUP00000008483	ENSSPUG00000006585	Sphenodon_punctatus
ENSCAPP00000007327	ENSCAPG00000009274	Cavia_aperea
ENSECRP00000009416	ENSECRG00000006307	Erpetoichthys_calabaricus
ENSLCAP00010029746	ENSLCAG00010013985	Lates_calcarifer
ENSTTRP00000001779	ENSTTRG00000001897	Tursiops_truncatus
ENSPVAP00000005670	ENSPVAG00000005999	Pteropus_vampyrus
ENSCAFP00020016490	ENSCAFG00020013195	Canis_lupus_dingo
ENSVPAP00000003184	ENSVPAG00000003441	Vicugna_pacos
ENSNPEP00000009660	ENSNPEG00000007248	Nothoprocta_perdicaria
ENSCANP00000010903	ENSCANG00000028847	Colobus_angolensis_palliatus
ENSHGLP00100025044	ENSHGLG00100018381	Heterocephalus_glaber_HetGla_1.0
ENSETEP00000003741	ENSETEG00000004575	Echinops_telfairi
ENSCJPP00005011494	ENSCJPG00005009874	Coturnix_japonica
ENSMNEP00000021676	ENSMNEG00000034558	Macaca_nemestrina
ENSGAGP00000027533	ENSGAGG00000020013	Gopherus_agassizii
ENSTGEP00000023843	ENSTGEG00000019276	Theropithecus_gelada
ENSCPGP00000010789	ENSCPGG00000007675	Calidris_pygmaea
ENSUPAP00010016306	ENSUPAG00010013003	Urocitellus_parryii
ENSCGOP00000045747	ENSCGOG00000019983	Cottoperca_gobio
ENSMOCP00000012557	ENSMOCG00000012621	Microtus_ochrogaster
ENSMSIP00000027953	ENSMSIG00000023539	Mus_spicilegus
ENSORLP00015017771	ENSORLG00015018825	Oryzias_latipes_ASM223469v1
ENSAPOP00000026428	ENSAPOG00000010247	Acanthochromis_polyacanthus
ENSSDUP00000022359	ENSSDUG00000016269	Seriola_dumerili
ENSCABP00000023839	ENSCABG00000017468	Chelonoidis_abingdonii
ENSCPUP00000028198	ENSCPUG00000018991	Calidris_pugnax
ENSCLAP00000023613	ENSCLAG00000016196	Chinchilla_lanigera
ENSSFOP00015032711	ENSSFOG00015020905	Scleropages_formosus
ENSOANP00000008942	ENSOANG00000005618	Ornithorhynchus_anatinus
ENSXMAP00000015598	ENSXMAG00000015569	Xiphophorus_maculatus
ENSPTRP00000016918	ENSPTRG00000009950	Pan_troglodytes
ENSHBUP00000004015	ENSHBUG00000005309	Haplochromis_burtoni
ENSODEP00000025043	ENSODEG00000018324	Octodon_degus
ENSTSYP00000017254	ENSTSYG00000000172	Carlito_syrichta
ENSCATP00000031828	ENSCATG00000039016	Cercocebus_atys
ENSMODP00000051720	ENSMODG00000038728	Monodelphis_domestica
ENSCCNP00000002529	ENSCCNG00000002753	Castor_canadensis
ENSACIP00000012814	ENSACIG00000009982	Amphilophus_citrinellus
