ENSMSIP00000032843	ENSMSIG00000027507	Mus_spicilegus	ENSMSIT00000041430
ENSMUSP00000137154	ENSMUSG00000096606	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000178124
MGP_SPRETEiJ_P0084221	MGP_SPRETEiJ_G0031141	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0084221
MGP_CAROLIEiJ_P0080851	MGP_CAROLIEiJ_G0030031	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0080851
MGP_PahariEiJ_P0017690	MGP_PahariEiJ_G0013252	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0017690
ENSRNOP00000024157	ENSRNOG00000017922	Rattus_norvegicus	ENSRNOT00000024157
ENSMUGP00000017404	ENSMUGG00000014815	Meriones_unguiculatus	ENSMUGT00000020068
ENSCGRP00001005377	ENSCGRG00001007068	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018015	ENSCGRG00015013832	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006503	ENSMAUG00000008440	Mesocricetus_auratus
ENSMOCP00000009362	ENSMOCG00000009503	Microtus_ochrogaster
ENSNGAP00000000366	ENSNGAG00000000289	Nannospalax_galili
ENSJJAP00000005540	ENSJJAG00000010465	Jaculus_jaculus
ENSCCNP00000010211	ENSCCNG00000010726	Castor_canadensis
ENSCLAP00000023798	ENSCLAG00000016335	Chinchilla_lanigera
ENSCPOP00000013571	ENSCPOG00000015056	Cavia_porcellus
ENSHGLP00000028904	ENSHGLG00000021318	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000006359	ENSODEG00000004759	Octodon_degus
ENSSTOP00000016753	ENSSTOG00000027127	Ictidomys_tridecemlineatus
ENSUPAP00010017016	ENSUPAG00010013579	Urocitellus_parryii
ENSOCUP00000012229	ENSOCUG00000014231	Oryctolagus_cuniculus
ENSP00000474988	ENSG00000261594	Homo_sapiens
ENSPTRP00000062115	ENSPTRG00000052868	Pan_troglodytes
ENSNLEP00000022054	ENSNLEG00000018145	Nomascus_leucogenys
ENSCATP00000002323	ENSCATG00000010167	Cercocebus_atys
ENSPANP00000024090	ENSPANG00000032219	Papio_anubis
ENSTGEP00000035046	ENSTGEG00000027935	Theropithecus_gelada
ENSMMUP00000045323	ENSMMUG00000045580	Macaca_mulatta
ENSMNEP00000004649	ENSMNEG00000021296	Macaca_nemestrina
ENSMFAP00000021491	ENSMFAG00000035659	Macaca_fascicularis
ENSCSAP00000017386	ENSCSAG00000000620	Chlorocebus_sabaeus
ENSPTEP00000024615	ENSPTEG00000025060	Piliocolobus_tephrosceles
ENSCCAP00000005083	ENSCCAG00000020228	Cebus_capucinus_imitator
ENSCJAP00000040751	ENSCJAG00000022087	Callithrix_jacchus
ENSANAP00000008397	ENSANAG00000022236	Aotus_nancymaae
ENSPSMP00000004039	ENSPSMG00000003242	Prolemur_simus
ENSCAFP00020001832	ENSCAFG00020001595	Canis_lupus_dingo
ENSCAFP00000033342	ENSCAFG00000024450	Canis_lupus_familiaris
ENSNVIP00000029178	ENSNVIG00000022489	Neovison_vison
ENSMPUP00000019401	ENSMPUG00000019529	Mustela_putorius_furo
ENSPPRP00000005476	ENSPPRG00000001225	Panthera_pardus
ENSBIXP00000011538	ENSBIXG00000016775	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005026831	ENSBIXG00005005103	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000026139	ENSBTAG00000019622	Bos_taurus
ENSBBBP00000014917	ENSBBBG00000005974	Bison_bison_bison
ENSEASP00005020735	ENSEASG00005014261	Equus_asinus_asinus
ENSMLUP00000020347	ENSMLUG00000008995	Myotis_lucifugus
ENSDNOP00000024509	ENSDNOG00000048757	Dasypus_novemcinctus
ENSLAFP00000026857	ENSLAFG00000026034	Loxodonta_africana
ENSVURP00010022305	ENSVURG00010017080	Vombatus_ursinus
ENSPCIP00000032529	ENSPCIG00000024142	Phascolarctos_cinereus
ENSSHAP00000014647	ENSSHAG00000012502	Sarcophilus_harrisii
ENSMODP00000008719	ENSMODG00000007031	Monodelphis_domestica
ENSGAGP00000004377	ENSGAGG00000003635	Gopherus_agassizii
ENSCABP00000017783	ENSCABG00000013218	Chelonoidis_abingdonii
ENSCPBP00000017754	ENSCPBG00000012988	Chrysemys_picta_bellii
ENSAPOP00000016248	ENSAPOG00000000537	Acanthochromis_polyacanthus
ENSMZEP00005033152	ENSMZEG00005024729	Maylandia_zebra
