ENSMODP00000025705	ENSMODG00000020546	Monodelphis_domestica	ENSMODT00000026163
ENSSHAP00000007528	ENSSHAG00000006541	Sarcophilus_harrisii	ENSSHAT00000007590
ENSPCIP00000007633	ENSPCIG00000006404	Phascolarctos_cinereus	ENSPCIT00000009635
ENSVURP00010009544	ENSVURG00010007387	Vombatus_ursinus	ENSVURT00010010827
ENSMEUP00000006260	ENSMEUG00000006845	Notamacropus_eugenii	ENSMEUT00000006884
ENSPTRP00000027522	ENSPTRG00000015990	Pan_troglodytes	ENSPTRT00000029828
ENSPPAP00000040644	ENSPPAG00000042936	Pan_paniscus	ENSPPAT00000063561
ENSGGOP00000005807	ENSGGOG00000005922	Gorilla_gorilla	ENSGGOT00000005962
ENSP00000382717	ENSG00000157796	Homo_sapiens	ENST00000399820
ENSPPYP00000016391	ENSPPYG00000014672	Pongo_abelii
ENSNLEP00000020753	ENSNLEG00000017076	Nomascus_leucogenys
ENSCATP00000030960	ENSCATG00000038619	Cercocebus_atys
ENSMLEP00000030299	ENSMLEG00000039278	Mandrillus_leucophaeus
ENSTGEP00000001147	ENSTGEG00000001090	Theropithecus_gelada
ENSPANP00000045271	ENSPANG00000003767	Papio_anubis
ENSMMUP00000035337	ENSMMUG00000002756	Macaca_mulatta
ENSMFAP00000008642	ENSMFAG00000001104	Macaca_fascicularis
ENSMNEP00000040964	ENSMNEG00000043290	Macaca_nemestrina
ENSCSAP00000012958	ENSCSAG00000016910	Chlorocebus_sabaeus
ENSPTEP00000022221	ENSPTEG00000023179	Piliocolobus_tephrosceles
ENSCANP00000007539	ENSCANG00000024336	Colobus_angolensis_palliatus
ENSRROP00000032867	ENSRROG00000040047	Rhinopithecus_roxellana
ENSRBIP00000019114	ENSRBIG00000033535	Rhinopithecus_bieti
ENSCCAP00000040674	ENSCCAG00000038131	Cebus_capucinus_imitator
ENSSBOP00000031739	ENSSBOG00000032016	Saimiri_boliviensis_boliviensis
ENSCJAP00000001340	ENSCJAG00000000737	Callithrix_jacchus
ENSANAP00000018620	ENSANAG00000027127	Aotus_nancymaae
ENSTSYP00000002823	ENSTSYG00000003029	Carlito_syrichta
ENSPSMP00000022914	ENSPSMG00000016209	Prolemur_simus
ENSPCOP00000019160	ENSPCOG00000021517	Propithecus_coquereli
ENSMICP00000015246	ENSMICG00000016727	Microcebus_murinus
ENSOGAP00000010991	ENSOGAG00000012276	Otolemur_garnettii
ENSCCNP00000027415	ENSCCNG00000026383	Castor_canadensis
ENSCCNP00000027923	ENSCCNG00000026965	Castor_canadensis
ENSDORP00000022389	ENSDORG00000010525	Dipodomys_ordii
ENSOARP00000011515	ENSOARG00000010723	Ovis_aries
ENSCHIP00000011591	ENSCHIG00000013702	Capra_hircus
ENSBIXP00000041773	ENSBIXG00000025927	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000019294	ENSBTAG00000014512	Bos_taurus
