ENSCABP00000004574	ENSCABG00000003406	Chelonoidis_abingdonii
ENSGAGP00000034475	ENSGAGG00000024505	Gopherus_agassizii
ENSCPBP00000039991	ENSCPBG00000027513	Chrysemys_picta_bellii
ENSPSIP00000004801	ENSPSIG00000004464	Pelodiscus_sinensis
ENSAPLP00000020848	ENSAPLG00000009975	Anas_platyrhynchos_platyrhynchos
ENSABRP00000016723	ENSABRG00000014646	Anser_brachyrhynchus
ENSGALP00000050894	ENSGALG00000009948	Gallus_gallus
ENSCJPP00005001706	ENSCJPG00005001754	Coturnix_japonica
ENSMGAP00000003338	ENSMGAG00000003569	Meleagris_gallopavo
ENSNMEP00000001038	ENSNMEG00000001462	Numida_meleagris
ENSLCOP00000013995	ENSLCOG00000010073	Lepidothrix_coronata
ENSMVIP00005011077	ENSMVIG00005008107	Manacus_vitellinus
ENSLSDP00000009942	ENSLSDG00000007339	Lonchura_striata_domestica
ENSTGUP00000002801	ENSTGUG00000002714	Taeniopygia_guttata
ENSSCAP00000020780	ENSSCAG00000014976	Serinus_canaria
ENSJHYP00000019246	ENSJHYG00000014631	Junco_hyemalis
ENSZALP00000020654	ENSZALG00000016204	Zonotrichia_albicollis
ENSFALP00000005768	ENSFALG00000005543	Ficedula_albicollis
ENSPMJP00000011398	ENSPMJG00000008846	Parus_major
ENSCCEP00000024687	ENSCCEG00000021897	Cyanistes_caeruleus
ENSCPGP00000022101	ENSCPGG00000015360	Calidris_pygmaea
ENSCPUP00000017774	ENSCPUG00000012241	Calidris_pugnax
ENSMUNP00000005091	ENSMUNG00000004215	Melopsittacus_undulatus
ENSAOWP00000003265	ENSAOWG00000002247	Apteryx_owenii
ENSAHAP00000019380	ENSAHAG00000013701	Apteryx_haastii
ENSARWP00000026788	ENSARWG00000018111	Apteryx_rowi
ENSDNVP00000002772	ENSDNVG00000001998	Dromaius_novaehollandiae
ENSNPEP00000006955	ENSNPEG00000005188	Nothoprocta_perdicaria
ENSCPRP00005011987	ENSCPRG00005008521	Crocodylus_porosus
ENSACAP00000003245	ENSACAG00000003315	Anolis_carolinensis
ENSPVIP00000029005	ENSPVIG00000021368	Pogona_vitticeps
ENSNSUP00000006447	ENSNSUG00000005097	Notechis_scutatus
ENSSMRP00000025051	ENSSMRG00000019375	Salvator_merianae
ENSSPUP00000011693	ENSSPUG00000008844	Sphenodon_punctatus
ENSVURP00010013482	ENSVURG00010010374	Vombatus_ursinus
ENSPCIP00000004838	ENSPCIG00000003990	Phascolarctos_cinereus
ENSMEUP00000012384	ENSMEUG00000013572	Notamacropus_eugenii
ENSSHAP00000013902	ENSSHAG00000011890	Sarcophilus_harrisii
ENSMODP00000043719	ENSMODG00000000432	Monodelphis_domestica
ENSSARP00000011781	ENSSARG00000013044	Sorex_araneus
ENSUAMP00000009408	ENSUAMG00000007659	Ursus_americanus
ENSVPAP00000003085	ENSVPAG00000003333	Vicugna_pacos
ENSBMUP00000017135	ENSBMUG00000012984	Bos_mutus
ENSCAPP00000004531	ENSCAPG00000007042	Cavia_aperea
ENSDORP00000015449	ENSDORG00000016419	Dipodomys_ordii
ENSOPRP00000012939	ENSOPRG00000014175	Ochotona_princeps
ENSETEP00000013198	ENSETEG00000016278	Echinops_telfairi
ENSPVAP00000002604	ENSPVAG00000002759	Pteropus_vampyrus
ENSMLUP00000008504	ENSMLUG00000009326	Myotis_lucifugus
ENSCHIP00000002331	ENSCHIG00000005365	Capra_hircus
ENSOARP00000010766	ENSOARG00000010036	Ovis_aries
ENSBIXP00000005587	ENSBIXG00000011752	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005002444	ENSBIXG00005008793	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000021390	ENSBTAG00000016071	Bos_taurus
ENSBMUP00000036145	ENSBMUG00000026844	Bos_mutus
ENSBBBP00000021532	ENSBBBG00000015168	Bison_bison_bison
ENSTTRP00000007035	ENSTTRG00000007435	Tursiops_truncatus
ENSSSCP00000053296	ENSSSCG00000009045	Sus_scrofa_strain_reference
ENSECAP00000021977	ENSECAG00000024485	Equus_caballus
ENSEASP00005002036	ENSEASG00005001609	Equus_asinus_asinus
ENSAMEP00000017516	ENSAMEG00000016574	Ailuropoda_melanoleuca
ENSUMAP00000020995	ENSUMAG00000015358	Ursus_maritimus
ENSCAFP00020033039	ENSCAFG00020025660	Canis_lupus_dingo
ENSCAFP00000011227	ENSCAFG00000007557	Canis_lupus_familiaris
ENSVVUP00000012421	ENSVVUG00000009129	Vulpes_vulpes
ENSNVIP00000010529	ENSNVIG00000008323	Neovison_vison
ENSMPUP00000006567	ENSMPUG00000006621	Mustela_putorius_furo
ENSPPRP00000006060	ENSPPRG00000001593	Panthera_pardus
ENSPTIP00000024665	ENSPTIG00000020696	Panthera_tigris_altaica
ENSFCAP00000037354	ENSFCAG00000018108	Felis_catus
ENSEEUP00000002202	ENSEEUG00000002406	Erinaceus_europaeus
ENSLAFP00000008681	ENSLAFG00000010367	Loxodonta_africana
ENSDNOP00000003078	ENSDNOG00000004007	Dasypus_novemcinctus
ENSCHOP00000008448	ENSCHOG00000009542	Choloepus_hoffmanni
ENSPCAP00000012650	ENSPCAG00000013538	Procavia_capensis
ENSCLAP00000005912	ENSCLAG00000004186	Chinchilla_lanigera
ENSODEP00000003623	ENSODEG00000002779	Octodon_degus
ENSCPOP00000032187	ENSCPOG00000023375	Cavia_porcellus
ENSHGLP00100014801	ENSHGLG00100010960	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000000567	ENSHGLG00000000499	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000691	ENSFDAG00000010853	Fukomys_damarensis
ENSSTOP00000005999	ENSSTOG00000006708	Ictidomys_tridecemlineatus
ENSUPAP00010000816	ENSUPAG00010000675	Urocitellus_parryii
ENSMMMP00000001512	ENSMMMG00000001370	Marmota_marmota_marmota
ENSSDAP00000020716	ENSSDAG00000018866	Spermophilus_dauricus
ENSMUSP00000078047	ENSMUSG00000064325	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033507	ENSMSIG00000028023	Mus_spicilegus
MGP_SPRETEiJ_P0088611	MGP_SPRETEiJ_G0032373	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0085103	MGP_CAROLIEiJ_G0031253	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053405	MGP_PahariEiJ_G0022859	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024616	ENSRNOG00000018268	Rattus_norvegicus
ENSMUGP00000007882	ENSMUGG00000007139	Meriones_unguiculatus
ENSPEMP00000023125	ENSPEMG00000020265	Peromyscus_maniculatus_bairdii
ENSMOCP00000006421	ENSMOCG00000006070	Microtus_ochrogaster
ENSCGRP00015013086	ENSCGRG00015010050	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018674	ENSCGRG00000013598	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017402	ENSCGRG00001017452	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011855	ENSMAUG00000012341	Mesocricetus_auratus
ENSNGAP00000016115	ENSNGAG00000016947	Nannospalax_galili
ENSJJAP00000007717	ENSJJAG00000012058	Jaculus_jaculus
ENSCCNP00000008769	ENSCCNG00000009255	Castor_canadensis
ENSOCUP00000049724	ENSOCUG00000004959	Oryctolagus_cuniculus
ENSTBEP00000001283	ENSTBEG00000001477	Tupaia_belangeri
ENSPTRP00000028290	ENSPTRG00000016479	Pan_troglodytes
ENSPPAP00000019224	ENSPPAG00000032784	Pan_paniscus
ENSP00000296575	ENSG00000164161	Homo_sapiens
ENSGGOP00000013036	ENSGGOG00000013359	Gorilla_gorilla
ENSPPYP00000016863	ENSPPYG00000015095	Pongo_abelii
ENSNLEP00000006592	ENSNLEG00000005430	Nomascus_leucogenys
ENSPTEP00000042963	ENSPTEG00000039201	Piliocolobus_tephrosceles
ENSCANP00000030154	ENSCANG00000038733	Colobus_angolensis_palliatus
ENSRROP00000018676	ENSRROG00000033380	Rhinopithecus_roxellana
ENSRBIP00000020529	ENSRBIG00000034247	Rhinopithecus_bieti
ENSCSAP00000014609	ENSCSAG00000003439	Chlorocebus_sabaeus
ENSCATP00000023134	ENSCATG00000035139	Cercocebus_atys
ENSMMUP00000010453	ENSMMUG00000007968	Macaca_mulatta
ENSMNEP00000015291	ENSMNEG00000031761	Macaca_nemestrina
ENSMFAP00000035329	ENSMFAG00000040378	Macaca_fascicularis
ENSMLEP00000010516	ENSMLEG00000029460	Mandrillus_leucophaeus
ENSTGEP00000015064	ENSTGEG00000012238	Theropithecus_gelada
ENSPANP00000040773	ENSPANG00000012434	Papio_anubis
ENSCCAP00000017656	ENSCCAG00000026649	Cebus_capucinus_imitator
ENSSBOP00000030674	ENSSBOG00000031611	Saimiri_boliviensis_boliviensis
ENSCJAP00000058928	ENSCJAG00000002666	Callithrix_jacchus
ENSANAP00000023465	ENSANAG00000029482	Aotus_nancymaae
ENSTSYP00000005510	ENSTSYG00000006013	Carlito_syrichta
ENSPSMP00000024571	ENSPSMG00000017317	Prolemur_simus
ENSMICP00000003636	ENSMICG00000003993	Microcebus_murinus
ENSPCOP00000015198	ENSPCOG00000019323	Propithecus_coquereli
ENSOGAP00000006178	ENSOGAG00000006900	Otolemur_garnettii
ENSOANP00000021942	ENSOANG00000013920	Ornithorhynchus_anatinus
ENSXETP00000044208	ENSXETG00000018578	Xenopus_tropicalis
ENSLACP00000016298	ENSLACG00000014359	Latimeria_chalumnae
ENSCMIP00000019640	ENSCMIG00000009101	Callorhinchus_milii
ENSPKIP00000037933	ENSPKIG00000015923	Paramormyrops_kingsleyae
ENSSFOP00015025960	ENSSFOG00015016659	Scleropages_formosus
ENSPKIP00000038130	ENSPKIG00000016028	Paramormyrops_kingsleyae
ENSSFOP00015020553	ENSSFOG00015013203	Scleropages_formosus
ENSCHAP00000042689	ENSCHAG00000019532	Clupea_harengus
ENSDCDP00000019213	ENSDCDG00000015168	Denticeps_clupeoides
ENSAMXP00000039219	ENSAMXG00000032857	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005013174	ENSAMXG00005007038	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031576	ENSPNAG00000019049	Pygocentrus_nattereri
ENSIPUP00000006965	ENSIPUG00000004822	Ictalurus_punctatus
ENSEEEP00000016958	ENSEEEG00000008403	Electrophorus_electricus
ENSDARP00000079486	ENSDARG00000060397	Danio_rerio
ENSGWIP00000007518	ENSGWIG00000004358	Gouania_willdenowi
ENSCSEP00000000516	ENSCSEG00000000360	Cynoglossus_semilaevis
ENSTRUP00000036579	ENSTRUG00000014300	Takifugu_rubripes
ENSTNIP00000020869	ENSTNIG00000017719	Tetraodon_nigroviridis
ENSCGOP00000014793	ENSCGOG00000007090	Cottoperca_gobio
ENSGACP00000022756	ENSGACG00000017231	Gasterosteus_aculeatus
ENSLCRP00005026805	ENSLCRG00005010299	Larimichthys_crocea
ENSLBEP00000023832	ENSLBEG00000018285	Labrus_bergylta
ENSMMOP00000007131	ENSMMOG00000005536	Mola_mola
ENSSLDP00000032912	ENSSLDG00000025216	Seriola_lalandi_dorsalis
ENSSDUP00000028489	ENSSDUG00000020557	Seriola_dumerili
ENSLCAP00010041727	ENSLCAG00010019547	Lates_calcarifer
ENSSMAP00000007599	ENSSMAG00000004670	Scophthalmus_maximus
ENSMAMP00000021088	ENSMAMG00000014156	Mastacembelus_armatus
ENSMALP00000003022	ENSMALG00000002229	Monopterus_albus
ENSATEP00000018333	ENSATEG00000012722	Anabas_testudineus
ENSBSLP00000001073	ENSBSLG00000000556	Betta_splendens
ENSAPEP00000033941	ENSAPEG00000024099	Amphiprion_percula
ENSAOCP00000000285	ENSAOCG00000001854	Amphiprion_ocellaris
ENSAPOP00000032015	ENSAPOG00000019696	Acanthochromis_polyacanthus
ENSSPAP00000004036	ENSSPAG00000003111	Stegastes_partitus
ENSPRNP00000037274	ENSPRNG00000018585	Parambassis_ranga
ENSXCOP00000014705	ENSXCOG00000011165	Xiphophorus_couchianus
ENSXMAP00000009675	ENSXMAG00000009627	Xiphophorus_maculatus
ENSGAFP00000026281	ENSGAFG00000017743	Gambusia_affinis
ENSPFOP00000008437	ENSPFOG00000008387	Poecilia_formosa
ENSPLAP00000002070	ENSPLAG00000003273	Poecilia_latipinna
ENSPMEP00000016851	ENSPMEG00000019620	Poecilia_mexicana
ENSPREP00000034330	ENSPREG00000023246	Poecilia_reticulata
ENSFHEP00000025527	ENSFHEG00000007843	Fundulus_heteroclitus
ENSCVAP00000001050	ENSCVAG00000001997	Cyprinodon_variegatus
ENSKMAP00000005286	ENSKMAG00000003991	Kryptolebias_marmoratus
ENSORLP00015032302	ENSORLG00015017041	Oryzias_latipes_ASM223469v1
ENSORLP00020032137	ENSORLG00020017565	Oryzias_latipes_ASM223471v1
ENSORLP00000009205	ENSORLG00000007341	Oryzias_latipes_ASM223467v1
ENSOMEP00000002785	ENSOMEG00000003752	Oryzias_melastigma
