ENSSPUP00000008022	ENSSPUG00000006214	Sphenodon_punctatus
ENSSMRP00000011050	ENSSMRG00000008700	Salvator_merianae
ENSGAGP00000017407	ENSGAGG00000012946	Gopherus_agassizii
ENSCABP00000004923	ENSCABG00000003710	Chelonoidis_abingdonii
ENSCABP00000004921	ENSCABG00000003700	Chelonoidis_abingdonii
ENSCPBP00000002492	ENSCPBG00000001998	Chrysemys_picta_bellii
ENSPSIP00000003770	ENSPSIG00000003573	Pelodiscus_sinensis
ENSCCEP00000018948	ENSCCEG00000017269	Cyanistes_caeruleus
ENSLSDP00000002107	ENSLSDG00000001677	Lonchura_striata_domestica
ENSJHYP00000022709	ENSJHYG00000017135	Junco_hyemalis
ENSZALP00000009345	ENSZALG00000008059	Zonotrichia_albicollis
ENSSCAP00000016534	ENSSCAG00000012070	Serinus_canaria
ENSMVIP00005025153	ENSMVIG00005017612	Manacus_vitellinus
ENSCPUP00000020738	ENSCPUG00000014181	Calidris_pugnax	ENSCPUT00000024566
ENSCPGP00000027297	ENSCPGG00000018800	Calidris_pygmaea	ENSCPGT00000029795
ENSCPGP00000027293	ENSCPGG00000018798	Calidris_pygmaea
ENSMUNP00000014580	ENSMUNG00000011328	Melopsittacus_undulatus
ENSAHAP00000027299	ENSAHAG00000019027	Apteryx_haastii	ENSAHAT00000030082
ENSARWP00000025933	ENSARWG00000017613	Apteryx_rowi	ENSARWT00000029352
ENSAOWP00000014410	ENSAOWG00000009831	Apteryx_owenii	ENSAOWT00000016351
ENSNPEP00000010177	ENSNPEG00000007622	Nothoprocta_perdicaria	ENSNPET00000010437
ENSNSUP00000022440	ENSNSUG00000016315	Notechis_scutatus
ENSAPLP00000018850	ENSAPLG00000022508	Anas_platyrhynchos_platyrhynchos
ENSLAFP00000010932	ENSLAFG00000013068	Loxodonta_africana
ENSPCAP00000003332	ENSPCAG00000003559	Procavia_capensis
ENSETEP00000002287	ENSETEG00000002797	Echinops_telfairi
ENSDNOP00000006117	ENSDNOG00000007887	Dasypus_novemcinctus
ENSUMAP00000035246	ENSUMAG00000025338	Ursus_maritimus
ENSUAMP00000000561	ENSUAMG00000000576	Ursus_americanus
ENSNVIP00000015329	ENSNVIG00000012002	Neovison_vison
ENSMPUP00000009817	ENSMPUG00000009891	Mustela_putorius_furo
ENSCAFP00000047417	ENSCAFG00000011496	Canis_lupus_familiaris
ENSCAFP00020015543	ENSCAFG00020012485	Canis_lupus_dingo
ENSVVUP00000000495	ENSVVUG00000000463	Vulpes_vulpes
ENSPTIP00000021321	ENSPTIG00000018519	Panthera_tigris_altaica
ENSPPRP00000011008	ENSPPRG00000004987	Panthera_pardus
ENSFCAP00000006024	ENSFCAG00000006483	Felis_catus
ENSSSCP00000041896	ENSSSCG00000015657	Sus_scrofa_strain_reference
ENSVPAP00000005605	ENSVPAG00000006046	Vicugna_pacos
ENSCHIP00000010067	ENSCHIG00000012705	Capra_hircus
ENSOARP00000007214	ENSOARG00000006735	Ovis_aries
ENSBIXP00005004455	ENSBIXG00005000863	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000033976	ENSBMUG00000025332	Bos_mutus
ENSBTAP00000026377	ENSBTAG00000019798	Bos_taurus
ENSBIXP00000011888	ENSBIXG00000000802	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000007064	ENSBBBG00000015290	Bison_bison_bison
ENSTTRP00000011489	ENSTTRG00000012114	Tursiops_truncatus
ENSPVAP00000010903	ENSPVAG00000011568	Pteropus_vampyrus
ENSMLUP00000016163	ENSMLUG00000017719	Myotis_lucifugus
ENSEASP00005006498	ENSEASG00005004806	Equus_asinus_asinus
ENSECAP00000013934	ENSECAG00000016196	Equus_caballus
ENSEEUP00000006220	ENSEEUG00000006814	Erinaceus_europaeus
ENSSARP00000005783	ENSSARG00000006372	Sorex_araneus
ENSCLAP00000019316	ENSCLAG00000013237	Chinchilla_lanigera
ENSODEP00000009957	ENSODEG00000007443	Octodon_degus
ENSCPOP00000008216	ENSCPOG00000009152	Cavia_porcellus
ENSCAPP00000002711	ENSCAPG00000005656	Cavia_aperea
ENSHGLP00000020727	ENSHGLG00000014828	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003448	ENSHGLG00100002622	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008805	ENSFDAG00000016977	Fukomys_damarensis
ENSSDAP00000015713	ENSSDAG00000014161	Spermophilus_dauricus
ENSSDAP00000015164	ENSSDAG00000013617	Spermophilus_dauricus
ENSUPAP00010019136	ENSUPAG00010015168	Urocitellus_parryii
ENSSTOP00000005807	ENSSTOG00000006489	Ictidomys_tridecemlineatus
ENSMMMP00000003460	ENSMMMG00000003169	Marmota_marmota_marmota
ENSCCNP00000029190	ENSCCNG00000028018	Castor_canadensis
ENSCCNP00000005923	ENSCCNG00000006272	Castor_canadensis
ENSDORP00000001715	ENSDORG00000001830	Dipodomys_ordii
MGP_SPRETEiJ_P0020719	MGP_SPRETEiJ_G0015364	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029772	ENSMSIG00000024992	Mus_spicilegus
ENSMUSP00000027675	ENSMUSG00000026417	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0019691	MGP_CAROLIEiJ_G0014560	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0074984	MGP_PahariEiJ_G0027794	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073662	ENSRNOG00000004405	Rattus_norvegicus
ENSMUGP00000024543	ENSMUGG00000020511	Meriones_unguiculatus
ENSPEMP00000010361	ENSPEMG00000011366	Peromyscus_maniculatus_bairdii
ENSMOCP00000018812	ENSMOCG00000016988	Microtus_ochrogaster
ENSCGRP00001011467	ENSCGRG00001013101	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010266	ENSCGRG00000007513	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015006681	ENSCGRG00015005151	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012973	ENSMAUG00000013137	Mesocricetus_auratus
ENSNGAP00000019656	ENSNGAG00000019403	Nannospalax_galili
ENSJJAP00000019578	ENSJJAG00000020501	Jaculus_jaculus
ENSOCUP00000012314	ENSOCUG00000014317	Oryctolagus_cuniculus
ENSOPRP00000010416	ENSOPRG00000011396	Ochotona_princeps
ENSTBEP00000011932	ENSTBEG00000013770	Tupaia_belangeri
ENSPTRP00000046994	ENSPTRG00000001921	Pan_troglodytes
ENSPPAP00000025593	ENSPPAG00000035924	Pan_paniscus
ENSP00000348888	ENSG00000162896	Homo_sapiens
ENSGGOP00000009769	ENSGGOG00000010007	Gorilla_gorilla
ENSPPYP00000000294	ENSPPYG00000000277	Pongo_abelii
ENSNLEP00000001079	ENSNLEG00000000908	Nomascus_leucogenys
ENSPANP00000004132	ENSPANG00000007500	Papio_anubis
ENSTGEP00000014803	ENSTGEG00000012033	Theropithecus_gelada
ENSMLEP00000011088	ENSMLEG00000029743	Mandrillus_leucophaeus
ENSCATP00000007081	ENSCATG00000021447	Cercocebus_atys
ENSMFAP00000038512	ENSMFAG00000038611	Macaca_fascicularis
ENSMNEP00000003705	ENSMNEG00000017366	Macaca_nemestrina
ENSMMUP00000080454	ENSMMUG00000011220	Macaca_mulatta
ENSCSAP00000011135	ENSCSAG00000015028	Chlorocebus_sabaeus
ENSPTEP00000037339	ENSPTEG00000034938	Piliocolobus_tephrosceles
ENSCANP00000036712	ENSCANG00000042035	Colobus_angolensis_palliatus
ENSRROP00000027006	ENSRROG00000037280	Rhinopithecus_roxellana
ENSRBIP00000004391	ENSRBIG00000020217	Rhinopithecus_bieti
ENSSBOP00000039951	ENSSBOG00000035980	Saimiri_boliviensis_boliviensis
ENSCCAP00000026510	ENSCCAG00000031049	Cebus_capucinus_imitator
ENSCJAP00000078535	ENSCJAG00000018483	Callithrix_jacchus
ENSANAP00000017507	ENSANAG00000026624	Aotus_nancymaae
ENSTSYP00000008439	ENSTSYG00000009175	Carlito_syrichta
ENSPCOP00000000086	ENSPCOG00000000118	Propithecus_coquereli
ENSPSMP00000011151	ENSPSMG00000008068	Prolemur_simus
ENSMICP00000050589	ENSMICG00000046585	Microcebus_murinus
ENSOGAP00000003644	ENSOGAG00000004087	Otolemur_garnettii
ENSPCIP00000020442	ENSPCIG00000015562	Phascolarctos_cinereus
ENSVURP00010015956	ENSVURG00010012221	Vombatus_ursinus
ENSMEUP00000006327	ENSMEUG00000006941	Notamacropus_eugenii
ENSSHAP00000021639	ENSSHAG00000018326	Sarcophilus_harrisii
ENSMODP00000002603	ENSMODG00000002141	Monodelphis_domestica
ENSOANP00000008339	ENSOANG00000005248	Ornithorhynchus_anatinus
