ENSDORP00000010652	ENSDORG00000011332	Dipodomys_ordii
ENSLOCP00000010733	ENSLOCG00000008820	Lepisosteus_oculatus
ENSHGLP00000015880	ENSHGLG00000011346	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000038004	ENSMSIG00000031662	Mus_spicilegus
ENSAOCP00000026932	ENSAOCG00000015494	Amphiprion_ocellaris
ENSSDAP00000019800	ENSSDAG00000018055	Spermophilus_dauricus
ENSAPEP00000031311	ENSAPEG00000022243	Amphiprion_percula
ENSZALP00000000522	ENSZALG00000000621	Zonotrichia_albicollis	ENSZALT00000000891
ENSPMGP00000023953	ENSPMGG00000019375	Periophthalmus_magnuspinnatus
ENSAMXP00000032989	ENSAMXG00000034049	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPCOP00000022109	ENSPCOG00000023130	Propithecus_coquereli
ENSMMUP00000003535	ENSMMUG00000002624	Macaca_mulatta
ENSSBOP00000016274	ENSSBOG00000024840	Saimiri_boliviensis_boliviensis
ENSMLUP00000008717	ENSMLUG00000009571	Myotis_lucifugus
ENSCAFP00020006497	ENSCAFG00020005274	Canis_lupus_dingo
ENSCHAP00000015658	ENSCHAG00000008364	Clupea_harengus
ENSCPOP00000012339	ENSCPOG00000013701	Cavia_porcellus
ENSRROP00000041976	ENSRROG00000044157	Rhinopithecus_roxellana
ENSBIXP00005009033	ENSBIXG00005001766	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000008390	ENSBBBG00000016396	Bison_bison_bison
ENSMALP00000005252	ENSMALG00000003793	Monopterus_albus
ENSGGOP00000040250	ENSGGOG00000000753	Gorilla_gorilla
ENSOCUP00000023800	ENSOCUG00000025781	Oryctolagus_cuniculus
ENSPSMP00000014804	ENSPSMG00000010612	Prolemur_simus
ENSNGAP00000020468	ENSNGAG00000019958	Nannospalax_galili
ENSCGRP00001016624	ENSCGRG00001016898	Cricetulus_griseus_CHOK1GS_HDv1
ENSUPAP00010005622	ENSUPAG00010004545	Urocitellus_parryii
ENSUPAP00010005617	ENSUPAG00010004544	Urocitellus_parryii
ENSSTOP00000019807	ENSSTOG00000020510	Ictidomys_tridecemlineatus
ENSP00000396441	ENSG00000160818	Homo_sapiens
ENSSMRP00000020390	ENSSMRG00000015866	Salvator_merianae
ENSFDAP00000011558	ENSFDAG00000019098	Fukomys_damarensis
ENSLCAP00010003027	ENSLCAG00010001603	Lates_calcarifer
ENSMAUP00000006474	ENSMAUG00000008406	Mesocricetus_auratus
ENSOARP00000006553	ENSOARG00000006123	Ovis_aries
ENSMNEP00000008726	ENSMNEG00000028844	Macaca_nemestrina
ENSCSAP00000015875	ENSCSAG00000002161	Chlorocebus_sabaeus
ENSDCDP00000034049	ENSDCDG00000023083	Denticeps_clupeoides
ENSFHEP00000002303	ENSFHEG00000003097	Fundulus_heteroclitus
ENSSFOP00015037951	ENSSFOG00015024154	Scleropages_formosus
ENSUMAP00000024456	ENSUMAG00000017797	Ursus_maritimus
ENSPMAP00000010092	ENSPMAG00000009175	Petromyzon_marinus	ENSPMAT00000010136
ENSORLP00015018654	ENSORLG00015019725	Oryzias_latipes_ASM223469v1
ENSFCAP00000060999	ENSFCAG00000006554	Felis_catus
ENSSARP00000007784	ENSSARG00000008606	Sorex_araneus
ENSPVAP00000007083	ENSPVAG00000007505	Pteropus_vampyrus
ENSCABP00000024599	ENSCABG00000018117	Chelonoidis_abingdonii
ENSSHAP00000018182	ENSSHAG00000015436	Sarcophilus_harrisii
ENSMLEP00000027441	ENSMLEG00000037909	Mandrillus_leucophaeus
ENSOMEP00000018394	ENSOMEG00000000529	Oryzias_melastigma
ENSMOCP00000008823	ENSMOCG00000008875	Microtus_ochrogaster
ENSBTAP00000065937	ENSBTAG00000000406	Bos_taurus
ENSEEEP00000036874	ENSEEEG00000017509	Electrophorus_electricus
ENSMUNP00000008413	ENSMUNG00000006683	Melopsittacus_undulatus
ENSCHIP00000023882	ENSCHIG00000021295	Capra_hircus
ENSVURP00010018702	ENSVURG00010014235	Vombatus_ursinus
ENSSMAP00000026719	ENSSMAG00000016329	Scophthalmus_maximus
ENSCMIP00000044643	ENSCMIG00000018460	Callorhinchus_milii
ENSBMUP00000020501	ENSBMUG00000015443	Bos_mutus
ENSABRP00000007001	ENSABRG00000006441	Anser_brachyrhynchus
ENSXCOP00000004987	ENSXCOG00000003911	Xiphophorus_couchianus
ENSANAP00000035641	ENSANAG00000035354	Aotus_nancymaae
ENSORLP00000037002	ENSORLG00000016102	Oryzias_latipes_ASM223467v1
ENSLBEP00000012234	ENSLBEG00000009364	Labrus_bergylta
ENSAHAP00000012970	ENSAHAG00000009351	Apteryx_haastii
ENSCATP00000038998	ENSCATG00000042152	Cercocebus_atys
ENSELUP00000033593	ENSELUG00000011900	Esox_lucius
ENSEBUP00000010110	ENSEBUG00000006498	Eptatretus_burgeri	ENSEBUT00000010650
ENSPSIP00000012589	ENSPSIG00000011317	Pelodiscus_sinensis
ENSNPEP00000003873	ENSNPEG00000002954	Nothoprocta_perdicaria
ENSOGAP00000021959	ENSOGAG00000034287	Otolemur_garnettii
ENSHGLP00100024897	ENSHGLG00100018277	Heterocephalus_glaber_HetGla_1.0
ENSPEMP00000033955	ENSPEMG00000028201	Peromyscus_maniculatus_bairdii
ENSHBUP00000008142	ENSHBUG00000009675	Haplochromis_burtoni
ENSMAMP00000014945	ENSMAMG00000010151	Mastacembelus_armatus
ENSATEP00000009029	ENSATEG00000006359	Anabas_testudineus
ENSLCOP00000008380	ENSLCOG00000006144	Lepidothrix_coronata
