ENSMLUP00000020691	ENSMLUG00000024916	Myotis_lucifugus	ENSMLUT00000028643
ENSMLUP00000020350	ENSMLUG00000023643	Myotis_lucifugus	ENSMLUT00000024660
ENSMLUP00000001507	ENSMLUG00000028071	Myotis_lucifugus	ENSMLUT00000001641
ENSOARP00000016611	ENSOARG00000015485	Ovis_aries	ENSOART00000016848
ENSOARP00000003175	ENSOARG00000002985	Ovis_aries	ENSOART00000003235
ENSMPUP00000005887	ENSMPUG00000005937	Mustela_putorius_furo
ENSGGOP00000024462	ENSGGOG00000013538	Gorilla_gorilla
ENSP00000339398	ENSG00000196735	Homo_sapiens
ENSPPAP00000004765	ENSPPAG00000019881	Pan_paniscus
ENSNLEP00000030543	ENSNLEG00000032515	Nomascus_leucogenys
ENSCATP00000003052	ENSCATG00000012156	Cercocebus_atys
ENSMNEP00000030353	ENSMNEG00000038603	Macaca_nemestrina
ENSPTEP00000007749	ENSPTEG00000008809	Piliocolobus_tephrosceles
ENSCANP00000021845	ENSCANG00000034338	Colobus_angolensis_palliatus
ENSCANP00000004014	ENSCANG00000014207	Colobus_angolensis_palliatus
ENSRROP00000023225	ENSRROG00000035459	Rhinopithecus_roxellana
ENSTGEP00000036977	ENSTGEG00000029442	Theropithecus_gelada
ENSCSAP00000005640	ENSCSAG00000009389	Chlorocebus_sabaeus
ENSMLEP00000021548	ENSMLEG00000034981	Mandrillus_leucophaeus
ENSPANP00000022378	ENSPANG00000033635	Papio_anubis
ENSRBIP00000015460	ENSRBIG00000031838	Rhinopithecus_bieti
ENSMNEP00000020234	ENSMNEG00000033920	Macaca_nemestrina
ENSPPYP00000019295	ENSPPYG00000017218	Pongo_abelii
ENSCATP00000014152	ENSCATG00000031115	Cercocebus_atys
ENSMLEP00000002614	ENSMLEG00000010681	Mandrillus_leucophaeus
ENSPTEP00000010245	ENSPTEG00000011637	Piliocolobus_tephrosceles
ENSPTRP00000055403	ENSPTRG00000018017	Pan_troglodytes
ENSMFAP00000032883	ENSMFAG00000002949	Macaca_fascicularis
ENSANAP00000033331	ENSANAG00000034339	Aotus_nancymaae
ENSSBOP00000008645	ENSSBOG00000021233	Saimiri_boliviensis_boliviensis
ENSSBOP00000038533	ENSSBOG00000035334	Saimiri_boliviensis_boliviensis
ENSCCAP00000012411	ENSCCAG00000023824	Cebus_capucinus_imitator
ENSCJAP00000056406	ENSCJAG00000045515	Callithrix_jacchus
ENSANAP00000003662	ENSANAG00000019813	Aotus_nancymaae
ENSPPYP00000018441	ENSPPYG00000016491	Pongo_abelii
ENSPPAP00000009660	ENSPPAG00000028055	Pan_paniscus
ENSMFAP00000013513	ENSMFAG00000026214	Macaca_fascicularis
ENSANAP00000015086	ENSANAG00000025439	Aotus_nancymaae
ENSTSYP00000002020	ENSTSYG00000002189	Carlito_syrichta
ENSP00000364076	ENSG00000237541	Homo_sapiens
ENSGGOP00000013200	ENSGGOG00000037744	Gorilla_gorilla
ENSPTRP00000030767	ENSPTRG00000034186	Pan_troglodytes
ENSPPAP00000029994	ENSPPAG00000038014	Pan_paniscus
ENSPPYP00000019298	ENSPPYG00000017219	Pongo_abelii
ENSNLEP00000008165	ENSNLEG00000027015	Nomascus_leucogenys
ENSCJAP00000002901	ENSCJAG00000021549	Callithrix_jacchus
ENSCCAP00000011561	ENSCCAG00000023549	Cebus_capucinus_imitator
ENSANAP00000012080	ENSANAG00000023973	Aotus_nancymaae
ENSPSMP00000011733	ENSPSMG00000008349	Prolemur_simus
ENSHGLP00000015949	ENSHGLG00000011398	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016950	ENSHGLG00100012501	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008856	ENSFDAG00000017019	Fukomys_damarensis
ENSCPOP00000029404	ENSCPOG00000014463	Cavia_porcellus
ENSUPAP00010024533	ENSUPAG00010019446	Urocitellus_parryii
ENSNGAP00000000015	ENSNGAG00000000015	Nannospalax_galili
