ENSMEUP00000001554	ENSMEUG00000001696	Notamacropus_eugenii
ENSPLAP00000010260	ENSPLAG00000013202	Poecilia_latipinna
ENSCAFP00000039818	ENSCAFG00000032474	Canis_lupus_familiaris
ENSBBBP00000016629	ENSBBBG00000024875	Bison_bison_bison
ENSCLAP00000002418	ENSCLAG00000001754	Chinchilla_lanigera
ENSMUGP00000003544	ENSMUGG00000003281	Meriones_unguiculatus
ENSPSMP00000015341	ENSPSMG00000010923	Prolemur_simus
MGP_PahariEiJ_P0040518	MGP_PahariEiJ_G0019412	Mus_pahari_strain_PAHARI_EIJ
ENSATEP00000002800	ENSATEG00000001968	Anabas_testudineus
ENSONIP00000010170	ENSONIG00000008074	Oreochromis_niloticus
ENSHHUP00000042080	ENSHHUG00000025965	Hucho_hucho
ENSRNOP00000070006	ENSRNOG00000003094	Rattus_norvegicus
ENSLBEP00000035869	ENSLBEG00000026895	Labrus_bergylta
ENSACLP00000018107	ENSACLG00000012342	Astatotilapia_calliptera
ENSLCRP00005062954	ENSLCRG00005023098	Larimichthys_crocea
ENSMMOP00000012977	ENSMMOG00000009973	Mola_mola
ENSBIXP00005030906	ENSBIXG00005011102	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNBRP00000011630	ENSNBRG00000009063	Neolamprologus_brichardi
ENSPCOP00000031685	ENSPCOG00000028614	Propithecus_coquereli
ENSCGRP00001014783	ENSCGRG00001015567	Cricetulus_griseus_CHOK1GS_HDv1
ENSSHAP00000002179	ENSSHAG00000001939	Sarcophilus_harrisii
ENSMZEP00005009233	ENSMZEG00005006986	Maylandia_zebra
ENSONIP00000010108	ENSONIG00000008027	Oreochromis_niloticus
ENSPNAP00000012675	ENSPNAG00000003530	Pygocentrus_nattereri
ENSTRUP00000057270	ENSTRUG00000022903	Takifugu_rubripes
ENSOARP00000005204	ENSOARG00000004854	Ovis_aries
ENSHBUP00000022442	ENSHBUG00000002702	Haplochromis_burtoni
ENSBIXP00000031366	ENSBIXG00000013615	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSACIP00000014781	ENSACIG00000011461	Amphilophus_citrinellus
ENSUMAP00000028223	ENSUMAG00000020331	Ursus_maritimus
ENSMZEP00005000599	ENSMZEG00005000510	Maylandia_zebra
ENSIPUP00000036722	ENSIPUG00000024591	Ictalurus_punctatus
ENSTNIP00000001802	ENSTNIG00000003792	Tetraodon_nigroviridis
ENSFDAP00000012344	ENSFDAG00000006774	Fukomys_damarensis
ENSGACP00000025763	ENSGACG00000019490	Gasterosteus_aculeatus
ENSCSAP00000004098	ENSCSAG00000007837	Chlorocebus_sabaeus
ENSOPRP00000012348	ENSOPRG00000013533	Ochotona_princeps
ENSSPUP00000010934	ENSSPUG00000008377	Sphenodon_punctatus
ENSUAMP00000018031	ENSUAMG00000014299	Ursus_americanus
ENSMLEP00000038806	ENSMLEG00000043455	Mandrillus_leucophaeus
ENSFHEP00000030106	ENSFHEG00000015240	Fundulus_heteroclitus
ENSCHOP00000006399	ENSCHOG00000007223	Choloepus_hoffmanni
ENSMICP00000030047	ENSMICG00000032782	Microcebus_murinus
ENSOCUP00000003830	ENSOCUG00000004430	Oryctolagus_cuniculus
ENSBTAP00000073225	ENSBTAG00000003892	Bos_taurus
ENSCVAP00000000859	ENSCVAG00000001810	Cyprinodon_variegatus
ENSVPAP00000007625	ENSVPAG00000008193	Vicugna_pacos
ENSPTEP00000002308	ENSPTEG00000002708	Piliocolobus_tephrosceles
ENSPCIP00000007620	ENSPCIG00000006395	Phascolarctos_cinereus
ENSGAFP00000009097	ENSGAFG00000006142	Gambusia_affinis
ENSPMGP00000006198	ENSPMGG00000005221	Periophthalmus_magnuspinnatus
ENSLBEP00000011493	ENSLBEG00000008832	Labrus_bergylta
ENSCHIP00000008702	ENSCHIG00000011804	Capra_hircus
ENSODEP00000019730	ENSODEG00000014566	Octodon_degus
ENSCPOP00000018045	ENSCPOG00000026950	Cavia_porcellus
ENSETEP00000011779	ENSETEG00000014523	Echinops_telfairi
ENSMMOP00000012981	ENSMMOG00000009977	Mola_mola
ENSNLEP00000003240	ENSNLEG00000002686	Nomascus_leucogenys
ENSACAP00000001813	ENSACAG00000001803	Anolis_carolinensis
ENSLBEP00000035743	ENSLBEG00000026801	Labrus_bergylta
ENSPEMP00000018275	ENSPEMG00000016934	Peromyscus_maniculatus_bairdii
ENSLBEP00000009724	ENSLBEG00000007487	Labrus_bergylta
ENSBSLP00000018007	ENSBSLG00000009444	Betta_splendens
ENSHHUP00000038892	ENSHHUG00000024182	Hucho_hucho	ENSHHUT00000040422
ENSPKIP00000001239	ENSPKIG00000019589	Paramormyrops_kingsleyae
ENSVURP00010028765	ENSVURG00010022017	Vombatus_ursinus
ENSPTRP00000030365	ENSPTRG00000017784	Pan_troglodytes
