ENSAOCP00000011323	ENSAOCG00000015601	Amphiprion_ocellaris	ENSAOCT00000018705
ENSAPEP00000016154	ENSAPEG00000011527	Amphiprion_percula	ENSAPET00000016594
ENSAPOP00000031621	ENSAPOG00000019000	Acanthochromis_polyacanthus	ENSAPOT00000024781
ENSPNYP00000015523	ENSPNYG00000011764	Pundamilia_nyererei	ENSPNYT00000015921
ENSMZEP00005004793	ENSMZEG00005003711	Maylandia_zebra	ENSMZET00005005001
ENSACLP00000023039	ENSACLG00000015632	Astatotilapia_calliptera	ENSACLT00000023584
ENSXCOP00000026868	ENSXCOG00000020067	Xiphophorus_couchianus	ENSXCOT00000027197
ENSMMOP00000025020	ENSMMOG00000019000	Mola_mola	ENSMMOT00000025439
ENSELUP00000027737	ENSELUG00000004015	Esox_lucius	ENSELUT00000015283
ENSDARP00000125895	ENSDARG00000093430	Danio_rerio	ENSDART00000133045
ENSSFOP00015006758	ENSSFOG00015004466	Scleropages_formosus
ENSPKIP00000023099	ENSPKIG00000006857	Paramormyrops_kingsleyae	ENSPKIT00000003775
