ENSCGRP00015037355	ENSCGRG00015027986	Cricetulus_griseus_CriGri-PICR
ENSLSDP00000014944	ENSLSDG00000010762	Lonchura_striata_domestica
ENSDORP00000007484	ENSDORG00000007978	Dipodomys_ordii
ENSCGRP00000012739	ENSCGRG00000009263	Cricetulus_griseus_CriGri_1.0
ENSPSIP00000008018	ENSPSIG00000007363	Pelodiscus_sinensis
ENSCJAP00000057967	ENSCJAG00000039073	Callithrix_jacchus
ENSGAFP00000009222	ENSGAFG00000006282	Gambusia_affinis
ENSVURP00010030602	ENSVURG00010023409	Vombatus_ursinus	ENSVURT00010034840
ENSCHOP00000003795	ENSCHOG00000004289	Choloepus_hoffmanni
ENSNBRP00000029118	ENSNBRG00000022194	Neolamprologus_brichardi
ENSCMIP00000039061	ENSCMIG00000016383	Callorhinchus_milii
ENSOGAP00000014139	ENSOGAG00000015789	Otolemur_garnettii
ENSPMGP00000009790	ENSPMGG00000008104	Periophthalmus_magnuspinnatus
ENSMOCP00000020032	ENSMOCG00000017829	Microtus_ochrogaster
ENSUMAP00000014400	ENSUMAG00000010602	Ursus_maritimus
ENSACAP00000005580	ENSACAG00000005708	Anolis_carolinensis
ENSCCNP00000008462	ENSCCNG00000008966	Castor_canadensis
ENSAPEP00000032187	ENSAPEG00000022860	Amphiprion_percula
ENSACLP00000009795	ENSACLG00000006687	Astatotilapia_calliptera
ENSCPBP00000030262	ENSCPBG00000021292	Chrysemys_picta_bellii
ENSSMAP00000012256	ENSSMAG00000007557	Scophthalmus_maximus
ENSCJPP00005021778	ENSCJPG00005017380	Coturnix_japonica
ENSGACP00000017166	ENSGACG00000012982	Gasterosteus_aculeatus
ENSMVIP00005015370	ENSMVIG00005011067	Manacus_vitellinus
ENSBSLP00000045678	ENSBSLG00000021785	Betta_splendens
ENSCCAP00000034255	ENSCCAG00000035097	Cebus_capucinus_imitator
ENSCGRP00001015495	ENSCGRG00001016093	Cricetulus_griseus_CHOK1GS_HDv1
ENSECRP00000032097	ENSECRG00000021757	Erpetoichthys_calabaricus
ENSBIXP00005028150	ENSBIXG00005029441	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSDUP00000013836	ENSSDUG00000010069	Seriola_dumerili
ENSCHAP00000053171	ENSCHAG00000024210	Clupea_harengus
ENSP00000216452	ENSG00000100564	Homo_sapiens
ENSPPAP00000033179	ENSPPAG00000039461	Pan_paniscus
ENSARWP00000003095	ENSARWG00000002324	Apteryx_rowi
ENSPCOP00000023866	ENSPCOG00000024082	Propithecus_coquereli
ENSOARP00000022755	ENSOARG00000021169	Ovis_aries
ENSGMOP00000006463	ENSGMOG00000006099	Gadus_morhua
ENSMODP00000043888	ENSMODG00000049911	Monodelphis_domestica	ENSMODT00000081008
ENSLCAP00010041961	ENSLCAG00010019632	Lates_calcarifer
ENSMALP00000023540	ENSMALG00000016414	Monopterus_albus
ENSUPAP00010015071	ENSUPAG00010012089	Urocitellus_parryii
ENSNVIP00000011722	ENSNVIG00000009267	Neovison_vison
ENSMEUP00000010333	ENSMEUG00000011325	Notamacropus_eugenii	ENSMEUT00000011357
ENSFHEP00000018612	ENSFHEG00000020492	Fundulus_heteroclitus
ENSVPAP00000009731	ENSVPAG00000010460	Vicugna_pacos
ENSMMUP00000079358	ENSMMUG00000021327	Macaca_mulatta
ENSPFOP00000012928	ENSPFOG00000012921	Poecilia_formosa
ENSCPUP00000010715	ENSCPUG00000007614	Calidris_pugnax
ENSPRNP00000026003	ENSPRNG00000013095	Parambassis_ranga
ENSCANP00000032321	ENSCANG00000039829	Colobus_angolensis_palliatus
ENSOPRP00000013904	ENSOPRG00000015244	Ochotona_princeps
ENSDNOP00000003706	ENSDNOG00000004804	Dasypus_novemcinctus
ENSMFAP00000002931	ENSMFAG00000034082	Macaca_fascicularis
ENSANAP00000033529	ENSANAG00000034424	Aotus_nancymaae
ENSHBUP00000020411	ENSHBUG00000022685	Haplochromis_burtoni
ENSLBEP00000032345	ENSLBEG00000024395	Labrus_bergylta
ENSAMXP00005004626	ENSAMXG00005002901	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSPUP00000017967	ENSSPUG00000013890	Sphenodon_punctatus
ENSSBOP00000002694	ENSSBOG00000013849	Saimiri_boliviensis_boliviensis
ENSPVIP00000030921	ENSPVIG00000022727	Pogona_vitticeps
ENSMMOP00000019835	ENSMMOG00000015059	Mola_mola
ENSATEP00000001902	ENSATEG00000001342	Anabas_testudineus
ENSPNYP00000004152	ENSPNYG00000003222	Pundamilia_nyererei
