ENSOARP00000011025	ENSOARG00000010287	Ovis_aries
ENSCHIP00000000590	ENSCHIG00000000416	Capra_hircus
ENSBIXP00000027857	ENSBIXG00000008846	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000022	ENSBIXG00005030789	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000028551	ENSBTAG00000021416	Bos_taurus
ENSBMUP00000004523	ENSBMUG00000003547	Bos_mutus
ENSBBBP00000008205	ENSBBBG00000016221	Bison_bison_bison
ENSTTRP00000015540	ENSTTRG00000016396	Tursiops_truncatus
ENSSSCP00000053450	ENSSSCG00000010340	Sus_scrofa_strain_reference
ENSPVAP00000008451	ENSPVAG00000008957	Pteropus_vampyrus
MGP_SPRETEiJ_P0037989	MGP_SPRETEiJ_G0020025	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000112377	ENSMUSG00000021792	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000030377	ENSMSIG00000025436	Mus_spicilegus
MGP_CAROLIEiJ_P0036276	MGP_CAROLIEiJ_G0019139	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084382	MGP_PahariEiJ_G0030155	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014819	ENSRNOG00000011140	Rattus_norvegicus
ENSMUGP00000008123	ENSMUGG00000007353	Meriones_unguiculatus
ENSMOCP00000004417	ENSMOCG00000003643	Microtus_ochrogaster
ENSPEMP00000002878	ENSPEMG00000003661	Peromyscus_maniculatus_bairdii
ENSCGRP00015022755	ENSCGRG00015017310	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005325	ENSCGRG00001006989	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014663	ENSCGRG00000010614	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022555	ENSMAUG00000019951	Mesocricetus_auratus
ENSNGAP00000013378	ENSNGAG00000014978	Nannospalax_galili
ENSJJAP00000021671	ENSJJAG00000021962	Jaculus_jaculus
ENSODEP00000016886	ENSODEG00000012446	Octodon_degus
ENSCLAP00000000285	ENSCLAG00000000254	Chinchilla_lanigera
ENSCPOP00000025388	ENSCPOG00000006552	Cavia_porcellus
ENSCAPP00000009323	ENSCAPG00000010823	Cavia_aperea
ENSHGLP00000012510	ENSHGLG00000008942	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000057	ENSHGLG00100000074	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007014	ENSFDAG00000015627	Fukomys_damarensis
ENSSDAP00000017395	ENSSDAG00000015786	Spermophilus_dauricus
ENSSDAP00000017392	ENSSDAG00000015781	Spermophilus_dauricus
ENSSDAP00000027563	ENSSDAG00000024956	Spermophilus_dauricus
ENSSTOP00000011528	ENSSTOG00000012864	Ictidomys_tridecemlineatus
ENSMMMP00000012196	ENSMMMG00000010895	Marmota_marmota_marmota
ENSUPAP00010002795	ENSUPAG00010002323	Urocitellus_parryii
ENSDORP00000014983	ENSDORG00000015928	Dipodomys_ordii
ENSCCNP00000003214	ENSCCNG00000003463	Castor_canadensis
ENSOCUP00000010592	ENSOCUG00000012307	Oryctolagus_cuniculus
ENSOPRP00000003630	ENSOPRG00000003958	Ochotona_princeps
ENSGGOP00000012919	ENSGGOG00000013246	Gorilla_gorilla
ENSP00000482445	ENSG00000122378	Homo_sapiens
ENSPTRP00000004683	ENSPTRG00000002685	Pan_troglodytes
ENSPPAP00000028411	ENSPPAG00000037245	Pan_paniscus
ENSPPYP00000023491	ENSPPYG00000025862	Pongo_abelii
ENSNLEP00000030011	ENSNLEG00000008244	Nomascus_leucogenys
ENSNLEP00000013026	ENSNLEG00000010726	Nomascus_leucogenys
ENSRBIP00000015259	ENSRBIG00000031726	Rhinopithecus_bieti
ENSRROP00000029012	ENSRROG00000038300	Rhinopithecus_roxellana
ENSCANP00000028099	ENSCANG00000037444	Colobus_angolensis_palliatus
ENSPTEP00000000362	ENSPTEG00000000446	Piliocolobus_tephrosceles
ENSMFAP00000023355	ENSMFAG00000043331	Macaca_fascicularis
ENSMMUP00000079752	ENSMMUG00000021773	Macaca_mulatta
ENSMNEP00000031491	ENSMNEG00000039158	Macaca_nemestrina
ENSMLEP00000006593	ENSMLEG00000026958	Mandrillus_leucophaeus
ENSCATP00000001462	ENSCATG00000006717	Cercocebus_atys
ENSPANP00000020232	ENSPANG00000022583	Papio_anubis
ENSTGEP00000021250	ENSTGEG00000017128	Theropithecus_gelada
ENSCSAP00000005671	ENSCSAG00000009424	Chlorocebus_sabaeus
ENSMNEP00000026909	ENSMNEG00000036873	Macaca_nemestrina
ENSPTEP00000027859	ENSPTEG00000027655	Piliocolobus_tephrosceles
ENSCSAP00000003726	ENSCSAG00000007470	Chlorocebus_sabaeus
ENSPANP00000027949	ENSPANG00000036070	Papio_anubis
ENSCATP00000024388	ENSCATG00000035716	Cercocebus_atys
ENSPTRP00000065779	ENSPTRG00000046964	Pan_troglodytes
ENSCCAP00000001215	ENSCCAG00000007910	Cebus_capucinus_imitator
ENSCCAP00000026115	ENSCCAG00000030854	Cebus_capucinus_imitator
ENSCCAP00000031169	ENSCCAG00000033641	Cebus_capucinus_imitator
ENSCJAP00000006635	ENSCJAG00000003657	Callithrix_jacchus
ENSSBOP00000003045	ENSSBOG00000015267	Saimiri_boliviensis_boliviensis
ENSANAP00000019151	ENSANAG00000027383	Aotus_nancymaae
ENSTSYP00000003510	ENSTSYG00000003834	Carlito_syrichta
ENSMICP00000047006	ENSMICG00000044760	Microcebus_murinus
ENSMICP00000040304	ENSMICG00000033383	Microcebus_murinus
ENSPSMP00000020851	ENSPSMG00000014743	Prolemur_simus
ENSPCOP00000022147	ENSPCOG00000023150	Propithecus_coquereli
ENSOGAP00000012216	ENSOGAG00000013638	Otolemur_garnettii
ENSCHOP00000000724	ENSCHOG00000000813	Choloepus_hoffmanni
ENSUAMP00000016149	ENSUAMG00000012871	Ursus_americanus
ENSUMAP00000019307	ENSUMAG00000014166	Ursus_maritimus
ENSAMEP00000013752	ENSAMEG00000013059	Ailuropoda_melanoleuca
ENSNVIP00000003633	ENSNVIG00000002853	Neovison_vison
ENSMPUP00000003514	ENSMPUG00000003544	Mustela_putorius_furo
ENSCAFP00000023333	ENSCAFG00000015861	Canis_lupus_familiaris
ENSCAFP00020017398	ENSCAFG00020013929	Canis_lupus_dingo
ENSVVUP00000035555	ENSVVUG00000025576	Vulpes_vulpes
ENSPPRP00000000353	ENSPPRG00000024880	Panthera_pardus
ENSPTIP00000025578	ENSPTIG00000021293	Panthera_tigris_altaica
ENSFCAP00000061544	ENSFCAG00000024546	Felis_catus
ENSEASP00005029228	ENSEASG00005019889	Equus_asinus_asinus
ENSECAP00000034272	ENSECAG00000009136	Equus_caballus
ENSEEUP00000003304	ENSEEUG00000003638	Erinaceus_europaeus
ENSSARP00000002393	ENSSARG00000002660	Sorex_araneus
ENSMLUP00000001174	ENSMLUG00000001289	Myotis_lucifugus
ENSTBEP00000015318	ENSTBEG00000017619	Tupaia_belangeri
ENSDNOP00000034028	ENSDNOG00000038670	Dasypus_novemcinctus
ENSLAFP00000003726	ENSLAFG00000004468	Loxodonta_africana
ENSPCAP00000009006	ENSPCAG00000009696	Procavia_capensis
ENSETEP00000016175	ENSETEG00000019911	Echinops_telfairi
