ENSVURP00010023766	ENSVURG00010018217	Vombatus_ursinus
ENSPCIP00000023699	ENSPCIG00000011972	Phascolarctos_cinereus
ENSMEUP00000006916	ENSMEUG00000007557	Notamacropus_eugenii
ENSSHAP00000018878	ENSSHAG00000016024	Sarcophilus_harrisii
ENSMODP00000016259	ENSMODG00000013001	Monodelphis_domestica
ENSMODP00000059880	ENSMODG00000042871	Monodelphis_domestica
ENSPTRP00000025757	ENSPTRG00000014920	Pan_troglodytes
ENSPPAP00000014906	ENSPPAG00000030591	Pan_paniscus
ENSP00000265560	ENSG00000114316	Homo_sapiens
ENSGGOP00000004509	ENSGGOG00000004591	Gorilla_gorilla
ENSPPYP00000015523	ENSPPYG00000013874	Pongo_abelii
ENSNLEP00000008321	ENSNLEG00000006829	Nomascus_leucogenys
ENSMMUP00000039257	ENSMMUG00000000822	Macaca_mulatta
ENSMFAP00000023552	ENSMFAG00000043326	Macaca_fascicularis
ENSMNEP00000026524	ENSMNEG00000036652	Macaca_nemestrina
ENSMLEP00000034300	ENSMLEG00000041312	Mandrillus_leucophaeus
ENSCATP00000029699	ENSCATG00000038050	Cercocebus_atys
ENSTGEP00000007657	ENSTGEG00000006265	Theropithecus_gelada
ENSPANP00000002215	ENSPANG00000019009	Papio_anubis
ENSCSAP00000011189	ENSCSAG00000015089	Chlorocebus_sabaeus
ENSRBIP00000028611	ENSRBIG00000038187	Rhinopithecus_bieti
ENSRROP00000027691	ENSRROG00000037639	Rhinopithecus_roxellana
ENSCANP00000018712	ENSCANG00000032599	Colobus_angolensis_palliatus
ENSSBOP00000029022	ENSSBOG00000030849	Saimiri_boliviensis_boliviensis
ENSCCAP00000026172	ENSCCAG00000030853	Cebus_capucinus_imitator
ENSCJAP00000007073	ENSCJAG00000003788	Callithrix_jacchus
ENSANAP00000019498	ENSANAG00000027506	Aotus_nancymaae
ENSTSYP00000018127	ENSTSYG00000006605	Carlito_syrichta
ENSPCOP00000022398	ENSPCOG00000023286	Propithecus_coquereli
ENSMICP00000042714	ENSMICG00000043936	Microcebus_murinus
ENSPSMP00000037932	ENSPSMG00000026005	Prolemur_simus
ENSOGAP00000001672	ENSOGAG00000001877	Otolemur_garnettii
ENSCLAP00000009996	ENSCLAG00000006925	Chinchilla_lanigera
ENSODEP00000024775	ENSODEG00000018126	Octodon_degus
ENSCPOP00000009223	ENSCPOG00000010272	Cavia_porcellus
ENSCAPP00000001012	ENSCAPG00000001582	Cavia_aperea
ENSHGLP00000019915	ENSHGLG00000014262	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020029	ENSHGLG00100014763	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019061	ENSFDAG00000009395	Fukomys_damarensis
ENSUPAP00010028832	ENSUPAG00010022743	Urocitellus_parryii
ENSSTOP00000010154	ENSSTOG00000011315	Ictidomys_tridecemlineatus
