ENSGACP00000015958	ENSGACG00000012062	Gasterosteus_aculeatus
ENSMMOP00000020833	ENSMMOG00000015836	Mola_mola
ENSHCOP00000023836	ENSHCOG00000000364	Hippocampus_comes
ENSORLP00015012859	ENSORLG00015013718	Oryzias_latipes_ASM223469v1
ENSORLP00020032671	ENSORLG00020018354	Oryzias_latipes_ASM223471v1
ENSORLP00000013554	ENSORLG00000010807	Oryzias_latipes_ASM223467v1
ENSKMAP00000016728	ENSKMAG00000012492	Kryptolebias_marmoratus
ENSACLP00000005029	ENSACLG00000003383	Astatotilapia_calliptera
ENSMZEP00005008465	ENSMZEG00005006461	Maylandia_zebra
ENSHBUP00000026260	ENSHBUG00000008805	Haplochromis_burtoni
ENSPNYP00000030482	ENSPNYG00000022977	Pundamilia_nyererei
ENSAPEP00000018985	ENSAPEG00000013560	Amphiprion_percula
ENSAOCP00000013813	ENSAOCG00000001317	Amphiprion_ocellaris
ENSSPAP00000029840	ENSSPAG00000022444	Stegastes_partitus
ENSGMOP00000003800	ENSGMOG00000003584	Gadus_morhua
ENSCHAP00000052357	ENSCHAG00000023905	Clupea_harengus
