ENSMUSP00000073041	ENSMUSG00000001517	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0079499	MGP_SPRETEiJ_G0029949	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029179	ENSMSIG00000024510	Mus_spicilegus
MGP_CAROLIEiJ_P0076250	MGP_CAROLIEiJ_G0028905	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0052616	MGP_PahariEiJ_G0022669	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008003	ENSRNOG00000005936	Rattus_norvegicus
ENSMUGP00000015323	ENSMUGG00000013199	Meriones_unguiculatus
ENSPEMP00000019523	ENSPEMG00000017790	Peromyscus_maniculatus_bairdii
ENSMOCP00000026600	ENSMOCG00000022353	Microtus_ochrogaster
ENSCGRP00015006507	ENSCGRG00015005013	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000020808	ENSCGRG00000015123	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001014832	ENSCGRG00001015604	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002728	ENSMAUG00000002449	Mesocricetus_auratus
ENSNGAP00000010048	ENSNGAG00000012562	Nannospalax_galili
ENSCCNP00000029303	ENSCCNG00000028085	Castor_canadensis
ENSSTOP00000014404	ENSSTOG00000016089	Ictidomys_tridecemlineatus
ENSSDAP00000004218	ENSSDAG00000003747	Spermophilus_dauricus
ENSUPAP00010016142	ENSUPAG00010012691	Urocitellus_parryii
ENSMMMP00000021391	ENSMMMG00000018691	Marmota_marmota_marmota
ENSODEP00000000381	ENSODEG00000000334	Octodon_degus
ENSCLAP00000020704	ENSCLAG00000014183	Chinchilla_lanigera
ENSCPOP00000013859	ENSCPOG00000015373	Cavia_porcellus
ENSCAPP00000017848	ENSCAPG00000017414	Cavia_aperea
ENSHGLP00000004234	ENSHGLG00000003100	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012071	ENSHGLG00100008948	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010207	ENSFDAG00000018034	Fukomys_damarensis
ENSOCUP00000002341	ENSOCUG00000002703	Oryctolagus_cuniculus
ENSOPRP00000014079	ENSOPRG00000015416	Ochotona_princeps
