ENSCGOP00000008676	ENSCGOG00000004495	Cottoperca_gobio
ENSLBEP00000007963	ENSLBEG00000006173	Labrus_bergylta
ENSLCRP00005055641	ENSLCRG00005020743	Larimichthys_crocea
ENSLCAP00010029111	ENSLCAG00010013657	Lates_calcarifer
ENSSPAP00000002182	ENSSPAG00000001673	Stegastes_partitus
ENSTNIP00000011425	ENSTNIG00000008585	Tetraodon_nigroviridis
ENSCSEP00000011233	ENSCSEG00000007226	Cynoglossus_semilaevis
ENSPMGP00000015178	ENSPMGG00000012433	Periophthalmus_magnuspinnatus
ENSELUP00000006476	ENSELUG00000007351	Esox_lucius
ENSHHUP00000072533	ENSHHUG00000042584	Hucho_hucho
ENSDCDP00000057158	ENSDCDG00000033446	Denticeps_clupeoides
ENSCHAP00000008451	ENSCHAG00000005129	Clupea_harengus
ENSAMXP00000030323	ENSAMXG00000031941	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005025789	ENSAMXG00005013049	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000029438	ENSPNAG00000005663	Pygocentrus_nattereri
ENSIPUP00000010910	ENSIPUG00000007447	Ictalurus_punctatus
ENSEEEP00000038199	ENSEEEG00000018161	Electrophorus_electricus
ENSDARP00000153850	ENSDARG00000079102	Danio_rerio
ENSPKIP00000026326	ENSPKIG00000008856	Paramormyrops_kingsleyae
ENSLOCP00000018421	ENSLOCG00000014963	Lepisosteus_oculatus
ENSECRP00000017547	ENSECRG00000011710	Erpetoichthys_calabaricus
ENSCPGP00000015980	ENSCPGG00000011256	Calidris_pygmaea
ENSCPUP00000001489	ENSCPUG00000001133	Calidris_pugnax
ENSTGUP00000006611	ENSTGUG00000006439	Taeniopygia_guttata
ENSLSDP00000009437	ENSLSDG00000007014	Lonchura_striata_domestica
ENSCCEP00000018469	ENSCCEG00000016921	Cyanistes_caeruleus
ENSPMJP00000016079	ENSPMJG00000012173	Parus_major
ENSSCAP00000023819	ENSSCAG00000017043	Serinus_canaria
ENSFALP00000011688	ENSFALG00000011202	Ficedula_albicollis
ENSJHYP00000003011	ENSJHYG00000002476	Junco_hyemalis
ENSZALP00000002422	ENSZALG00000002613	Zonotrichia_albicollis
ENSLCOP00000020826	ENSLCOG00000014743	Lepidothrix_coronata
ENSMUNP00000016005	ENSMUNG00000012325	Melopsittacus_undulatus
ENSABRP00000001264	ENSABRG00000001318	Anser_brachyrhynchus
ENSAPLP00000008719	ENSAPLG00000009043	Anas_platyrhynchos_platyrhynchos
ENSGALP00000066561	ENSGALG00000046724	Gallus_gallus
ENSMGAP00000005114	ENSMGAG00000005238	Meleagris_gallopavo
ENSCJPP00005021072	ENSCJPG00005016884	Coturnix_japonica
ENSNMEP00000024416	ENSNMEG00000020735	Numida_meleagris
ENSAHAP00000027580	ENSAHAG00000019194	Apteryx_haastii
ENSAOWP00000024191	ENSAOWG00000016335	Apteryx_owenii
ENSARWP00000003305	ENSARWG00000002479	Apteryx_rowi
ENSDNVP00000004875	ENSDNVG00000003479	Dromaius_novaehollandiae
ENSNPEP00000008211	ENSNPEG00000006146	Nothoprocta_perdicaria
ENSCPRP00005009841	ENSCPRG00005007028	Crocodylus_porosus
ENSGAGP00000014524	ENSGAGG00000011040	Gopherus_agassizii
ENSCABP00000012310	ENSCABG00000009206	Chelonoidis_abingdonii
ENSCPBP00000002215	ENSCPBG00000001786	Chrysemys_picta_bellii
ENSPSIP00000000023	ENSPSIG00000000023	Pelodiscus_sinensis
ENSSPUP00000024189	ENSSPUG00000018533	Sphenodon_punctatus
ENSPVAP00000009932	ENSPVAG00000010542	Pteropus_vampyrus
ENSMLUP00000006405	ENSMLUG00000007023	Myotis_lucifugus
ENSEEUP00000007774	ENSEEUG00000008556	Erinaceus_europaeus
ENSECAP00000000380	ENSECAG00000000587	Equus_caballus
ENSEASP00005023656	ENSEASG00005016082	Equus_asinus_asinus
ENSUAMP00000001651	ENSUAMG00000001567	Ursus_americanus
ENSUMAP00000013231	ENSUMAG00000009781	Ursus_maritimus
ENSAMEP00000017929	ENSAMEG00000016979	Ailuropoda_melanoleuca
ENSCAFP00020029926	ENSCAFG00020023305	Canis_lupus_dingo
ENSCAFP00000028248	ENSCAFG00000019149	Canis_lupus_familiaris
ENSVVUP00000040781	ENSVVUG00000029045	Vulpes_vulpes
ENSMPUP00000011579	ENSMPUG00000011673	Mustela_putorius_furo
ENSNVIP00000000305	ENSNVIG00000000307	Neovison_vison
ENSPPRP00000026808	ENSPPRG00000017789	Panthera_pardus
ENSPTIP00000007342	ENSPTIG00000009025	Panthera_tigris_altaica
ENSFCAP00000006000	ENSFCAG00000006456	Felis_catus
ENSTTRP00000015835	ENSTTRG00000016702	Tursiops_truncatus
ENSSSCP00000021822	ENSSSCG00000026254	Sus_scrofa_strain_reference
ENSBIXP00005045183	ENSBIXG00005002117	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062905	ENSBTAG00000009775	Bos_taurus
ENSBMUP00000003550	ENSBMUG00000002811	Bos_mutus
ENSBBBP00000004421	ENSBBBG00000013321	Bison_bison_bison
ENSOARP00000009253	ENSOARG00000008626	Ovis_aries
ENSCHIP00000007537	ENSCHIG00000010999	Capra_hircus
ENSSARP00000001830	ENSSARG00000002035	Sorex_araneus
ENSPTRP00000092580	ENSPTRG00000022376	Pan_troglodytes
ENSPTRP00000070302	ENSPTRG00000044970	Pan_troglodytes
ENSPPAP00000037531	ENSPPAG00000041513	Pan_paniscus
ENSGGOP00000032386	ENSGGOG00000012920	Gorilla_gorilla
ENSP00000359378	ENSG00000130032	Homo_sapiens
ENSPPYP00000023307	ENSPPYG00000020822	Pongo_abelii
ENSNLEP00000049133	ENSNLEG00000013726	Nomascus_leucogenys
ENSPTEP00000019878	ENSPTEG00000021168	Piliocolobus_tephrosceles
ENSCANP00000009005	ENSCANG00000027912	Colobus_angolensis_palliatus
ENSRROP00000010081	ENSRROG00000029446	Rhinopithecus_roxellana
ENSRBIP00000029523	ENSRBIG00000038645	Rhinopithecus_bieti
ENSMLEP00000033100	ENSMLEG00000040739	Mandrillus_leucophaeus
ENSPANP00000025745	ENSPANG00000003864	Papio_anubis
ENSCATP00000000543	ENSCATG00000002680	Cercocebus_atys
ENSMFAP00000035567	ENSMFAG00000040208	Macaca_fascicularis
ENSMNEP00000023429	ENSMNEG00000035309	Macaca_nemestrina
ENSMMUP00000022262	ENSMMUG00000016929	Macaca_mulatta
ENSTGEP00000009759	ENSTGEG00000008032	Theropithecus_gelada
ENSCSAP00000003344	ENSCSAG00000007069	Chlorocebus_sabaeus
ENSCCAP00000003307	ENSCCAG00000018087	Cebus_capucinus_imitator
ENSCJAP00000007089	ENSCJAG00000003895	Callithrix_jacchus
ENSSBOP00000015192	ENSSBOG00000024336	Saimiri_boliviensis_boliviensis
ENSANAP00000003129	ENSANAG00000019469	Aotus_nancymaae
ENSTSYP00000016687	ENSTSYG00000028059	Carlito_syrichta
ENSPCOP00000022172	ENSPCOG00000023165	Propithecus_coquereli
ENSPSMP00000007920	ENSPSMG00000005881	Prolemur_simus
ENSMICP00000016397	ENSMICG00000030324	Microcebus_murinus
ENSOGAP00000015373	ENSOGAG00000017162	Otolemur_garnettii
ENSMSIP00000032745	ENSMSIG00000027413	Mus_spicilegus
ENSMUSP00000038947	ENSMUSG00000033361	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0095391	MGP_SPRETEiJ_G0034288	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0091638	MGP_CAROLIEiJ_G0033135	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0089268	MGP_PahariEiJ_G0031677	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000076043	ENSRNOG00000045663	Rattus_norvegicus
ENSRNOP00000064438	ENSRNOG00000047013	Rattus_norvegicus
ENSMUGP00000005888	ENSMUGG00000005442	Meriones_unguiculatus
ENSCGRP00015002110	ENSCGRG00015001721	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014311	ENSCGRG00001015221	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014255	ENSCGRG00000010313	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000002036	ENSMAUG00000001542	Mesocricetus_auratus
ENSPEMP00000027685	ENSPEMG00000023422	Peromyscus_maniculatus_bairdii
ENSMOCP00000008865	ENSMOCG00000008930	Microtus_ochrogaster
ENSNGAP00000025354	ENSNGAG00000023334	Nannospalax_galili
ENSJJAP00000012581	ENSJJAG00000015583	Jaculus_jaculus
ENSCCNP00000006988	ENSCCNG00000007482	Castor_canadensis
ENSDORP00000002220	ENSDORG00000002364	Dipodomys_ordii
ENSSTOP00000002852	ENSSTOG00000003213	Ictidomys_tridecemlineatus
ENSSDAP00000013053	ENSSDAG00000011761	Spermophilus_dauricus
ENSUPAP00010025671	ENSUPAG00010020293	Urocitellus_parryii
ENSMMMP00000013400	ENSMMMG00000011949	Marmota_marmota_marmota
ENSHGLP00100000765	ENSHGLG00100000627	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000003034	ENSHGLG00000002265	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017684	ENSFDAG00000006221	Fukomys_damarensis
ENSCLAP00000001071	ENSCLAG00000000825	Chinchilla_lanigera
ENSODEP00000001941	ENSODEG00000001522	Octodon_degus
ENSCPOP00000028253	ENSCPOG00000031989	Cavia_porcellus
ENSCAPP00000004653	ENSCAPG00000007150	Cavia_aperea
ENSOPRP00000011900	ENSOPRG00000013049	Ochotona_princeps
ENSLAFP00000020470	ENSLAFG00000027978	Loxodonta_africana
ENSPCAP00000002850	ENSPCAG00000003060	Procavia_capensis
ENSDNOP00000033992	ENSDNOG00000038582	Dasypus_novemcinctus
ENSPVIP00000020991	ENSPVIG00000015964	Pogona_vitticeps
ENSNSUP00000025408	ENSNSUG00000018293	Notechis_scutatus
ENSACAP00000013861	ENSACAG00000014130	Anolis_carolinensis
ENSSMRP00000004163	ENSSMRG00000003481	Salvator_merianae
ENSMVIP00005003640	ENSMVIG00005002850	Manacus_vitellinus
ENSOANP00000013181	ENSOANG00000008292	Ornithorhynchus_anatinus
ENSXETP00000009201	ENSXETG00000011857	Xenopus_tropicalis
ENSLACP00000015355	ENSLACG00000013520	Latimeria_chalumnae
ENSCMIP00000007411	ENSCMIG00000004070	Callorhinchus_milii
ENSCMIP00000025286	ENSCMIG00000011135	Callorhinchus_milii
ENSLACP00000012163	ENSLACG00000010706	Latimeria_chalumnae
