ENSBIXP00005013077	ENSBIXG00005017243	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000026663	ENSBMUG00000020011	Bos_mutus
ENSBTAP00000054393	ENSBTAG00000047655	Bos_taurus
ENSOARP00000000857	ENSOARG00000000831	Ovis_aries
ENSCHIP00000009553	ENSCHIG00000012372	Capra_hircus
ENSTTRP00000011039	ENSTTRG00000011642	Tursiops_truncatus	ENSTTRT00000011640
ENSSSCP00000013341	ENSSSCG00000012547	Sus_scrofa_strain_reference
ENSVPAP00000005917	ENSVPAG00000006374	Vicugna_pacos
ENSVPAP00000009926	ENSVPAG00000010662	Vicugna_pacos
ENSEASP00005000853	ENSEASG00005000748	Equus_asinus_asinus
ENSECAP00000009655	ENSECAG00000011859	Equus_caballus
ENSSARP00000006378	ENSSARG00000007042	Sorex_araneus
ENSEEUP00000011755	ENSEEUG00000012911	Erinaceus_europaeus
ENSMLUP00000005395	ENSMLUG00000005900	Myotis_lucifugus
ENSPVAP00000004044	ENSPVAG00000004272	Pteropus_vampyrus
ENSUAMP00000036638	ENSUAMG00000027757	Ursus_americanus
ENSUMAP00000014946	ENSUMAG00000010987	Ursus_maritimus
ENSAMEP00000003887	ENSAMEG00000003674	Ailuropoda_melanoleuca
ENSNVIP00000006938	ENSNVIG00000005506	Neovison_vison
ENSMPUP00000005289	ENSMPUG00000005327	Mustela_putorius_furo
ENSCAFP00020008558	ENSCAFG00020006955	Canis_lupus_dingo
ENSCAFP00000063246	ENSCAFG00000017885	Canis_lupus_familiaris
ENSVVUP00000012939	ENSVVUG00000009483	Vulpes_vulpes
ENSPTIP00000021647	ENSPTIG00000018736	Panthera_tigris_altaica
ENSPPRP00000012507	ENSPPRG00000006019	Panthera_pardus
ENSFCAP00000054484	ENSFCAG00000002394	Felis_catus
ENSSTOP00000023795	ENSSTOG00000026664	Ictidomys_tridecemlineatus
ENSSDAP00000002432	ENSSDAG00000002351	Spermophilus_dauricus
ENSUPAP00010020709	ENSUPAG00010016394	Urocitellus_parryii
ENSMMMP00000012931	ENSMMMG00000011549	Marmota_marmota_marmota
MGP_PahariEiJ_P0090417	MGP_PahariEiJ_G0031976	Mus_pahari_strain_PAHARI_EIJ
ENSCCNP00000015438	ENSCCNG00000015827	Castor_canadensis
ENSDORP00000009596	ENSDORG00000010210	Dipodomys_ordii
ENSPEMP00000017483	ENSPEMG00000016392	Peromyscus_maniculatus_bairdii
ENSMOCP00000015092	ENSMOCG00000014397	Microtus_ochrogaster
ENSCGRP00015025628	ENSCGRG00015019456	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000014368	ENSCGRG00000010397	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001008538	ENSCGRG00001010792	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000005048	ENSMAUG00000006834	Mesocricetus_auratus
MGP_SPRETEiJ_P0096567	MGP_SPRETEiJ_G0034606	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000022921	ENSMSIG00000019430	Mus_spicilegus
ENSMUSP00000033626	ENSMUSG00000031271	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0092804	MGP_CAROLIEiJ_G0033436	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000014739	ENSRNOG00000011081	Rattus_norvegicus
ENSNGAP00000020058	ENSNGAG00000019676	Nannospalax_galili
ENSJJAP00000024805	ENSJJAG00000024168	Jaculus_jaculus
ENSCPOP00000008137	ENSCPOG00000009061	Cavia_porcellus
ENSODEP00000000588	ENSODEG00000000493	Octodon_degus
ENSCLAP00000000104	ENSCLAG00000000119	Chinchilla_lanigera
ENSHGLP00100022693	ENSHGLG00100016684	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001945	ENSHGLG00000001481	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009044	ENSFDAG00000017151	Fukomys_damarensis
ENSOCUP00000040183	ENSOCUG00000017102	Oryctolagus_cuniculus
ENSOPRP00000006950	ENSOPRG00000007590	Ochotona_princeps
ENSPPAP00000027273	ENSPPAG00000036704	Pan_paniscus
ENSPTRP00000038088	ENSPTRG00000022145	Pan_troglodytes
ENSP00000329374	ENSG00000123561	Homo_sapiens
ENSGGOP00000019938	ENSGGOG00000023799	Gorilla_gorilla
ENSPPYP00000023058	ENSPPYG00000020601	Pongo_abelii
ENSNLEP00000016610	ENSNLEG00000013698	Nomascus_leucogenys
ENSCANP00000036909	ENSCANG00000042136	Colobus_angolensis_palliatus
ENSPTEP00000001989	ENSPTEG00000002276	Piliocolobus_tephrosceles
ENSRBIP00000024247	ENSRBIG00000036027	Rhinopithecus_bieti
ENSRROP00000022760	ENSRROG00000035235	Rhinopithecus_roxellana
ENSTGEP00000017459	ENSTGEG00000014116	Theropithecus_gelada
ENSPANP00000002289	ENSPANG00000002931	Papio_anubis
ENSMNEP00000009768	ENSMNEG00000029310	Macaca_nemestrina
ENSMFAP00000040305	ENSMFAG00000046317	Macaca_fascicularis
