ENSMUGP00000023097	ENSMUGG00000019343	Meriones_unguiculatus
ENSCCNP00000018451	ENSCCNG00000018706	Castor_canadensis
ENSMMMP00000003069	ENSMMMG00000002801	Marmota_marmota_marmota
ENSOCUP00000036151	ENSOCUG00000035985	Oryctolagus_cuniculus
ENSMFAP00000027061	ENSMFAG00000044956	Macaca_fascicularis
ENSMNEP00000033921	ENSMNEG00000040182	Macaca_nemestrina
ENSPANP00000037939	ENSPANG00000035042	Papio_anubis
ENSMLEP00000028391	ENSMLEG00000038418	Mandrillus_leucophaeus
ENSCANP00000033460	ENSCANG00000040404	Colobus_angolensis_palliatus
ENSGGOP00000031084	ENSGGOG00000043276	Gorilla_gorilla
ENSGGOP00000045940	ENSGGOG00000037154	Gorilla_gorilla
ENSCCAP00000026324	ENSCCAG00000030965	Cebus_capucinus_imitator
ENSSSCP00000042387	ENSSSCG00000031644	Sus_scrofa_strain_reference
ENSCHIP00000030509	ENSCHIG00000025243	Capra_hircus
ENSFCAP00000047989	ENSFCAG00000041389	Felis_catus
ENSPPRP00000011482	ENSPPRG00000005329	Panthera_pardus
