ENSARWP00000027266	ENSARWG00000018423	Apteryx_rowi	ENSARWT00000030846
ENSAOWP00000016956	ENSAOWG00000011585	Apteryx_owenii	ENSAOWT00000019254
ENSAHAP00000027016	ENSAHAG00000018826	Apteryx_haastii	ENSAHAT00000029775
ENSNPEP00000000520	ENSNPEG00000000446	Nothoprocta_perdicaria
ENSDNVP00000005763	ENSDNVG00000004113	Dromaius_novaehollandiae	ENSDNVT00000006953
ENSCPGP00000021623	ENSCPGG00000015079	Calidris_pygmaea
ENSCPUP00000012019	ENSCPUG00000008497	Calidris_pugnax
ENSMUNP00000020422	ENSMUNG00000015541	Melopsittacus_undulatus
ENSABRP00000023153	ENSABRG00000019547	Anser_brachyrhynchus
ENSAPLP00000007008	ENSAPLG00000007376	Anas_platyrhynchos_platyrhynchos
ENSGALP00000068226	ENSGALG00000031666	Gallus_gallus
ENSCJPP00005020079	ENSCJPG00005016219	Coturnix_japonica
ENSNMEP00000002733	ENSNMEG00000003370	Numida_meleagris
ENSLCOP00000018217	ENSLCOG00000012878	Lepidothrix_coronata
ENSMVIP00005027637	ENSMVIG00005019261	Manacus_vitellinus
ENSJHYP00000010410	ENSJHYG00000008174	Junco_hyemalis
ENSZALP00000018831	ENSZALG00000015039	Zonotrichia_albicollis
ENSSCAP00000014200	ENSSCAG00000010441	Serinus_canaria
ENSTGUP00000013058	ENSTGUG00000012682	Taeniopygia_guttata
ENSLSDP00000025460	ENSLSDG00000017791	Lonchura_striata_domestica
ENSFALP00000004807	ENSFALG00000004618	Ficedula_albicollis
ENSCCEP00000021145	ENSCCEG00000019177	Cyanistes_caeruleus
ENSPMJP00000001229	ENSPMJG00000001024	Parus_major
ENSCPRP00005001693	ENSCPRG00005001261	Crocodylus_porosus
ENSGAGP00000035809	ENSGAGG00000025413	Gopherus_agassizii
ENSCABP00000014842	ENSCABG00000011086	Chelonoidis_abingdonii
ENSCPBP00000000935	ENSCPBG00000000759	Chrysemys_picta_bellii
ENSPSIP00000014057	ENSPSIG00000012612	Pelodiscus_sinensis
ENSPVIP00000025190	ENSPVIG00000018919	Pogona_vitticeps
ENSACAP00000002333	ENSACAG00000002407	Anolis_carolinensis
ENSNSUP00000008317	ENSNSUG00000006453	Notechis_scutatus
ENSSMRP00000010182	ENSSMRG00000008079	Salvator_merianae
ENSVURP00010006410	ENSVURG00010004967	Vombatus_ursinus
ENSPCIP00000050585	ENSPCIG00000031995	Phascolarctos_cinereus
ENSMEUP00000009727	ENSMEUG00000010660	Notamacropus_eugenii
ENSMODP00000047590	ENSMODG00000014414	Monodelphis_domestica
ENSMUSP00000032441	ENSMUSG00000030301	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080185	MGP_SPRETEiJ_G0030123	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015700	ENSMSIG00000013458	Mus_spicilegus
MGP_CAROLIEiJ_P0076916	MGP_CAROLIEiJ_G0029068	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053257	MGP_PahariEiJ_G0022829	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002527	ENSRNOG00000001847	Rattus_norvegicus
ENSMUGP00000011994	ENSMUGG00000010489	Meriones_unguiculatus
ENSCGRP00001017855	ENSCGRG00001017789	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016816	ENSCGRG00000012227	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004211	ENSCGRG00015003214	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000013528	ENSMAUG00000013545	Mesocricetus_auratus
ENSPEMP00000013669	ENSPEMG00000013667	Peromyscus_maniculatus_bairdii
ENSMOCP00000022065	ENSMOCG00000019216	Microtus_ochrogaster
ENSNGAP00000005065	ENSNGAG00000007042	Nannospalax_galili
ENSJJAP00000001925	ENSJJAG00000002910	Jaculus_jaculus
ENSDORP00000005025	ENSDORG00000005372	Dipodomys_ordii
ENSHGLP00000014384	ENSHGLG00000010299	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009908	ENSHGLG00100007351	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008269	ENSFDAG00000016569	Fukomys_damarensis
ENSODEP00000007894	ENSODEG00000005886	Octodon_degus
ENSODEP00000009187	ENSODEG00000006868	Octodon_degus
ENSCLAP00000001158	ENSCLAG00000000884	Chinchilla_lanigera
ENSCPOP00000008180	ENSCPOG00000009109	Cavia_porcellus
ENSCAPP00000008943	ENSCAPG00000010523	Cavia_aperea
ENSSTOP00000001719	ENSSTOG00000001930	Ictidomys_tridecemlineatus
ENSSDAP00000020595	ENSSDAG00000018758	Spermophilus_dauricus
ENSMMMP00000024823	ENSMMMG00000021734	Marmota_marmota_marmota
ENSUPAP00010021240	ENSUPAG00010016884	Urocitellus_parryii
ENSTBEP00000012264	ENSTBEG00000014154	Tupaia_belangeri
ENSPPAP00000025749	ENSPPAG00000035986	Pan_paniscus
ENSPTRP00000050131	ENSPTRG00000004795	Pan_troglodytes
ENSP00000438040	ENSG00000123106	Homo_sapiens
ENSGGOP00000000070	ENSGGOG00000000071	Gorilla_gorilla
ENSPPYP00000005009	ENSPPYG00000004387	Pongo_abelii
ENSNLEP00000023719	ENSNLEG00000005586	Nomascus_leucogenys
ENSMNEP00000006681	ENSMNEG00000027722	Macaca_nemestrina
ENSMFAP00000028453	ENSMFAG00000045497	Macaca_fascicularis
ENSMMUP00000040046	ENSMMUG00000011802	Macaca_mulatta
ENSCSAP00000003831	ENSCSAG00000007565	Chlorocebus_sabaeus
ENSTGEP00000035037	ENSTGEG00000027926	Theropithecus_gelada
ENSPANP00000011779	ENSPANG00000013785	Papio_anubis
ENSMLEP00000018282	ENSMLEG00000033285	Mandrillus_leucophaeus
ENSCATP00000045250	ENSCATG00000045038	Cercocebus_atys
ENSRROP00000041384	ENSRROG00000043883	Rhinopithecus_roxellana
ENSRBIP00000026441	ENSRBIG00000037104	Rhinopithecus_bieti
ENSPTEP00000028830	ENSPTEG00000028355	Piliocolobus_tephrosceles
ENSCANP00000016586	ENSCANG00000031699	Colobus_angolensis_palliatus
ENSCJAP00000061332	ENSCJAG00000040247	Callithrix_jacchus
ENSSBOP00000009025	ENSSBOG00000021408	Saimiri_boliviensis_boliviensis
ENSANAP00000020172	ENSANAG00000027850	Aotus_nancymaae
ENSCCAP00000004379	ENSCCAG00000019664	Cebus_capucinus_imitator
ENSTSYP00000010310	ENSTSYG00000011260	Carlito_syrichta
ENSPSMP00000023220	ENSPSMG00000016420	Prolemur_simus
ENSMICP00000017703	ENSMICG00000043077	Microcebus_murinus
ENSOGAP00000021082	ENSOGAG00000034159	Otolemur_garnettii
ENSOGAP00000000680	ENSOGAG00000000760	Otolemur_garnettii
ENSPCAP00000007507	ENSPCAG00000008021	Procavia_capensis
ENSETEP00000010304	ENSETEG00000012710	Echinops_telfairi
ENSDNOP00000015092	ENSDNOG00000019468	Dasypus_novemcinctus
