ENSPSMP00000030840	ENSPSMG00000021423	Prolemur_simus
ENSUAMP00000023596	ENSUAMG00000018479	Ursus_americanus
ENSCCAP00000024557	ENSCCAG00000030078	Cebus_capucinus_imitator
ENSMAUP00000000225	ENSMAUG00000000210	Mesocricetus_auratus
ENSMICP00000043866	ENSMICG00000046110	Microcebus_murinus
ENSFCAP00000016930	ENSFCAG00000044928	Felis_catus
ENSRNOP00000068518	ENSRNOG00000006086	Rattus_norvegicus
ENSCGRP00015022202	ENSCGRG00015016915	Cricetulus_griseus_CriGri-PICR
ENSMUSP00000051457	ENSMUSG00000075605	Mus_musculus_strain_reference_(CL57BL6)
ENSCATP00000004951	ENSCATG00000016787	Cercocebus_atys
ENSRNOP00000032576	ENSRNOG00000031437	Rattus_norvegicus
ENSVPAP00000011732	ENSVPAG00000015386	Vicugna_pacos
ENSCANP00000032850	ENSCANG00000040104	Colobus_angolensis_palliatus
ENSPEMP00000035089	ENSPEMG00000025516	Peromyscus_maniculatus_bairdii
ENSECAP00000038556	ENSECAG00000035167	Equus_caballus
ENSLAFP00000016485	ENSLAFG00000005492	Loxodonta_africana
ENSJJAP00000005648	ENSJJAG00000010540	Jaculus_jaculus
ENSCGRP00001012240	ENSCGRG00001013691	Cricetulus_griseus_CHOK1GS_HDv1
ENSOARP00000001732	ENSOARG00000001649	Ovis_aries	ENSOART00000001775
ENSPANP00000042983	ENSPANG00000036165	Papio_anubis
ENSMODP00000038998	ENSMODG00000029659	Monodelphis_domestica
ENSUMAP00000028118	ENSUMAG00000020417	Ursus_maritimus
ENSCGRP00015022190	ENSCGRG00015016907	Cricetulus_griseus_CriGri-PICR
ENSCJAP00000068001	ENSCJAG00000059311	Callithrix_jacchus
ENSPCAP00000007441	ENSPCAG00000007995	Procavia_capensis
ENSP00000477648	ENSG00000180155	Homo_sapiens
ENSDORP00000015753	ENSDORG00000030137	Dipodomys_ordii
ENSAMEP00000001454	ENSAMEG00000001390	Ailuropoda_melanoleuca
ENSCGRP00000009326	ENSCGRG00000006806	Cricetulus_griseus_CriGri_1.0
ENSTSYP00000024488	ENSTSYG00000036758	Carlito_syrichta
ENSFDAP00000002605	ENSFDAG00000012268	Fukomys_damarensis
ENSBTAP00000061449	ENSBTAG00000005762	Bos_taurus
ENSBIXP00005027568	ENSBIXG00005030472	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00000009495	ENSCGRG00000006942	Cricetulus_griseus_CriGri_1.0
ENSVURP00010024156	ENSVURG00010018518	Vombatus_ursinus
ENSPTIP00000007695	ENSPTIG00000009264	Panthera_tigris_altaica
ENSMLUP00000019455	ENSMLUG00000028919	Myotis_lucifugus
ENSNGAP00000002873	ENSNGAG00000002886	Nannospalax_galili
ENSCLAP00000016484	ENSCLAG00000011334	Chinchilla_lanigera
ENSBIXP00000007051	ENSBIXG00000001261	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAFP00020023578	ENSCAFG00020018599	Canis_lupus_dingo
ENSOANP00000013721	ENSOANG00000008610	Ornithorhynchus_anatinus
ENSMLEP00000031067	ENSMLEG00000039731	Mandrillus_leucophaeus
ENSCLAP00000013031	ENSCLAG00000008990	Chinchilla_lanigera
ENSNVIP00000018856	ENSNVIG00000014786	Neovison_vison
ENSSSCP00000050110	ENSSSCG00000031724	Sus_scrofa_strain_reference
ENSMSIP00000022381	ENSMSIG00000018992	Mus_spicilegus
ENSPPRP00000013011	ENSPPRG00000006362	Panthera_pardus
ENSMUSP00000023259	ENSMUSG00000022594	Mus_musculus_strain_reference_(CL57BL6)
ENSMNEP00000016668	ENSMNEG00000032356	Macaca_nemestrina
MGP_CAROLIEiJ_P0038470	MGP_CAROLIEiJ_G0019878	Mus_caroli_strain_CAROLI_EIJ
ENSRROP00000026158	ENSRROG00000036816	Rhinopithecus_roxellana
MGP_PahariEiJ_P0041833	MGP_PahariEiJ_G0019884	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0041832	MGP_PahariEiJ_G0019883	Mus_pahari_strain_PAHARI_EIJ
ENSCPOP00000026261	ENSCPOG00000039168	Cavia_porcellus
MGP_SPRETEiJ_P0040264	MGP_SPRETEiJ_G0020776	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0040263	MGP_SPRETEiJ_G0020775	Mus_spretus_strain_SPRET/EiJ
ENSMMMP00000006505	ENSMMMG00000005836	Marmota_marmota_marmota
ENSMFAP00000034723	ENSMFAG00000003844	Macaca_fascicularis
ENSSDAP00000019856	ENSSDAG00000018104	Spermophilus_dauricus
ENSSBOP00000016309	ENSSBOG00000024857	Saimiri_boliviensis_boliviensis
ENSJJAP00000001874	ENSJJAG00000002844	Jaculus_jaculus
ENSFDAP00000008492	ENSFDAG00000016746	Fukomys_damarensis
ENSSHAP00000021084	ENSSHAG00000017877	Sarcophilus_harrisii
ENSPEMP00000018227	ENSPEMG00000016896	Peromyscus_maniculatus_bairdii
ENSMSIP00000022401	ENSMSIG00000019008	Mus_spicilegus
ENSMAUP00000001564	ENSMAUG00000001155	Mesocricetus_auratus
ENSCHIP00000012189	ENSCHIG00000014052	Capra_hircus	ENSCHIT00000019979
ENSNLEP00000043338	ENSNLEG00000028053	Nomascus_leucogenys
ENSBBBP00000011291	ENSBBBG00000004991	Bison_bison_bison
ENSSTOP00000016635	ENSSTOG00000022520	Ictidomys_tridecemlineatus
ENSMMMP00000006515	ENSMMMG00000005842	Marmota_marmota_marmota
MGP_CAROLIEiJ_P0038469	MGP_CAROLIEiJ_G0019877	Mus_caroli_strain_CAROLI_EIJ
ENSSDAP00000019865	ENSSDAG00000018120	Spermophilus_dauricus
ENSPPAP00000027749	ENSPPAG00000036947	Pan_paniscus
ENSPVAP00000016993	ENSPVAG00000024100	Pteropus_vampyrus
ENSOGAP00000016304	ENSOGAG00000032853	Otolemur_garnettii
ENSTGEP00000020118	ENSTGEG00000016179	Theropithecus_gelada
ENSCGRP00001016697	ENSCGRG00001016955	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTRP00000035291	ENSPTRG00000020640	Pan_troglodytes
ENSUPAP00010008530	ENSUPAG00010006867	Urocitellus_parryii
ENSMOCP00000005755	ENSMOCG00000005277	Microtus_ochrogaster
ENSMPUP00000002091	ENSMPUG00000002112	Mustela_putorius_furo
ENSTTRP00000002184	ENSTTRG00000002331	Tursiops_truncatus
ENSCCNP00000029009	ENSCCNG00000027855	Castor_canadensis
ENSCCNP00000029008	ENSCCNG00000027853	Castor_canadensis
ENSDORP00000015807	ENSDORG00000015171	Dipodomys_ordii
ENSANAP00000004012	ENSANAG00000020074	Aotus_nancymaae
ENSPCIP00000047556	ENSPCIG00000035594	Phascolarctos_cinereus
ENSPCOP00000022591	ENSPCOG00000023400	Propithecus_coquereli
ENSMUGP00000010842	ENSMUGG00000009523	Meriones_unguiculatus
ENSVVUP00000018879	ENSVVUG00000013902	Vulpes_vulpes
ENSRBIP00000008628	ENSRBIG00000028206	Rhinopithecus_bieti
ENSMUGP00000010849	ENSMUGG00000009532	Meriones_unguiculatus
ENSGGOP00000043285	ENSGGOG00000040970	Gorilla_gorilla
