FBpp0099388	FBgn0053977	Drosophila_melanogaster	FBtr0100020
F28D1.11.1	WBGene00009219	Caenorhabditis_elegans_strain_N2	F28D1.11.1
ENSGAGP00000024137	ENSGAGG00000017652	Gopherus_agassizii
ENSCABP00000000824	ENSCABG00000000716	Chelonoidis_abingdonii
ENSCPBP00000037009	ENSCPBG00000025671	Chrysemys_picta_bellii
ENSCPRP00005003541	ENSCPRG00005002593	Crocodylus_porosus
ENSAOWP00000026557	ENSAOWG00000017904	Apteryx_owenii
ENSAHAP00000000427	ENSAHAG00000000403	Apteryx_haastii
ENSARWP00000005586	ENSARWG00000003985	Apteryx_rowi
ENSDNVP00000010221	ENSDNVG00000007220	Dromaius_novaehollandiae
ENSCPGP00000016662	ENSCPGG00000011701	Calidris_pygmaea
ENSCPUP00000026685	ENSCPUG00000017950	Calidris_pugnax
ENSSCAP00000000880	ENSSCAG00000000738	Serinus_canaria
ENSLSDP00000023060	ENSLSDG00000016236	Lonchura_striata_domestica
ENSJHYP00000014607	ENSJHYG00000011309	Junco_hyemalis
ENSLCOP00000008424	ENSLCOG00000006173	Lepidothrix_coronata
ENSNMEP00000000449	ENSNMEG00000000649	Numida_meleagris
ENSCJPP00005000206	ENSCJPG00005000280	Coturnix_japonica
ENSABRP00000024345	ENSABRG00000020458	Anser_brachyrhynchus
ENSPVIP00000029366	ENSPVIG00000021683	Pogona_vitticeps
ENSNSUP00000003381	ENSNSUG00000002751	Notechis_scutatus
ENSSMRP00000015277	ENSSMRG00000011867	Salvator_merianae
ENSACAP00000008613	ENSACAG00000008811	Anolis_carolinensis
ENSSPUP00000005663	ENSSPUG00000004371	Sphenodon_punctatus
ENSHGLP00000014978	ENSHGLG00000010719	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017084	ENSHGLG00100012595	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010092	ENSFDAG00000017930	Fukomys_damarensis
ENSCPOP00000016035	ENSCPOG00000019638	Cavia_porcellus
ENSCLAP00000005687	ENSCLAG00000004033	Chinchilla_lanigera
ENSODEP00000026390	ENSODEG00000019810	Octodon_degus
ENSCCNP00000020165	ENSCCNG00000020179	Castor_canadensis
ENSSDAP00000026222	ENSSDAG00000023781	Spermophilus_dauricus
ENSSTOP00000007901	ENSSTOG00000008825	Ictidomys_tridecemlineatus
ENSMMMP00000017722	ENSMMMG00000015719	Marmota_marmota_marmota
ENSUPAP00010002561	ENSUPAG00010002136	Urocitellus_parryii
ENSDORP00000010914	ENSDORG00000011614	Dipodomys_ordii
ENSMOCP00000009414	ENSMOCG00000009567	Microtus_ochrogaster
ENSPEMP00000014211	ENSPEMG00000014086	Peromyscus_maniculatus_bairdii
ENSMAUP00000023116	ENSMAUG00000020360	Mesocricetus_auratus
ENSMAUP00000007075	ENSMAUG00000008843	Mesocricetus_auratus
ENSCGRP00001007746	ENSCGRG00001010131	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007407	ENSCGRG00000005386	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003331	ENSCGRG00015002667	Cricetulus_griseus_CriGri-PICR
ENSMUSP00000103086	ENSMUSG00000042737	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0060979	MGP_SPRETEiJ_G0026141	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000031427	ENSMSIG00000026300	Mus_spicilegus
MGP_CAROLIEiJ_P0058632	MGP_CAROLIEiJ_G0025198	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069591	MGP_PahariEiJ_G0026642	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049779	ENSRNOG00000029077	Rattus_norvegicus
ENSMUGP00000001271	ENSMUGG00000001198	Meriones_unguiculatus
ENSNGAP00000026813	ENSNGAG00000024342	Nannospalax_galili
ENSJJAP00000005415	ENSJJAG00000010361	Jaculus_jaculus
ENSOCUP00000017425	ENSOCUG00000004560	Oryctolagus_cuniculus
ENSOPRP00000003713	ENSOPRG00000004059	Ochotona_princeps
ENSPSMP00000033566	ENSPSMG00000023156	Prolemur_simus
ENSOGAP00000016214	ENSOGAG00000013833	Otolemur_garnettii
ENSPPAP00000007086	ENSPPAG00000026201	Pan_paniscus
ENSPTRP00000002374	ENSPTRG00000001409	Pan_troglodytes
ENSP00000357384	ENSG00000179085	Homo_sapiens
ENSGGOP00000009084	ENSGGOG00000009300	Gorilla_gorilla
ENSPPYP00000000878	ENSPPYG00000000757	Pongo_abelii
ENSNLEP00000014410	ENSNLEG00000011863	Nomascus_leucogenys
ENSTGEP00000028391	ENSTGEG00000022855	Theropithecus_gelada
ENSCSAP00000017933	ENSCSAG00000000057	Chlorocebus_sabaeus
ENSPTEP00000034400	ENSPTEG00000032651	Piliocolobus_tephrosceles
ENSPTEP00000011593	ENSPTEG00000013063	Piliocolobus_tephrosceles
ENSRROP00000032560	ENSRROG00000039935	Rhinopithecus_roxellana
ENSSBOP00000018730	ENSSBOG00000025989	Saimiri_boliviensis_boliviensis
ENSCJAP00000041741	ENSCJAG00000023227	Callithrix_jacchus
ENSANAP00000002302	ENSANAG00000017925	Aotus_nancymaae
ENSPVAP00000005464	ENSPVAG00000005783	Pteropus_vampyrus
ENSMLUP00000003845	ENSMLUG00000004229	Myotis_lucifugus
ENSEASP00005028574	ENSEASG00005019433	Equus_asinus_asinus
