ENSCPOP00000015941	ENSCPOG00000026436	Cavia_porcellus
ENSMPUP00000003150	ENSMPUG00000003183	Mustela_putorius_furo
ENSAPEP00000032950	ENSAPEG00000023411	Amphiprion_percula
ENSLBEP00000009816	ENSLBEG00000007603	Labrus_bergylta
ENSMAMP00000023578	ENSMAMG00000015851	Mastacembelus_armatus
ENSGAFP00000018954	ENSGAFG00000012801	Gambusia_affinis
ENSMFAP00000035604	ENSMFAG00000034197	Macaca_fascicularis
ENSMEUP00000003700	ENSMEUG00000004064	Notamacropus_eugenii
ENSCPRP00005006908	ENSCPRG00005004918	Crocodylus_porosus
ENSAOWP00000016242	ENSAOWG00000011078	Apteryx_owenii
ENSORLP00020014014	ENSORLG00020014991	Oryzias_latipes_ASM223471v1
ENSMAUP00000012421	ENSMAUG00000012756	Mesocricetus_auratus
ENSNSUP00000027106	ENSNSUG00000019418	Notechis_scutatus	ENSNSUT00000028789
ENSMMMP00000024088	ENSMMMG00000021090	Marmota_marmota_marmota
ENSCABP00000025739	ENSCABG00000018924	Chelonoidis_abingdonii	ENSCABT00000028198
ENSCGRP00000005720	ENSCGRG00000004184	Cricetulus_griseus_CriGri_1.0
MGP_PahariEiJ_P0058359	MGP_PahariEiJ_G0024203	Mus_pahari_strain_PAHARI_EIJ
ENSFHEP00000029971	ENSFHEG00000014992	Fundulus_heteroclitus
ENSARWP00000005371	ENSARWG00000003844	Apteryx_rowi
ENSBSLP00000003289	ENSBSLG00000001860	Betta_splendens
ENSIPUP00000034370	ENSIPUG00000023072	Ictalurus_punctatus
ENSXETP00000014294	ENSXETG00000000721	Xenopus_tropicalis
ENSABRP00000019107	ENSABRG00000016378	Anser_brachyrhynchus
ENSNLEP00000018983	ENSNLEG00000015651	Nomascus_leucogenys
ENSPNAP00000024385	ENSPNAG00000001239	Pygocentrus_nattereri
ENSANAP00000033433	ENSANAG00000034389	Aotus_nancymaae
ENSLOCP00000004842	ENSLOCG00000004056	Lepisosteus_oculatus
ENSLACP00000020762	ENSLACG00000018239	Latimeria_chalumnae
ENSAPLP00000017716	ENSAPLG00000017939	Anas_platyrhynchos_platyrhynchos
ENSECRP00000028014	ENSECRG00000018969	Erpetoichthys_calabaricus
ENSBTAP00000058227	ENSBTAG00000012791	Bos_taurus
ENSPTIP00000008554	ENSPTIG00000009889	Panthera_tigris_altaica
ENSCPUP00000014242	ENSCPUG00000010025	Calidris_pugnax
ENSMLEP00000031320	ENSMLEG00000039862	Mandrillus_leucophaeus
ENSCSAP00000015779	ENSCSAG00000002259	Chlorocebus_sabaeus
ENSLCOP00000021277	ENSLCOG00000015042	Lepidothrix_coronata
ENSLCRP00005042295	ENSLCRG00005016223	Larimichthys_crocea
ENSCLAP00000016001	ENSCLAG00000011015	Chinchilla_lanigera
ENSPLAP00000001421	ENSPLAG00000002471	Poecilia_latipinna
ENSPCOP00000003131	ENSPCOG00000009493	Propithecus_coquereli
ENSPCIP00000035141	ENSPCIG00000025999	Phascolarctos_cinereus
ENSXMAP00000018301	ENSXMAG00000018267	Xiphophorus_maculatus
ENSFDAP00000011105	ENSFDAG00000018720	Fukomys_damarensis
ENSCGRP00001004345	ENSCGRG00001005508	Cricetulus_griseus_CHOK1GS_HDv1
ENSMODP00000003837	ENSMODG00000044919	Monodelphis_domestica
ENSPREP00000032822	ENSPREG00000022256	Poecilia_reticulata
Y66D12A.7.1	WBGene00013433	Caenorhabditis_elegans_strain_N2
ENSSPAP00000015717	ENSSPAG00000011860	Stegastes_partitus
ENSMMUP00000066302	ENSMMUG00000046665	Macaca_mulatta
ENSBMUP00000028220	ENSBMUG00000021153	Bos_mutus
ENSNGAP00000003865	ENSNGAG00000004734	Nannospalax_galili
ENSNVIP00000011932	ENSNVIG00000009447	Neovison_vison
ENSCANP00000015241	ENSCANG00000031071	Colobus_angolensis_palliatus
ENSCCAP00000008969	ENSCCAG00000022235	Cebus_capucinus_imitator
ENSGWIP00000054544	ENSGWIG00000026063	Gouania_willdenowi
ENSSTOP00000022276	ENSSTOG00000025740	Ictidomys_tridecemlineatus
ENSMUSP00000115090	ENSMUSG00000029536	Mus_musculus_strain_reference_(CL57BL6)
ENSCSEP00000026024	ENSCSEG00000016618	Cynoglossus_semilaevis
ENSPVAP00000002107	ENSPVAG00000002228	Pteropus_vampyrus
ENSMICP00000007892	ENSMICG00000008669	Microcebus_murinus
ENSPCIP00000044147	ENSPCIG00000034276	Phascolarctos_cinereus
ENSPRNP00000010118	ENSPRNG00000005875	Parambassis_ranga
ENSUAMP00000019614	ENSUAMG00000015523	Ursus_americanus
ENSTRUP00000056723	ENSTRUG00000021596	Takifugu_rubripes
ENSCHAP00000057921	ENSCHAG00000026129	Clupea_harengus
ENSSBOP00000035174	ENSSBOG00000033750	Saimiri_boliviensis_boliviensis
ENSGAGP00000021823	ENSGAGG00000016018	Gopherus_agassizii	ENSGAGT00000024858
ENSLAFP00000005360	ENSLAFG00000006384	Loxodonta_africana
ENSPPRP00000005047	ENSPPRG00000000929	Panthera_pardus
ENSHCOP00000021911	ENSHCOG00000009209	Hippocampus_comes
ENSPFOP00000011572	ENSPFOG00000011603	Poecilia_formosa
ENSCPGP00000026648	ENSCPGG00000018371	Calidris_pygmaea
ENSDNVP00000013094	ENSDNVG00000009280	Dromaius_novaehollandiae
ENSSMAP00000023413	ENSSMAG00000014280	Scophthalmus_maximus
ENSMLUP00000009413	ENSMLUG00000010341	Myotis_lucifugus
ENSOMEP00000001397	ENSOMEG00000002280	Oryzias_melastigma
ENSACIP00000021696	ENSACIG00000016853	Amphilophus_citrinellus
ENSFCAP00000026110	ENSFCAG00000038718	Felis_catus
ENSCSEP00000012091	ENSCSEG00000007798	Cynoglossus_semilaevis
ENSCCNP00000018962	ENSCCNG00000019130	Castor_canadensis
ENSPCAP00000012917	ENSPCAG00000013864	Procavia_capensis
ENSPVIP00000013595	ENSPVIG00000010521	Pogona_vitticeps	ENSPVIT00000017046
ENSP00000446872	ENSG00000257218	Homo_sapiens
ENSAMXP00000004351	ENSAMXG00000004252	Astyanax_mexicanus_Astyanax_mexicanus-2.0
MGP_SPRETEiJ_P0072822	MGP_SPRETEiJ_G0028621	Mus_spretus_strain_SPRET/EiJ
ENSXCOP00000022871	ENSXCOG00000017087	Xiphophorus_couchianus
ENSPTEP00000000522	ENSPTEG00000000621	Piliocolobus_tephrosceles
ENSHGLP00100025700	ENSHGLG00100018850	Heterocephalus_glaber_HetGla_1.0
ENSGALP00000011634	ENSGALG00000007195	Gallus_gallus
ENSDNOP00000029093	ENSDNOG00000012593	Dasypus_novemcinctus
ENSAOCP00000010405	ENSAOCG00000014641	Amphiprion_ocellaris
ENSSFOP00015003829	ENSSFOG00015002508	Scleropages_formosus
ENSCHIP00000020938	ENSCHIG00000019423	Capra_hircus
ENSOGAP00000003424	ENSOGAG00000003850	Otolemur_garnettii
ENSSMRP00000006944	ENSSMRG00000005624	Salvator_merianae	ENSSMRT00000008142
ENSECAP00000008961	ENSECAG00000011118	Equus_caballus
ENSOARP00000013219	ENSOARG00000012338	Ovis_aries
ENSOCUP00000037346	ENSOCUG00000032783	Oryctolagus_cuniculus
ENSSCAP00000005107	ENSSCAG00000004104	Serinus_canaria
ENSTGEP00000028764	ENSTGEG00000023162	Theropithecus_gelada
ENSHHUP00000047832	ENSHHUG00000029051	Hucho_hucho
ENSJHYP00000012328	ENSJHYG00000009639	Junco_hyemalis
ENSMGAP00000008968	ENSMGAG00000008733	Meleagris_gallopavo
ENSTTRP00000000135	ENSTTRG00000000144	Tursiops_truncatus
ENSSPUP00000020456	ENSSPUG00000015693	Sphenodon_punctatus	ENSSPUT00000021786
ENSORLP00015002770	ENSORLG00015003450	Oryzias_latipes_ASM223469v1
ENSTNIP00000018964	ENSTNIG00000015879	Tetraodon_nigroviridis
ENSETEP00000002122	ENSETEG00000002604	Echinops_telfairi
ENSEEUP00000010605	ENSEEUG00000011638	Erinaceus_europaeus
ENSRNOP00000001536	ENSRNOG00000001161	Rattus_norvegicus
ENSPSIP00000012327	ENSPSIG00000011112	Pelodiscus_sinensis
ENSGMOP00000009345	ENSGMOG00000008742	Gadus_morhua
ENSCVAP00000021985	ENSCVAG00000004364	Cyprinodon_variegatus
