ENSMODP00000017379	ENSMODG00000013891	Monodelphis_domestica	ENSMODT00000062834
ENSVURP00010030671	ENSVURG00010023455	Vombatus_ursinus	ENSVURT00010034923
ENSOCUP00000046797	ENSOCUG00000038122	Oryctolagus_cuniculus	ENSOCUT00000034803
ENSDORP00000026723	ENSDORG00000025198	Dipodomys_ordii	ENSDORT00000034680
ENSTSYP00000017215	ENSTSYG00000025828	Carlito_syrichta	ENSTSYT00000044825
ENSPSMP00000035443	ENSPSMG00000024428	Prolemur_simus	ENSPSMT00000040861
ENSMMUP00000059809	ENSMMUG00000019064	Macaca_mulatta	ENSMMUT00000059065
ENSPPRP00000002499	ENSPPRG00000023396	Panthera_pardus	ENSPPRT00000032616
ENSPTIP00000017395	ENSPTIG00000015829	Panthera_tigris_altaica
ENSVPAP00000000429	ENSVPAG00000000459	Vicugna_pacos	ENSVPAT00000000459
ENSPCAP00000001044	ENSPCAG00000001063	Procavia_capensis
ENSPCOP00000021129	ENSPCOG00000022563	Propithecus_coquereli
ENSMICP00000041042	ENSMICG00000045840	Microcebus_murinus
ENSPEMP00000019675	ENSPEMG00000017891	Peromyscus_maniculatus_bairdii
ENSMOCP00000020968	ENSMOCG00000018485	Microtus_ochrogaster
ENSCGRP00001010680	ENSCGRG00001012510	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024344	ENSCGRG00000017646	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000009099	ENSMAUG00000010359	Mesocricetus_auratus
ENSRNOP00000066127	ENSRNOG00000048407	Rattus_norvegicus
ENSMMUP00000073109	ENSMMUG00000058405	Macaca_mulatta
ENSSDAP00000009274	ENSSDAG00000008436	Spermophilus_dauricus
ENSUPAP00010014182	ENSUPAG00010011397	Urocitellus_parryii
ENSMMMP00000006587	ENSMMMG00000005904	Marmota_marmota_marmota
ENSUMAP00000025383	ENSUMAG00000018497	Ursus_maritimus
