ENSDORP00000008107	ENSDORG00000008639	Dipodomys_ordii	ENSDORT00000008639
ENSCCNP00000018700	ENSCCNG00000018915	Castor_canadensis	ENSCCNT00000024292
ENSPEMP00000036539	ENSPEMG00000025330	Peromyscus_maniculatus_bairdii
ENSMOCP00000010741	ENSMOCG00000010984	Microtus_ochrogaster
ENSCGRP00001000151	ENSCGRG00001000156	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031140	ENSCGRG00015023483	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017056	ENSMAUG00000016022	Mesocricetus_auratus
ENSMSIP00000003468	ENSMSIG00000003205	Mus_spicilegus
ENSMUSP00000031900	ENSMUSG00000029867	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0076315	MGP_SPRETEiJ_G0029282	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0073458	MGP_CAROLIEiJ_G0028277	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049572	MGP_PahariEiJ_G0022034	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000030740	ENSRNOG00000025618	Rattus_norvegicus
ENSMUGP00000026671	ENSMUGG00000022228	Meriones_unguiculatus
ENSNGAP00000011714	ENSNGAG00000013785	Nannospalax_galili
ENSCLAP00000002338	ENSCLAG00000001692	Chinchilla_lanigera
ENSODEP00000019692	ENSODEG00000014532	Octodon_degus
ENSHGLP00000011211	ENSHGLG00000008043	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007488	ENSHGLG00100005605	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016794	ENSFDAG00000005453	Fukomys_damarensis
ENSCPOP00000021134	ENSCPOG00000021427	Cavia_porcellus
ENSSTOP00000007485	ENSSTOG00000008360	Ictidomys_tridecemlineatus
ENSSDAP00000007566	ENSSDAG00000006915	Spermophilus_dauricus
ENSUPAP00010012271	ENSUPAG00010009964	Urocitellus_parryii
ENSMMMP00000009115	ENSMMMG00000008153	Marmota_marmota_marmota
ENSOCUP00000006541	ENSOCUG00000007563	Oryctolagus_cuniculus
ENSOPRP00000005115	ENSOPRG00000005589	Ochotona_princeps
ENSMICP00000006737	ENSMICG00000007407	Microcebus_murinus
ENSPCOP00000007044	ENSPCOG00000014738	Propithecus_coquereli
ENSOGAP00000012140	ENSOGAG00000013547	Otolemur_garnettii
ENSP00000386450	ENSG00000165131	Homo_sapiens
ENSGGOP00000033317	ENSGGOG00000007995	Gorilla_gorilla
ENSPTRP00000061273	ENSPTRG00000040976	Pan_troglodytes
ENSPTRP00000092378	ENSPTRG00000045781	Pan_troglodytes
ENSPPAP00000000968	ENSPPAG00000004054	Pan_paniscus
ENSPPYP00000020312	ENSPPYG00000018106	Pongo_abelii
ENSNLEP00000003516	ENSNLEG00000002902	Nomascus_leucogenys
ENSPANP00000036003	ENSPANG00000033586	Papio_anubis
ENSTGEP00000000238	ENSTGEG00000000275	Theropithecus_gelada
ENSMMUP00000045807	ENSMMUG00000048894	Macaca_mulatta
ENSMNEP00000019672	ENSMNEG00000033687	Macaca_nemestrina
ENSMFAP00000017830	ENSMFAG00000032025	Macaca_fascicularis
ENSCATP00000030298	ENSCATG00000038334	Cercocebus_atys
ENSCSAP00000003638	ENSCSAG00000007372	Chlorocebus_sabaeus
ENSPTEP00000034561	ENSPTEG00000032775	Piliocolobus_tephrosceles
ENSCANP00000030227	ENSCANG00000038776	Colobus_angolensis_palliatus
ENSRROP00000035820	ENSRROG00000041388	Rhinopithecus_roxellana
ENSRBIP00000036444	ENSRBIG00000041835	Rhinopithecus_bieti
ENSSBOP00000013114	ENSSBOG00000023335	Saimiri_boliviensis_boliviensis
ENSCCAP00000002990	ENSCCAG00000017111	Cebus_capucinus_imitator
ENSCJAP00000017334	ENSCJAG00000009465	Callithrix_jacchus
ENSANAP00000003311	ENSANAG00000019596	Aotus_nancymaae
ENSPVAP00000008337	ENSPVAG00000008831	Pteropus_vampyrus
ENSMLUP00000021958	ENSMLUG00000010857	Myotis_lucifugus
ENSCHIP00000030333	ENSCHIG00000025132	Capra_hircus
ENSOARP00000018412	ENSOARG00000017160	Ovis_aries
ENSTTRP00000007403	ENSTTRG00000007836	Tursiops_truncatus
ENSSSCP00000040470	ENSSSCG00000037471	Sus_scrofa_strain_reference
ENSEEUP00000007769	ENSEEUG00000008549	Erinaceus_europaeus
ENSCAFP00000041364	ENSCAFG00000029907	Canis_lupus_familiaris
ENSVVUP00000038684	ENSVVUG00000027587	Vulpes_vulpes
ENSAMEP00000006846	ENSAMEG00000006508	Ailuropoda_melanoleuca
ENSPPRP00000000265	ENSPPRG00000024938	Panthera_pardus
ENSPTIP00000006117	ENSPTIG00000008144	Panthera_tigris_altaica
ENSFCAP00000013856	ENSFCAG00000014936	Felis_catus
ENSEASP00005013255	ENSEASG00005009255	Equus_asinus_asinus
ENSDNOP00000031428	ENSDNOG00000040647	Dasypus_novemcinctus
ENSPCAP00000004727	ENSPCAG00000005097	Procavia_capensis
ENSSHAP00000006009	ENSSHAG00000005233	Sarcophilus_harrisii
