ENSCABP00000024516	ENSCABG00000018058	Chelonoidis_abingdonii
ENSGAGP00000003245	ENSGAGG00000002551	Gopherus_agassizii
ENSCPBP00000009894	ENSCPBG00000007628	Chrysemys_picta_bellii
ENSPSIP00000004682	ENSPSIG00000004384	Pelodiscus_sinensis
ENSCPRP00005023965	ENSCPRG00005016618	Crocodylus_porosus
ENSPVIP00000011354	ENSPVIG00000008915	Pogona_vitticeps
ENSACAP00000011040	ENSACAG00000011205	Anolis_carolinensis
ENSNSUP00000023965	ENSNSUG00000017344	Notechis_scutatus
ENSSMRP00000024373	ENSSMRG00000018901	Salvator_merianae
ENSSPUP00000012215	ENSSPUG00000009353	Sphenodon_punctatus
ENSARWP00000022310	ENSARWG00000015212	Apteryx_rowi
ENSAHAP00000025956	ENSAHAG00000018105	Apteryx_haastii
ENSAOWP00000013812	ENSAOWG00000009404	Apteryx_owenii
ENSDNVP00000005835	ENSDNVG00000004181	Dromaius_novaehollandiae
ENSNPEP00000001285	ENSNPEG00000000993	Nothoprocta_perdicaria
ENSLSDP00000007655	ENSLSDG00000005755	Lonchura_striata_domestica
ENSTGUP00000002416	ENSTGUG00000002345	Taeniopygia_guttata
ENSPMJP00000021380	ENSPMJG00000015872	Parus_major
ENSFALP00000011731	ENSFALG00000011232	Ficedula_albicollis
ENSZALP00000013670	ENSZALG00000011389	Zonotrichia_albicollis
ENSLCOP00000009911	ENSLCOG00000007162	Lepidothrix_coronata
ENSGALP00000023952	ENSGALG00000014875	Gallus_gallus
ENSCJPP00005013015	ENSCJPG00005011007	Coturnix_japonica
ENSNMEP00000006093	ENSNMEG00000006249	Numida_meleagris
ENSAPLP00000011480	ENSAPLG00000011715	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000017178	ENSCCEG00000015877	Cyanistes_caeruleus
ENSSCAP00000011460	ENSSCAG00000008579	Serinus_canaria
ENSMVIP00005012534	ENSMVIG00005009115	Manacus_vitellinus
ENSABRP00000012899	ENSABRG00000011528	Anser_brachyrhynchus
ENSMUNP00000017747	ENSMUNG00000013601	Melopsittacus_undulatus
ENSCPGP00000009258	ENSCPGG00000006588	Calidris_pygmaea
ENSCPUP00000022317	ENSCPUG00000015154	Calidris_pugnax
ENSSPUP00000012225	ENSSPUG00000009392	Sphenodon_punctatus
ENSPCIP00000041116	ENSPCIG00000030065	Phascolarctos_cinereus
ENSMODP00000025353	ENSMODG00000020267	Monodelphis_domestica
ENSMEUP00000011595	ENSMEUG00000012716	Notamacropus_eugenii
ENSVURP00010000643	ENSVURG00010000582	Vombatus_ursinus
ENSMODP00000040639	ENSMODG00000027527	Monodelphis_domestica
ENSSHAP00000013856	ENSSHAG00000011848	Sarcophilus_harrisii
ENSMLUP00000014391	ENSMLUG00000015787	Myotis_lucifugus
ENSMGAP00000003458	ENSMGAG00000003726	Meleagris_gallopavo
ENSCGRP00015027113	ENSCGRG00015020559	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027077	ENSCGRG00001024192	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007756	ENSCGRG00000005653	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010294	ENSMAUG00000011222	Mesocricetus_auratus
ENSPEMP00000021998	ENSPEMG00000019487	Peromyscus_maniculatus_bairdii
ENSMUSP00000006991	ENSMUSG00000021730	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0037221	MGP_SPRETEiJ_G0019799	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0035539	MGP_CAROLIEiJ_G0018920	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027190	MGP_PahariEiJ_G0015990	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073952	ENSRNOG00000055382	Rattus_norvegicus
ENSNGAP00000015513	ENSNGAG00000016519	Nannospalax_galili
ENSDORP00000015168	ENSDORG00000016126	Dipodomys_ordii
ENSTSYP00000005483	ENSTSYG00000006006	Carlito_syrichta
ENSVPAP00000006130	ENSVPAG00000006601	Vicugna_pacos
ENSEEUP00000012267	ENSEEUG00000013451	Erinaceus_europaeus
ENSBIXP00005004898	ENSBIXG00005010726	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009976	ENSBIXG00000015574	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000053284	ENSBTAG00000043948	Bos_taurus
ENSCHIP00000029689	ENSCHIG00000024729	Capra_hircus
ENSTTRP00000011516	ENSTTRG00000012154	Tursiops_truncatus
ENSSSCP00000022511	ENSSSCG00000026527	Sus_scrofa_strain_reference
ENSCAFP00000027323	ENSCAFG00000018508	Canis_lupus_familiaris
ENSCAFP00020029620	ENSCAFG00020023097	Canis_lupus_dingo
ENSAMEP00000006154	ENSAMEG00000005837	Ailuropoda_melanoleuca
