ENSPPAP00000012954	ENSPPAG00000029637	Pan_paniscus
ENSPTRP00000064001	ENSPTRG00000009783	Pan_troglodytes
ENSP00000464357	ENSG00000169689	Homo_sapiens
ENSGGOP00000036407	ENSGGOG00000011589	Gorilla_gorilla
ENSMNEP00000036492	ENSMNEG00000041358	Macaca_nemestrina
ENSMFAP00000032179	ENSMFAG00000037106	Macaca_fascicularis
ENSMLEP00000017319	ENSMLEG00000032856	Mandrillus_leucophaeus
ENSPANP00000043516	ENSPANG00000019030	Papio_anubis
ENSCATP00000027910	ENSCATG00000037293	Cercocebus_atys
ENSRBIP00000022990	ENSRBIG00000035425	Rhinopithecus_bieti
ENSRROP00000022277	ENSRROG00000035010	Rhinopithecus_roxellana
ENSCANP00000026296	ENSCANG00000036568	Colobus_angolensis_palliatus
ENSANAP00000010428	ENSANAG00000023211	Aotus_nancymaae
ENSCHOP00000000293	ENSCHOG00000000332	Choloepus_hoffmanni
