ENSPMEP00000012484	ENSPMEG00000014679	Poecilia_mexicana
ENSPLAP00000019935	ENSPLAG00000002415	Poecilia_latipinna
ENSXMAP00000037773	ENSXMAG00000020993	Xiphophorus_maculatus
ENSXCOP00000013607	ENSXCOG00000010305	Xiphophorus_couchianus
ENSSLDP00000022414	ENSSLDG00000017496	Seriola_lalandi_dorsalis
ENSPMGP00000012260	ENSPMGG00000010115	Periophthalmus_magnuspinnatus	ENSPMGT00000013077
ENSAMXP00000004648	ENSAMXG00000004541	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAHAP00000002700	ENSAHAG00000002176	Apteryx_haastii
ENSARWP00000018137	ENSARWG00000012471	Apteryx_rowi
ENSAOWP00000000187	ENSAOWG00000000169	Apteryx_owenii
ENSDNVP00000000974	ENSDNVG00000000728	Dromaius_novaehollandiae
ENSCABP00000015692	ENSCABG00000011721	Chelonoidis_abingdonii
ENSNSUP00000026474	ENSNSUG00000019006	Notechis_scutatus
ENSSDAP00000009404	ENSSDAG00000008561	Spermophilus_dauricus
ENSMMMP00000001871	ENSMMMG00000001719	Marmota_marmota_marmota
ENSRNOP00000075647	ENSRNOG00000060656	Rattus_norvegicus
ENSUAMP00000008648	ENSUAMG00000007271	Ursus_americanus
ENSUMAP00000005408	ENSUMAG00000004289	Ursus_maritimus
ENSCMIP00000033604	ENSCMIG00000014338	Callorhinchus_milii
