ENSMGAP00000012679	ENSMGAG00000012067	Meleagris_gallopavo
ENSGALP00000056673	ENSGALG00000009633	Gallus_gallus
ENSCJPP00005020692	ENSCJPG00005016626	Coturnix_japonica
ENSNMEP00000024165	ENSNMEG00000020540	Numida_meleagris
ENSAPLP00000017146	ENSAPLG00000004713	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006629	ENSABRG00000006096	Anser_brachyrhynchus
ENSCPGP00000023553	ENSCPGG00000016301	Calidris_pygmaea
ENSCPUP00000010581	ENSCPUG00000007511	Calidris_pugnax
ENSCCEP00000015698	ENSCCEG00000014813	Cyanistes_caeruleus
ENSPMJP00000020422	ENSPMJG00000015212	Parus_major
ENSFALP00000005635	ENSFALG00000005407	Ficedula_albicollis
ENSLSDP00000025499	ENSLSDG00000017829	Lonchura_striata_domestica
ENSTGUP00000011999	ENSTGUG00000011641	Taeniopygia_guttata
ENSSCAP00000016528	ENSSCAG00000012067	Serinus_canaria
ENSZALP00000007542	ENSZALG00000006703	Zonotrichia_albicollis
ENSMVIP00005016992	ENSMVIG00005012155	Manacus_vitellinus
ENSLCOP00000000308	ENSLCOG00000000288	Lepidothrix_coronata
ENSMUNP00000013016	ENSMUNG00000010174	Melopsittacus_undulatus
ENSAHAP00000006524	ENSAHAG00000004913	Apteryx_haastii
ENSAOWP00000017592	ENSAOWG00000012025	Apteryx_owenii
ENSARWP00000023960	ENSARWG00000016321	Apteryx_rowi
ENSDNVP00000003696	ENSDNVG00000002622	Dromaius_novaehollandiae
ENSNPEP00000006483	ENSNPEG00000004901	Nothoprocta_perdicaria
ENSCPRP00005027105	ENSCPRG00005018772	Crocodylus_porosus
ENSGAGP00000014496	ENSGAGG00000011018	Gopherus_agassizii
ENSCABP00000020741	ENSCABG00000015298	Chelonoidis_abingdonii
ENSCPBP00000035497	ENSCPBG00000024720	Chrysemys_picta_bellii
ENSPSIP00000010222	ENSPSIG00000009283	Pelodiscus_sinensis
ENSPVIP00000020934	ENSPVIG00000015936	Pogona_vitticeps
ENSACAP00000015066	ENSACAG00000015339	Anolis_carolinensis
ENSNSUP00000008153	ENSNSUG00000006337	Notechis_scutatus
ENSSMRP00000019695	ENSSMRG00000015362	Salvator_merianae
ENSSPUP00000000028	ENSSPUG00000000060	Sphenodon_punctatus
ENSVURP00010013110	ENSVURG00010010078	Vombatus_ursinus
ENSPCIP00000009954	ENSPCIG00000008113	Phascolarctos_cinereus
ENSMEUP00000014256	ENSMEUG00000015610	Notamacropus_eugenii
ENSSHAP00000002108	ENSSHAG00000001874	Sarcophilus_harrisii
ENSMODP00000002026	ENSMODG00000001657	Monodelphis_domestica
ENSSSCP00000073825	ENSSSCG00000002245	Sus_scrofa_strain_reference
ENSEASP00005025375	ENSEASG00005017276	Equus_asinus_asinus
ENSOARP00000021368	ENSOARG00000019901	Ovis_aries
ENSOARP00000011751	ENSOARG00000010961	Ovis_aries
ENSCHIP00000017256	ENSCHIG00000017183	Capra_hircus
ENSOARP00000019307	ENSOARG00000017988	Ovis_aries
ENSCHIP00000002076	ENSCHIG00000004621	Capra_hircus
ENSBIXP00005013866	ENSBIXG00005017960	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005026764	ENSBIXG00005002131	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000017840	ENSBIXG00000004175	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044299	ENSBIXG00005028111	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001409	ENSBIXG00000028596	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000008409	ENSBTAG00000006413	Bos_taurus
ENSBBBP00000003941	ENSBBBG00000002538	Bison_bison_bison
ENSTTRP00000006846	ENSTTRG00000007235	Tursiops_truncatus
ENSVPAP00000006673	ENSVPAG00000007170	Vicugna_pacos
ENSSARP00000007143	ENSSARG00000007891	Sorex_araneus
ENSEEUP00000013391	ENSEEUG00000014674	Erinaceus_europaeus
ENSUAMP00000036377	ENSUAMG00000027569	Ursus_americanus
ENSUMAP00000023077	ENSUMAG00000016838	Ursus_maritimus
ENSAMEP00000016654	ENSAMEG00000015781	Ailuropoda_melanoleuca
ENSNVIP00000024993	ENSNVIG00000019368	Neovison_vison
ENSNVIP00000004423	ENSNVIG00000003560	Neovison_vison
ENSMPUP00000007961	ENSMPUG00000008019	Mustela_putorius_furo
ENSCAFP00020011878	ENSCAFG00020009542	Canis_lupus_dingo
ENSCAFP00000011794	ENSCAFG00000007971	Canis_lupus_familiaris
ENSVVUP00000035190	ENSVVUG00000025310	Vulpes_vulpes
ENSPPRP00000012409	ENSPPRG00000005950	Panthera_pardus
ENSPTIP00000003028	ENSPTIG00000005886	Panthera_tigris_altaica
ENSFCAP00000041153	ENSFCAG00000043675	Felis_catus
ENSMLUP00000001401	ENSMLUG00000001532	Myotis_lucifugus
ENSMLUP00000022184	ENSMLUG00000028125	Myotis_lucifugus
ENSPVAP00000003617	ENSPVAG00000003822	Pteropus_vampyrus
ENSECAP00000020968	ENSECAG00000023450	Equus_caballus
ENSEASP00005025370	ENSEASG00005017275	Equus_asinus_asinus
ENSMICP00000018780	ENSMICG00000037128	Microcebus_murinus
ENSMICP00000003517	ENSMICG00000044577	Microcebus_murinus
ENSPSMP00000009062	ENSPSMG00000006632	Prolemur_simus
ENSOGAP00000014004	ENSOGAG00000015633	Otolemur_garnettii
ENSANAP00000042510	ENSANAG00000038533	Aotus_nancymaae
ENSANAP00000033537	ENSANAG00000034437	Aotus_nancymaae
ENSCCAP00000033031	ENSCCAG00000034545	Cebus_capucinus_imitator
ENSCJAP00000039292	ENSCJAG00000021110	Callithrix_jacchus
ENSSBOP00000005243	ENSSBOG00000019441	Saimiri_boliviensis_boliviensis
ENSCJAP00000072560	ENSCJAG00000054882	Callithrix_jacchus
ENSPPAP00000002119	ENSPPAG00000009678	Pan_paniscus
ENSPTRP00000011749	ENSPTRG00000006877	Pan_troglodytes
ENSGGOP00000021721	ENSGGOG00000014230	Gorilla_gorilla
ENSPTRP00000083219	ENSPTRG00000042108	Pan_troglodytes
ENSPPAP00000010295	ENSPPAG00000028369	Pan_paniscus
ENSGGOP00000028845	ENSGGOG00000042600	Gorilla_gorilla
ENSP00000256544	ENSG00000134152	Homo_sapiens
ENSPPYP00000007149	ENSPPYG00000006309	Pongo_abelii
ENSNLEP00000013143	ENSNLEG00000010772	Nomascus_leucogenys
ENSRROP00000023360	ENSRROG00000035526	Rhinopithecus_roxellana
ENSRBIP00000010019	ENSRBIG00000028871	Rhinopithecus_bieti
ENSCANP00000017688	ENSCANG00000032294	Colobus_angolensis_palliatus
ENSPTEP00000023051	ENSPTEG00000023865	Piliocolobus_tephrosceles
ENSMFAP00000037816	ENSMFAG00000038142	Macaca_fascicularis
