ENSPMAP00000003605	ENSPMAG00000003311	Petromyzon_marinus	ENSPMAT00000003620
ENSPMAP00000009012	ENSPMAG00000008194	Petromyzon_marinus	ENSPMAT00000009051
ENSEBUP00000011879	ENSEBUG00000007608	Eptatretus_burgeri	ENSEBUT00000012455
ENSLCOP00000015446	ENSLCOG00000011024	Lepidothrix_coronata
ENSMVIP00005015197	ENSMVIG00005010941	Manacus_vitellinus
ENSLSDP00000018425	ENSLSDG00000013151	Lonchura_striata_domestica
ENSTGUP00000006127	ENSTGUG00000005952	Taeniopygia_guttata
ENSJHYP00000010314	ENSJHYG00000008067	Junco_hyemalis
ENSZALP00000020034	ENSZALG00000015807	Zonotrichia_albicollis
ENSSCAP00000009504	ENSSCAG00000007241	Serinus_canaria
ENSPMJP00000026051	ENSPMJG00000019056	Parus_major
ENSCCEP00000006210	ENSCCEG00000006669	Cyanistes_caeruleus
ENSFALP00000006755	ENSFALG00000006472	Ficedula_albicollis
ENSMUNP00000005586	ENSMUNG00000004574	Melopsittacus_undulatus	ENSMUNT00000006475
ENSCPGP00000010740	ENSCPGG00000007658	Calidris_pygmaea
ENSCPUP00000029925	ENSCPUG00000020041	Calidris_pugnax
ENSMGAP00000005600	ENSMGAG00000005662	Meleagris_gallopavo
ENSGALP00000074264	ENSGALG00000050176	Gallus_gallus
ENSCJPP00005013581	ENSCJPG00005011434	Coturnix_japonica
ENSNMEP00000017990	ENSNMEG00000015666	Numida_meleagris
ENSGALP00000005677	ENSGALG00000003595	Gallus_gallus
ENSABRP00000012866	ENSABRG00000011500	Anser_brachyrhynchus
ENSAHAP00000019897	ENSAHAG00000014041	Apteryx_haastii
ENSAOWP00000010829	ENSAOWG00000007453	Apteryx_owenii
ENSARWP00000021056	ENSARWG00000014391	Apteryx_rowi
ENSDNVP00000011789	ENSDNVG00000008309	Dromaius_novaehollandiae
ENSNPEP00000000074	ENSNPEG00000000077	Nothoprocta_perdicaria
ENSCPRP00005022698	ENSCPRG00005015822	Crocodylus_porosus
ENSCPBP00000028852	ENSCPBG00000020351	Chrysemys_picta_bellii
ENSCPBP00000028855	ENSCPBG00000020354	Chrysemys_picta_bellii
ENSGAGP00000036154	ENSGAGG00000025624	Gopherus_agassizii
ENSCABP00000025930	ENSCABG00000019078	Chelonoidis_abingdonii
ENSPSIP00000019964	ENSPSIG00000017669	Pelodiscus_sinensis
ENSPVIP00000022692	ENSPVIG00000017082	Pogona_vitticeps
ENSACAP00000011821	ENSACAG00000012024	Anolis_carolinensis
ENSNSUP00000006493	ENSNSUG00000005143	Notechis_scutatus
ENSSMRP00000008557	ENSSMRG00000006848	Salvator_merianae
ENSPCIP00000043981	ENSPCIG00000033672	Phascolarctos_cinereus
ENSPCIP00000031860	ENSPCIG00000023642	Phascolarctos_cinereus
ENSVURP00010014004	ENSVURG00010010741	Vombatus_ursinus
ENSMEUP00000007619	ENSMEUG00000008332	Notamacropus_eugenii
ENSMODP00000024025	ENSMODG00000019246	Monodelphis_domestica
ENSSHAP00000014982	ENSSHAG00000012783	Sarcophilus_harrisii
ENSEEUP00000002213	ENSEEUG00000002412	Erinaceus_europaeus
ENSSARP00000012858	ENSSARG00000014222	Sorex_araneus
ENSBIXP00000001386	ENSBIXG00000028634	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005012945	ENSBIXG00005007556	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000003645	ENSBTAG00000002816	Bos_taurus
ENSBMUP00000026236	ENSBMUG00000019703	Bos_mutus
ENSBBBP00000010345	ENSBBBG00000004558	Bison_bison_bison
ENSCHIP00000001560	ENSCHIG00000002968	Capra_hircus
ENSOARP00000019454	ENSOARG00000018123	Ovis_aries
ENSTTRP00000009647	ENSTTRG00000010170	Tursiops_truncatus
ENSPVAP00000002725	ENSPVAG00000002886	Pteropus_vampyrus
ENSECAP00000046668	ENSECAG00000004020	Equus_caballus
ENSEASP00005014289	ENSEASG00005009959	Equus_asinus_asinus
ENSUAMP00000023549	ENSUAMG00000018454	Ursus_americanus
ENSAMEP00000005330	ENSAMEG00000005025	Ailuropoda_melanoleuca
ENSMPUP00000014170	ENSMPUG00000014277	Mustela_putorius_furo
ENSNVIP00000022591	ENSNVIG00000017589	Neovison_vison
ENSCAFP00020014872	ENSCAFG00020011991	Canis_lupus_dingo
ENSCAFP00000027553	ENSCAFG00000018678	Canis_lupus_familiaris
ENSPPRP00000016469	ENSPPRG00000008738	Panthera_pardus
ENSPTIP00000011600	ENSPTIG00000011958	Panthera_tigris_altaica
ENSFCAP00000007790	ENSFCAG00000008401	Felis_catus
ENSPTRP00000015218	ENSPTRG00000008917	Pan_troglodytes
ENSPPAP00000024308	ENSPPAG00000035298	Pan_paniscus
ENSP00000468032	ENSG00000004139	Homo_sapiens
ENSGGOP00000010830	ENSGGOG00000011110	Gorilla_gorilla
ENSPPYP00000009100	ENSPPYG00000008093	Pongo_abelii
ENSNLEP00000002578	ENSNLEG00000002131	Nomascus_leucogenys
ENSCATP00000005734	ENSCATG00000018442	Cercocebus_atys
ENSMLEP00000004335	ENSMLEG00000019589	Mandrillus_leucophaeus
ENSTGEP00000009408	ENSTGEG00000007746	Theropithecus_gelada
ENSPANP00000019816	ENSPANG00000023516	Papio_anubis
ENSMMUP00000062689	ENSMMUG00000061478	Macaca_mulatta
ENSMFAP00000009262	ENSMFAG00000000906	Macaca_fascicularis
ENSMNEP00000035066	ENSMNEG00000040684	Macaca_nemestrina
ENSCSAP00000003569	ENSCSAG00000007321	Chlorocebus_sabaeus
ENSRBIP00000037420	ENSRBIG00000042296	Rhinopithecus_bieti
ENSRROP00000014200	ENSRROG00000031316	Rhinopithecus_roxellana
ENSCANP00000025046	ENSCANG00000035950	Colobus_angolensis_palliatus
ENSPTEP00000031581	ENSPTEG00000030478	Piliocolobus_tephrosceles
ENSCCAP00000001111	ENSCCAG00000007219	Cebus_capucinus_imitator
ENSSBOP00000006761	ENSSBOG00000020354	Saimiri_boliviensis_boliviensis
ENSCJAP00000023137	ENSCJAG00000012608	Callithrix_jacchus
ENSANAP00000042144	ENSANAG00000038351	Aotus_nancymaae
ENSTSYP00000011653	ENSTSYG00000012704	Carlito_syrichta
ENSPCOP00000024106	ENSPCOG00000024217	Propithecus_coquereli
ENSPSMP00000020643	ENSPSMG00000014593	Prolemur_simus
ENSMICP00000022495	ENSMICG00000028616	Microcebus_murinus
ENSOGAP00000002987	ENSOGAG00000003346	Otolemur_garnettii
ENSCLAP00000013252	ENSCLAG00000009151	Chinchilla_lanigera
ENSODEP00000014616	ENSODEG00000010810	Octodon_degus
ENSCPOP00000016957	ENSCPOG00000020193	Cavia_porcellus
ENSHGLP00100022119	ENSHGLG00100016283	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023344	ENSHGLG00000016637	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006055	ENSFDAG00000014910	Fukomys_damarensis
ENSUPAP00010028330	ENSUPAG00010022372	Urocitellus_parryii
ENSSTOP00000023437	ENSSTOG00000028570	Ictidomys_tridecemlineatus
ENSMMMP00000013786	ENSMMMG00000012287	Marmota_marmota_marmota
MGP_SPRETEiJ_P0029982	MGP_SPRETEiJ_G0017650	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000011555	ENSMSIG00000010074	Mus_spicilegus
ENSMUSP00000103922	ENSMUSG00000050132	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0028584	MGP_CAROLIEiJ_G0016807	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035317	MGP_PahariEiJ_G0017944	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013639	ENSRNOG00000010244	Rattus_norvegicus
ENSMUGP00000016518	ENSMUGG00000014147	Meriones_unguiculatus
ENSCGRP00015020049	ENSCGRG00015015357	Cricetulus_griseus_CriGri-PICR
