ENSPTIP00000000591	ENSPTIG00000001536	Panthera_tigris_altaica
ENSOCUP00000049330	ENSOCUG00000037878	Oryctolagus_cuniculus
ENSUAMP00000013992	ENSUAMG00000011242	Ursus_americanus
ENSBIXP00005040994	ENSBIXG00005023809	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPCOP00000008376	ENSPCOG00000015466	Propithecus_coquereli
ENSMICP00000038228	ENSMICG00000026597	Microcebus_murinus
ENSEASP00005004533	ENSEASG00005003445	Equus_asinus_asinus
ENSMMMP00000005056	ENSMMMG00000004624	Marmota_marmota_marmota
ENSUMAP00000004377	ENSUMAG00000003543	Ursus_maritimus
ENSSSCP00000036757	ENSSSCG00000032236	Sus_scrofa_strain_reference
ENSCHIP00000010244	ENSCHIG00000012821	Capra_hircus
ENSECAP00000039115	ENSECAG00000031985	Equus_caballus	ENSECAT00000039882
ENSSDAP00000027328	ENSSDAG00000024769	Spermophilus_dauricus
ENSBBBP00000011355	ENSBBBG00000005021	Bison_bison_bison
ENSBIXP00000004118	ENSBIXG00000010460	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSUPAP00010016724	ENSUPAG00010013334	Urocitellus_parryii
ENSPPRP00000026810	ENSPPRG00000017776	Panthera_pardus
