ENSP00000428331	ENSG00000229415	Homo_sapiens
ENSGGOP00000023969	ENSGGOG00000025257	Gorilla_gorilla
ENSPPAP00000020335	ENSPPAG00000033395	Pan_paniscus
ENSPTRP00000060970	ENSPTRG00000039290	Pan_troglodytes
ENSNLEP00000004740	ENSNLEG00000003924	Nomascus_leucogenys
ENSRROP00000015576	ENSRROG00000031966	Rhinopithecus_roxellana
ENSRBIP00000042196	ENSRBIG00000044400	Rhinopithecus_bieti
ENSPTEP00000007079	ENSPTEG00000008086	Piliocolobus_tephrosceles
ENSCANP00000012452	ENSCANG00000029630	Colobus_angolensis_palliatus
ENSTGEP00000004020	ENSTGEG00000003389	Theropithecus_gelada
ENSPANP00000016750	ENSPANG00000016613	Papio_anubis
ENSMNEP00000007699	ENSMNEG00000028421	Macaca_nemestrina
ENSMMUP00000059977	ENSMMUG00000041260	Macaca_mulatta
ENSMFAP00000030339	ENSMFAG00000042355	Macaca_fascicularis
ENSMLEP00000014390	ENSMLEG00000031357	Mandrillus_leucophaeus
ENSCATP00000044819	ENSCATG00000044870	Cercocebus_atys
ENSCSAP00000011562	ENSCSAG00000015474	Chlorocebus_sabaeus
ENSCCAP00000038119	ENSCCAG00000036898	Cebus_capucinus_imitator
ENSSBOP00000019602	ENSSBOG00000026399	Saimiri_boliviensis_boliviensis
ENSCJAP00000063899	ENSCJAG00000047601	Callithrix_jacchus
ENSANAP00000010823	ENSANAG00000023382	Aotus_nancymaae
ENSOCUP00000029643	ENSOCUG00000032400	Oryctolagus_cuniculus
ENSECAP00000047476	ENSECAG00000042731	Equus_caballus
