ENSPTRP00000024817	ENSPTRG00000014404	Pan_troglodytes
ENSPPAP00000008115	ENSPPAG00000027295	Pan_paniscus
ENSP00000339186	ENSG00000100351	Homo_sapiens
ENSGGOP00000001459	ENSGGOG00000001476	Gorilla_gorilla
ENSPPYP00000013217	ENSPPYG00000011846	Pongo_abelii
ENSNLEP00000036468	ENSNLEG00000015291	Nomascus_leucogenys
ENSCANP00000005769	ENSCANG00000019463	Colobus_angolensis_palliatus
ENSPTEP00000035812	ENSPTEG00000033748	Piliocolobus_tephrosceles
ENSRBIP00000026485	ENSRBIG00000037123	Rhinopithecus_bieti
ENSRROP00000042423	ENSRROG00000044364	Rhinopithecus_roxellana
ENSMFAP00000027890	ENSMFAG00000045322	Macaca_fascicularis
ENSMMUP00000066911	ENSMMUG00000004880	Macaca_mulatta
ENSMNEP00000042841	ENSMNEG00000044139	Macaca_nemestrina
ENSCATP00000013424	ENSCATG00000030826	Cercocebus_atys
ENSMLEP00000027717	ENSMLEG00000038063	Mandrillus_leucophaeus
ENSPANP00000013378	ENSPANG00000020770	Papio_anubis
ENSTGEP00000011786	ENSTGEG00000009598	Theropithecus_gelada
ENSCSAP00000002365	ENSCSAG00000006067	Chlorocebus_sabaeus
ENSCCAP00000001436	ENSCCAG00000009186	Cebus_capucinus_imitator
ENSSBOP00000023502	ENSSBOG00000028271	Saimiri_boliviensis_boliviensis
ENSCJAP00000070000	ENSCJAG00000056000	Callithrix_jacchus
ENSANAP00000020977	ENSANAG00000028281	Aotus_nancymaae
ENSTSYP00000008148	ENSTSYG00000008878	Carlito_syrichta
ENSPCOP00000029947	ENSPCOG00000027684	Propithecus_coquereli
ENSMICP00000032605	ENSMICG00000016121	Microcebus_murinus
ENSPSMP00000004697	ENSPSMG00000003705	Prolemur_simus
ENSOGAP00000002386	ENSOGAG00000002666	Otolemur_garnettii
ENSTBEP00000004005	ENSTBEG00000004624	Tupaia_belangeri
ENSMOCP00000011310	ENSMOCG00000011546	Microtus_ochrogaster
ENSPEMP00000007056	ENSPEMG00000009128	Peromyscus_maniculatus_bairdii
ENSCGRP00000024445	ENSCGRG00000017717	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023501	ENSCGRG00001021712	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005543	ENSCGRG00015004345	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006317	ENSMAUG00000008300	Mesocricetus_auratus
MGP_SPRETEiJ_P0040851	MGP_SPRETEiJ_G0020939	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0039050	MGP_CAROLIEiJ_G0020041	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000046532	ENSMUSG00000042351	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000034529	ENSMSIG00000028802	Mus_spicilegus
MGP_PahariEiJ_P0042401	MGP_PahariEiJ_G0020043	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024673	ENSRNOG00000018316	Rattus_norvegicus
ENSMUGP00000002774	ENSMUGG00000002590	Meriones_unguiculatus
ENSNGAP00000015478	ENSNGAG00000016490	Nannospalax_galili
ENSJJAP00000010708	ENSJJAG00000014224	Jaculus_jaculus
ENSCCNP00000001929	ENSCCNG00000002131	Castor_canadensis
ENSHGLP00000017212	ENSHGLG00000012328	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005317	ENSHGLG00100004035	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015012	ENSFDAG00000002610	Fukomys_damarensis
ENSODEP00000000110	ENSODEG00000000100	Octodon_degus
ENSODEP00000016896	ENSODEG00000012455	Octodon_degus
ENSCPOP00000028785	ENSCPOG00000040713	Cavia_porcellus
ENSCAPP00000007241	ENSCAPG00000009222	Cavia_aperea
ENSCLAP00000024398	ENSCLAG00000016753	Chinchilla_lanigera
ENSUPAP00010008253	ENSUPAG00010006631	Urocitellus_parryii
ENSSTOP00000001984	ENSSTOG00000002229	Ictidomys_tridecemlineatus
ENSSDAP00000026732	ENSSDAG00000024246	Spermophilus_dauricus
ENSMMMP00000005261	ENSMMMG00000004731	Marmota_marmota_marmota
ENSDORP00000014506	ENSDORG00000015414	Dipodomys_ordii
ENSMLUP00000000496	ENSMLUG00000000549	Myotis_lucifugus
ENSPVAP00000004700	ENSPVAG00000004971	Pteropus_vampyrus
ENSUMAP00000019603	ENSUMAG00000014351	Ursus_maritimus
ENSUAMP00000008583	ENSUAMG00000007225	Ursus_americanus
ENSAMEP00000011577	ENSAMEG00000011003	Ailuropoda_melanoleuca
ENSNVIP00000001406	ENSNVIG00000001114	Neovison_vison
ENSMPUP00000013315	ENSMPUG00000013415	Mustela_putorius_furo
ENSCAFP00020002786	ENSCAFG00020002345	Canis_lupus_dingo
ENSCAFP00000065984	ENSCAFG00000001296	Canis_lupus_familiaris
ENSVVUP00000009762	ENSVVUG00000007218	Vulpes_vulpes
ENSPPRP00000029364	ENSPPRG00000021941	Panthera_pardus
ENSPTIP00000026568	ENSPTIG00000021945	Panthera_tigris_altaica
ENSFCAP00000012529	ENSFCAG00000013507	Felis_catus
ENSECAP00000017368	ENSECAG00000019768	Equus_caballus
ENSEASP00005007314	ENSEASG00005005345	Equus_asinus_asinus
ENSBTAP00000020161	ENSBTAG00000015157	Bos_taurus
ENSBIXP00005025863	ENSBIXG00005028301	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000005209	ENSBMUG00000004086	Bos_mutus
ENSBBBP00000016725	ENSBBBG00000024881	Bison_bison_bison
ENSBIXP00000030449	ENSBIXG00000012426	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHIP00000014149	ENSCHIG00000015296	Capra_hircus
ENSOARP00000018360	ENSOARG00000017108	Ovis_aries
ENSTTRP00000010843	ENSTTRG00000011430	Tursiops_truncatus
ENSSSCP00000038513	ENSSSCG00000000080	Sus_scrofa_strain_reference
