ENSUAMP00000020025	ENSUAMG00000015813	Ursus_americanus	ENSUAMT00000022395
ENSUMAP00000005416	ENSUMAG00000004294	Ursus_maritimus	ENSUMAT00000006541
ENSAMEP00000006727	ENSAMEG00000006397	Ailuropoda_melanoleuca	ENSAMET00000007011
ENSNVIP00000007023	ENSNVIG00000005576	Neovison_vison	ENSNVIT00000008234
ENSMPUP00000003193	ENSMPUG00000003226	Mustela_putorius_furo
ENSCAFP00020018097	ENSCAFG00020014481	Canis_lupus_dingo
ENSCAFP00000026046	ENSCAFG00000017661	Canis_lupus_familiaris
ENSVVUP00000025629	ENSVVUG00000018810	Vulpes_vulpes
ENSPPRP00000006993	ENSPPRG00000002276	Panthera_pardus
ENSPTIP00000010102	ENSPTIG00000010976	Panthera_tigris_altaica
ENSFCAP00000056396	ENSFCAG00000022483	Felis_catus
ENSECAP00000022095	ENSECAG00000024600	Equus_caballus
ENSEASP00005031543	ENSEASG00005021478	Equus_asinus_asinus
ENSPVAP00000013513	ENSPVAG00000014337	Pteropus_vampyrus
ENSMLUP00000011429	ENSMLUG00000012561	Myotis_lucifugus
ENSCHIP00000015508	ENSCHIG00000016134	Capra_hircus
ENSOARP00000016199	ENSOARG00000015096	Ovis_aries
ENSBIXP00005014124	ENSBIXG00005002942	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000008616	ENSBIXG00000007789	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000042614	ENSBTAG00000006191	Bos_taurus
ENSBMUP00000022422	ENSBMUG00000016889	Bos_mutus
ENSBBBP00000016259	ENSBBBG00000008702	Bison_bison_bison
ENSSSCP00000002684	ENSSSCG00000002478	Sus_scrofa_strain_reference
ENSVPAP00000001106	ENSVPAG00000001199	Vicugna_pacos
ENSEEUP00000003008	ENSEEUG00000003296	Erinaceus_europaeus
ENSCCNP00000012593	ENSCCNG00000013077	Castor_canadensis
ENSDORP00000012490	ENSDORG00000013285	Dipodomys_ordii
ENSMSIP00000035906	ENSMSIG00000029883	Mus_spicilegus
ENSMUSP00000045572	ENSMUSG00000041567	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0034765	MGP_SPRETEiJ_G0018913	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033237	MGP_CAROLIEiJ_G0018068	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083352	MGP_PahariEiJ_G0029827	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012960	ENSRNOG00000042634	Rattus_norvegicus
ENSMUGP00000017641	ENSMUGG00000014996	Meriones_unguiculatus
ENSCGRP00001020746	ENSCGRG00001019801	Cricetulus_griseus_CHOK1GS_HDv1
