ENSAHAP00000017697	ENSAHAG00000012557	Apteryx_haastii	ENSAHAT00000019548
ENSODEP00000020969	ENSODEG00000015453	Octodon_degus
ENSTGEP00000005320	ENSTGEG00000004429	Theropithecus_gelada
ENSLCRP00005009166	ENSLCRG00005004311	Larimichthys_crocea
ENSANAP00000007687	ENSANAG00000021904	Aotus_nancymaae
ENSECAP00000013900	ENSECAG00000016370	Equus_caballus
ENSTRUP00000012046	ENSTRUG00000005029	Takifugu_rubripes
ENSBMUP00000024203	ENSBMUG00000018185	Bos_mutus
ENSMNEP00000035555	ENSMNEG00000040928	Macaca_nemestrina
ENSAMXP00005054291	ENSAMXG00005024288	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000005793	ENSPKIG00000022331	Paramormyrops_kingsleyae
ENSCGRP00015018759	ENSCGRG00015014438	Cricetulus_griseus_CriGri-PICR
ENSLCOP00000009823	ENSLCOG00000007141	Lepidothrix_coronata	ENSLCOT00000010430
ENSCABP00000022380	ENSCABG00000016473	Chelonoidis_abingdonii
ENSAMXP00000038199	ENSAMXG00000000602	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSDUP00000022723	ENSSDUG00000016535	Seriola_dumerili
ENSRBIP00000013389	ENSRBIG00000030707	Rhinopithecus_bieti
ENSMUGP00000021261	ENSMUGG00000017913	Meriones_unguiculatus
ENSSBOP00000010844	ENSSBOG00000022248	Saimiri_boliviensis_boliviensis
ENSDNOP00000025664	ENSDNOG00000042503	Dasypus_novemcinctus
ENSLOCP00000002609	ENSLOCG00000002240	Lepisosteus_oculatus
ENSORLP00015001732	ENSORLG00015002367	Oryzias_latipes_ASM223469v1
FBpp0075138	FBgn0285951	Drosophila_melanogaster
ENSMZEP00005012094	ENSMZEG00005009087	Maylandia_zebra
ENSDCDP00000040888	ENSDCDG00000026763	Denticeps_clupeoides
ENSELUP00000031816	ENSELUG00000009475	Esox_lucius
ENSCCNP00000033217	ENSCCNG00000031464	Castor_canadensis
ENSAPLP00000030229	ENSAPLG00000017503	Anas_platyrhynchos_platyrhynchos
ENSMMUP00000024461	ENSMMUG00000018594	Macaca_mulatta
ENSACIP00000009147	ENSACIG00000007180	Amphilophus_citrinellus
ENSAPOP00000028583	ENSAPOG00000013871	Acanthochromis_polyacanthus
ENSPTEP00000037220	ENSPTEG00000034850	Piliocolobus_tephrosceles
ENSMUSP00000045111	ENSMUSG00000038880	Mus_musculus_strain_reference_(CL57BL6)
ENSPCIP00000022768	ENSPCIG00000017278	Phascolarctos_cinereus
ENSPNAP00000027230	ENSPNAG00000012661	Pygocentrus_nattereri
ENSUPAP00010020638	ENSUPAG00010016348	Urocitellus_parryii
ENSGACP00000017247	ENSGACG00000013041	Gasterosteus_aculeatus
ENSMICP00000021713	ENSMICG00000031095	Microcebus_murinus
ENSGGOP00000006098	ENSGGOG00000006234	Gorilla_gorilla
ENSVURP00010014352	ENSVURG00010011039	Vombatus_ursinus
ENSMOCP00000004902	ENSMOCG00000004274	Microtus_ochrogaster
ENSSFOP00015012316	ENSSFOG00015007963	Scleropages_formosus
ENSNVIP00000028490	ENSNVIG00000021989	Neovison_vison
ENSPLAP00000028688	ENSPLAG00000018270	Poecilia_latipinna
ENSGAFP00000007439	ENSGAFG00000005057	Gambusia_affinis
ENSBIXP00005027099	ENSBIXG00005001802	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMPUP00000015497	ENSMPUG00000015607	Mustela_putorius_furo
ENSOMEP00000032329	ENSOMEG00000017698	Oryzias_melastigma
ENSSTOP00000018013	ENSSTOG00000021586	Ictidomys_tridecemlineatus
ENSNMEP00000025693	ENSNMEG00000021734	Numida_meleagris
ENSCGRP00001025832	ENSCGRG00001023318	Cricetulus_griseus_CHOK1GS_HDv1
ENSCJPP00005023275	ENSCJPG00005018493	Coturnix_japonica
ENSNBRP00000003295	ENSNBRG00000002645	Neolamprologus_brichardi
ENSMUNP00000005915	ENSMUNG00000004808	Melopsittacus_undulatus
ENSNPEP00000008248	ENSNPEG00000006194	Nothoprocta_perdicaria	ENSNPET00000008456
ENSBBBP00000026494	ENSBBBG00000005888	Bison_bison_bison
ENSATEP00000007035	ENSATEG00000004971	Anabas_testudineus
ENSCATP00000005243	ENSCATG00000017392	Cercocebus_atys
ENSCGRP00000024110	ENSCGRG00000017479	Cricetulus_griseus_CriGri_1.0
ENSPPYP00000007882	ENSPPYG00000006962	Pongo_abelii
ENSSPUP00000018559	ENSSPUG00000014340	Sphenodon_punctatus
ENSETEP00000006753	ENSETEG00000008314	Echinops_telfairi
ENSFHEP00000033082	ENSFHEG00000019970	Fundulus_heteroclitus
ENSPTRP00000013000	ENSPTRG00000007606	Pan_troglodytes
ENSPPRP00000029054	ENSPPRG00000021470	Panthera_pardus
ENSAOCP00000026298	ENSAOCG00000014456	Amphiprion_ocellaris
ENSMSIP00000009942	ENSMSIG00000008733	Mus_spicilegus
ENSBTAP00000037370	ENSBTAG00000026415	Bos_taurus
ENSMALP00000028808	ENSMALG00000019940	Monopterus_albus
MGP_PahariEiJ_P0055466	MGP_PahariEiJ_G0023531	Mus_pahari_strain_PAHARI_EIJ
ENSCLAP00000022198	ENSCLAG00000015224	Chinchilla_lanigera
ENSCPOP00000004841	ENSCPOG00000005379	Cavia_porcellus
ENSIPUP00000034642	ENSIPUG00000023268	Ictalurus_punctatus
ENSCAFP00020000676	ENSCAFG00020000675	Canis_lupus_dingo
ENSSLDP00000022999	ENSSLDG00000017958	Seriola_lalandi_dorsalis
ENSGMOP00000003672	ENSGMOG00000003484	Gadus_morhua
ENSPPAP00000021061	ENSPPAG00000033749	Pan_paniscus
ENSECRP00000017554	ENSECRG00000011714	Erpetoichthys_calabaricus
ENSBSLP00000009273	ENSBSLG00000004531	Betta_splendens
ENSCPRP00005000502	ENSCPRG00005000417	Crocodylus_porosus
ENSCVAP00000013753	ENSCVAG00000016300	Cyprinodon_variegatus
ENSPSIP00000003646	ENSPSIG00000003471	Pelodiscus_sinensis
ENSFCAP00000023850	ENSFCAG00000022788	Felis_catus
ENSXCOP00000024260	ENSXCOG00000018115	Xiphophorus_couchianus
ENSCANP00000028209	ENSCANG00000037510	Colobus_angolensis_palliatus
ENSSSCP00000048030	ENSSSCG00000008016	Sus_scrofa_strain_reference
ENSNLEP00000010688	ENSNLEG00000008766	Nomascus_leucogenys
ENSNGAP00000025791	ENSNGAG00000023629	Nannospalax_galili
ENSNSUP00000001453	ENSNSUG00000001257	Notechis_scutatus
ENSDARP00000075118	ENSDARG00000057910	Danio_rerio
ENSORLP00000014704	ENSORLG00000011731	Oryzias_latipes_ASM223467v1
ENSPEMP00000003950	ENSPEMG00000005957	Peromyscus_maniculatus_bairdii
ENSMVIP00005015289	ENSMVIG00005011001	Manacus_vitellinus	ENSMVIT00005017312
ENSMAUP00000016890	ENSMAUG00000015906	Mesocricetus_auratus
ENSONIP00000024419	ENSONIG00000019400	Oreochromis_niloticus
ENSFDAP00000007695	ENSFDAG00000016133	Fukomys_damarensis
ENSMMMP00000012490	ENSMMMG00000011168	Marmota_marmota_marmota
ENSCINP00000035630	ENSCING00000019091	Ciona_intestinalis
ENSKMAP00000012692	ENSKMAG00000009519	Kryptolebias_marmoratus
ENSJJAP00000014261	ENSJJAG00000016768	Jaculus_jaculus
ENSPMEP00000014873	ENSPMEG00000017306	Poecilia_mexicana
ENSMFAP00000039930	ENSMFAG00000046146	Macaca_fascicularis
ENSCPBP00000033235	ENSCPBG00000023270	Chrysemys_picta_bellii
ENSPCOP00000028365	ENSPCOG00000026798	Propithecus_coquereli
ENSCSAVP00000010901	ENSCSAVG00000006386	Ciona_savignyi
ENSHCOP00000011764	ENSHCOG00000014649	Hippocampus_comes
ENSCHIP00000033331	ENSCHIG00000026940	Capra_hircus
ENSHBUP00000018658	ENSHBUG00000020755	Haplochromis_burtoni
ENSARWP00000024532	ENSARWG00000016712	Apteryx_rowi	ENSARWT00000027793
ENSEASP00005006165	ENSEASG00005004569	Equus_asinus_asinus
ENSJHYP00000001156	ENSJHYG00000001016	Junco_hyemalis
ENSPSMP00000035380	ENSPSMG00000024379	Prolemur_simus
ENSRNOP00000021075	ENSRNOG00000015479	Rattus_norvegicus
ENSMAMP00000003496	ENSMAMG00000002399	Mastacembelus_armatus
MGP_SPRETEiJ_P0045073	MGP_SPRETEiJ_G0022125	Mus_spretus_strain_SPRET/EiJ
ENSCHAP00000034026	ENSCHAG00000016205	Clupea_harengus
ENSCPUP00000016367	ENSCPUG00000011332	Calidris_pugnax
ENSSMRP00000005578	ENSSMRG00000004525	Salvator_merianae
ENSTGUP00000003240	ENSTGUG00000003148	Taeniopygia_guttata	ENSTGUT00000003272
ENSORLP00020029098	ENSORLG00020012924	Oryzias_latipes_ASM223471v1
