ENSCGOP00000021445	ENSCGOG00000009933	Cottoperca_gobio
ENSUMAP00000002933	ENSUMAG00000002564	Ursus_maritimus
ENSBIXP00000028961	ENSBIXG00000010396	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSCAP00000007030	ENSSCAG00000005260	Serinus_canaria
ENSUPAP00010007266	ENSUPAG00010005844	Urocitellus_parryii
ENSHGLP00100018189	ENSHGLG00100013405	Heterocephalus_glaber_HetGla_1.0
ENSSHAP00000012788	ENSSHAG00000010944	Sarcophilus_harrisii
ENSCLAP00000023643	ENSCLAG00000016220	Chinchilla_lanigera
ENSSMAP00000000652	ENSSMAG00000000412	Scophthalmus_maximus
ENSPPYP00000004480	ENSPPYG00000003910	Pongo_abelii
ENSNLEP00000008956	ENSNLEG00000007340	Nomascus_leucogenys
ENSFALP00000006019	ENSFALG00000005742	Ficedula_albicollis
ENSAOCP00000011546	ENSAOCG00000015916	Amphiprion_ocellaris
ENSSFOP00015025269	ENSSFOG00015016252	Scleropages_formosus
ENSHBUP00000020646	ENSHBUG00000023007	Haplochromis_burtoni
ENSMODP00000017175	ENSMODG00000013739	Monodelphis_domestica
ENSAOWP00000014490	ENSAOWG00000009888	Apteryx_owenii
MGP_SPRETEiJ_P0091256	MGP_SPRETEiJ_G0033289	Mus_spretus_strain_SPRET/EiJ
ENSMAUP00000018360	ENSMAUG00000016951	Mesocricetus_auratus
ENSSPAP00000024404	ENSSPAG00000018327	Stegastes_partitus
ENSCHAP00000046584	ENSCHAG00000021526	Clupea_harengus
ENSANAP00000035565	ENSANAG00000035257	Aotus_nancymaae
ENSECRP00000019923	ENSECRG00000013378	Erpetoichthys_calabaricus
ENSGWIP00000008635	ENSGWIG00000004408	Gouania_willdenowi
ENSEBUP00000018728	ENSEBUG00000011659	Eptatretus_burgeri	ENSEBUT00000019304
ENSCSEP00000023047	ENSCSEG00000014699	Cynoglossus_semilaevis
ENSAPOP00000029213	ENSAPOG00000014987	Acanthochromis_polyacanthus
ENSBIXP00005021147	ENSBIXG00005024173	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLBEP00000015888	ENSLBEG00000012335	Labrus_bergylta
ENSLSDP00000009508	ENSLSDG00000006933	Lonchura_striata_domestica
ENSAMXP00000035558	ENSAMXG00000029572	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPUP00000026879	ENSCPUG00000018098	Calidris_pugnax
