ENSETEP00000014991	ENSETEG00000018437	Echinops_telfairi
ENSMMUP00000020932	ENSMMUG00000015912	Macaca_mulatta
ENSPSIP00000013808	ENSPSIG00000012399	Pelodiscus_sinensis
ENSOARP00000000398	ENSOARG00000000393	Ovis_aries
ENSMUGP00000006901	ENSMUGG00000006093	Meriones_unguiculatus
ENSCATP00000021748	ENSCATG00000034558	Cercocebus_atys
ENSMFAP00000003349	ENSMFAG00000001425	Macaca_fascicularis
ENSCABP00000001292	ENSCABG00000001068	Chelonoidis_abingdonii
ENSMGAP00000006246	ENSMGAG00000006260	Meleagris_gallopavo
ENSNMEP00000018418	ENSNMEG00000016026	Numida_meleagris
ENSCANP00000036393	ENSCANG00000041879	Colobus_angolensis_palliatus
ENSCMIP00000028953	ENSCMIG00000012545	Callorhinchus_milii
ENSNGAP00000009084	ENSNGAG00000011814	Nannospalax_galili
ENSABRP00000006683	ENSABRG00000006131	Anser_brachyrhynchus
ENSCGRP00015021739	ENSCGRG00015016427	Cricetulus_griseus_CriGri-PICR
ENSUPAP00010006239	ENSUPAG00010004864	Urocitellus_parryii
ENSPPAP00000006065	ENSPPAG00000024254	Pan_paniscus
ENSPVAP00000013302	ENSPVAG00000014108	Pteropus_vampyrus
ENSCJPP00005002843	ENSCJPG00005003131	Coturnix_japonica
ENSTNIP00000023101	ENSTNIG00000019832	Tetraodon_nigroviridis
ENSCCAP00000002066	ENSCCAG00000012160	Cebus_capucinus_imitator
ENSECAP00000046409	ENSECAG00000033282	Equus_caballus
MGP_CAROLIEiJ_P0056666	MGP_CAROLIEiJ_G0024794	Mus_caroli_strain_CAROLI_EIJ
ENSOANP00000005915	ENSOANG00000003730	Ornithorhynchus_anatinus
ENSSBOP00000023247	ENSSBOG00000028118	Saimiri_boliviensis_boliviensis
ENSPTRP00000045409	ENSPTRG00000013734	Pan_troglodytes
ENSSTOP00000017060	ENSSTOG00000014595	Ictidomys_tridecemlineatus
ENSFDAP00000016669	ENSFDAG00000005319	Fukomys_damarensis
ENSNLEP00000012248	ENSNLEG00000010011	Nomascus_leucogenys
MGP_SPRETEiJ_P0058877	MGP_SPRETEiJ_G0025719	Mus_spretus_strain_SPRET/EiJ
ENSGGOP00000008183	ENSGGOG00000008361	Gorilla_gorilla	ENSGGOT00000008410
ENSRROP00000026926	ENSRROG00000037231	Rhinopithecus_roxellana
ENSMSIP00000016827	ENSMSIG00000014136	Mus_spicilegus
ENSTSYP00000020095	ENSTSYG00000029460	Carlito_syrichta
ENSPPYP00000012547	ENSPPYG00000011230	Pongo_abelii
ENSRBIP00000022725	ENSRBIG00000035309	Rhinopithecus_bieti
ENSUAMP00000032758	ENSUAMG00000024976	Ursus_americanus
ENSP00000351767	ENSG00000101203	Homo_sapiens	ENST00000358894
ENSCSAP00000012377	ENSCSAG00000016347	Chlorocebus_sabaeus
ENSPTEP00000002889	ENSPTEG00000003375	Piliocolobus_tephrosceles
ENSTTRP00000001718	ENSTTRG00000001818	Tursiops_truncatus
ENSSDAP00000007980	ENSSDAG00000007081	Spermophilus_dauricus
ENSMEUP00000005134	ENSMEUG00000005588	Notamacropus_eugenii
ENSMUSP00000153871	ENSMUSG00000016356	Mus_musculus_strain_reference_(CL57BL6)
ENSCJAP00000078924	ENSCJAG00000010103	Callithrix_jacchus
ENSANAP00000011190	ENSANAG00000023543	Aotus_nancymaae
ENSMLEP00000009051	ENSMLEG00000028700	Mandrillus_leucophaeus
ENSGALP00000009298	ENSGALG00000005797	Gallus_gallus
