ENSOARP00000017528	ENSOARG00000016324	Ovis_aries
ENSCCNP00000027744	ENSCCNG00000026795	Castor_canadensis
ENSCAPP00000007184	ENSCAPG00000009188	Cavia_aperea
ENSEEUP00000003195	ENSEEUG00000003529	Erinaceus_europaeus
ENSMEUP00000005950	ENSMEUG00000006526	Notamacropus_eugenii
ENSETEP00000001472	ENSETEG00000001813	Echinops_telfairi
ENSMLUP00000016138	ENSMLUG00000017694	Myotis_lucifugus
ENSTGEP00000023438	ENSTGEG00000018975	Theropithecus_gelada
ENSCPOP00000008883	ENSCPOG00000009900	Cavia_porcellus
ENSCPRP00005006345	ENSCPRG00005004537	Crocodylus_porosus
ENSMMUP00000080945	ENSMMUG00000057431	Macaca_mulatta
ENSCHIP00000008477	ENSCHIG00000011647	Capra_hircus
ENSCPBP00000011832	ENSCPBG00000008977	Chrysemys_picta_bellii
ENSCLAP00000020584	ENSCLAG00000014098	Chinchilla_lanigera
ENSBTAP00000022009	ENSBTAG00000016548	Bos_taurus
ENSMMMP00000026785	ENSMMMG00000023438	Marmota_marmota_marmota
ENSUPAP00010026282	ENSUPAG00010020792	Urocitellus_parryii
ENSSTOP00000027043	ENSSTOG00000030955	Ictidomys_tridecemlineatus
ENSPTEP00000026607	ENSPTEG00000026639	Piliocolobus_tephrosceles
ENSNVIP00000009784	ENSNVIG00000007722	Neovison_vison
ENSODEP00000001128	ENSODEG00000000891	Octodon_degus
ENSGALP00000073493	ENSGALG00000048129	Gallus_gallus
ENSVVUP00000021738	ENSVVUG00000015963	Vulpes_vulpes
ENSSDAP00000025522	ENSSDAG00000023194	Spermophilus_dauricus
ENSDNOP00000022069	ENSDNOG00000043666	Dasypus_novemcinctus
ENSSPUP00000013466	ENSSPUG00000010347	Sphenodon_punctatus
ENSBBBP00000018586	ENSBBBG00000011572	Bison_bison_bison
ENSCAFP00020007446	ENSCAFG00020006024	Canis_lupus_dingo
MGP_PahariEiJ_P0023413	MGP_PahariEiJ_G0015053	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00000002076	ENSCGRG00000001540	Cricetulus_griseus_CriGri_1.0
ENSBMUP00000016911	ENSBMUG00000012830	Bos_mutus
ENSPPRP00000004082	ENSPPRG00000000311	Panthera_pardus
ENSRROP00000021106	ENSRROG00000034475	Rhinopithecus_roxellana
ENSCCNP00000013780	ENSCCNG00000014274	Castor_canadensis
ENSUMAP00000009089	ENSUMAG00000006889	Ursus_maritimus
ENSPTIP00000022369	ENSPTIG00000019210	Panthera_tigris_altaica
ENSMOCP00000002208	ENSMOCG00000001735	Microtus_ochrogaster
ENSECAP00000017546	ENSECAG00000020108	Equus_caballus
ENSPCOP00000022823	ENSPCOG00000023524	Propithecus_coquereli
ENSHGLP00100013653	ENSHGLG00100010094	Heterocephalus_glaber_HetGla_1.0
ENSSBOP00000037949	ENSSBOG00000035049	Saimiri_boliviensis_boliviensis
ENSGAGP00000009415	ENSGAGG00000007450	Gopherus_agassizii	ENSGAGT00000010818
ENSMNEP00000036017	ENSMNEG00000041137	Macaca_nemestrina
ENSETEP00000006623	ENSETEG00000008149	Echinops_telfairi
ENSRBIP00000023058	ENSRBIG00000035463	Rhinopithecus_bieti
ENSSHAP00000014425	ENSSHAG00000012317	Sarcophilus_harrisii
ENSOGAP00000015397	ENSOGAG00000017189	Otolemur_garnettii
ENSJJAP00000003934	ENSJJAG00000007943	Jaculus_jaculus
ENSHGLP00000015385	ENSHGLG00000010997	Heterocephalus_glaber_HetGla_female_1.0
ENSPEMP00000031787	ENSPEMG00000026300	Peromyscus_maniculatus_bairdii
ENSFCAP00000020326	ENSFCAG00000025288	Felis_catus
ENSPCIP00000037522	ENSPCIG00000027651	Phascolarctos_cinereus
ENSNGAP00000004443	ENSNGAG00000005833	Nannospalax_galili
ENSCGRP00001021776	ENSCGRG00001020522	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015028560	ENSCGRG00015021609	Cricetulus_griseus_CriGri-PICR
ENSCAFP00000020611	ENSCAFG00000013989	Canis_lupus_familiaris
ENSCPGP00000028258	ENSCPGG00000019440	Calidris_pygmaea
ENSABRP00000002425	ENSABRG00000002365	Anser_brachyrhynchus
ENSAHAP00000020676	ENSAHAG00000014531	Apteryx_haastii
ENSPANP00000008171	ENSPANG00000009659	Papio_anubis
ENSCABP00000000407	ENSCABG00000000380	Chelonoidis_abingdonii
ENSANAP00000036060	ENSANAG00000035554	Aotus_nancymaae
ENSMSIP00000007344	ENSMSIG00000006557	Mus_spicilegus
ENSSSCP00000027044	ENSSSCG00000022445	Sus_scrofa_strain_reference
ENSTSYP00000005812	ENSTSYG00000006348	Carlito_syrichta
ENSMAUP00000024974	ENSMAUG00000021667	Mesocricetus_auratus
ENSPCAP00000008673	ENSPCAG00000009344	Procavia_capensis
ENSP00000280358	ENSG00000150783	Homo_sapiens
ENSEASP00005009841	ENSEASG00005006988	Equus_asinus_asinus
MGP_SPRETEiJ_P0091357	MGP_SPRETEiJ_G0033324	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000013014	ENSRNOG00000049470	Rattus_norvegicus
ENSPVAP00000013262	ENSPVAG00000014066	Pteropus_vampyrus
ENSCATP00000036940	ENSCATG00000041244	Cercocebus_atys
ENSFDAP00000019143	ENSFDAG00000009335	Fukomys_damarensis
ENSAMEP00000004253	ENSAMEG00000004041	Ailuropoda_melanoleuca
ENSLACP00000023181	ENSLACG00000022289	Latimeria_chalumnae
ENSDORP00000006268	ENSDORG00000006689	Dipodomys_ordii
ENSPVIP00000007515	ENSPVIG00000006130	Pogona_vitticeps
ENSARWP00000004852	ENSARWG00000003509	Apteryx_rowi
MGP_CAROLIEiJ_P0087761	MGP_CAROLIEiJ_G0032185	Mus_caroli_strain_CAROLI_EIJ
ENSAOWP00000001381	ENSAOWG00000001005	Apteryx_owenii
