ENSOARP00000016473	ENSOARG00000015355	Ovis_aries
ENSAMXP00005028497	ENSAMXG00005014207	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSFDAP00000012058	ENSFDAG00000019474	Fukomys_damarensis
ENSECRP00000027221	ENSECRG00000018423	Erpetoichthys_calabaricus
ENSCGRP00001028239	ENSCGRG00001025008	Cricetulus_griseus_CHOK1GS_HDv1
ENSDCDP00000036544	ENSDCDG00000024467	Denticeps_clupeoides	ENSDCDT00000046699
ENSRROP00000040005	ENSRROG00000043296	Rhinopithecus_roxellana
ENSIPUP00000021337	ENSIPUG00000014473	Ictalurus_punctatus	ENSIPUT00000022261
ENSLCRP00005021028	ENSLCRG00005008552	Larimichthys_crocea
ENSIPUP00000014500	ENSIPUG00000009891	Ictalurus_punctatus
ENSGACP00000010991	ENSGACG00000008309	Gasterosteus_aculeatus
ENSPRNP00000004419	ENSPRNG00000002500	Parambassis_ranga
ENSGWIP00000008642	ENSGWIG00000005151	Gouania_willdenowi
ENSMGAP00000011756	ENSMGAG00000011254	Meleagris_gallopavo
ENSABRP00000004043	ENSABRG00000003800	Anser_brachyrhynchus
ENSAMXP00005025556	ENSAMXG00005012941	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCCNP00000014828	ENSCCNG00000015296	Castor_canadensis
ENSMLEP00000014078	ENSMLEG00000031204	Mandrillus_leucophaeus
ENSORLP00015033118	ENSORLG00015018348	Oryzias_latipes_ASM223469v1
ENSSFOP00015003625	ENSSFOG00015002366	Scleropages_formosus
ENSPMEP00000024605	ENSPMEG00000007021	Poecilia_mexicana
ENSSFOP00015002834	ENSSFOG00015001866	Scleropages_formosus
ENSAHAP00000020330	ENSAHAG00000014309	Apteryx_haastii
ENSNGAP00000009284	ENSNGAG00000012009	Nannospalax_galili
ENSOANP00000015973	ENSOANG00000010077	Ornithorhynchus_anatinus
ENSRNOP00000044089	ENSRNOG00000030098	Rattus_norvegicus
ENSXETP00000002947	ENSXETG00000005290	Xenopus_tropicalis
ENSPTEP00000014544	ENSPTEG00000016243	Piliocolobus_tephrosceles
ENSCPGP00000000479	ENSCPGG00000000400	Calidris_pygmaea
ENSCCAP00000013560	ENSCCAG00000024597	Cebus_capucinus_imitator
ENSLSDP00000011550	ENSLSDG00000008499	Lonchura_striata_domestica
ENSJJAP00000020509	ENSJJAG00000021157	Jaculus_jaculus
ENSSFOP00015016704	ENSSFOG00015010757	Scleropages_formosus	ENSSFOT00015016893
ENSSMAP00000033859	ENSSMAG00000020713	Scophthalmus_maximus
ENSTGEP00000026460	ENSTGEG00000021316	Theropithecus_gelada
ENSPKIP00000008346	ENSPKIG00000023883	Paramormyrops_kingsleyae
ENSKMAP00000029534	ENSKMAG00000021864	Kryptolebias_marmoratus
ENSMAUP00000012684	ENSMAUG00000012924	Mesocricetus_auratus
ENSSPAP00000015412	ENSSPAG00000011613	Stegastes_partitus
ENSSDUP00000001845	ENSSDUG00000001435	Seriola_dumerili
ENSEEEP00000025909	ENSEEEG00000012549	Electrophorus_electricus
ENSTBEP00000005479	ENSTBEG00000006333	Tupaia_belangeri
ENSPANP00000025760	ENSPANG00000029367	Papio_anubis
ENSHHUP00000041620	ENSHHUG00000025627	Hucho_hucho
ENSTRUP00000034121	ENSTRUG00000013387	Takifugu_rubripes
ENSDNOP00000023339	ENSDNOG00000037575	Dasypus_novemcinctus
ENSAMXP00000000164	ENSAMXG00000000164	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPSMP00000036069	ENSPSMG00000024809	Prolemur_simus
ENSAMEP00000002593	ENSAMEG00000002481	Ailuropoda_melanoleuca
ENSFALP00000009528	ENSFALG00000009134	Ficedula_albicollis
ENSPKIP00000024933	ENSPKIG00000007993	Paramormyrops_kingsleyae	ENSPKIT00000005655
ENSSHAP00000020507	ENSSHAG00000017387	Sarcophilus_harrisii
ENSLCAP00010052798	ENSLCAG00010024567	Lates_calcarifer
ENSORLP00020004439	ENSORLG00020005241	Oryzias_latipes_ASM223471v1
ENSCATP00000033773	ENSCATG00000039860	Cercocebus_atys
ENSUPAP00010003308	ENSUPAG00010002736	Urocitellus_parryii
ENSCGOP00000005302	ENSCGOG00000002807	Cottoperca_gobio
ENSMNEP00000012018	ENSMNEG00000030331	Macaca_nemestrina
ENSAPOP00000024592	ENSAPOG00000007128	Acanthochromis_polyacanthus	ENSAPOT00000008368
ENSSLDP00000006916	ENSSLDG00000005504	Seriola_lalandi_dorsalis
ENSSARP00000010761	ENSSARG00000011908	Sorex_araneus
ENSMMOP00000027990	ENSMMOG00000021154	Mola_mola
ENSCJAP00000021879	ENSCJAG00000011921	Callithrix_jacchus
ENSGGOP00000016715	ENSGGOG00000017133	Gorilla_gorilla
ENSMAMP00000008249	ENSMAMG00000005601	Mastacembelus_armatus
ENSECAP00000018262	ENSECAG00000020845	Equus_caballus
ENSPVAP00000003928	ENSPVAG00000004150	Pteropus_vampyrus
ENSBBBP00000010416	ENSBBBG00000018536	Bison_bison_bison
ENSCJPP00005015492	ENSCJPG00005012834	Coturnix_japonica
ENSLAFP00000029389	ENSLAFG00000026852	Loxodonta_africana
ENSLACP00000011575	ENSLACG00000010185	Latimeria_chalumnae
ENSHCOP00000016875	ENSHCOG00000020687	Hippocampus_comes
ENSGMOP00000015280	ENSGMOG00000014300	Gadus_morhua
ENSACLP00000007904	ENSACLG00000005369	Astatotilapia_calliptera
ENSPREP00000026587	ENSPREG00000017981	Poecilia_reticulata
ENSXMAP00000000388	ENSXMAG00000000392	Xiphophorus_maculatus
ENSPNAP00000015365	ENSPNAG00000021404	Pygocentrus_nattereri
ENSNBRP00000027324	ENSNBRG00000020858	Neolamprologus_brichardi
ENSPPRP00000018499	ENSPPRG00000010150	Panthera_pardus
ENSMMUP00000006037	ENSMMUG00000004538	Macaca_mulatta
ENSCHAP00000040332	ENSCHAG00000018831	Clupea_harengus
ENSMVIP00005019503	ENSMVIG00005013802	Manacus_vitellinus
ENSCPBP00000032422	ENSCPBG00000022734	Chrysemys_picta_bellii
ENSBMUP00000011405	ENSBMUG00000008767	Bos_mutus
ENSMODP00000032390	ENSMODG00000023957	Monodelphis_domestica
ENSACIP00000022043	ENSACIG00000017142	Amphilophus_citrinellus
ENSPMGP00000021539	ENSPMGG00000017443	Periophthalmus_magnuspinnatus
ENSAOWP00000009966	ENSAOWG00000006840	Apteryx_owenii
ENSNVIP00000007198	ENSNVIG00000005717	Neovison_vison
ENSPLAP00000006761	ENSPLAG00000000545	Poecilia_latipinna	ENSPLAT00000005707
ENSGAGP00000017892	ENSGAGG00000013271	Gopherus_agassizii	ENSGAGT00000020413
ENSCSAVP00000016824	ENSCSAVG00000009896	Ciona_savignyi
ENSOMEP00000010917	ENSOMEG00000012197	Oryzias_melastigma
ENSJHYP00000011693	ENSJHYG00000009132	Junco_hyemalis
ENSSTOP00000013607	ENSSTOG00000015191	Ictidomys_tridecemlineatus
ENSMZEP00005015550	ENSMZEG00005011669	Maylandia_zebra
ENSNMEP00000010766	ENSNMEG00000010133	Numida_meleagris
ENSCPOP00000004056	ENSCPOG00000004496	Cavia_porcellus
ENSSCAP00000000960	ENSSCAG00000000800	Serinus_canaria
MGP_CAROLIEiJ_P0090457	MGP_CAROLIEiJ_G0032771	Mus_caroli_strain_CAROLI_EIJ
ENSMALP00000026029	ENSMALG00000018086	Monopterus_albus
MGP_SPRETEiJ_P0094194	MGP_SPRETEiJ_G0033918	Mus_spretus_strain_SPRET/EiJ
ENSEASP00005008618	ENSEASG00005006192	Equus_asinus_asinus
ENSHHUP00000039186	ENSHHUG00000024380	Hucho_hucho
ENSAPEP00000002577	ENSAPEG00000001863	Amphiprion_percula
ENSCMIP00000027439	ENSCMIG00000011949	Callorhinchus_milii
ENSSPUP00000002586	ENSSPUG00000001993	Sphenodon_punctatus
ENSPCIP00000035372	ENSPCIG00000026155	Phascolarctos_cinereus
ENSVVUP00000030247	ENSVVUG00000022082	Vulpes_vulpes
ENSTNIP00000012114	ENSTNIG00000009249	Tetraodon_nigroviridis
ENSELUP00000043132	ENSELUG00000024622	Esox_lucius
ENSOCUP00000019642	ENSOCUG00000007612	Oryctolagus_cuniculus
ENSTGUP00000003891	ENSTGUG00000003784	Taeniopygia_guttata
ENSHHUP00000047500	ENSHHUG00000028851	Hucho_hucho
ENSSSCP00000050490	ENSSSCG00000036996	Sus_scrofa_strain_reference
ENSCAFP00020002783	ENSCAFG00020002354	Canis_lupus_dingo
ENSCHIP00000019438	ENSCHIG00000018441	Capra_hircus
ENSAOCP00000008319	ENSAOCG00000012320	Amphiprion_ocellaris
ENSPLAP00000013637	ENSPLAG00000017176	Poecilia_latipinna
ENSMLUP00000021639	ENSMLUG00000022658	Myotis_lucifugus
ENSEEEP00000025678	ENSEEEG00000012455	Electrophorus_electricus
ENSOGAP00000013843	ENSOGAG00000015458	Otolemur_garnettii
ENSGALP00000030515	ENSGALG00000019622	Gallus_gallus
ENSSBOP00000036525	ENSSBOG00000034396	Saimiri_boliviensis_boliviensis
ENSCABP00000014686	ENSCABG00000010967	Chelonoidis_abingdonii	ENSCABT00000016091
ENSCMIP00000005998	ENSCMIG00000003459	Callorhinchus_milii	ENSCMIT00000006198
ENSCLAP00000006014	ENSCLAG00000004257	Chinchilla_lanigera
ENSLCOP00000019504	ENSLCOG00000013802	Lepidothrix_coronata
ENSCPRP00005006897	ENSCPRG00005004907	Crocodylus_porosus
ENSXCOP00000002483	ENSXCOG00000001981	Xiphophorus_couchianus
ENSFCAP00000002688	ENSFCAG00000002918	Felis_catus
ENSBIXP00005036739	ENSBIXG00005018379	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPKIP00000031800	ENSPKIG00000012138	Paramormyrops_kingsleyae
ENSAPLP00000008259	ENSAPLG00000008589	Anas_platyrhynchos_platyrhynchos
ENSGAFP00000027662	ENSGAFG00000018698	Gambusia_affinis
ENSTSYP00000034994	ENSTSYG00000033433	Carlito_syrichta
ENSCINP00000023310	ENSCING00000012507	Ciona_intestinalis
ENSCSEP00000016506	ENSCSEG00000010610	Cynoglossus_semilaevis
ENSANAP00000009324	ENSANAG00000022657	Aotus_nancymaae
ENSMPUP00000013029	ENSMPUG00000013126	Mustela_putorius_furo
ENSCMIP00000032935	ENSCMIG00000014074	Callorhinchus_milii
ENSCANP00000027705	ENSCANG00000037262	Colobus_angolensis_palliatus
ENSBSLP00000004682	ENSBSLG00000002459	Betta_splendens
ENSNLEP00000005360	ENSNLEG00000004428	Nomascus_leucogenys
ENSCGRP00000024084	ENSCGRG00000017458	Cricetulus_griseus_CriGri_1.0
ENSATEP00000008589	ENSATEG00000006012	Anabas_testudineus
ENSLBEP00000032602	ENSLBEG00000024560	Labrus_bergylta
ENSNSUP00000003872	ENSNSUG00000003111	Notechis_scutatus
ENSMFAP00000007396	ENSMFAG00000038335	Macaca_fascicularis
MGP_PahariEiJ_P0026135	MGP_PahariEiJ_G0015638	Mus_pahari_strain_PAHARI_EIJ
ENSARWP00000019012	ENSARWG00000013056	Apteryx_rowi
ENSPPYP00000015704	ENSPPYG00000014036	Pongo_abelii
ENSORLP00000040057	ENSORLG00000005589	Oryzias_latipes_ASM223467v1
ENSPCOP00000001113	ENSPCOG00000003560	Propithecus_coquereli
ENSCHOP00000009770	ENSCHOG00000011042	Choloepus_hoffmanni
ENSCGRP00015009104	ENSCGRG00015007030	Cricetulus_griseus_CriGri-PICR
ENSDARP00000101787	ENSDARG00000075593	Danio_rerio
ENSBTAP00000030842	ENSBTAG00000022744	Bos_taurus
ENSCAFP00000035463	ENSCAFG00000025466	Canis_lupus_familiaris
ENSHGLP00100006895	ENSHGLG00100005169	Heterocephalus_glaber_HetGla_1.0
ENSACAP00000014625	ENSACAG00000014882	Anolis_carolinensis
ENSCINP00000003675	ENSCING00000001823	Ciona_intestinalis	ENSCINT00000003675
ENSMMMP00000015559	ENSMMMG00000013868	Marmota_marmota_marmota
ENSP00000373272	ENSG00000206557	Homo_sapiens
ENSCABP00000021692	ENSCABG00000015987	Chelonoidis_abingdonii	ENSCABT00000023761
ENSPTRP00000051497	ENSPTRG00000030286	Pan_troglodytes
ENSHBUP00000017293	ENSHBUG00000019343	Haplochromis_burtoni
ENSRBIP00000013870	ENSRBIG00000031027	Rhinopithecus_bieti
ENSDORP00000012798	ENSDORG00000013611	Dipodomys_ordii
ENSDCDP00000000497	ENSDCDG00000000318	Denticeps_clupeoides
ENSAMXP00000040303	ENSAMXG00000034964	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMICP00000051611	ENSMICG00000049091	Microcebus_murinus
ENSPTIP00000020398	ENSPTIG00000017889	Panthera_tigris_altaica
ENSAPOP00000018052	ENSAPOG00000021345	Acanthochromis_polyacanthus
ENSUAMP00000030885	ENSUAMG00000023716	Ursus_americanus
ENSMEUP00000008807	ENSMEUG00000009661	Notamacropus_eugenii
ENSMAMP00000009143	ENSMAMG00000006176	Mastacembelus_armatus	ENSMAMT00000009383
ENSODEP00000006696	ENSODEG00000005007	Octodon_degus
ENSDNVP00000010242	ENSDNVG00000007230	Dromaius_novaehollandiae
ENSEEUP00000004618	ENSEEUG00000005077	Erinaceus_europaeus
ENSTTRP00000015908	ENSTTRG00000016780	Tursiops_truncatus
ENSCAPP00000002387	ENSCAPG00000005344	Cavia_aperea
ENSPPAP00000010278	ENSPPAG00000028362	Pan_paniscus
ENSPVIP00000006674	ENSPVIG00000005512	Pogona_vitticeps
ENSFHEP00000015371	ENSFHEG00000017005	Fundulus_heteroclitus
ENSPFOP00000013996	ENSPFOG00000013925	Poecilia_formosa
ENSLOCP00000001425	ENSLOCG00000001260	Lepisosteus_oculatus
ENSPSIP00000004793	ENSPSIG00000004480	Pelodiscus_sinensis
ENSPNYP00000001808	ENSPNYG00000001435	Pundamilia_nyererei
ENSMSIP00000008206	ENSMSIG00000007284	Mus_spicilegus
ENSCINP00000033201	ENSCING00000023250	Ciona_intestinalis	ENSCINT00000037276
ENSMOCP00000021136	ENSMOCG00000018592	Microtus_ochrogaster
ENSHGLP00000002409	ENSHGLG00000001826	Heterocephalus_glaber_HetGla_female_1.0
ENSONIP00000019423	ENSONIG00000015435	Oreochromis_niloticus
ENSMUSP00000107447	ENSMUSG00000079259	Mus_musculus_strain_reference_(CL57BL6)
ENSCPUP00000014540	ENSCPUG00000010213	Calidris_pugnax
ENSCVAP00000000629	ENSCVAG00000000060	Cyprinodon_variegatus
ENSCSAP00000005763	ENSCSAG00000009512	Chlorocebus_sabaeus
ENSBIXP00000002949	ENSBIXG00000009375	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNPEP00000011841	ENSNPEG00000008882	Nothoprocta_perdicaria
ENSSMRP00000013366	ENSSMRG00000010398	Salvator_merianae
ENSGAGP00000021506	ENSGAGG00000015791	Gopherus_agassizii	ENSGAGT00000024493
ENSMUGP00000010046	ENSMUGG00000008903	Meriones_unguiculatus
ENSOPRP00000004615	ENSOPRG00000005033	Ochotona_princeps
ENSPEMP00000012150	ENSPEMG00000012573	Peromyscus_maniculatus_bairdii
