ENSNVIP00000015748	ENSNVIG00000012353	Neovison_vison
ENSHGLP00000013273	ENSHGLG00000009483	Heterocephalus_glaber_HetGla_female_1.0
ENSCAFP00000019561	ENSCAFG00000013237	Canis_lupus_familiaris
ENSHHUP00000057499	ENSHHUG00000034270	Hucho_hucho
ENSPRNP00000019741	ENSPRNG00000010355	Parambassis_ranga
ENSMMMP00000021356	ENSMMMG00000018809	Marmota_marmota_marmota
ENSFDAP00000010744	ENSFDAG00000006654	Fukomys_damarensis
ENSOARP00000015349	ENSOARG00000014300	Ovis_aries
ENSPPYP00000007649	ENSPPYG00000006741	Pongo_abelii
ENSACLP00000038375	ENSACLG00000025916	Astatotilapia_calliptera
ENSMLEP00000005892	ENSMLEG00000025353	Mandrillus_leucophaeus
ENSAPLP00000005571	ENSAPLG00000005948	Anas_platyrhynchos_platyrhynchos
ENSBIXP00005011701	ENSBIXG00005016086	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPTRP00000012631	ENSPTRG00000007393	Pan_troglodytes
ENSDARP00000141730	ENSDARG00000013360	Danio_rerio
ENSODEP00000021316	ENSODEG00000015686	Octodon_degus
ENSCCEP00000011947	ENSCCEG00000011577	Cyanistes_caeruleus
ENSMUNP00000003545	ENSMUNG00000003019	Melopsittacus_undulatus
ENSVURP00010005591	ENSVURG00010004373	Vombatus_ursinus
ENSCSEP00000011543	ENSCSEG00000007417	Cynoglossus_semilaevis
ENSLCAP00010017451	ENSLCAG00010008279	Lates_calcarifer
ENSPVAP00000002498	ENSPVAG00000002644	Pteropus_vampyrus
ENSORLP00015028986	ENSORLG00015011882	Oryzias_latipes_ASM223469v1
ENSAOCP00000010101	ENSAOCG00000014292	Amphiprion_ocellaris
ENSDARP00000007836	ENSDARG00000007302	Danio_rerio
ENSCGRP00000001806	ENSCGRG00000001343	Cricetulus_griseus_CriGri_1.0
ENSPTEP00000008210	ENSPTEG00000009357	Piliocolobus_tephrosceles
ENSIPUP00000002458	ENSIPUG00000001789	Ictalurus_punctatus
ENSMVIP00005020450	ENSMVIG00005014453	Manacus_vitellinus
ENSAMEP00000015300	ENSAMEG00000014507	Ailuropoda_melanoleuca
ENSABRP00000000769	ENSABRG00000000806	Anser_brachyrhynchus
ENSCPUP00000027404	ENSCPUG00000018446	Calidris_pugnax
ENSLBEP00000005429	ENSLBEG00000004183	Labrus_bergylta
ENSOANP00000006460	ENSOANG00000004069	Ornithorhynchus_anatinus
ENSSSCP00000068647	ENSSSCG00000001795	Sus_scrofa_strain_reference
ENSCAFP00020020002	ENSCAFG00020015878	Canis_lupus_dingo
ENSMAMP00000022127	ENSMAMG00000014892	Mastacembelus_armatus
ENSMLUP00000005321	ENSMLUG00000005824	Myotis_lucifugus
ENSXMAP00000023898	ENSXMAG00000028657	Xiphophorus_maculatus
ENSHBUP00000020191	ENSHBUG00000022458	Haplochromis_burtoni
ENSPKIP00000001694	ENSPKIG00000019888	Paramormyrops_kingsleyae
ENSCLAP00000012866	ENSCLAG00000008885	Chinchilla_lanigera
ENSONIP00000004304	ENSONIG00000003418	Oreochromis_niloticus
ENSOMEP00000035517	ENSOMEG00000022859	Oryzias_melastigma
ENSCSAP00000013339	ENSCSAG00000017305	Chlorocebus_sabaeus
ENSGALP00000009724	ENSGALG00000006045	Gallus_gallus
ENSMMOP00000024157	ENSMMOG00000018385	Mola_mola
ENSRNOP00000072673	ENSRNOG00000019776	Rattus_norvegicus
ENSCANP00000012250	ENSCANG00000029496	Colobus_angolensis_palliatus
ENSACAP00000010717	ENSACAG00000010918	Anolis_carolinensis
ENSUAMP00000015698	ENSUAMG00000012519	Ursus_americanus
ENSOMEP00000028606	ENSOMEG00000011769	Oryzias_melastigma
ENSNMEP00000027485	ENSNMEG00000023005	Numida_meleagris
ENSNLEP00000013146	ENSNLEG00000010797	Nomascus_leucogenys
ENSLCRP00005029553	ENSLCRG00005011750	Larimichthys_crocea
ENSLSDP00000024529	ENSLSDG00000017204	Lonchura_striata_domestica
ENSIPUP00000034856	ENSIPUG00000023420	Ictalurus_punctatus
ENSUPAP00010017798	ENSUPAG00010014152	Urocitellus_parryii
ENSPFOP00000014042	ENSPFOG00000013975	Poecilia_formosa
ENSACIP00000023600	ENSACIG00000018333	Amphilophus_citrinellus
ENSGWIP00000007081	ENSGWIG00000004137	Gouania_willdenowi	ENSGWIT00000007836
ENSMAMP00000016952	ENSMAMG00000011464	Mastacembelus_armatus
ENSCPOP00000003585	ENSCPOG00000003970	Cavia_porcellus
ENSMICP00000032433	ENSMICG00000031233	Microcebus_murinus
ENSPCIP00000010331	ENSPCIG00000008409	Phascolarctos_cinereus
ENSFALP00000011618	ENSFALG00000011132	Ficedula_albicollis
ENSATEP00000018562	ENSATEG00000012744	Anabas_testudineus
ENSMZEP00005003548	ENSMZEG00005002721	Maylandia_zebra
ENSGAFP00000022767	ENSGAFG00000015401	Gambusia_affinis
ENSAMXP00005015539	ENSAMXG00005008092	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXMAP00000006636	ENSXMAG00000006602	Xiphophorus_maculatus
ENSSFOP00015024853	ENSSFOG00015015962	Scleropages_formosus
ENSAOWP00000005523	ENSAOWG00000003801	Apteryx_owenii
ENSTBEP00000013156	ENSTBEG00000015156	Tupaia_belangeri
ENSSBOP00000012360	ENSSBOG00000022960	Saimiri_boliviensis_boliviensis
ENSTNIP00000005989	ENSTNIG00000003402	Tetraodon_nigroviridis
ENSAHAP00000024523	ENSAHAG00000017110	Apteryx_haastii
ENSTRUP00000036097	ENSTRUG00000014107	Takifugu_rubripes
ENSRBIP00000013387	ENSRBIG00000030709	Rhinopithecus_bieti
ENSJJAP00000001914	ENSJJAG00000002927	Jaculus_jaculus
ENSMOCP00000010645	ENSMOCG00000010884	Microtus_ochrogaster
ENSMEUP00000012778	ENSMEUG00000014014	Notamacropus_eugenii
ENSMAMP00000022106	ENSMAMG00000014878	Mastacembelus_armatus
ENSLOCP00000015875	ENSLOCG00000012899	Lepisosteus_oculatus
ENSDCDP00000057658	ENSDCDG00000033632	Denticeps_clupeoides
MGP_PahariEiJ_P0017352	MGP_PahariEiJ_G0013154	Mus_pahari_strain_PAHARI_EIJ
ENSTGUP00000007997	ENSTGUG00000007759	Taeniopygia_guttata
ENSMNEP00000005936	ENSMNEG00000026525	Macaca_nemestrina
ENSACAP00000005710	ENSACAG00000005850	Anolis_carolinensis
ENSPMEP00000005222	ENSPMEG00000006560	Poecilia_mexicana
ENSLCAP00010049476	ENSLCAG00010023017	Lates_calcarifer
ENSCPRP00005023410	ENSCPRG00005016257	Crocodylus_porosus
ENSSLDP00000000792	ENSSLDG00000000722	Seriola_lalandi_dorsalis
ENSPSIP00000008235	ENSPSIG00000007506	Pelodiscus_sinensis
ENSSPUP00000001435	ENSSPUG00000001116	Sphenodon_punctatus
ENSPPAP00000001553	ENSPPAG00000006912	Pan_paniscus
FBpp0306589	FBgn0038659	Drosophila_melanogaster
ENSHHUP00000049989	ENSHHUG00000030194	Hucho_hucho
ENSCCAP00000027956	ENSCCAG00000031867	Cebus_capucinus_imitator
ENSNGAP00000021940	ENSNGAG00000020968	Nannospalax_galili
ENSCATP00000002611	ENSCATG00000011062	Cercocebus_atys
ENSMGAP00000008040	ENSMGAG00000007852	Meleagris_gallopavo
ENSPRNP00000017766	ENSPRNG00000009400	Parambassis_ranga
ENSPKIP00000000404	ENSPKIG00000019090	Paramormyrops_kingsleyae
ENSPNYP00000026127	ENSPNYG00000019692	Pundamilia_nyererei
ENSMPUP00000015393	ENSMPUG00000015505	Mustela_putorius_furo
ENSPCOP00000007367	ENSPCOG00000014920	Propithecus_coquereli
ENSHHUP00000032073	ENSHHUG00000020359	Hucho_hucho
ENSCCNP00000013613	ENSCCNG00000014093	Castor_canadensis
ENSECAP00000052644	ENSECAG00000012008	Equus_caballus
ENSSMRP00000007808	ENSSMRG00000006261	Salvator_merianae
ENSCPGP00000003680	ENSCPGG00000002738	Calidris_pygmaea
ENSMODP00000050492	ENSMODG00000019381	Monodelphis_domestica
ENSMUGP00000026750	ENSMUGG00000022273	Meriones_unguiculatus
ENSDORP00000013153	ENSDORG00000013991	Dipodomys_ordii
ENSMFAP00000038057	ENSMFAG00000002733	Macaca_fascicularis
ENSLBEP00000014079	ENSLBEG00000010927	Labrus_bergylta
ENSMAUP00000006687	ENSMAUG00000008562	Mesocricetus_auratus
ENSXCOP00000021047	ENSXCOG00000015752	Xiphophorus_couchianus
ENSEEEP00000045680	ENSEEEG00000021537	Electrophorus_electricus
ENSMMUP00000064640	ENSMMUG00000013669	Macaca_mulatta
MGP_CAROLIEiJ_P0080503	MGP_CAROLIEiJ_G0029933	Mus_caroli_strain_CAROLI_EIJ
ENSCHIP00000015333	ENSCHIG00000016013	Capra_hircus
ENSSFOP00015026028	ENSSFOG00015016726	Scleropages_formosus
ENSGGOP00000017095	ENSGGOG00000000478	Gorilla_gorilla
ENSP00000320092	ENSG00000140600	Homo_sapiens
ENSNBRP00000000861	ENSNBRG00000000741	Neolamprologus_brichardi
ENSGAGP00000035127	ENSGAGG00000024972	Gopherus_agassizii
ENSAOCP00000026007	ENSAOCG00000000899	Amphiprion_ocellaris
ENSCVAP00000026105	ENSCVAG00000011426	Cyprinodon_variegatus
ENSSPAP00000001703	ENSSPAG00000001204	Stegastes_partitus
ENSUMAP00000013887	ENSUMAG00000010217	Ursus_maritimus
ENSMUSP00000032874	ENSMUSG00000030638	Mus_musculus_strain_reference_(CL57BL6)
ENSATEP00000018111	ENSATEG00000012578	Anabas_testudineus
ENSHHUP00000081972	ENSHHUG00000047633	Hucho_hucho
ENSEASP00005009842	ENSEASG00005006989	Equus_asinus_asinus
ENSPEMP00000000444	ENSPEMG00000000312	Peromyscus_maniculatus_bairdii
ENSSDUP00000018589	ENSSDUG00000013579	Seriola_dumerili
ENSOMEP00000035853	ENSOMEG00000023333	Oryzias_melastigma
ENSODEP00000014579	ENSODEG00000010788	Octodon_degus
ENSTTRP00000011936	ENSTTRG00000012579	Tursiops_truncatus
ENSPNAP00000033129	ENSPNAG00000021567	Pygocentrus_nattereri
ENSTSYP00000024662	ENSTSYG00000010103	Carlito_syrichta
ENSSTOP00000011553	ENSSTOG00000012886	Ictidomys_tridecemlineatus
ENSPMGP00000024056	ENSPMGG00000019452	Periophthalmus_magnuspinnatus
ENSSARP00000007182	ENSSARG00000007947	Sorex_araneus
ENSTNIP00000005236	ENSTNIG00000002681	Tetraodon_nigroviridis
ENSNPEP00000020555	ENSNPEG00000015277	Nothoprocta_perdicaria
ENSDNOP00000021833	ENSDNOG00000049173	Dasypus_novemcinctus
ENSPPRP00000014811	ENSPPRG00000007586	Panthera_pardus
