ENSPCIP00000032600	ENSPCIG00000024200	Phascolarctos_cinereus	ENSPCIT00000040106
ENSMEUP00000010770	ENSMEUG00000011828	Notamacropus_eugenii	ENSMEUT00000011855
ENSMODP00000053831	ENSMODG00000040379	Monodelphis_domestica	ENSMODT00000057525
ENSSHAP00000002149	ENSSHAG00000001912	Sarcophilus_harrisii	ENSSHAT00000002173
ENSLAFP00000013521	ENSLAFG00000016112	Loxodonta_africana
ENSPCAP00000005867	ENSPCAG00000006327	Procavia_capensis
ENSETEP00000009668	ENSETEG00000011915	Echinops_telfairi
ENSCLAP00000006389	ENSCLAG00000004516	Chinchilla_lanigera
ENSODEP00000011135	ENSODEG00000008282	Octodon_degus
ENSCAPP00000001099	ENSCAPG00000001819	Cavia_aperea
ENSCPOP00000006953	ENSCPOG00000007714	Cavia_porcellus
ENSHGLP00000000412	ENSHGLG00000000384	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002687	ENSHGLG00100002095	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001481	ENSFDAG00000011451	Fukomys_damarensis
ENSSTOP00000024779	ENSSTOG00000016470	Ictidomys_tridecemlineatus
ENSSDAP00000025797	ENSSDAG00000023407	Spermophilus_dauricus
ENSUPAP00010027582	ENSUPAG00010021800	Urocitellus_parryii
ENSMMMP00000018716	ENSMMMG00000016565	Marmota_marmota_marmota
ENSDORP00000011999	ENSDORG00000012758	Dipodomys_ordii
ENSCGRP00015009979	ENSCGRG00015007677	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024828	ENSCGRG00000017984	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001012450	ENSCGRG00001013853	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000012067	ENSMAUG00000012473	Mesocricetus_auratus
ENSMOCP00000013291	ENSMOCG00000013133	Microtus_ochrogaster
ENSPEMP00000037204	ENSPEMG00000009732	Peromyscus_maniculatus_bairdii
ENSMSIP00000011100	ENSMSIG00000009714	Mus_spicilegus
MGP_SPRETEiJ_P0066007	MGP_SPRETEiJ_G0027247	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000102261	ENSMUSG00000003411	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0063515	MGP_CAROLIEiJ_G0026278	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078622	MGP_PahariEiJ_G0028611	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010645	ENSRNOG00000008001	Rattus_norvegicus
ENSMUGP00000017003	ENSMUGG00000014525	Meriones_unguiculatus
ENSNGAP00000018627	ENSNGAG00000018705	Nannospalax_galili
ENSOCUP00000001695	ENSOCUG00000001969	Oryctolagus_cuniculus
ENSOPRP00000012134	ENSOPRG00000013308	Ochotona_princeps
ENSCJAP00000040165	ENSCJAG00000021580	Callithrix_jacchus
ENSSBOP00000002310	ENSSBOG00000011518	Saimiri_boliviensis_boliviensis
ENSCCAP00000035270	ENSCCAG00000035544	Cebus_capucinus_imitator
ENSANAP00000000996	ENSANAG00000008270	Aotus_nancymaae
ENSPTRP00000001260	ENSPTRG00000000732	Pan_troglodytes
ENSPPAP00000043003	ENSPPAG00000044044	Pan_paniscus
ENSGGOP00000001539	ENSGGOG00000001562	Gorilla_gorilla
ENSP00000360718	ENSG00000169213	Homo_sapiens
ENSPPYP00000001575	ENSPPYG00000001356	Pongo_abelii
ENSNLEP00000019471	ENSNLEG00000016065	Nomascus_leucogenys
ENSMFAP00000000033	ENSMFAG00000040281	Macaca_fascicularis
ENSMMUP00000018446	ENSMMUG00000014035	Macaca_mulatta
ENSMNEP00000004767	ENSMNEG00000021737	Macaca_nemestrina
ENSCSAP00000016746	ENSCSAG00000001269	Chlorocebus_sabaeus
ENSCATP00000023952	ENSCATG00000035504	Cercocebus_atys
ENSMLEP00000039273	ENSMLEG00000043671	Mandrillus_leucophaeus
ENSPANP00000002839	ENSPANG00000018024	Papio_anubis
ENSTGEP00000005796	ENSTGEG00000004786	Theropithecus_gelada
ENSRBIP00000007397	ENSRBIG00000027577	Rhinopithecus_bieti
ENSRROP00000031771	ENSRROG00000039557	Rhinopithecus_roxellana
ENSCANP00000013190	ENSCANG00000030003	Colobus_angolensis_palliatus
ENSPTEP00000026547	ENSPTEG00000026589	Piliocolobus_tephrosceles
ENSTSYP00000007228	ENSTSYG00000007914	Carlito_syrichta
ENSPCOP00000014050	ENSPCOG00000018696	Propithecus_coquereli
ENSMICP00000023541	ENSMICG00000036580	Microcebus_murinus
ENSPSMP00000024125	ENSPSMG00000017010	Prolemur_simus
ENSOGAP00000022309	ENSOGAG00000003796	Otolemur_garnettii
ENSTBEP00000010691	ENSTBEG00000012353	Tupaia_belangeri
ENSVPAP00000002303	ENSVPAG00000002499	Vicugna_pacos
ENSMLUP00000015376	ENSMLUG00000016868	Myotis_lucifugus
ENSEEUP00000004996	ENSEEUG00000005517	Erinaceus_europaeus	ENSEEUT00000005487
ENSTTRP00000013922	ENSTTRG00000014686	Tursiops_truncatus
ENSSSCP00000070063	ENSSSCG00000021036	Sus_scrofa_strain_reference
ENSOARP00000005286	ENSOARG00000004931	Ovis_aries
ENSCHIP00000020288	ENSCHIG00000018985	Capra_hircus
ENSBIXP00005010194	ENSBIXG00005014889	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000024117	ENSBIXG00000026371	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000022222	ENSBMUG00000016730	Bos_mutus
ENSBTAP00000007019	ENSBTAG00000005337	Bos_taurus
ENSBBBP00000015711	ENSBBBG00000023446	Bison_bison_bison
ENSSARP00000002779	ENSSARG00000003088	Sorex_araneus	ENSSART00000003069
ENSPTIP00000009971	ENSPTIG00000010883	Panthera_tigris_altaica
ENSPPRP00000012560	ENSPPRG00000006055	Panthera_pardus
ENSFCAP00000019529	ENSFCAG00000023885	Felis_catus
ENSUAMP00000034753	ENSUAMG00000026402	Ursus_americanus
ENSUMAP00000031586	ENSUMAG00000022807	Ursus_maritimus
ENSAMEP00000009606	ENSAMEG00000009140	Ailuropoda_melanoleuca
ENSCAFP00000035608	ENSCAFG00000003790	Canis_lupus_familiaris
ENSCAFP00020013715	ENSCAFG00020011054	Canis_lupus_dingo
ENSVVUP00000006118	ENSVVUG00000004769	Vulpes_vulpes
ENSMPUP00000006973	ENSMPUG00000007029	Mustela_putorius_furo
ENSNVIP00000007752	ENSNVIG00000006157	Neovison_vison
ENSECAP00000013464	ENSECAG00000015669	Equus_caballus
ENSEASP00005021034	ENSEASG00005014399	Equus_asinus_asinus
ENSPVAP00000009231	ENSPVAG00000009795	Pteropus_vampyrus
ENSCHOP00000007429	ENSCHOG00000008406	Choloepus_hoffmanni
ENSDNOP00000002440	ENSDNOG00000003158	Dasypus_novemcinctus
ENSPVIP00000004310	ENSPVIG00000003507	Pogona_vitticeps
ENSACAP00000021775	ENSACAG00000028717	Anolis_carolinensis
ENSNSUP00000025250	ENSNSUG00000018184	Notechis_scutatus
ENSSMRP00000023576	ENSSMRG00000018285	Salvator_merianae
ENSSPUP00000016861	ENSSPUG00000013039	Sphenodon_punctatus
ENSAHAP00000015529	ENSAHAG00000011104	Apteryx_haastii
ENSAOWP00000012098	ENSAOWG00000008292	Apteryx_owenii
ENSARWP00000025959	ENSARWG00000017625	Apteryx_rowi
ENSDNVP00000019864	ENSDNVG00000013906	Dromaius_novaehollandiae
ENSNPEP00000020473	ENSNPEG00000015215	Nothoprocta_perdicaria
ENSGALP00000017177	ENSGALG00000010567	Gallus_gallus
ENSCJPP00005014219	ENSCJPG00005011888	Coturnix_japonica
ENSMGAP00000011581	ENSMGAG00000011090	Meleagris_gallopavo
ENSNMEP00000026677	ENSNMEG00000022455	Numida_meleagris
ENSABRP00000009064	ENSABRG00000008096	Anser_brachyrhynchus
ENSAPLP00000003647	ENSAPLG00000004148	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000018051	ENSLSDG00000012877	Lonchura_striata_domestica
ENSTGUP00000009155	ENSTGUG00000008894	Taeniopygia_guttata
ENSSCAP00000007529	ENSSCAG00000005800	Serinus_canaria
ENSCCEP00000008847	ENSCCEG00000009032	Cyanistes_caeruleus
ENSPMJP00000001224	ENSPMJG00000001022	Parus_major
ENSLCOP00000003191	ENSLCOG00000002421	Lepidothrix_coronata
ENSMVIP00005013635	ENSMVIG00005009865	Manacus_vitellinus
ENSJHYP00000012824	ENSJHYG00000009963	Junco_hyemalis
ENSZALP00000001749	ENSZALG00000002097	Zonotrichia_albicollis
ENSFALP00000005772	ENSFALG00000005545	Ficedula_albicollis
ENSMUNP00000015400	ENSMUNG00000011898	Melopsittacus_undulatus
ENSCPGP00000018887	ENSCPGG00000013193	Calidris_pygmaea
ENSCPUP00000017081	ENSCPUG00000011780	Calidris_pugnax
ENSCPRP00005003432	ENSCPRG00005002515	Crocodylus_porosus
ENSPSIP00000000608	ENSPSIG00000000608	Pelodiscus_sinensis
ENSPSIP00000010292	ENSPSIG00000009351	Pelodiscus_sinensis
ENSCABP00000024321	ENSCABG00000017928	Chelonoidis_abingdonii
ENSGAGP00000028299	ENSGAGG00000020554	Gopherus_agassizii
ENSCPBP00000016754	ENSCPBG00000012333	Chrysemys_picta_bellii
ENSXETP00000018754	ENSXETG00000001595	Xenopus_tropicalis
ENSIPUP00000037487	ENSIPUG00000025076	Ictalurus_punctatus
ENSEEEP00000035993	ENSEEEG00000017124	Electrophorus_electricus
ENSAMXP00000027772	ENSAMXG00000042882	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005044855	ENSAMXG00005020798	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000032863	ENSPNAG00000021114	Pygocentrus_nattereri
ENSDCDP00000025374	ENSDCDG00000019039	Denticeps_clupeoides
ENSDARP00000154264	ENSDARG00000114797	Danio_rerio
ENSCHAP00000022430	ENSCHAG00000011164	Clupea_harengus
ENSHHUP00000087666	ENSHHUG00000050694	Hucho_hucho
ENSELUP00000001522	ENSELUG00000002993	Esox_lucius
ENSBSLP00000022260	ENSBSLG00000011312	Betta_splendens
ENSPRNP00000006405	ENSPRNG00000003849	Parambassis_ranga
ENSCSEP00000001907	ENSCSEG00000001290	Cynoglossus_semilaevis
ENSTNIP00000008230	ENSTNIG00000005531	Tetraodon_nigroviridis
ENSHCOP00000004895	ENSHCOG00000006447	Hippocampus_comes
ENSGWIP00000000535	ENSGWIG00000000362	Gouania_willdenowi
ENSPMGP00000027980	ENSPMGG00000022562	Periophthalmus_magnuspinnatus
ENSLCRP00005013154	ENSLCRG00005005722	Larimichthys_crocea
ENSMALP00000028121	ENSMALG00000019487	Monopterus_albus
ENSLBEP00000030030	ENSLBEG00000022705	Labrus_bergylta
ENSLBEP00000011691	ENSLBEG00000009000	Labrus_bergylta
ENSMMOP00000009109	ENSMMOG00000007036	Mola_mola
ENSCGOP00000000132	ENSCGOG00000000092	Cottoperca_gobio
ENSGACP00000004739	ENSGACG00000003615	Gasterosteus_aculeatus
ENSMAMP00000024010	ENSMAMG00000016144	Mastacembelus_armatus
ENSATEP00000006590	ENSATEG00000004633	Anabas_testudineus
ENSSLDP00000018675	ENSSLDG00000014680	Seriola_lalandi_dorsalis
ENSSDUP00000001848	ENSSDUG00000001445	Seriola_dumerili
ENSLCAP00010018145	ENSLCAG00010008609	Lates_calcarifer
ENSSMAP00000025069	ENSSMAG00000015337	Scophthalmus_maximus
ENSACLP00000031584	ENSACLG00000021408	Astatotilapia_calliptera
ENSHBUP00000026199	ENSHBUG00000008714	Haplochromis_burtoni
ENSMZEP00005006584	ENSMZEG00005005072	Maylandia_zebra
ENSPNYP00000003099	ENSPNYG00000002411	Pundamilia_nyererei
ENSNBRP00000011859	ENSNBRG00000009233	Neolamprologus_brichardi
ENSONIP00000005851	ENSONIG00000004646	Oreochromis_niloticus
ENSACIP00000000678	ENSACIG00000000601	Amphilophus_citrinellus
ENSFHEP00000020537	ENSFHEG00000022464	Fundulus_heteroclitus
ENSCVAP00000014626	ENSCVAG00000017318	Cyprinodon_variegatus
ENSXMAP00000010817	ENSXMAG00000010794	Xiphophorus_maculatus
ENSXCOP00000010760	ENSXCOG00000008123	Xiphophorus_couchianus
ENSGAFP00000002500	ENSGAFG00000001713	Gambusia_affinis
ENSPFOP00000008410	ENSPFOG00000008433	Poecilia_formosa
ENSPLAP00000007417	ENSPLAG00000009756	Poecilia_latipinna
ENSPMEP00000034081	ENSPMEG00000023027	Poecilia_mexicana
ENSPREP00000008163	ENSPREG00000005579	Poecilia_reticulata
ENSKMAP00000008787	ENSKMAG00000006605	Kryptolebias_marmoratus
ENSORLP00000043887	ENSORLG00000029024	Oryzias_latipes_ASM223467v1
ENSORLP00015001567	ENSORLG00015002183	Oryzias_latipes_ASM223469v1
ENSORLP00020024443	ENSORLG00020005819	Oryzias_latipes_ASM223471v1
ENSOMEP00000025529	ENSOMEG00000006814	Oryzias_melastigma
ENSAPEP00000005113	ENSAPEG00000003670	Amphiprion_percula
ENSAOCP00000020221	ENSAOCG00000004154	Amphiprion_ocellaris
ENSAPOP00000021392	ENSAPOG00000001935	Acanthochromis_polyacanthus
ENSSPAP00000014979	ENSSPAG00000011291	Stegastes_partitus
ENSSFOP00015028595	ENSSFOG00015018354	Scleropages_formosus
ENSPKIP00000017002	ENSPKIG00000003091	Paramormyrops_kingsleyae
ENSHHUP00000016787	ENSHHUG00000010482	Hucho_hucho
ENSLOCP00000012043	ENSLOCG00000009849	Lepisosteus_oculatus
ENSECRP00000012889	ENSECRG00000008613	Erpetoichthys_calabaricus
ENSCMIP00000025174	ENSCMIG00000011076	Callorhinchus_milii
