ENSCGOP00000055754	ENSCGOG00000024272	Cottoperca_gobio
ENSGACP00000001118	ENSGACG00000000862	Gasterosteus_aculeatus
ENSLCRP00005022513	ENSLCRG00005008499	Larimichthys_crocea
ENSMMOP00000026892	ENSMMOG00000020337	Mola_mola
ENSSDUP00000003188	ENSSDUG00000002432	Seriola_dumerili
ENSSLDP00000018369	ENSSLDG00000014458	Seriola_lalandi_dorsalis
ENSLCAP00010047386	ENSLCAG00010021988	Lates_calcarifer
ENSSMAP00000006021	ENSSMAG00000003714	Scophthalmus_maximus
ENSMALP00000029295	ENSMALG00000020273	Monopterus_albus
ENSMAMP00000002825	ENSMAMG00000001979	Mastacembelus_armatus
ENSAPEP00000014732	ENSAPEG00000010509	Amphiprion_percula
ENSAOCP00000011595	ENSAOCG00000015919	Amphiprion_ocellaris
ENSSPAP00000002339	ENSSPAG00000001798	Stegastes_partitus
ENSPRNP00000028134	ENSPRNG00000014057	Parambassis_ranga
ENSACLP00000008916	ENSACLG00000006084	Astatotilapia_calliptera
ENSMZEP00005032464	ENSMZEG00005024181	Maylandia_zebra
ENSHBUP00000021211	ENSHBUG00000023615	Haplochromis_burtoni
ENSONIP00000006878	ENSONIG00000005473	Oreochromis_niloticus
ENSACIP00000021628	ENSACIG00000016778	Amphilophus_citrinellus
ENSGWIP00000008939	ENSGWIG00000003607	Gouania_willdenowi
ENSPFOP00000014470	ENSPFOG00000014251	Poecilia_formosa
ENSPREP00000006431	ENSPREG00000004450	Poecilia_reticulata
ENSGAFP00000028499	ENSGAFG00000019268	Gambusia_affinis
ENSXMAP00000007726	ENSXMAG00000007684	Xiphophorus_maculatus
ENSXCOP00000004665	ENSXCOG00000003680	Xiphophorus_couchianus
ENSPLAP00000020781	ENSPLAG00000004020	Poecilia_latipinna
ENSFHEP00000001841	ENSFHEG00000002626	Fundulus_heteroclitus
ENSCVAP00000031001	ENSCVAG00000019979	Cyprinodon_variegatus
ENSKMAP00000007458	ENSKMAG00000005618	Kryptolebias_marmoratus
ENSORLP00020028044	ENSORLG00020011307	Oryzias_latipes_ASM223471v1
ENSORLP00000038928	ENSORLG00000012240	Oryzias_latipes_ASM223467v1
ENSORLP00015029151	ENSORLG00015012114	Oryzias_latipes_ASM223469v1
ENSOMEP00000024384	ENSOMEG00000004977	Oryzias_melastigma
ENSLBEP00000025405	ENSLBEG00000019389	Labrus_bergylta
ENSLBEP00000017562	ENSLBEG00000013531	Labrus_bergylta
ENSBSLP00000013931	ENSBSLG00000006874	Betta_splendens
ENSPMGP00000009059	ENSPMGG00000007490	Periophthalmus_magnuspinnatus
