ENSMEUP00000006266	ENSMEUG00000006876	Notamacropus_eugenii	ENSMEUT00000006889
ENSPCIP00000029145	ENSPCIG00000021705	Phascolarctos_cinereus	ENSPCIT00000035853
ENSSHAP00000016459	ENSSHAG00000014002	Sarcophilus_harrisii	ENSSHAT00000016596
ENSMODP00000022811	ENSMODG00000018292	Monodelphis_domestica	ENSMODT00000023215
ENSLAFP00000001380	ENSLAFG00000001657	Loxodonta_africana	ENSLAFT00000001657
ENSPCAP00000007139	ENSPCAG00000007638	Procavia_capensis	ENSPCAT00000007629
ENSETEP00000002918	ENSETEG00000003556	Echinops_telfairi	ENSETET00000003555
ENSDNOP00000011924	ENSDNOG00000015386	Dasypus_novemcinctus	ENSDNOT00000015382
ENSP00000237201	ENSG00000118434	Homo_sapiens	ENST00000237201
ENSGGOP00000024296	ENSGGOG00000027275	Gorilla_gorilla
ENSPPAP00000015237	ENSPPAG00000030768	Pan_paniscus
ENSPTRP00000031451	ENSPTRG00000018410	Pan_troglodytes
ENSPPYP00000018845	ENSPPYG00000016832	Pongo_abelii
ENSNLEP00000015845	ENSNLEG00000013059	Nomascus_leucogenys
ENSCANP00000023760	ENSCANG00000035290	Colobus_angolensis_palliatus
ENSPTEP00000015279	ENSPTEG00000016971	Piliocolobus_tephrosceles
ENSRROP00000035576	ENSRROG00000041280	Rhinopithecus_roxellana
ENSRBIP00000039916	ENSRBIG00000043405	Rhinopithecus_bieti
ENSMFAP00000040274	ENSMFAG00000046308	Macaca_fascicularis
ENSMMUP00000006557	ENSMMUG00000004947	Macaca_mulatta
ENSMNEP00000035559	ENSMNEG00000040936	Macaca_nemestrina
ENSTGEP00000023868	ENSTGEG00000019297	Theropithecus_gelada
ENSPANP00000018763	ENSPANG00000023127	Papio_anubis
ENSCATP00000031000	ENSCATG00000038646	Cercocebus_atys
ENSMLEP00000000215	ENSMLEG00000000535	Mandrillus_leucophaeus
ENSCSAP00000013369	ENSCSAG00000017335	Chlorocebus_sabaeus
ENSCCAP00000010468	ENSCCAG00000022981	Cebus_capucinus_imitator
ENSSBOP00000031414	ENSSBOG00000031936	Saimiri_boliviensis_boliviensis
ENSCJAP00000001313	ENSCJAG00000000773	Callithrix_jacchus
ENSANAP00000009478	ENSANAG00000022733	Aotus_nancymaae
ENSTSYP00000001933	ENSTSYG00000002083	Carlito_syrichta
ENSPCOP00000008541	ENSPCOG00000015556	Propithecus_coquereli
ENSMICP00000014188	ENSMICG00000015574	Microcebus_murinus
ENSPSMP00000004017	ENSPSMG00000003225	Prolemur_simus
ENSOGAP00000009936	ENSOGAG00000011102	Otolemur_garnettii
ENSUPAP00010021641	ENSUPAG00010017215	Urocitellus_parryii
ENSSDAP00000001772	ENSSDAG00000001741	Spermophilus_dauricus
ENSMMMP00000010685	ENSMMMG00000009510	Marmota_marmota_marmota
ENSSTOP00000022092	ENSSTOG00000005329	Ictidomys_tridecemlineatus
ENSODEP00000012533	ENSODEG00000009288	Octodon_degus
ENSCLAP00000021207	ENSCLAG00000014525	Chinchilla_lanigera
ENSCPOP00000025544	ENSCPOG00000001579	Cavia_porcellus
ENSCAPP00000006591	ENSCAPG00000008720	Cavia_aperea
ENSHGLP00000001703	ENSHGLG00000001297	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000004974	ENSFDAG00000014094	Fukomys_damarensis
MGP_SPRETEiJ_P0064136	MGP_SPRETEiJ_G0026826	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000029927	ENSMUSG00000028264	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000013128	ENSMSIG00000011360	Mus_spicilegus
MGP_CAROLIEiJ_P0061706	MGP_CAROLIEiJ_G0025877	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057369	MGP_PahariEiJ_G0024000	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010909	ENSRNOG00000008232	Rattus_norvegicus
ENSMUGP00000002158	ENSMUGG00000002023	Meriones_unguiculatus
ENSPEMP00000006470	ENSPEMG00000008682	Peromyscus_maniculatus_bairdii
ENSMOCP00000024796	ENSMOCG00000021101	Microtus_ochrogaster
ENSCGRP00001015600	ENSCGRG00001016168	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015008580	ENSCGRG00015006656	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008528	ENSCGRG00000006218	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000009587	ENSMAUG00000010690	Mesocricetus_auratus
ENSNGAP00000015736	ENSNGAG00000016689	Nannospalax_galili
ENSJJAP00000002879	ENSJJAG00000005275	Jaculus_jaculus
ENSCCNP00000018841	ENSCCNG00000019024	Castor_canadensis
ENSDORP00000014981	ENSDORG00000015924	Dipodomys_ordii
ENSOCUP00000011178	ENSOCUG00000012988	Oryctolagus_cuniculus
ENSOPRP00000008775	ENSOPRG00000009607	Ochotona_princeps
ENSSSCP00000004652	ENSSSCG00000004308	Sus_scrofa_strain_reference
ENSVPAP00000003874	ENSVPAG00000004170	Vicugna_pacos
ENSOARP00000013876	ENSOARG00000012955	Ovis_aries
ENSCHIP00000002541	ENSCHIG00000005950	Capra_hircus
ENSBIXP00005046703	ENSBIXG00005031427	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012138	ENSBIXG00000002864	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000025934	ENSBTAG00000019469	Bos_taurus
ENSBMUP00000028192	ENSBMUG00000021142	Bos_mutus
ENSBBBP00000013355	ENSBBBG00000008400	Bison_bison_bison
ENSTTRP00000009098	ENSTTRG00000009600	Tursiops_truncatus
ENSECAP00000008734	ENSECAG00000010794	Equus_caballus
ENSEASP00005007782	ENSEASG00005005675	Equus_asinus_asinus
ENSUAMP00000032791	ENSUAMG00000025019	Ursus_americanus
ENSUMAP00000014257	ENSUMAG00000010504	Ursus_maritimus
ENSAMEP00000004831	ENSAMEG00000004588	Ailuropoda_melanoleuca
ENSNVIP00000003067	ENSNVIG00000002434	Neovison_vison
ENSMPUP00000009294	ENSMPUG00000009369	Mustela_putorius_furo
ENSCAFP00020020057	ENSCAFG00020015924	Canis_lupus_dingo
ENSCAFP00000004586	ENSCAFG00000003084	Canis_lupus_familiaris
ENSVVUP00000013823	ENSVVUG00000010126	Vulpes_vulpes
ENSPTIP00000000564	ENSPTIG00000001452	Panthera_tigris_altaica
ENSPPRP00000004656	ENSPPRG00000000678	Panthera_pardus
ENSFCAP00000015502	ENSFCAG00000018071	Felis_catus
ENSPVAP00000002770	ENSPVAG00000002932	Pteropus_vampyrus
ENSMLUP00000013629	ENSMLUG00000014969	Myotis_lucifugus
ENSEEUP00000002044	ENSEEUG00000002243	Erinaceus_europaeus
ENSSARP00000003616	ENSSARG00000003999	Sorex_araneus
ENSTBEP00000013345	ENSTBEG00000015387	Tupaia_belangeri
ENSOANP00000000851	ENSOANG00000000535	Ornithorhynchus_anatinus
ENSPVIP00000003656	ENSPVIG00000003041	Pogona_vitticeps
ENSACAP00000014548	ENSACAG00000014826	Anolis_carolinensis
ENSNSUP00000024154	ENSNSUG00000017472	Notechis_scutatus
ENSPVIP00000022939	ENSPVIG00000017315	Pogona_vitticeps
