ENSMMUP00000032286	ENSMMUG00000022867	Macaca_mulatta
ENSUMAP00000010604	ENSUMAG00000007989	Ursus_maritimus
ENSPSMP00000012622	ENSPSMG00000008788	Prolemur_simus
MGP_PahariEiJ_P0054562	MGP_PahariEiJ_G0023250	Mus_pahari_strain_PAHARI_EIJ
ENSCJAP00000016125	ENSCJAG00000008702	Callithrix_jacchus
ENSCHIP00000005884	ENSCHIG00000009862	Capra_hircus
ENSCAFP00020005481	ENSCAFG00020004485	Canis_lupus_dingo
ENSPMEP00000004310	ENSPMEG00000005572	Poecilia_mexicana
ENSTNIP00000005100	ENSTNIG00000002549	Tetraodon_nigroviridis
MGP_SPRETEiJ_P0089833	MGP_SPRETEiJ_G0032770	Mus_spretus_strain_SPRET/EiJ
ENSHCOP00000009630	ENSHCOG00000012107	Hippocampus_comes
ENSTTRP00000001287	ENSTTRG00000001369	Tursiops_truncatus
ENSFCAP00000022418	ENSFCAG00000030498	Felis_catus
ENSCGOP00000002855	ENSCGOG00000001486	Cottoperca_gobio
ENSPMGP00000021857	ENSPMGG00000017703	Periophthalmus_magnuspinnatus
ENSMLEP00000037027	ENSMLEG00000042613	Mandrillus_leucophaeus
ENSMZEP00005013465	ENSMZEG00005010117	Maylandia_zebra
ENSCANP00000032125	ENSCANG00000039705	Colobus_angolensis_palliatus
ENSBIXP00005030178	ENSBIXG00005010241	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEASP00005000067	ENSEASG00005000130	Equus_asinus_asinus
ENSMAMP00000022686	ENSMAMG00000015249	Mastacembelus_armatus
ENSUAMP00000035547	ENSUAMG00000026994	Ursus_americanus
ENSNGAP00000024982	ENSNGAG00000023070	Nannospalax_galili
ENSLCAP00010027585	ENSLCAG00010012961	Lates_calcarifer
ENSPPAP00000010966	ENSPPAG00000028684	Pan_paniscus
ENSSDAP00000007673	ENSSDAG00000006939	Spermophilus_dauricus
ENSCPUP00000013680	ENSCPUG00000009689	Calidris_pugnax
ENSSTOP00000028472	ENSSTOG00000016140	Ictidomys_tridecemlineatus
ENSSPAP00000009576	ENSSPAG00000007278	Stegastes_partitus
ENSZALP00000017148	ENSZALG00000013908	Zonotrichia_albicollis
ENSPVIP00000015745	ENSPVIG00000012137	Pogona_vitticeps
ENSCJPP00005018137	ENSCJPG00005014757	Coturnix_japonica
ENSPPRP00000007035	ENSPPRG00000002320	Panthera_pardus
ENSAPLP00000006301	ENSAPLG00000006655	Anas_platyrhynchos_platyrhynchos
ENSNSUP00000012455	ENSNSUG00000009218	Notechis_scutatus
ENSORLP00020017473	ENSORLG00020018499	Oryzias_latipes_ASM223471v1
ENSNLEP00000014062	ENSNLEG00000011540	Nomascus_leucogenys
ENSMICP00000007884	ENSMICG00000008652	Microcebus_murinus
ENSCHAP00000033654	ENSCHAG00000016000	Clupea_harengus
ENSOANP00000005928	ENSOANG00000003737	Ornithorhynchus_anatinus
ENSETEP00000010356	ENSETEG00000012772	Echinops_telfairi
ENSHHUP00000056448	ENSHHUG00000033616	Hucho_hucho
ENSPKIP00000036198	ENSPKIG00000014845	Paramormyrops_kingsleyae
ENSCPOP00000018920	ENSCPOG00000022854	Cavia_porcellus
ENSACIP00000015562	ENSACIG00000012080	Amphilophus_citrinellus
ENSFHEP00000023446	ENSFHEG00000004563	Fundulus_heteroclitus
ENSACAP00000009635	ENSACAG00000009796	Anolis_carolinensis
ENSKMAP00000022221	ENSKMAG00000016488	Kryptolebias_marmoratus
ENSBSLP00000036035	ENSBSLG00000016807	Betta_splendens
ENSDNVP00000006694	ENSDNVG00000004703	Dromaius_novaehollandiae
ENSCMIP00000036773	ENSCMIG00000015512	Callorhinchus_milii
ENSUPAP00010019082	ENSUPAG00010015135	Urocitellus_parryii
ENSCSEP00000021890	ENSCSEG00000013965	Cynoglossus_semilaevis
ENSCPGP00000007072	ENSCPGG00000005066	Calidris_pygmaea
ENSAOCP00000028966	ENSAOCG00000019129	Amphiprion_ocellaris
ENSOPRP00000002364	ENSOPRG00000002561	Ochotona_princeps
ENSNPEP00000001861	ENSNPEG00000001444	Nothoprocta_perdicaria
ENSABRP00000025683	ENSABRG00000021508	Anser_brachyrhynchus	ENSABRT00000035926
ENSCLAP00000002951	ENSCLAG00000002117	Chinchilla_lanigera
ENSEEUP00000004097	ENSEEUG00000004484	Erinaceus_europaeus
ENSAOWP00000017959	ENSAOWG00000012256	Apteryx_owenii
ENSLSDP00000007752	ENSLSDG00000005839	Lonchura_striata_domestica
ENSMSIP00000018966	ENSMSIG00000016100	Mus_spicilegus
ENSPVAP00000008625	ENSPVAG00000009145	Pteropus_vampyrus
ENSCCAP00000034720	ENSCCAG00000035306	Cebus_capucinus_imitator
ENSANAP00000017996	ENSANAG00000026863	Aotus_nancymaae
ENSMLUP00000007519	ENSMLUG00000008243	Myotis_lucifugus
ENSCGRP00015029163	ENSCGRG00015021973	Cricetulus_griseus_CriGri-PICR
ENSRROP00000031141	ENSRROG00000039267	Rhinopithecus_roxellana
ENSAHAP00000010748	ENSAHAG00000007772	Apteryx_haastii
ENSCPRP00005009601	ENSCPRG00005006819	Crocodylus_porosus
ENSMUSP00000043439	ENSMUSG00000040263	Mus_musculus_strain_reference_(CL57BL6)
ENSVPAP00000009574	ENSVPAG00000010292	Vicugna_pacos
ENSECAP00000017302	ENSECAG00000019667	Equus_caballus
ENSTGUP00000007873	ENSTGUG00000007641	Taeniopygia_guttata
ENSSBOP00000007486	ENSSBOG00000020681	Saimiri_boliviensis_boliviensis
ENSMGAP00000007555	ENSMGAG00000007423	Meleagris_gallopavo
ENSVURP00010027326	ENSVURG00010020910	Vombatus_ursinus
ENSMODP00000005453	ENSMODG00000004427	Monodelphis_domestica
ENSODEP00000005131	ENSODEG00000003885	Octodon_degus
ENSLACP00000015857	ENSLACG00000013964	Latimeria_chalumnae
ENSOGAP00000012096	ENSOGAG00000013497	Otolemur_garnettii
ENSPCOP00000010714	ENSPCOG00000016838	Propithecus_coquereli
ENSPTEP00000039791	ENSPTEG00000036761	Piliocolobus_tephrosceles
ENSCPBP00000033648	ENSCPBG00000023515	Chrysemys_picta_bellii
ENSCCEP00000006716	ENSCCEG00000007161	Cyanistes_caeruleus
ENSBTAP00000009093	ENSBTAG00000006905	Bos_taurus
ENSMPUP00000008380	ENSMPUG00000008444	Mustela_putorius_furo
ENSPTIP00000014515	ENSPTIG00000013895	Panthera_tigris_altaica
ENSMOCP00000016508	ENSMOCG00000015384	Microtus_ochrogaster
ENSPTRP00000092576	ENSPTRG00000008449	Pan_troglodytes
