F55C12.1b.1	WBGene00018869	Caenorhabditis_elegans_strain_N2
FBpp0297577	FBgn0013718	Drosophila_melanogaster
ENSVURP00010014851	ENSVURG00010011362	Vombatus_ursinus
ENSPCIP00000030829	ENSPCIG00000022917	Phascolarctos_cinereus
ENSMEUP00000008364	ENSMEUG00000009153	Notamacropus_eugenii
ENSSHAP00000022322	ENSSHAG00000018893	Sarcophilus_harrisii
ENSMODP00000023985	ENSMODG00000019209	Monodelphis_domestica
ENSMLUP00000014957	ENSMLUG00000016407	Myotis_lucifugus
ENSPVAP00000011691	ENSPVAG00000012401	Pteropus_vampyrus
ENSSSCP00000065543	ENSSSCG00000017747	Sus_scrofa_strain_reference
ENSTTRP00000005575	ENSTTRG00000005879	Tursiops_truncatus
ENSBIXP00000027452	ENSBIXG00000008314	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005037015	ENSBIXG00005018731	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000022573	ENSBTAG00000016972	Bos_taurus
ENSBMUP00000014004	ENSBMUG00000010684	Bos_mutus
ENSBBBP00000008878	ENSBBBG00000016968	Bison_bison_bison
ENSCHIP00000021762	ENSCHIG00000019966	Capra_hircus
ENSOARP00000014992	ENSOARG00000013970	Ovis_aries
ENSVPAP00000002914	ENSVPAG00000003152	Vicugna_pacos
ENSNVIP00000024146	ENSNVIG00000018723	Neovison_vison
ENSNVIP00000018431	ENSNVIG00000014445	Neovison_vison
ENSMPUP00000014460	ENSMPUG00000014571	Mustela_putorius_furo
ENSUAMP00000024151	ENSUAMG00000018880	Ursus_americanus
ENSUMAP00000020635	ENSUMAG00000015115	Ursus_maritimus
ENSAMEP00000005734	ENSAMEG00000005409	Ailuropoda_melanoleuca
ENSCAFP00000027341	ENSCAFG00000018522	Canis_lupus_familiaris
ENSCAFP00020018369	ENSCAFG00020014665	Canis_lupus_dingo
ENSVVUP00000016744	ENSVVUG00000012277	Vulpes_vulpes
ENSPTIP00000018966	ENSPTIG00000016907	Panthera_tigris_altaica
ENSPPRP00000008464	ENSPPRG00000003276	Panthera_pardus
ENSFCAP00000005640	ENSFCAG00000006068	Felis_catus
ENSECAP00000004679	ENSECAG00000006337	Equus_caballus
ENSEASP00005015585	ENSEASG00005010862	Equus_asinus_asinus
ENSEEUP00000011844	ENSEEUG00000012994	Erinaceus_europaeus
ENSPSMP00000022490	ENSPSMG00000015899	Prolemur_simus
ENSPCOP00000029772	ENSPCOG00000027596	Propithecus_coquereli
ENSMICP00000002630	ENSMICG00000002885	Microcebus_murinus
ENSOGAP00000014587	ENSOGAG00000016294	Otolemur_garnettii
ENSPPAP00000027099	ENSPPAG00000036623	Pan_paniscus
ENSPTRP00000073905	ENSPTRG00000008974	Pan_troglodytes
ENSP00000482620	ENSG00000131242	Homo_sapiens
ENSGGOP00000001056	ENSGGOG00000001071	Gorilla_gorilla
ENSPPYP00000009164	ENSPPYG00000008152	Pongo_abelii
ENSNLEP00000013346	ENSNLEG00000010989	Nomascus_leucogenys
ENSMNEP00000023151	ENSMNEG00000035170	Macaca_nemestrina
ENSMMUP00000009329	ENSMMUG00000008127	Macaca_mulatta
ENSCSAP00000002898	ENSCSAG00000006613	Chlorocebus_sabaeus
ENSPANP00000019970	ENSPANG00000023111	Papio_anubis
ENSCATP00000024012	ENSCATG00000035537	Cercocebus_atys
ENSTGEP00000016005	ENSTGEG00000012935	Theropithecus_gelada
ENSMLEP00000019071	ENSMLEG00000033744	Mandrillus_leucophaeus
ENSCANP00000016344	ENSCANG00000031605	Colobus_angolensis_palliatus
ENSPTEP00000001569	ENSPTEG00000001737	Piliocolobus_tephrosceles
ENSRROP00000014045	ENSRROG00000031234	Rhinopithecus_roxellana
ENSMFAP00000006802	ENSMFAG00000036401	Macaca_fascicularis
ENSRBIP00000014826	ENSRBIG00000031523	Rhinopithecus_bieti
ENSSBOP00000030338	ENSSBOG00000031433	Saimiri_boliviensis_boliviensis
ENSCCAP00000019286	ENSCCAG00000027489	Cebus_capucinus_imitator
ENSCJAP00000065767	ENSCJAG00000014099	Callithrix_jacchus
ENSANAP00000015814	ENSANAG00000025781	Aotus_nancymaae
ENSTSYP00000017446	ENSTSYG00000030716	Carlito_syrichta
ENSTBEP00000003013	ENSTBEG00000003471	Tupaia_belangeri
ENSDNOP00000017864	ENSDNOG00000007265	Dasypus_novemcinctus
ENSCHOP00000007724	ENSCHOG00000008725	Choloepus_hoffmanni
ENSLAFP00000020924	ENSLAFG00000027367	Loxodonta_africana
ENSPCAP00000004853	ENSPCAG00000005169	Procavia_capensis
ENSDORP00000011101	ENSDORG00000011807	Dipodomys_ordii
ENSCCNP00000018890	ENSCCNG00000019058	Castor_canadensis
ENSMUSP00000017783	ENSMUSG00000017639	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0030059	MGP_SPRETEiJ_G0017671	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000009825	ENSMSIG00000008628	Mus_spicilegus
MGP_CAROLIEiJ_P0028655	MGP_CAROLIEiJ_G0016827	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035388	MGP_PahariEiJ_G0017964	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018988	ENSRNOG00000014135	Rattus_norvegicus
ENSMUGP00000003780	ENSMUGG00000003495	Meriones_unguiculatus
ENSPEMP00000019605	ENSPEMG00000017840	Peromyscus_maniculatus_bairdii
ENSMOCP00000018634	ENSMOCG00000016866	Microtus_ochrogaster
ENSCGRP00001009723	ENSCGRG00001011772	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014437	ENSCGRG00000010446	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015018937	ENSCGRG00015014552	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011714	ENSMAUG00000012204	Mesocricetus_auratus
ENSNGAP00000001936	ENSNGAG00000001437	Nannospalax_galili
ENSJJAP00000018373	ENSJJAG00000019657	Jaculus_jaculus
ENSHGLP00000012863	ENSHGLG00000009194	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000014299	ENSHGLG00000010226	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018606	ENSHGLG00100013717	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018809	ENSFDAG00000009570	Fukomys_damarensis
ENSCLAP00000018546	ENSCLAG00000012724	Chinchilla_lanigera
ENSODEP00000021300	ENSODEG00000015676	Octodon_degus
ENSCPOP00000010464	ENSCPOG00000011634	Cavia_porcellus
ENSCAPP00000001569	ENSCAPG00000003124	Cavia_aperea
ENSUPAP00010028483	ENSUPAG00010022484	Urocitellus_parryii
ENSSTOP00000009765	ENSSTOG00000010883	Ictidomys_tridecemlineatus
ENSMMMP00000014365	ENSMMMG00000012781	Marmota_marmota_marmota
ENSSDAP00000026456	ENSSDAG00000023977	Spermophilus_dauricus
ENSOPRP00000014232	ENSOPRG00000015580	Ochotona_princeps
ENSOCUP00000046245	ENSOCUG00000007443	Oryctolagus_cuniculus
ENSETEP00000011174	ENSETEG00000013776	Echinops_telfairi
ENSSARP00000010026	ENSSARG00000011110	Sorex_araneus
ENSOANP00000016338	ENSOANG00000010296	Ornithorhynchus_anatinus
ENSACAP00000009211	ENSACAG00000009413	Anolis_carolinensis
ENSPVIP00000001187	ENSPVIG00000001103	Pogona_vitticeps
ENSNSUP00000002322	ENSNSUG00000001945	Notechis_scutatus
ENSSMRP00000028148	ENSSMRG00000021657	Salvator_merianae
ENSSPUP00000006922	ENSSPUG00000005329	Sphenodon_punctatus
ENSJHYP00000017180	ENSJHYG00000013110	Junco_hyemalis
ENSZALP00000022573	ENSZALG00000017542	Zonotrichia_albicollis
ENSSCAP00000019738	ENSSCAG00000014254	Serinus_canaria
ENSLSDP00000021853	ENSLSDG00000015433	Lonchura_striata_domestica
ENSTGUP00000009882	ENSTGUG00000009584	Taeniopygia_guttata
ENSFALP00000002373	ENSFALG00000002281	Ficedula_albicollis
ENSPMJP00000024622	ENSPMJG00000018076	Parus_major
ENSCCEP00000018405	ENSCCEG00000016875	Cyanistes_caeruleus
ENSLCOP00000001132	ENSLCOG00000000930	Lepidothrix_coronata
ENSMVIP00005015834	ENSMVIG00005011352	Manacus_vitellinus
ENSMUNP00000000442	ENSMUNG00000000423	Melopsittacus_undulatus
ENSCPGP00000000494	ENSCPGG00000000418	Calidris_pygmaea
ENSCPUP00000002458	ENSCPUG00000001897	Calidris_pugnax
ENSAPLP00000004923	ENSAPLG00000005346	Anas_platyrhynchos_platyrhynchos
ENSABRP00000013867	ENSABRG00000012288	Anser_brachyrhynchus
ENSGALP00000071673	ENSGALG00000003227	Gallus_gallus
ENSCJPP00005027636	ENSCJPG00005021398	Coturnix_japonica
ENSMGAP00000008366	ENSMGAG00000008176	Meleagris_gallopavo
ENSNMEP00000006382	ENSNMEG00000006571	Numida_meleagris
ENSAOWP00000004538	ENSAOWG00000003189	Apteryx_owenii
ENSAHAP00000016232	ENSAHAG00000011567	Apteryx_haastii
ENSARWP00000011176	ENSARWG00000007766	Apteryx_rowi
ENSDNVP00000016700	ENSDNVG00000011685	Dromaius_novaehollandiae
ENSNPEP00000007565	ENSNPEG00000005663	Nothoprocta_perdicaria
ENSCPRP00005002824	ENSCPRG00005002063	Crocodylus_porosus
ENSGAGP00000033216	ENSGAGG00000023682	Gopherus_agassizii
ENSCABP00000006903	ENSCABG00000005218	Chelonoidis_abingdonii
ENSCPBP00000005755	ENSCPBG00000004593	Chrysemys_picta_bellii
ENSPSIP00000013593	ENSPSIG00000012210	Pelodiscus_sinensis
ENSLACP00000001170	ENSLACG00000001047	Latimeria_chalumnae
ENSECRP00000023508	ENSECRG00000015905	Erpetoichthys_calabaricus
ENSCMIP00000004232	ENSCMIG00000002525	Callorhinchus_milii
ENSBSLP00000033782	ENSBSLG00000016379	Betta_splendens
ENSGWIP00000021381	ENSGWIG00000011546	Gouania_willdenowi
ENSCSEP00000021225	ENSCSEG00000013558	Cynoglossus_semilaevis
ENSTNIP00000005818	ENSTNIG00000003236	Tetraodon_nigroviridis
ENSTRUP00000030175	ENSTRUG00000011924	Takifugu_rubripes
ENSGACP00000025702	ENSGACG00000019442	Gasterosteus_aculeatus
ENSAOCP00000012307	ENSAOCG00000016771	Amphiprion_ocellaris
ENSAPEP00000033169	ENSAPEG00000023546	Amphiprion_percula
ENSAPOP00000012873	ENSAPOG00000015715	Acanthochromis_polyacanthus
ENSSPAP00000015894	ENSSPAG00000011975	Stegastes_partitus
ENSPRNP00000024602	ENSPRNG00000012525	Parambassis_ranga
ENSCVAP00000017223	ENSCVAG00000000522	Cyprinodon_variegatus
ENSFHEP00000027080	ENSFHEG00000010361	Fundulus_heteroclitus
ENSPFOP00000025547	ENSPFOG00000013798	Poecilia_formosa
ENSPMEP00000006617	ENSPMEG00000008186	Poecilia_mexicana
ENSPLAP00000014222	ENSPLAG00000017864	Poecilia_latipinna
ENSPREP00000019490	ENSPREG00000013170	Poecilia_reticulata
ENSXMAP00000017441	ENSXMAG00000017397	Xiphophorus_maculatus
ENSGAFP00000012632	ENSGAFG00000008523	Gambusia_affinis
ENSKMAP00000029150	ENSKMAG00000021607	Kryptolebias_marmoratus
ENSORLP00015026924	ENSORLG00015008787	Oryzias_latipes_ASM223469v1
ENSORLP00020009433	ENSORLG00020010349	Oryzias_latipes_ASM223471v1
ENSORLP00000004431	ENSORLG00000003560	Oryzias_latipes_ASM223467v1
ENSOMEP00000032149	ENSOMEG00000017420	Oryzias_melastigma
ENSHBUP00000016708	ENSHBUG00000018745	Haplochromis_burtoni
ENSPNYP00000002884	ENSPNYG00000002204	Pundamilia_nyererei
ENSMZEP00005032047	ENSMZEG00005023892	Maylandia_zebra
ENSACLP00000010477	ENSACLG00000007171	Astatotilapia_calliptera
ENSONIP00000022786	ENSONIG00000018085	Oreochromis_niloticus
ENSNBRP00000025701	ENSNBRG00000019615	Neolamprologus_brichardi
ENSACIP00000005180	ENSACIG00000004079	Amphilophus_citrinellus
ENSHCOP00000013974	ENSHCOG00000017263	Hippocampus_comes
ENSMALP00000030642	ENSMALG00000021175	Monopterus_albus
ENSMAMP00000003298	ENSMAMG00000002250	Mastacembelus_armatus
ENSATEP00000004800	ENSATEG00000003361	Anabas_testudineus
ENSSDUP00000000296	ENSSDUG00000000230	Seriola_dumerili
ENSSLDP00000021526	ENSSLDG00000016782	Seriola_lalandi_dorsalis
ENSSMAP00000024126	ENSSMAG00000014743	Scophthalmus_maximus
ENSLCAP00010054036	ENSLCAG00010025156	Lates_calcarifer
ENSLCRP00005044358	ENSLCRG00005016981	Larimichthys_crocea
ENSLBEP00000002821	ENSLBEG00000002180	Labrus_bergylta
ENSCGOP00000048772	ENSCGOG00000021749	Cottoperca_gobio
ENSMMOP00000011206	ENSMMOG00000008644	Mola_mola
ENSPMGP00000011531	ENSPMGG00000009542	Periophthalmus_magnuspinnatus
ENSGMOP00000012804	ENSGMOG00000011967	Gadus_morhua
ENSHHUP00000013947	ENSHHUG00000008555	Hucho_hucho
ENSHHUP00000068202	ENSHHUG00000040191	Hucho_hucho
ENSELUP00000005661	ENSELUG00000006705	Esox_lucius
ENSCHAP00000029145	ENSCHAG00000013877	Clupea_harengus
ENSDCDP00000019289	ENSDCDG00000015203	Denticeps_clupeoides
ENSAMXP00000006284	ENSAMXG00000006062	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005000472	ENSAMXG00005000243	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000020530	ENSPNAG00000027425	Pygocentrus_nattereri
ENSEEEP00000012074	ENSEEEG00000006092	Electrophorus_electricus
ENSIPUP00000033574	ENSIPUG00000022570	Ictalurus_punctatus
ENSDARP00000132572	ENSDARG00000103207	Danio_rerio
ENSSFOP00015009138	ENSSFOG00015005928	Scleropages_formosus
ENSPKIP00000019401	ENSPKIG00000004568	Paramormyrops_kingsleyae
ENSCHAP00000017420	ENSCHAG00000008893	Clupea_harengus
ENSDCDP00000022044	ENSDCDG00000017026	Denticeps_clupeoides
