ENSPTRP00000019840	ENSPTRG00000011536	Pan_troglodytes	ENSPTRT00000021499
ENSPPAP00000037128	ENSPPAG00000041319	Pan_paniscus	ENSPPAT00000060025
ENSGGOP00000000332	ENSGGOG00000000337	Gorilla_gorilla	ENSGGOT00000000340
ENSP00000439402	ENSG00000198046	Homo_sapiens	ENST00000504904
ENSPPYP00000011705	ENSPPYG00000010448	Pongo_abelii
ENSNLEP00000013170	ENSNLEG00000010835	Nomascus_leucogenys
ENSRROP00000018570	ENSRROG00000033330	Rhinopithecus_roxellana
ENSRBIP00000033917	ENSRBIG00000040688	Rhinopithecus_bieti
ENSPTEP00000000758	ENSPTEG00000000876	Piliocolobus_tephrosceles
ENSCANP00000025826	ENSCANG00000036347	Colobus_angolensis_palliatus
ENSCATP00000013477	ENSCATG00000030847	Cercocebus_atys
ENSPANP00000002192	ENSPANG00000004117	Papio_anubis
ENSMMUP00000004338	ENSMMUG00000003256	Macaca_mulatta
ENSMFAP00000031926	ENSMFAG00000037010	Macaca_fascicularis
ENSMNEP00000043039	ENSMNEG00000044228	Macaca_nemestrina
ENSMLEP00000024181	ENSMLEG00000036255	Mandrillus_leucophaeus
ENSTGEP00000017530	ENSTGEG00000014171	Theropithecus_gelada
ENSCSAP00000016358	ENSCSAG00000001668	Chlorocebus_sabaeus
ENSCCAP00000015575	ENSCCAG00000025582	Cebus_capucinus_imitator
ENSSBOP00000017144	ENSSBOG00000025246	Saimiri_boliviensis_boliviensis
ENSCJAP00000037719	ENSCJAG00000020292	Callithrix_jacchus
ENSANAP00000006429	ENSANAG00000021299	Aotus_nancymaae
ENSTSYP00000012361	ENSTSYG00000013477	Carlito_syrichta
ENSMICP00000029447	ENSMICG00000030534	Microcebus_murinus
ENSPCOP00000018262	ENSPCOG00000021025	Propithecus_coquereli
ENSPSMP00000024421	ENSPSMG00000017221	Prolemur_simus
ENSOGAP00000020753	ENSOGAG00000028413	Otolemur_garnettii
ENSTBEP00000007101	ENSTBEG00000008197	Tupaia_belangeri
ENSCCNP00000005389	ENSCCNG00000005752	Castor_canadensis
ENSJJAP00000003699	ENSJJAG00000007448	Jaculus_jaculus
ENSHGLP00000011984	ENSHGLG00000008584	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011157	ENSHGLG00100008287	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014387	ENSFDAG00000001577	Fukomys_damarensis
ENSCLAP00000001164	ENSCLAG00000000888	Chinchilla_lanigera
ENSCPOP00000028551	ENSCPOG00000031846	Cavia_porcellus
ENSODEP00000012535	ENSODEG00000009289	Octodon_degus
ENSSTOP00000025647	ENSSTOG00000031514	Ictidomys_tridecemlineatus
ENSUPAP00010003682	ENSUPAG00010003012	Urocitellus_parryii
ENSNGAP00000003233	ENSNGAG00000003567	Nannospalax_galili
ENSNGAP00000003837	ENSNGAG00000004669	Nannospalax_galili
ENSMSIP00000000404	ENSMSIG00000000360	Mus_spicilegus
ENSMUSP00000128658	ENSMUSG00000054893	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080619	MGP_SPRETEiJ_G0030219	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077344	MGP_CAROLIEiJ_G0029158	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045709	MGP_PahariEiJ_G0021027	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061115	ENSRNOG00000033906	Rattus_norvegicus
ENSMUGP00000004734	ENSMUGG00000004346	Meriones_unguiculatus
ENSCGRP00001024572	ENSCGRG00001022447	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005739	ENSCGRG00000004201	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015006729	ENSCGRG00015005186	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000016492	ENSMAUG00000015601	Mesocricetus_auratus
ENSMOCP00000008373	ENSMOCG00000008373	Microtus_ochrogaster
ENSPEMP00000001690	ENSPEMG00000001435	Peromyscus_maniculatus_bairdii
ENSMMMP00000000920	ENSMMMG00000000857	Marmota_marmota_marmota
ENSCGRP00001022802	ENSCGRG00001021236	Cricetulus_griseus_CHOK1GS_HDv1
ENSBBBP00000028340	ENSBBBG00000025038	Bison_bison_bison
ENSBTAP00000001064	ENSBTAG00000000803	Bos_taurus
ENSBMUP00000024925	ENSBMUG00000018731	Bos_mutus
ENSBIXP00000013254	ENSBIXG00000006829	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021733	ENSBIXG00005024709	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000027988	ENSBBBG00000006390	Bison_bison_bison
ENSOARP00000003520	ENSOARG00000003308	Ovis_aries
