ENSVURP00010007393	ENSVURG00010005704	Vombatus_ursinus	ENSVURT00010008354
ENSPCIP00000022573	ENSPCIG00000017118	Phascolarctos_cinereus	ENSPCIT00000027845
ENSMODP00000007550	ENSMODG00000006091	Monodelphis_domestica	ENSMODT00000007701
ENSCPOP00000019318	ENSCPOG00000025508	Cavia_porcellus	ENSCPOT00000022063
ENSCAPP00000018534	ENSCAPG00000017903	Cavia_aperea	ENSCAPT00000022344
ENSODEP00000021341	ENSODEG00000015704	Octodon_degus	ENSODET00000021599
ENSCLAP00000014169	ENSCLAG00000009782	Chinchilla_lanigera	ENSCLAT00000014327
ENSHGLP00100026259	ENSHGLG00100019270	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014973	ENSHGLG00000010714	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019862	ENSFDAG00000008852	Fukomys_damarensis
ENSSDAP00000007593	ENSSDAG00000006917	Spermophilus_dauricus
ENSUPAP00010003844	ENSUPAG00010003139	Urocitellus_parryii
ENSSTOP00000017785	ENSSTOG00000024893	Ictidomys_tridecemlineatus
ENSMMMP00000022534	ENSMMMG00000019779	Marmota_marmota_marmota
ENSMSIP00000018688	ENSMSIG00000015890	Mus_spicilegus
MGP_SPRETEiJ_P0090528	MGP_SPRETEiJ_G0032999	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000083547	ENSMUSG00000057191	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0086971	MGP_CAROLIEiJ_G0031875	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022621	MGP_PahariEiJ_G0014741	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000041436	ENSRNOG00000033256	Rattus_norvegicus
ENSMUGP00000024039	ENSMUGG00000020070	Meriones_unguiculatus
ENSCGRP00015002995	ENSCGRG00015002382	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000006192	ENSCGRG00000004535	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001020186	ENSCGRG00001019412	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000019752	ENSMAUG00000017957	Mesocricetus_auratus
ENSMOCP00000014879	ENSMOCG00000014256	Microtus_ochrogaster
ENSPEMP00000032213	ENSPEMG00000011218	Peromyscus_maniculatus_bairdii
ENSJJAP00000001716	ENSJJAG00000002332	Jaculus_jaculus
ENSCCNP00000012922	ENSCCNG00000013417	Castor_canadensis
ENSDORP00000018990	ENSDORG00000013393	Dipodomys_ordii
ENSOCUP00000023270	ENSOCUG00000027943	Oryctolagus_cuniculus
ENSOPRP00000016250	ENSOPRG00000018995	Ochotona_princeps
ENSCCAP00000019959	ENSCCAG00000027821	Cebus_capucinus_imitator
ENSSBOP00000038157	ENSSBOG00000035163	Saimiri_boliviensis_boliviensis
ENSCJAP00000011609	ENSCJAG00000006309	Callithrix_jacchus
ENSANAP00000025820	ENSANAG00000030631	Aotus_nancymaae
ENSANAP00000012752	ENSANAG00000024311	Aotus_nancymaae
ENSCCAP00000014055	ENSCCAG00000024845	Cebus_capucinus_imitator
ENSPTRP00000057497	ENSPTRG00000033817	Pan_troglodytes
ENSPPAP00000039324	ENSPPAG00000042367	Pan_paniscus
ENSGGOP00000050164	ENSGGOG00000037632	Gorilla_gorilla
ENSP00000380920	ENSG00000214212	Homo_sapiens
ENSNLEP00000046618	ENSNLEG00000031325	Nomascus_leucogenys
ENSRROP00000014202	ENSRROG00000031319	Rhinopithecus_roxellana
ENSRBIP00000003867	ENSRBIG00000018298	Rhinopithecus_bieti
ENSPTEP00000037059	ENSPTEG00000034735	Piliocolobus_tephrosceles
ENSCANP00000003523	ENSCANG00000012594	Colobus_angolensis_palliatus
ENSMFAP00000034983	ENSMFAG00000003956	Macaca_fascicularis
ENSMMUP00000024969	ENSMMUG00000018981	Macaca_mulatta
ENSMNEP00000041819	ENSMNEG00000043713	Macaca_nemestrina
ENSCSAP00000009637	ENSCSAG00000013475	Chlorocebus_sabaeus
ENSCATP00000021216	ENSCATG00000034346	Cercocebus_atys
ENSMLEP00000003102	ENSMLEG00000013141	Mandrillus_leucophaeus
