ENSMMUP00000036035	ENSMMUG00000046774	Macaca_mulatta
ENSGMOP00000016979	ENSGMOG00000015837	Gadus_morhua
ENSDARP00000059755	ENSDARG00000040778	Danio_rerio
ENSAMXP00005056160	ENSAMXG00005024952	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMGP00000021505	ENSPMGG00000017419	Periophthalmus_magnuspinnatus
ENSSCAP00000016681	ENSSCAG00000012158	Serinus_canaria
ENSPFOP00000004944	ENSPFOG00000005056	Poecilia_formosa
ENSVURP00010015103	ENSVURG00010011553	Vombatus_ursinus
ENSSLDP00000017795	ENSSLDG00000014032	Seriola_lalandi_dorsalis
ENSCAFP00000007237	ENSCAFG00000004844	Canis_lupus_familiaris
ENSPANP00000016600	ENSPANG00000019898	Papio_anubis
ENSPMGP00000014307	ENSPMGG00000011496	Periophthalmus_magnuspinnatus
ENSCLAP00000003665	ENSCLAG00000002612	Chinchilla_lanigera
ENSGAFP00000030305	ENSGAFG00000020423	Gambusia_affinis
ENSAOWP00000022323	ENSAOWG00000015074	Apteryx_owenii
ENSABRP00000000362	ENSABRG00000000402	Anser_brachyrhynchus
ENSSDAP00000019929	ENSSDAG00000018180	Spermophilus_dauricus
ENSUMAP00000017807	ENSUMAG00000013087	Ursus_maritimus
ENSMAMP00000033541	ENSMAMG00000022548	Mastacembelus_armatus
ENSLCAP00010023108	ENSLCAG00010010841	Lates_calcarifer
ENSCAPP00000008903	ENSCAPG00000010510	Cavia_aperea
ENSORLP00015008549	ENSORLG00015009347	Oryzias_latipes_ASM223469v1
ENSMZEP00005015923	ENSMZEG00005011961	Maylandia_zebra
ENSAPOP00000001129	ENSAPOG00000002377	Acanthochromis_polyacanthus
ENSSMRP00000015219	ENSSMRG00000011845	Salvator_merianae
ENSMOCP00000014728	ENSMOCG00000014139	Microtus_ochrogaster
ENSCCEP00000004646	ENSCCEG00000005105	Cyanistes_caeruleus
ENSAPLP00000026215	ENSAPLG00000017843	Anas_platyrhynchos_platyrhynchos
ENSHHUP00000047309	ENSHHUG00000028750	Hucho_hucho
ENSHCOP00000005706	ENSHCOG00000000249	Hippocampus_comes
ENSEEEP00000040161	ENSEEEG00000019049	Electrophorus_electricus
ENSACIP00000009721	ENSACIG00000007537	Amphilophus_citrinellus
ENSGGOP00000047519	ENSGGOG00000041831	Gorilla_gorilla	ENSGGOT00000054524
ENSNPEP00000015742	ENSNPEG00000011746	Nothoprocta_perdicaria
ENSMICP00000011099	ENSMICG00000012197	Microcebus_murinus
ENSPTRP00000073796	ENSPTRG00000050663	Pan_troglodytes
ENSBSLP00000040800	ENSBSLG00000019728	Betta_splendens
ENSORLP00000001677	ENSORLG00000001355	Oryzias_latipes_ASM223467v1
ENSSFOP00015032290	ENSSFOG00015020656	Scleropages_formosus
ENSCSEP00000020890	ENSCSEG00000013345	Cynoglossus_semilaevis
ENSCGOP00000028351	ENSCGOG00000013312	Cottoperca_gobio	ENSCGOT00000030486
ENSHHUP00000063862	ENSHHUG00000037725	Hucho_hucho
