ENSAMEP00000016632	ENSAMEG00000015766	Ailuropoda_melanoleuca	ENSAMET00000017318
ENSUMAP00000015132	ENSUMAG00000011141	Ursus_maritimus	ENSUMAT00000017925
ENSMPUP00000020007	ENSMPUG00000020141	Mustela_putorius_furo
ENSNVIP00000031172	ENSNVIG00000023991	Neovison_vison
ENSPPRP00000027305	ENSPPRG00000018659	Panthera_pardus
ENSPTIP00000025315	ENSPTIG00000021145	Panthera_tigris_altaica
ENSFCAP00000050168	ENSFCAG00000046300	Felis_catus
ENSECAP00000003172	ENSECAG00000004701	Equus_caballus
ENSEASP00005018757	ENSEASG00005012929	Equus_asinus_asinus
ENSSARP00000012412	ENSSARG00000013747	Sorex_araneus
ENSBIXP00000031391	ENSBIXG00000013650	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000054873	ENSBTAG00000018406	Bos_taurus
ENSBIXP00005018637	ENSBIXG00005021991	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000012137	ENSBMUG00000009303	Bos_mutus
ENSBBBP00000015172	ENSBBBG00000008534	Bison_bison_bison
ENSOARP00000014675	ENSOARG00000013688	Ovis_aries
ENSOARP00000020541	ENSOARG00000019124	Ovis_aries
ENSCHIP00000016273	ENSCHIG00000016590	Capra_hircus
ENSTTRP00000003127	ENSTTRG00000003341	Tursiops_truncatus
ENSSSCP00000011119	ENSSSCG00000010430	Sus_scrofa_strain_reference
ENSVPAP00000005688	ENSVPAG00000006134	Vicugna_pacos
ENSMLUP00000010200	ENSMLUG00000011187	Myotis_lucifugus
ENSMLUP00000018130	ENSMLUG00000027140	Myotis_lucifugus
ENSPVAP00000005931	ENSPVAG00000006274	Pteropus_vampyrus
ENSP00000332444	ENSG00000177613	Homo_sapiens
ENSPPYP00000002831	ENSPPYG00000002441	Pongo_abelii
ENSSBOP00000011646	ENSSBOG00000022638	Saimiri_boliviensis_boliviensis
ENSCJAP00000066180	ENSCJAG00000011554	Callithrix_jacchus
ENSGGOP00000018997	ENSGGOG00000042388	Gorilla_gorilla
ENSGGOP00000025981	ENSGGOG00000036416	Gorilla_gorilla
ENSNLEP00000014609	ENSNLEG00000012025	Nomascus_leucogenys
ENSRBIP00000010944	ENSRBIG00000029324	Rhinopithecus_bieti
ENSRROP00000038243	ENSRROG00000042507	Rhinopithecus_roxellana
ENSCSAP00000017979	ENSCSAG00000018437	Chlorocebus_sabaeus
ENSMMUP00000079240	ENSMMUG00000058901	Macaca_mulatta
ENSMFAP00000029508	ENSMFAG00000042009	Macaca_fascicularis
ENSMNEP00000014519	ENSMNEG00000031410	Macaca_nemestrina
ENSPANP00000035950	ENSPANG00000029734	Papio_anubis
ENSTGEP00000007253	ENSTGEG00000005939	Theropithecus_gelada
ENSPTEP00000041621	ENSPTEG00000038075	Piliocolobus_tephrosceles
ENSCANP00000001557	ENSCANG00000005843	Colobus_angolensis_palliatus
ENSPPAP00000018221	ENSPPAG00000032242	Pan_paniscus
ENSPTRP00000079530	ENSPTRG00000043097	Pan_troglodytes
ENSCATP00000038342	ENSCATG00000041868	Cercocebus_atys
ENSCCAP00000006114	ENSCCAG00000020816	Cebus_capucinus_imitator
ENSCJAP00000054411	ENSCJAG00000039083	Callithrix_jacchus
ENSANAP00000019417	ENSANAG00000027508	Aotus_nancymaae
ENSTSYP00000007104	ENSTSYG00000007750	Carlito_syrichta
ENSMICP00000026866	ENSMICG00000030551	Microcebus_murinus
ENSMICP00000021204	ENSMICG00000000867	Microcebus_murinus
ENSPSMP00000004367	ENSPSMG00000003500	Prolemur_simus
ENSPCOP00000003671	ENSPCOG00000010982	Propithecus_coquereli
ENSOGAP00000018182	ENSOGAG00000014565	Otolemur_garnettii
ENSTBEP00000012486	ENSTBEG00000014379	Tupaia_belangeri
ENSMSIP00000030828	ENSMSIG00000025837	Mus_spicilegus
ENSMUSP00000093831	ENSMUSG00000053536	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0050555	MGP_SPRETEiJ_G0023790	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048563	MGP_CAROLIEiJ_G0022872	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021526	MGP_PahariEiJ_G0014365	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064966	ENSRNOG00000050289	Rattus_norvegicus
ENSMUGP00000004969	ENSMUGG00000004584	Meriones_unguiculatus
ENSPEMP00000031497	ENSPEMG00000025097	Peromyscus_maniculatus_bairdii
ENSMOCP00000023818	ENSMOCG00000020428	Microtus_ochrogaster
ENSCGRP00015028861	ENSCGRG00015021837	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011919	ENSCGRG00000008682	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002815	ENSCGRG00001003222	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004732	ENSMAUG00000006359	Mesocricetus_auratus
ENSNGAP00000003083	ENSNGAG00000003304	Nannospalax_galili
ENSSDAP00000001708	ENSSDAG00000001686	Spermophilus_dauricus
ENSMMMP00000021325	ENSMMMG00000018794	Marmota_marmota_marmota
ENSUPAP00010013583	ENSUPAG00010010968	Urocitellus_parryii
ENSSTOP00000016996	ENSSTOG00000026303	Ictidomys_tridecemlineatus
ENSCPOP00000003782	ENSCPOG00000004195	Cavia_porcellus
ENSCLAP00000025790	ENSCLAG00000017916	Chinchilla_lanigera
ENSODEP00000016812	ENSODEG00000012386	Octodon_degus
ENSHGLP00100000396	ENSHGLG00100000336	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021655	ENSHGLG00000015478	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022890	ENSFDAG00000021170	Fukomys_damarensis
ENSCCNP00000023778	ENSCCNG00000023322	Castor_canadensis
ENSDORP00000022624	ENSDORG00000011245	Dipodomys_ordii
ENSJJAP00000018688	ENSJJAG00000019881	Jaculus_jaculus
ENSOCUP00000045406	ENSOCUG00000027463	Oryctolagus_cuniculus
ENSOCUP00000004011	ENSOCUG00000004647	Oryctolagus_cuniculus
ENSDNOP00000021377	ENSDNOG00000003283	Dasypus_novemcinctus
ENSCHOP00000010509	ENSCHOG00000011888	Choloepus_hoffmanni
ENSLAFP00000023917	ENSLAFG00000002058	Loxodonta_africana
ENSPCAP00000000038	ENSPCAG00000000046	Procavia_capensis
ENSCAFP00020034032	ENSCAFG00020026426	Canis_lupus_dingo
ENSCAFP00000042214	ENSCAFG00000015567	Canis_lupus_familiaris
ENSVVUP00000003326	ENSVVUG00000002575	Vulpes_vulpes
ENSSARP00000001827	ENSSARG00000002013	Sorex_araneus
ENSPFOP00000016846	ENSPFOG00000016756	Poecilia_formosa
ENSCSEP00000004020	ENSCSEG00000002596	Cynoglossus_semilaevis
ENSSPAP00000012173	ENSSPAG00000009247	Stegastes_partitus
ENSPRNP00000027288	ENSPRNG00000013649	Parambassis_ranga
ENSSDUP00000001301	ENSSDUG00000001049	Seriola_dumerili
ENSSLDP00000012647	ENSSLDG00000010056	Seriola_lalandi_dorsalis
ENSLCAP00010034844	ENSLCAG00010016349	Lates_calcarifer
ENSMALP00000012452	ENSMALG00000008842	Monopterus_albus
ENSTRUP00000010251	ENSTRUG00000004323	Takifugu_rubripes
ENSELUP00000002736	ENSELUG00000004079	Esox_lucius
