ENSGAGP00000018596	ENSGAGG00000013763	Gopherus_agassizii	ENSGAGT00000021202
ENSUAMP00000011442	ENSUAMG00000009340	Ursus_americanus
ENSMFAP00000030382	ENSMFAG00000042375	Macaca_fascicularis
MGP_SPRETEiJ_P0061623	MGP_SPRETEiJ_G0026299	Mus_spretus_strain_SPRET/EiJ
ENSODEP00000025984	ENSODEG00000019335	Octodon_degus
ENSFCAP00000047520	ENSFCAG00000041074	Felis_catus
ENSCGRP00015029244	ENSCGRG00015022087	Cricetulus_griseus_CriGri-PICR
ENSBTAP00000033682	ENSBTAG00000024378	Bos_taurus
ENSCGRP00001005776	ENSCGRG00001007646	Cricetulus_griseus_CHOK1GS_HDv1
ENSODEP00000025672	ENSODEG00000018960	Octodon_degus
ENSPPAP00000002925	ENSPPAG00000012534	Pan_paniscus
ENSPPRP00000029122	ENSPPRG00000021564	Panthera_pardus
ENSPTRP00000083413	ENSPTRG00000050946	Pan_troglodytes
ENSVPAP00000011730	ENSVPAG00000015525	Vicugna_pacos
ENSLAFP00000026460	ENSLAFG00000030348	Loxodonta_africana
ENSLACP00000012641	ENSLACG00000011137	Latimeria_chalumnae
ENSJJAP00000008868	ENSJJAG00000012932	Jaculus_jaculus
ENSCANP00000000442	ENSCANG00000001620	Colobus_angolensis_palliatus
ENSMSIP00000013448	ENSMSIG00000011641	Mus_spicilegus
ENSCPOP00000018458	ENSCPOG00000020443	Cavia_porcellus
ENSBBBP00000027361	ENSBBBG00000023564	Bison_bison_bison
ENSSBOP00000000181	ENSSBOG00000000667	Saimiri_boliviensis_boliviensis
ENSCATP00000019720	ENSCATG00000033653	Cercocebus_atys
ENSPANP00000009651	ENSPANG00000003349	Papio_anubis
ENSCLAP00000019501	ENSCLAG00000013383	Chinchilla_lanigera
ENSMICP00000035484	ENSMICG00000044161	Microcebus_murinus
ENSPTRP00000092766	ENSPTRG00000048290	Pan_troglodytes
ENSRNOP00000069081	ENSRNOG00000024845	Rattus_norvegicus
ENSFCAP00000028426	ENSFCAG00000036915	Felis_catus
ENSRROP00000022671	ENSRROG00000035197	Rhinopithecus_roxellana
ENSPCIP00000009457	ENSPCIG00000007733	Phascolarctos_cinereus
ENSCANP00000024273	ENSCANG00000035554	Colobus_angolensis_palliatus
ENSCJAP00000052674	ENSCJAG00000042724	Callithrix_jacchus
ENSRNOP00000064559	ENSRNOG00000048409	Rattus_norvegicus
ENSPPRP00000028041	ENSPPRG00000019973	Panthera_pardus
ENSSTOP00000018434	ENSSTOG00000026764	Ictidomys_tridecemlineatus
ENSTTRP00000016535	ENSTTRG00000021389	Tursiops_truncatus
ENSCGRP00000026165	ENSCGRG00000019214	Cricetulus_griseus_CriGri_1.0
ENSGGOP00000024552	ENSGGOG00000027532	Gorilla_gorilla
ENSMMUP00000028180	ENSMMUG00000021391	Macaca_mulatta
ENSODEP00000003897	ENSODEG00000002986	Octodon_degus
ENSCANP00000014223	ENSCANG00000030545	Colobus_angolensis_palliatus
ENSUPAP00010011548	ENSUPAG00010009383	Urocitellus_parryii
ENSCGRP00015036163	ENSCGRG00015027116	Cricetulus_griseus_CriGri-PICR
ENSCSAP00000014103	ENSCSAG00000018085	Chlorocebus_sabaeus
ENSCPBP00000010715	ENSCPBG00000008212	Chrysemys_picta_bellii
ENSUMAP00000004631	ENSUMAG00000003735	Ursus_maritimus
ENSRROP00000015226	ENSRROG00000031792	Rhinopithecus_roxellana
ENSMLUP00000017188	ENSMLUG00000025875	Myotis_lucifugus
ENSPEMP00000025565	ENSPEMG00000021950	Peromyscus_maniculatus_bairdii
ENSRBIP00000001268	ENSRBIG00000006532	Rhinopithecus_bieti
ENSCHOP00000000019	ENSCHOG00000000023	Choloepus_hoffmanni
ENSMAUP00000007118	ENSMAUG00000008870	Mesocricetus_auratus
ENSPPRP00000026205	ENSPPRG00000016782	Panthera_pardus
ENSCGRP00001003051	ENSCGRG00001003574	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTIP00000001126	ENSPTIG00000002970	Panthera_tigris_altaica
ENSPVIP00000027018	ENSPVIG00000020105	Pogona_vitticeps	ENSPVIT00000033232
ENSPTEP00000032806	ENSPTEG00000031453	Piliocolobus_tephrosceles
ENSSDAP00000000399	ENSSDAG00000000464	Spermophilus_dauricus
ENSANAP00000016517	ENSANAG00000026132	Aotus_nancymaae
ENSMOCP00000005225	ENSMOCG00000004675	Microtus_ochrogaster
ENSMICP00000028405	ENSMICG00000035458	Microcebus_murinus
ENSMAUP00000014903	ENSMAUG00000014535	Mesocricetus_auratus
ENSOARP00000022352	ENSOARG00000020796	Ovis_aries
ENSCGRP00000009719	ENSCGRG00000007102	Cricetulus_griseus_CriGri_1.0
ENSNLEP00000038079	ENSNLEG00000031560	Nomascus_leucogenys
ENSMNEP00000002424	ENSMNEG00000011218	Macaca_nemestrina
MGP_CAROLIEiJ_P0059247	MGP_CAROLIEiJ_G0025355	Mus_caroli_strain_CAROLI_EIJ
ENSVVUP00000032108	ENSVVUG00000023300	Vulpes_vulpes
ENSCHOP00000007968	ENSCHOG00000009012	Choloepus_hoffmanni
ENSHGLP00100013898	ENSHGLG00100010283	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00001014357	ENSCGRG00001015258	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000014074	ENSPEMG00000013980	Peromyscus_maniculatus_bairdii
ENSSPUP00000001016	ENSSPUG00000000814	Sphenodon_punctatus	ENSSPUT00000001070
ENSCGRP00015031354	ENSCGRG00015023644	Cricetulus_griseus_CriGri-PICR
ENSXETP00000014794	ENSXETG00000000497	Xenopus_tropicalis
ENSPTRP00000002123	ENSPTRG00000034372	Pan_troglodytes
ENSOCUP00000021704	ENSOCUG00000027120	Oryctolagus_cuniculus
ENSPTIP00000001496	ENSPTIG00000003850	Panthera_tigris_altaica
ENSBIXP00000021699	ENSBIXG00000024733	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRROP00000015089	ENSRROG00000031728	Rhinopithecus_roxellana
ENSNGAP00000002241	ENSNGAG00000001847	Nannospalax_galili
ENSMNEP00000046120	ENSMNEG00000045518	Macaca_nemestrina
ENSDORP00000019757	ENSDORG00000030111	Dipodomys_ordii
ENSGGOP00000003609	ENSGGOG00000003672	Gorilla_gorilla
ENSPANP00000031800	ENSPANG00000030104	Papio_anubis
ENSNLEP00000029389	ENSNLEG00000031023	Nomascus_leucogenys
ENSMLEP00000016599	ENSMLEG00000032496	Mandrillus_leucophaeus
ENSTSYP00000013655	ENSTSYG00000019342	Carlito_syrichta
ENSODEP00000025669	ENSODEG00000018956	Octodon_degus
ENSPCIP00000010847	ENSPCIG00000008793	Phascolarctos_cinereus
ENSPCOP00000002365	ENSPCOG00000007203	Propithecus_coquereli
MGP_PahariEiJ_P0070215	MGP_PahariEiJ_G0026799	Mus_pahari_strain_PAHARI_EIJ
ENSMUSP00000066990	ENSMUSG00000054312	Mus_musculus_strain_reference_(CL57BL6)
ENSPSIP00000016337	ENSPSIG00000014569	Pelodiscus_sinensis
ENSMFAP00000024972	ENSMFAG00000044027	Macaca_fascicularis
