ENSMNEP00000007521	ENSMNEG00000028341	Macaca_nemestrina	ENSMNET00000031682
ENSMFAP00000011251	ENSMFAG00000014363	Macaca_fascicularis	ENSMFAT00000047775
ENSMLEP00000005392	ENSMLEG00000023884	Mandrillus_leucophaeus	ENSMLET00000026096
ENSPANP00000044100	ENSPANG00000033345	Papio_anubis	ENSPANT00000046648
ENSRROP00000041067	ENSRROG00000043741	Rhinopithecus_roxellana	ENSRROT00000065560
ENSRBIP00000020089	ENSRBIG00000034034	Rhinopithecus_bieti	ENSRBIT00000043967
ENSCATP00000023648	ENSCATG00000035380	Cercocebus_atys	ENSCATT00000047868
ENSPTEP00000000821	ENSPTEG00000000934	Piliocolobus_tephrosceles	ENSPTET00000001226
ENSNLEP00000044456	ENSNLEG00000032525	Nomascus_leucogenys	ENSNLET00000057714
ENSPSMP00000035435	ENSPSMG00000024419	Prolemur_simus	ENSPSMT00000040849
ENSUPAP00010008760	ENSUPAG00010007089	Urocitellus_parryii	ENSUPAT00010010073
ENSCCNP00000014286	ENSCCNG00000014787	Castor_canadensis	ENSCCNT00000018747
ENSNVIP00000029924	ENSNVIG00000023057	Neovison_vison
