ENSGGOP00000045141	ENSGGOG00000038946	Gorilla_gorilla	ENSGGOT00000046016
ENSPANP00000027251	ENSPANG00000034083	Papio_anubis	ENSPANT00000043805
ENSPPAP00000006352	ENSPPAG00000024928	Pan_paniscus	ENSPPAT00000027517
ENSPTEP00000032826	ENSPTEG00000031471	Piliocolobus_tephrosceles	ENSPTET00000045059
ENSMFAP00000014810	ENSMFAG00000030596	Macaca_fascicularis	ENSMFAT00000065317
ENSNLEP00000041844	ENSNLEG00000027584	Nomascus_leucogenys	ENSNLET00000033585
ENSMNEP00000002597	ENSMNEG00000012185	Macaca_nemestrina	ENSMNET00000013230
ENSPTRP00000085128	ENSPTRG00000043279	Pan_troglodytes	ENSPTRT00000098585
ENSTGEP00000035961	ENSTGEG00000028627	Theropithecus_gelada	ENSTGET00000042671
ENSCATP00000001828	ENSCATG00000008393	Cercocebus_atys	ENSCATT00000009237
ENSEASP00005019646	ENSEASG00005013502	Equus_asinus_asinus
ENSMLEP00000004905	ENSMLEG00000022267	Mandrillus_leucophaeus	ENSMLET00000024267
ENSCJAP00000058909	ENSCJAG00000047754	Callithrix_jacchus	ENSCJAT00000082315
