ENSMFAP00000017023	ENSMFAG00000031634	Macaca_fascicularis	ENSMFAT00000067563
ENSMNEP00000036199	ENSMNEG00000041232	Macaca_nemestrina	ENSMNET00000060661
ENSPANP00000020680	ENSPANG00000021527	Papio_anubis	ENSPANT00000010736
ENSTGEP00000013238	ENSTGEG00000010764	Theropithecus_gelada	ENSTGET00000015900
ENSCATP00000034737	ENSCATG00000040270	Cercocebus_atys	ENSCATT00000059018
ENSMLEP00000010237	ENSMLEG00000029301	Mandrillus_leucophaeus	ENSMLET00000033644
ENSMNEP00000038667	ENSMNEG00000042327	Macaca_nemestrina	ENSMNET00000063149
ENSP00000285979	ENSG00000108242	Homo_sapiens	ENST00000285979
ENSGGOP00000007670	ENSGGOG00000007842	Gorilla_gorilla	ENSGGOT00000007877
ENSPPYP00000002902	ENSPPYG00000002503	Pongo_abelii	ENSPPYT00000003004
ENSCCAP00000013088	ENSCCAG00000024348	Cebus_capucinus_imitator	ENSCCAT00000030515
ENSSBOP00000006690	ENSSBOG00000020312	Saimiri_boliviensis_boliviensis
ENSANAP00000035249	ENSANAG00000035172	Aotus_nancymaae
ENSTSYP00000013493	ENSTSYG00000010546	Carlito_syrichta
ENSCGRP00000000428	ENSCGRG00000000382	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015034577	ENSCGRG00015026010	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015059	ENSCGRG00001015768	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000024206	ENSMAUG00000021135	Mesocricetus_auratus
ENSPEMP00000012673	ENSPEMG00000005692	Peromyscus_maniculatus_bairdii
ENSPEMP00000036609	ENSPEMG00000028556	Peromyscus_maniculatus_bairdii
ENSPEMP00000012671	ENSPEMG00000025437	Peromyscus_maniculatus_bairdii
ENSNGAP00000004445	ENSNGAG00000005826	Nannospalax_galili
ENSMSIP00000006953	ENSMSIG00000006189	Mus_spicilegus
ENSMSIP00000002940	ENSMSIG00000002736	Mus_spicilegus
ENSMUGP00000004383	ENSMUGG00000004069	Meriones_unguiculatus
ENSJJAP00000004895	ENSJJAG00000009886	Jaculus_jaculus
ENSUPAP00010023017	ENSUPAG00010018255	Urocitellus_parryii
ENSSDAP00000015744	ENSSDAG00000014216	Spermophilus_dauricus
ENSSDAP00000016425	ENSSDAG00000014863	Spermophilus_dauricus
ENSCCNP00000017152	ENSCCNG00000017452	Castor_canadensis
ENSOPRP00000014009	ENSOPRG00000015340	Ochotona_princeps
ENSOPRP00000004286	ENSOPRG00000004663	Ochotona_princeps
ENSOCUP00000020435	ENSOCUG00000037297	Oryctolagus_cuniculus
ENSOCUP00000048029	ENSOCUG00000030541	Oryctolagus_cuniculus
ENSOCUP00000017976	ENSOCUG00000023762	Oryctolagus_cuniculus
ENSOCUP00000039495	ENSOCUG00000030561	Oryctolagus_cuniculus
ENSMICP00000010311	ENSMICG00000004976	Microcebus_murinus
ENSPCOP00000025098	ENSPCOG00000024769	Propithecus_coquereli
ENSPTEP00000036645	ENSPTEG00000034404	Piliocolobus_tephrosceles
ENSUPAP00010009097	ENSUPAG00010007354	Urocitellus_parryii
ENSMICP00000041151	ENSMICG00000037889	Microcebus_murinus
ENSPCOP00000000410	ENSPCOG00000001169	Propithecus_coquereli
ENSMICP00000021705	ENSMICG00000036393	Microcebus_murinus
ENSOGAP00000017984	ENSOGAG00000031166	Otolemur_garnettii
ENSRNOP00000074503	ENSRNOG00000052810	Rattus_norvegicus
ENSMUGP00000030936	ENSMUGG00000025732	Meriones_unguiculatus
ENSMOCP00000012565	ENSMOCG00000012629	Microtus_ochrogaster
ENSCLAP00000005189	ENSCLAG00000003682	Chinchilla_lanigera
ENSSTOP00000020286	ENSSTOG00000019513	Ictidomys_tridecemlineatus
ENSSTOP00000000488	ENSSTOG00000022653	Ictidomys_tridecemlineatus
ENSMMMP00000017480	ENSMMMG00000015457	Marmota_marmota_marmota
ENSSDAP00000012136	ENSSDAG00000010924	Spermophilus_dauricus
ENSUPAP00010007590	ENSUPAG00010006107	Urocitellus_parryii
ENSCCNP00000000377	ENSCCNG00000000437	Castor_canadensis
ENSMUGP00000030914	ENSMUGG00000025717	Meriones_unguiculatus
ENSP00000483243	ENSG00000276490	Homo_sapiens
ENSCCNP00000000355	ENSCCNG00000000408	Castor_canadensis
ENSDORP00000013943	ENSDORG00000007763	Dipodomys_ordii
ENSRNOP00000051612	ENSRNOG00000013241	Rattus_norvegicus
ENSRNOP00000001990	ENSRNOG00000001466	Rattus_norvegicus
ENSMUSP00000025966	ENSMUSG00000025002	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000035955	ENSMSIG00000029928	Mus_spicilegus
