ENSMUGP00000027008	ENSMUGG00000022500	Meriones_unguiculatus
ENSRNOP00000051598	ENSRNOG00000016656	Rattus_norvegicus
ENSPTRP00000074649	ENSPTRG00000002830	Pan_troglodytes
ENSSMRP00000028224	ENSSMRG00000021704	Salvator_merianae
ENSSCAP00000023888	ENSSCAG00000017101	Serinus_canaria
ENSORLP00000037954	ENSORLG00000024332	Oryzias_latipes_ASM223467v1
ENSMMOP00000003983	ENSMMOG00000003188	Mola_mola
ENSPREP00000009398	ENSPREG00000006396	Poecilia_reticulata
ENSXETP00000006478	ENSXETG00000008851	Xenopus_tropicalis
ENSDNOP00000022114	ENSDNOG00000040342	Dasypus_novemcinctus	ENSDNOT00000043773
ENSOMEP00000028456	ENSOMEG00000011553	Oryzias_melastigma
ENSMALP00000025283	ENSMALG00000017591	Monopterus_albus
ENSPCIP00000049385	ENSPCIG00000032194	Phascolarctos_cinereus
ENSMODP00000020954	ENSMODG00000016788	Monodelphis_domestica
ENSMSIP00000017013	ENSMSIG00000014564	Mus_spicilegus
ENSMUNP00000000473	ENSMUNG00000000448	Melopsittacus_undulatus
ENSLOCP00000011023	ENSLOCG00000009050	Lepisosteus_oculatus
ENSGAFP00000013845	ENSGAFG00000009356	Gambusia_affinis
ENSCABP00000002231	ENSCABG00000001757	Chelonoidis_abingdonii
ENSCSAP00000002028	ENSCSAG00000005719	Chlorocebus_sabaeus
MGP_PahariEiJ_P0021827	MGP_PahariEiJ_G0014471	Mus_pahari_strain_PAHARI_EIJ
ENSCSEP00000010017	ENSCSEG00000006432	Cynoglossus_semilaevis
ENSGACP00000010035	ENSGACG00000007568	Gasterosteus_aculeatus
ENSLCOP00000003269	ENSLCOG00000002487	Lepidothrix_coronata
ENSONIP00000023101	ENSONIG00000018345	Oreochromis_niloticus
ENSP00000342828	ENSG00000119919	Homo_sapiens
ENSDARP00000057093	ENSDARG00000039095	Danio_rerio
ENSUAMP00000031574	ENSUAMG00000024195	Ursus_americanus
ENSMOCP00000013281	ENSMOCG00000013130	Microtus_ochrogaster
ENSNPEP00000011733	ENSNPEG00000008806	Nothoprocta_perdicaria
ENSCJAP00000031335	ENSCJAG00000017049	Callithrix_jacchus
ENSPEMP00000033295	ENSPEMG00000030266	Peromyscus_maniculatus_bairdii
ENSANAP00000006830	ENSANAG00000021481	Aotus_nancymaae
ENSXMAP00000034823	ENSXMAG00000022448	Xiphophorus_maculatus
ENSHHUP00000005794	ENSHHUG00000003579	Hucho_hucho
ENSFHEP00000032512	ENSFHEG00000019022	Fundulus_heteroclitus
ENSCVAP00000010993	ENSCVAG00000013182	Cyprinodon_variegatus
ENSTRUP00000008930	ENSTRUG00000003800	Takifugu_rubripes
ENSGAFP00000007124	ENSGAFG00000004848	Gambusia_affinis
ENSHCOP00000014818	ENSHCOG00000018280	Hippocampus_comes
ENSFHEP00000001604	ENSFHEG00000002367	Fundulus_heteroclitus
ENSORLP00020020022	ENSORLG00020021006	Oryzias_latipes_ASM223471v1
ENSMVIP00005005546	ENSMVIG00005004249	Manacus_vitellinus
ENSBSLP00000013288	ENSBSLG00000007044	Betta_splendens
ENSLCRP00005013223	ENSLCRG00005005751	Larimichthys_crocea
ENSUPAP00010023046	ENSUPAG00010018277	Urocitellus_parryii
ENSATEP00000001564	ENSATEG00000001133	Anabas_testudineus
ENSAMXP00000053371	ENSAMXG00000032911	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGAGP00000007316	ENSGAGG00000005873	Gopherus_agassizii
ENSARWP00000017100	ENSARWG00000011777	Apteryx_rowi
ENSATEP00000032086	ENSATEG00000022096	Anabas_testudineus
ENSIPUP00000001083	ENSIPUG00000000774	Ictalurus_punctatus
ENSTBEP00000009562	ENSTBEG00000011031	Tupaia_belangeri	ENSTBET00000011063
ENSMGAP00000000684	ENSMGAG00000001268	Meleagris_gallopavo
ENSPNAP00000032355	ENSPNAG00000020246	Pygocentrus_nattereri
ENSMNEP00000018209	ENSMNEG00000033053	Macaca_nemestrina
ENSORLP00015020547	ENSORLG00015021686	Oryzias_latipes_ASM223469v1
ENSMZEP00005019543	ENSMZEG00005014660	Maylandia_zebra
ENSDCDP00000004207	ENSDCDG00000002154	Denticeps_clupeoides
ENSORLP00020022840	ENSORLG00020003327	Oryzias_latipes_ASM223471v1
ENSNVIP00000025171	ENSNVIG00000019485	Neovison_vison
ENSODEP00000022983	ENSODEG00000016861	Octodon_degus
ENSPKIP00000025667	ENSPKIG00000008449	Paramormyrops_kingsleyae
ENSSLDP00000000048	ENSSLDG00000000079	Seriola_lalandi_dorsalis
ENSCGOP00000048466	ENSCGOG00000021646	Cottoperca_gobio
ENSECAP00000000054	ENSECAG00000000092	Equus_caballus
ENSMPUP00000016887	ENSMPUG00000016992	Mustela_putorius_furo
ENSMALP00000026519	ENSMALG00000018400	Monopterus_albus
ENSNGAP00000022104	ENSNGAG00000021093	Nannospalax_galili
ENSMFAP00000025838	ENSMFAG00000044388	Macaca_fascicularis
ENSLSDP00000007520	ENSLSDG00000005644	Lonchura_striata_domestica
ENSELUP00000022698	ENSELUG00000021612	Esox_lucius
ENSLCRP00005026052	ENSLCRG00005010397	Larimichthys_crocea
ENSMAMP00000015164	ENSMAMG00000010284	Mastacembelus_armatus
ENSLCRP00005063634	ENSLCRG00005023326	Larimichthys_crocea
ENSHHUP00000037249	ENSHHUG00000023329	Hucho_hucho
ENSBSLP00000045357	ENSBSLG00000021639	Betta_splendens
ENSMODP00000060382	ENSMODG00000043640	Monodelphis_domestica
ENSPCAP00000011887	ENSPCAG00000012779	Procavia_capensis
ENSPREP00000031266	ENSPREG00000021187	Poecilia_reticulata
ENSSMAP00000004941	ENSSMAG00000003048	Scophthalmus_maximus
ENSBMUP00000024299	ENSBMUG00000018255	Bos_mutus
ENSCGOP00000031853	ENSCGOG00000014865	Cottoperca_gobio
ENSAMEP00000007650	ENSAMEG00000007277	Ailuropoda_melanoleuca
ENSBTAP00000028522	ENSBTAG00000021397	Bos_taurus
ENSCGRP00000018558	ENSCGRG00000013510	Cricetulus_griseus_CriGri_1.0
ENSLBEP00000017234	ENSLBEG00000013270	Labrus_bergylta
ENSAPOP00000016574	ENSAPOG00000019713	Acanthochromis_polyacanthus
ENSBBBP00000012775	ENSBBBG00000000532	Bison_bison_bison
ENSCATP00000028889	ENSCATG00000037715	Cercocebus_atys
ENSPPRP00000000989	ENSPPRG00000024447	Panthera_pardus
ENSPFOP00000009395	ENSPFOG00000009440	Poecilia_formosa
ENSECRP00000010894	ENSECRG00000007240	Erpetoichthys_calabaricus
ENSNSUP00000010024	ENSNSUG00000007632	Notechis_scutatus
ENSDCDP00000006916	ENSDCDG00000003668	Denticeps_clupeoides
ENSOMEP00000023282	ENSOMEG00000003316	Oryzias_melastigma
ENSPPAP00000025277	ENSPPAG00000035777	Pan_paniscus
ENSORLP00015007399	ENSORLG00015008215	Oryzias_latipes_ASM223469v1
ENSGMOP00000012774	ENSGMOG00000011940	Gadus_morhua
ENSCPRP00005020436	ENSCPRG00005014221	Crocodylus_porosus
ENSPMGP00000011026	ENSPMGG00000009139	Periophthalmus_magnuspinnatus
ENSONIP00000000353	ENSONIG00000000279	Oreochromis_niloticus
ENSMMUP00000024016	ENSMMUG00000018270	Macaca_mulatta
ENSECRP00000001741	ENSECRG00000001225	Erpetoichthys_calabaricus
ENSPSMP00000014357	ENSPSMG00000010298	Prolemur_simus
ENSXETP00000049115	ENSXETG00000017786	Xenopus_tropicalis
ENSHBUP00000014756	ENSHBUG00000016604	Haplochromis_burtoni
ENSAMXP00005044394	ENSAMXG00005020606	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACIP00000010863	ENSACIG00000008506	Amphilophus_citrinellus
ENSCPOP00000008774	ENSCPOG00000009772	Cavia_porcellus
ENSAPLP00000014530	ENSAPLG00000014698	Anas_platyrhynchos_platyrhynchos
ENSCHAP00000012863	ENSCHAG00000007059	Clupea_harengus
ENSACAP00000003573	ENSACAG00000003684	Anolis_carolinensis
ENSCPBP00000016615	ENSCPBG00000012238	Chrysemys_picta_bellii
ENSKMAP00000028744	ENSKMAG00000021312	Kryptolebias_marmoratus
ENSCLAP00000003038	ENSCLAG00000002178	Chinchilla_lanigera
ENSHBUP00000011588	ENSHBUG00000013297	Haplochromis_burtoni
ENSSLDP00000016057	ENSSLDG00000012749	Seriola_lalandi_dorsalis
ENSSFOP00015024724	ENSSFOG00015015901	Scleropages_formosus
ENSMZEP00005017086	ENSMZEG00005012835	Maylandia_zebra
ENSNMEP00000022869	ENSNMEG00000019516	Numida_meleagris
ENSVURP00010021647	ENSVURG00010016593	Vombatus_ursinus
ENSOGAP00000011978	ENSOGAG00000013370	Otolemur_garnettii
ENSSTOP00000009369	ENSSTOG00000010439	Ictidomys_tridecemlineatus
ENSCHIP00000018090	ENSCHIG00000017672	Capra_hircus	ENSCHIT00000025905
ENSPKIP00000036882	ENSPKIG00000015279	Paramormyrops_kingsleyae
ENSNMEP00000015566	ENSNMEG00000013814	Numida_meleagris
ENSBSLP00000045077	ENSBSLG00000021528	Betta_splendens
ENSCANP00000019601	ENSCANG00000033241	Colobus_angolensis_palliatus
ENSOANP00000028938	ENSOANG00000022656	Ornithorhynchus_anatinus
ENSJJAP00000014734	ENSJJAG00000017127	Jaculus_jaculus
ENSFHEP00000022326	ENSFHEG00000002607	Fundulus_heteroclitus
ENSCMIP00000035914	ENSCMIG00000015187	Callorhinchus_milii
ENSPFOP00000012539	ENSPFOG00000012537	Poecilia_formosa
ENSGGOP00000022479	ENSGGOG00000013605	Gorilla_gorilla
ENSPNYP00000030955	ENSPNYG00000023327	Pundamilia_nyererei
ENSSDUP00000019084	ENSSDUG00000013901	Seriola_dumerili
ENSLACP00000014919	ENSLACG00000013129	Latimeria_chalumnae
ENSJHYP00000006355	ENSJHYG00000005133	Junco_hyemalis
ENSPREP00000029073	ENSPREG00000019670	Poecilia_reticulata
ENSSPAP00000026528	ENSSPAG00000020008	Stegastes_partitus
ENSXMAP00000040540	ENSXMAG00000027829	Xiphophorus_maculatus
ENSCSEP00000032447	ENSCSEG00000020822	Cynoglossus_semilaevis
ENSCGRP00001009769	ENSCGRG00001011819	Cricetulus_griseus_CHOK1GS_HDv1
ENSAHAP00000007316	ENSAHAG00000005498	Apteryx_haastii
ENSHGLP00100022433	ENSHGLG00100016498	Heterocephalus_glaber_HetGla_1.0
ENSBIXP00005004744	ENSBIXG00005010599	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPUP00000024258	ENSCPUG00000016471	Calidris_pugnax
ENSMAUP00000021805	ENSMAUG00000019421	Mesocricetus_auratus
ENSAOWP00000022318	ENSAOWG00000015070	Apteryx_owenii
ENSHHUP00000005602	ENSHHUG00000003468	Hucho_hucho
ENSXCOP00000016235	ENSXCOG00000012270	Xiphophorus_couchianus
ENSPLAP00000017831	ENSPLAG00000022341	Poecilia_latipinna
ENSTTRP00000002033	ENSTTRG00000002171	Tursiops_truncatus
ENSSDUP00000011793	ENSSDUG00000008599	Seriola_dumerili
ENSMAMP00000001884	ENSMAMG00000001312	Mastacembelus_armatus
ENSRROP00000014768	ENSRROG00000031581	Rhinopithecus_roxellana
ENSPKIP00000009706	ENSPKIG00000024712	Paramormyrops_kingsleyae
ENSGAGP00000026974	ENSGAGG00000019632	Gopherus_agassizii
ENSABRP00000021317	ENSABRG00000018122	Anser_brachyrhynchus
ENSDORP00000003410	ENSDORG00000003645	Dipodomys_ordii
ENSSPUP00000017020	ENSSPUG00000013168	Sphenodon_punctatus
ENSSDUP00000026589	ENSSDUG00000019273	Seriola_dumerili
ENSETEP00000005380	ENSETEG00000006626	Echinops_telfairi	ENSETET00000006628
ENSMMOP00000013778	ENSMMOG00000010551	Mola_mola
ENSSMAP00000034501	ENSSMAG00000021102	Scophthalmus_maximus
ENSCPBP00000003199	ENSCPBG00000002598	Chrysemys_picta_bellii
ENSPANP00000037742	ENSPANG00000021255	Papio_anubis
ENSPCIP00000027804	ENSPCIG00000020778	Phascolarctos_cinereus
ENSHHUP00000030662	ENSHHUG00000019523	Hucho_hucho
ENSACLP00000011400	ENSACLG00000007794	Astatotilapia_calliptera
ENSONIP00000014806	ENSONIG00000011761	Oreochromis_niloticus
ENSJHYP00000024645	ENSJHYG00000018487	Junco_hyemalis
ENSMUSP00000050933	ENSMUSG00000044220	Mus_musculus_strain_reference_(CL57BL6)
ENSORLP00000009668	ENSORLG00000007722	Oryzias_latipes_ASM223467v1
ENSCVAP00000021113	ENSCVAG00000002952	Cyprinodon_variegatus
ENSNLEP00000044631	ENSNLEG00000027207	Nomascus_leucogenys
ENSCAFP00000013925	ENSCAFG00000009469	Canis_lupus_familiaris
ENSTRUP00000006352	ENSTRUG00000021922	Takifugu_rubripes
ENSPLAP00000005660	ENSPLAG00000000159	Poecilia_latipinna
ENSCAFP00020009196	ENSCAFG00020007443	Canis_lupus_dingo
ENSPNAP00000023013	ENSPNAG00000005006	Pygocentrus_nattereri
ENSACIP00000026179	ENSACIG00000020288	Amphilophus_citrinellus
ENSPTEP00000029522	ENSPTEG00000028923	Piliocolobus_tephrosceles
ENSMLUP00000011303	ENSMLUG00000012413	Myotis_lucifugus
ENSMEUP00000011763	ENSMEUG00000012911	Notamacropus_eugenii
ENSPMGP00000025074	ENSPMGG00000020264	Periophthalmus_magnuspinnatus
ENSHCOP00000006913	ENSHCOG00000008804	Hippocampus_comes
ENSAPEP00000020118	ENSAPEG00000014383	Amphiprion_percula
