ENSCAFP00020019051	ENSCAFG00020015133	Canis_lupus_dingo
ENSVVUP00000008731	ENSVVUG00000006535	Vulpes_vulpes
ENSMPUP00000020054	ENSMPUG00000020189	Mustela_putorius_furo
ENSSSCP00000024127	ENSSSCG00000026045	Sus_scrofa_strain_reference
ENSBTAP00000069806	ENSBTAG00000050395	Bos_taurus
ENSCHIP00000008060	ENSCHIG00000011363	Capra_hircus
ENSOARP00000000202	ENSOARG00000000221	Ovis_aries
ENSBIXP00005036497	ENSBIXG00005018064	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000034198	ENSBIXG00000017127	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSSCP00000021443	ENSSSCG00000027741	Sus_scrofa_strain_reference
ENSPPAP00000002583	ENSPPAG00000011355	Pan_paniscus
ENSPTRP00000019837	ENSPTRG00000024363	Pan_troglodytes
ENSP00000444747	ENSG00000127903	Homo_sapiens
ENSPPYP00000011711	ENSPPYG00000010454	Pongo_abelii
ENSNLEP00000023035	ENSNLEG00000019189	Nomascus_leucogenys
ENSMMUP00000031410	ENSMMUG00000017851	Macaca_mulatta
ENSPTEP00000001121	ENSPTEG00000001221	Piliocolobus_tephrosceles
ENSSBOP00000008933	ENSSBOG00000021377	Saimiri_boliviensis_boliviensis
ENSPSMP00000024563	ENSPSMG00000017315	Prolemur_simus
