ENSFHEP00000018210	ENSFHEG00000020057	Fundulus_heteroclitus
ENSGALP00000057285	ENSGALG00000010385	Gallus_gallus
ENSLBEP00000029217	ENSLBEG00000022136	Labrus_bergylta
ENSCPBP00000036256	ENSCPBG00000025194	Chrysemys_picta_bellii
ENSLCRP00005039135	ENSLCRG00005015162	Larimichthys_crocea
ENSORLP00000003995	ENSORLG00000003209	Oryzias_latipes_ASM223467v1
ENSPNAP00000027254	ENSPNAG00000012692	Pygocentrus_nattereri
ENSAOCP00000028722	ENSAOCG00000018541	Amphiprion_ocellaris
ENSCABP00000026792	ENSCABG00000019681	Chelonoidis_abingdonii
ENSAPLP00000018196	ENSAPLG00000026637	Anas_platyrhynchos_platyrhynchos
ENSMALP00000013200	ENSMALG00000009332	Monopterus_albus
ENSECRP00000022150	ENSECRG00000014952	Erpetoichthys_calabaricus
ENSIPUP00000018771	ENSIPUG00000012745	Ictalurus_punctatus
ENSOMEP00000034890	ENSOMEG00000021792	Oryzias_melastigma
ENSSFOP00015030813	ENSSFOG00015019742	Scleropages_formosus
ENSPCIP00000038214	ENSPCIG00000028130	Phascolarctos_cinereus
ENSSHAP00000016905	ENSSHAG00000014379	Sarcophilus_harrisii
ENSLACP00000015269	ENSLACG00000013440	Latimeria_chalumnae
ENSLCOP00000001955	ENSLCOG00000001542	Lepidothrix_coronata
ENSACAP00000009442	ENSACAG00000009630	Anolis_carolinensis
ENSPMGP00000026868	ENSPMGG00000021686	Periophthalmus_magnuspinnatus
ENSPMJP00000000348	ENSPMJG00000000325	Parus_major
ENSPFOP00000019147	ENSPFOG00000019035	Poecilia_formosa
ENSARWP00000006286	ENSARWG00000004456	Apteryx_rowi	ENSARWT00000007206
ENSPNYP00000002650	ENSPNYG00000002070	Pundamilia_nyererei
ENSAMXP00000016146	ENSAMXG00000015682	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCVAP00000016228	ENSCVAG00000019146	Cyprinodon_variegatus
ENSSMAP00000011624	ENSSMAG00000007149	Scophthalmus_maximus
ENSGACP00000016212	ENSGACG00000012257	Gasterosteus_aculeatus
ENSHBUP00000008067	ENSHBUG00000009566	Haplochromis_burtoni
ENSMVIP00005009881	ENSMVIG00005007270	Manacus_vitellinus
ENSAMXP00005014098	ENSAMXG00005007523	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACLP00000006615	ENSACLG00000004450	Astatotilapia_calliptera
ENSHHUP00000059117	ENSHHUG00000035141	Hucho_hucho
ENSPMEP00000027784	ENSPMEG00000012461	Poecilia_mexicana
ENSPLAP00000016942	ENSPLAG00000021228	Poecilia_latipinna
ENSMMOP00000010226	ENSMMOG00000007892	Mola_mola
ENSAHAP00000024535	ENSAHAG00000017116	Apteryx_haastii	ENSAHAT00000027029
ENSJJAP00000000621	ENSJJAG00000000504	Jaculus_jaculus
ENSNMEP00000019533	ENSNMEG00000016724	Numida_meleagris
ENSOARP00000007724	ENSOARG00000007208	Ovis_aries
ENSKMAP00000000226	ENSKMAG00000000227	Kryptolebias_marmoratus
ENSCPUP00000003172	ENSCPUG00000002437	Calidris_pugnax
ENSSCAP00000015665	ENSSCAG00000011471	Serinus_canaria
ENSJHYP00000003778	ENSJHYG00000003109	Junco_hyemalis
ENSCHAP00000016873	ENSCHAG00000008899	Clupea_harengus
ENSAOWP00000005111	ENSAOWG00000003526	Apteryx_owenii	ENSAOWT00000005822
ENSLOCP00000020657	ENSLOCG00000016719	Lepisosteus_oculatus
ENSLCAP00010013331	ENSLCAG00010006320	Lates_calcarifer
ENSTGUP00000009391	ENSTGUG00000009107	Taeniopygia_guttata	ENSTGUT00000009490
ENSMAMP00000033412	ENSMAMG00000022464	Mastacembelus_armatus
ENSEEEP00000026451	ENSEEEG00000012740	Electrophorus_electricus
ENSDCDP00000017272	ENSDCDG00000014063	Denticeps_clupeoides
ENSAPOP00000015855	ENSAPOG00000018924	Acanthochromis_polyacanthus
ENSBSLP00000044362	ENSBSLG00000021094	Betta_splendens
ENSFALP00000012603	ENSFALG00000012070	Ficedula_albicollis
ENSGAGP00000013999	ENSGAGG00000010659	Gopherus_agassizii
ENSPRNP00000012958	ENSPRNG00000007129	Parambassis_ranga
ENSCJPP00005013472	ENSCJPG00005011358	Coturnix_japonica
ENSCCEP00000005973	ENSCCEG00000006486	Cyanistes_caeruleus
ENSHCOP00000001716	ENSHCOG00000002739	Hippocampus_comes
ENSHHUP00000061009	ENSHHUG00000036153	Hucho_hucho
ENSNPEP00000009855	ENSNPEG00000007213	Nothoprocta_perdicaria
ENSGWIP00000040879	ENSGWIG00000020608	Gouania_willdenowi
ENSABRP00000022591	ENSABRG00000019032	Anser_brachyrhynchus
ENSCPGP00000004322	ENSCPGG00000003184	Calidris_pygmaea
ENSORLP00020031191	ENSORLG00020016125	Oryzias_latipes_ASM223471v1
ENSTRUP00000007342	ENSTRUG00000003134	Takifugu_rubripes
ENSAPEP00000024107	ENSAPEG00000017111	Amphiprion_percula
ENSVURP00010006751	ENSVURG00010005241	Vombatus_ursinus
ENSZALP00000020856	ENSZALG00000016378	Zonotrichia_albicollis
ENSLSDP00000005900	ENSLSDG00000004544	Lonchura_striata_domestica
ENSCPRP00005018160	ENSCPRG00005012660	Crocodylus_porosus
ENSGAFP00000025314	ENSGAFG00000017097	Gambusia_affinis
ENSSDUP00000006117	ENSSDUG00000004501	Seriola_dumerili
ENSDARP00000122743	ENSDARG00000010681	Danio_rerio
ENSXCOP00000006113	ENSXCOG00000004187	Xiphophorus_couchianus
ENSCMIP00000042254	ENSCMIG00000017546	Callorhinchus_milii
ENSORLP00015035175	ENSORLG00015021597	Oryzias_latipes_ASM223469v1
ENSTNIP00000016372	ENSTNIG00000013381	Tetraodon_nigroviridis
ENSPVIP00000033833	ENSPVIG00000024723	Pogona_vitticeps
ENSELUP00000017084	ENSELUG00000016871	Esox_lucius
ENSMGAP00000011505	ENSMGAG00000011035	Meleagris_gallopavo
ENSMEUP00000010837	ENSMEUG00000011880	Notamacropus_eugenii
ENSONIP00000008980	ENSONIG00000007118	Oreochromis_niloticus
ENSPMAP00000000133	ENSPMAG00000000115	Petromyzon_marinus
ENSNSUP00000011315	ENSNSUG00000008538	Notechis_scutatus
ENSATEP00000032629	ENSATEG00000022466	Anabas_testudineus
ENSSPAP00000011391	ENSSPAG00000008660	Stegastes_partitus
ENSPKIP00000027865	ENSPKIG00000009733	Paramormyrops_kingsleyae
ENSNBRP00000012087	ENSNBRG00000009416	Neolamprologus_brichardi
ENSSLDP00000023007	ENSSLDG00000017955	Seriola_lalandi_dorsalis
ENSACIP00000004927	ENSACIG00000003876	Amphilophus_citrinellus
ENSMUNP00000010100	ENSMUNG00000007996	Melopsittacus_undulatus
